date,open,high,low,close,volume
2017-06-08,57.3681,57.4552,56.7873,57.0293,1202345
2017-06-09,57.097,57.3584,56.5646,56.6905,1880041
2017-06-12,56.5743,58.0651,56.371,57.736,2695131
2017-06-13,57.6004,58.6363,57.6004,58.5782,2071757
2017-06-14,58.5395,58.7719,57.9732,58.1716,2107936
2017-06-15,58.007,58.8589,57.9102,58.7912,1771129
2017-06-16,58.8202,59.1639,58.2878,59.1494,3323116
2017-06-19,59.6044,59.6044,58.9654,59.1784,2052406
2017-06-20,58.3943,58.6556,57.9974,58.0942,2023927
2017-06-21,58.0458,58.2781,57.8231,58.0167,1305733
2017-06-22,57.9586,58.1135,57.2181,57.5036,1660177
2017-06-23,57.3681,57.5714,57.2132,57.3487,2941089
2017-06-26,57.7457,57.7457,57.2181,57.3487,2480172
2017-06-27,57.3003,57.4552,56.6324,56.7485,3594484
2017-06-28,55.6643,56.1483,54.7543,55.8095,5608784
2017-06-29,55.6643,55.8192,54.7059,54.8802,3229763
2017-06-30,55.4804,55.4997,54.8221,55.1222,3362010
2017-07-03,54.5994,55.3061,54.5704,54.7253,1459303
2017-07-05,54.9576,55.7321,54.551,55.6546,2792229
2017-07-06,55.4804,55.4804,54.8705,55.1512,2176360
2017-07-07,55.3352,55.8579,55.0738,55.5868,1655417
2017-07-10,55.5868,56.1096,55.49,55.9934,1950017
2017-07-11,55.8289,55.8385,54.764,54.793,2917685
2017-07-12,55.0157,55.5375,55.0157,55.4126,1849958
2017-07-13,55.5481,55.6546,55.1803,55.3739,1743276
2017-07-14,55.5191,55.6062,55.2674,55.2771,1383348
2017-07-17,55.2867,55.4223,54.9382,55.0641,1586486
2017-07-18,54.9479,55.2287,54.8221,54.9673,1617177
2017-07-19,54.9382,55.1609,54.7446,55.0447,2151416
2017-07-20,55.0447,55.5094,55.006,55.3642,1747999
2017-07-21,54.9673,55.5384,54.9673,55.3739,1937649
2017-07-24,55.3158,55.4029,55.0205,55.1222,1241529
2017-07-25,55.2287,55.8192,55.1803,55.5965,1791484
2017-07-26,55.6837,56.3904,55.6256,56.2548,2005148
2017-07-27,56.1774,59.4107,56.0225,58.22,6295594
2017-07-28,58.0736,58.6984,56.336,56.3848,4069135
2017-07-31,56.4336,56.9607,56.336,56.4726,5038359
2017-08-01,56.5214,56.58,55.311,55.4672,2749447
2017-08-02,55.1841,55.5209,54.8229,55.2329,2503861
2017-08-03,55.2329,55.3207,54.4519,54.8131,2440777
2017-08-04,55.0279,55.062,54.5398,54.7545,1952980
2017-08-07,54.6764,54.8034,54.4129,54.6081,1429791
2017-08-08,54.5691,55.2329,53.4172,53.7295,3396122
2017-08-09,53.5343,53.7588,53.1341,53.6026,1717388
2017-08-10,53.3098,53.7393,53.2317,53.4757,2166945
