date,open,high,low,close,volume
2017-06-20,68.0388,68.2258,67.8419,68.1372,1216773
2017-06-21,68.1963,68.3341,67.7829,68.0979,1761747
2017-06-22,67.9699,68.3193,67.6795,67.7336,1524071
2017-06-23,67.6844,67.7829,66.828,66.9659,2768355
2017-06-26,67.1037,67.5663,66.7837,67.0544,1965099
2017-06-27,66.7591,67.0052,65.9716,65.9913,2266474
2017-06-28,66.1997,66.3684,65.5151,65.5846,2683951
2017-06-29,65.2274,65.8078,64.9198,65.5846,3258816
2017-06-30,65.7532,66.3585,65.654,65.8524,3148802
2017-07-03,66.0013,66.1005,65.1083,65.1083,1525392
2017-07-05,65.2075,65.4159,64.6916,64.9297,1836564
2017-07-06,64.7015,65.0686,64.5527,64.7015,2894183
2017-07-07,64.7511,65.0835,64.6122,64.8106,1479574
2017-07-10,64.9595,65.0488,64.513,64.5527,1607752
2017-07-11,64.6916,64.8602,64.3344,64.5427,1707079
2017-07-12,65.1281,65.1678,64.4733,64.5328,2728213
2017-07-13,64.8206,66.1799,64.7114,65.6838,5121475
2017-07-14,66.1104,66.3684,65.7135,65.8326,2406274
2017-07-17,65.8227,66.0013,65.5945,65.9616,1138959
2017-07-18,66.1402,66.2096,65.9417,66.1104,2090751
2017-07-19,66.2791,66.5768,66.031,66.5768,1395992
2017-07-20,66.7454,67.2614,66.6065,67.1125,2462330
2017-07-21,66.9935,67.7376,66.8248,67.7277,1525415
2017-07-24,67.6781,67.7476,67.1522,67.3705,2242322
2017-07-25,67.2911,67.43,66.9736,66.9836,2413504
2017-07-26,66.8943,67.3705,66.6859,67.3705,2056012
2017-07-27,67.6483,67.6483,66.805,67.0232,2842161
2017-07-28,66.9538,67.2515,66.6363,66.924,1423527
2017-07-31,66.9935,67.3407,66.7454,67.1622,1443721
2017-08-01,66.9836,67.6979,66.8843,67.688,1892970
2017-08-02,67.4102,67.8964,67.0481,67.8567,1732837
2017-08-03,67.8071,68.452,67.6682,68.3726,2406992
2017-08-04,68.1047,68.3429,67.5765,68.0154,1281250
2017-08-07,68.0055,68.4421,67.7079,68.4024,1456716
2017-08-08,68.2139,68.7199,68.0948,68.71,1416303
2017-08-09,68.9184,68.9184,68.3578,68.4818,1625093
2017-08-10,68.3627,68.7695,68.1444,68.5909,1613121
2017-08-11,68.71,68.8687,68.2933,68.4818,2199929
2017-08-14,68.4421,68.7398,68.2833,68.6306,1296866
2017-08-15,68.3826,69.0969,67.9956,68.8092,1732254
2017-08-16,68.8886,69.1366,68.6405,69.0176,1327534
2017-08-17,68.9878,69.1466,68.4123,68.4421,1246711
2017-08-18,68.5215,68.9481,68.2139,68.6008,2069248
2017-08-21,68.7001,68.9779,68.5215,68.8092,868545
2017-08-22,68.8886,69.1267,68.6505,69.1267,2269622
2017-08-23,69.0771,69.3648,68.8887,69.3549,1066341
2017-08-24,69.3252,69.4938,69.1383,69.2359,1035667
2017-08-25,69.4541,69.7964,69.2755,69.5335,1353434
2017-08-28,69.7518,69.8907,69.4146,69.7617,3101972
2017-08-29,69.6526,70.0296,69.603,69.7121,1051578
2017-08-30,69.6427,69.7816,69.4938,69.5633,1223131
2017-08-31,69.6526,69.8709,69.4641,69.8312,2498337
2017-09-01,69.9106,69.9899,69.1664,69.3252,1552208
2017-09-05,69.3946,69.5732,69.0076,69.2954,3375123
2017-09-06,69.5335,69.5434,69.0573,69.1366,2653798
2017-09-07,69.345,69.8312,69.1962,69.7617,1539291
2017-09-08,69.6823,70.2181,69.4847,70.0891,1383253
2017-09-11,70.0792,71.0119,70.0693,71.002,1619083
2017-09-12,70.8928,70.9325,69.2507,69.6129,1963415
2017-09-13,69.5434,69.6129,68.9283,69.0076,2544908
2017-09-14,68.9283,69.6129,68.71,69.5434,1944648
2017-09-15,69.6129,69.8312,69.4145,69.732,3026039
2017-09-18,69.722,69.7816,68.6505,69.1069,1487874
2017-09-19,69.1366,69.216,68.71,68.7398,1693967
2017-09-20,68.9283,69.1168,68.1246,68.5115,2700729
2017-09-21,68.5711,68.7993,68.3726,68.6405,2346023
2017-09-22,68.9084,68.9084,68.2337,68.3627,2889987
2017-09-25,68.3528,68.8291,68.1444,68.7497,1959707
2017-09-26,68.4421,68.8092,68.323,68.5016,2344043
2017-09-27,68.1147,68.3726,66.9935,67.44,2631335
2017-09-28,67.41,68.13,67.26,68.05,2349828
2017-09-29,68.08,68.25,67.73,68.09,3118768
2017-10-02,68.29,68.53,68.01,68.13,1524968
2017-10-03,67.99,68.36,67.61,68.31,2576852
2017-10-04,68.45,69.205,68.28,69.2,2279084
2017-10-05,69.16,69.32,68.72,69.07,1783717
2017-10-06,68.93,68.95,68.59,68.84,2201365
2017-10-09,68.9,68.95,68.57,68.65,963903
2017-10-10,68.76,69.32,68.531,69.19,2004710
2017-10-11,69.08,69.67,68.665,69.15,4473577
2017-10-12,69.29,69.35,64.42,64.5,12958003
2017-10-13,63.95,64.06,56.13,57.72,29216370
2017-10-16,57.28,57.48,49.83,53.43,39289872
2017-10-17,55.4,59.5,54.46,57.44,27735335
2017-10-18,57.71,57.89,56.41,56.44,12402542
2017-10-19,56.83,57.55,56.54,57.0,10741821
2017-10-20,57.34,58.37,57.29,57.86,7758334
2017-10-23,57.74,57.84,57.03,57.26,6345722
2017-10-24,57.27,57.53,56.95,57.11,5599342
2017-10-25,56.85,57.14,56.38,56.6841,5937984
2017-10-26,56.98,57.34,56.64,56.74,3300517
2017-10-27,56.7,57.28,56.59,57.13,3027845
