date,open,high,low,close,volume
2017-06-08,42.1452,42.2334,41.9102,42.1648,3612824
2017-06-09,42.2236,42.6153,42.1257,42.5761,2433231
2017-06-12,42.5369,42.7915,42.2432,42.7719,2727594
2017-06-13,42.7426,42.909,42.6348,42.7034,2687377
2017-06-14,42.6251,43.5945,42.5663,43.4868,3245648
2017-06-15,43.4574,43.8099,43.3595,43.8099,2362961
2017-06-16,43.8295,43.947,43.6043,43.898,3083921
2017-06-19,44.0939,44.0939,43.4868,43.7707,4931758
2017-06-20,43.7903,43.8882,43.4476,43.4868,1915054
2017-06-21,43.6336,43.6336,43.4378,43.5455,2748513
2017-06-22,43.3497,43.4966,43.0755,43.1734,2472204
2017-06-23,43.2322,43.5553,43.0265,43.4672,14861468
2017-06-26,43.5357,43.7414,43.3888,43.6336,2355265
2017-06-27,43.6043,43.7805,43.477,43.7022,2587936
2017-06-28,43.898,43.9274,43.5259,43.6043,2295048
2017-06-29,43.7707,43.8099,43.0706,43.2322,2081631
2017-06-30,43.428,43.5847,43.1489,43.1734,2448989
2017-07-03,43.2909,43.8784,43.2909,43.3888,1208184
2017-07-05,43.5063,43.8687,43.242,43.8295,2891156
2017-07-06,43.8197,43.9176,43.4574,43.5063,4703329
2017-07-07,43.5455,44.2261,43.5063,44.0547,2192036
2017-07-10,43.8295,44.1722,43.8295,44.0645,3246135
2017-07-11,44.0939,44.1722,43.6238,43.6532,2248945
2017-07-12,43.7414,44.0155,43.5749,43.9274,2784180
2017-07-13,45.3668,45.3668,43.9372,44.2603,4589801
2017-07-14,44.1428,44.6814,44.0644,44.6324,2982214
2017-07-17,44.6324,44.6324,44.231,44.5051,5069748
2017-07-18,44.3093,44.985,44.2995,44.3974,4987589
2017-07-19,44.5345,44.7206,44.3387,44.7206,2349179
2017-07-20,44.7206,45.5627,44.6031,45.5137,3142022
2017-07-21,45.4158,45.4941,45.2493,45.3962,2876792
2017-07-24,45.455,45.9054,45.3962,45.8075,1940539
2017-07-25,46.1404,46.1992,45.7096,45.9348,1765984
2017-07-26,45.9935,46.0229,45.4207,45.5431,2226566
2017-07-27,45.5333,45.5921,45.122,45.3179,2915726
2017-07-28,45.3668,46.2971,45.3668,46.2383,3113015
2017-07-31,46.3167,46.3949,46.0621,46.1502,2743973
2017-08-01,46.3363,46.5321,46.1502,46.2383,2492041
2017-08-02,46.3363,46.5321,46.1502,46.2383,2492174
2017-08-03,46.2481,46.6855,46.1061,46.6202,3017238
2017-08-04,46.7573,46.7573,46.5321,46.7182,1817557
2017-08-07,46.7377,46.7573,46.5419,46.679,1965098
2017-08-08,46.5909,46.7769,46.5125,46.6496,2378281
2017-08-09,46.6202,47.0413,46.5958,47.0413,2786170
2017-08-10,46.8357,46.9434,46.5566,46.7182,2485540
2017-08-11,46.7084,46.9434,46.1894,46.2481,2943218
2017-08-14,46.5223,46.8161,46.4146,46.7769,1480998
2017-08-15,46.7965,46.865,46.4929,46.6007,2158060
2017-08-16,46.9532,47.9324,46.6594,47.6974,3892326
2017-08-17,47.7463,47.9618,47.433,47.5015,3891341
2017-08-18,47.4232,47.8785,47.2959,47.619,3466061
2017-08-21,47.619,47.7512,47.1,47.6778,2615032
2017-08-22,47.6974,47.9618,47.5799,47.8736,2500973
2017-08-23,47.717,47.9911,47.717,47.8149,1721278
2017-08-24,47.9226,47.9226,47.2371,47.2567,2618983
2017-08-25,47.4232,47.7267,47.3742,47.3938,2406726
2017-08-28,46.4636,46.7608,46.0033,46.3265,6050127
2017-08-29,46.1698,46.6496,46.16,46.6398,3208804
2017-08-30,46.6104,46.7818,45.4354,45.6019,5079286
2017-08-31,45.5529,45.8271,45.4158,45.5137,4557229
2017-09-01,45.5529,45.7125,44.6912,44.7108,6624814
2017-09-05,44.3387,44.39,43.0657,43.193,7658903
2017-09-06,43.2811,44.5884,43.2028,44.0057,5991417
2017-09-07,43.9862,43.9862,42.6838,42.8209,5818044
2017-09-08,42.6936,44.559,42.6936,44.466,7058859
2017-09-11,45.5235,46.5615,45.2787,45.455,7352395
2017-09-12,45.3375,45.6508,45.0045,45.6116,4302695
2017-09-13,45.2689,45.406,44.7891,45.1808,3098589
2017-09-14,45.1318,45.1318,44.4856,45.1123,3167825
2017-09-15,45.1123,45.4844,45.0045,45.0633,3690372
2017-09-18,45.2102,45.3668,44.9458,45.3473,3153069
2017-09-19,46.16,47.2959,46.16,46.6398,6611399
2017-09-20,46.679,47.0119,46.5125,46.7084,5060750
2017-09-21,46.6496,47.1294,46.5909,46.6888,3923298
2017-09-22,46.6202,47.0217,46.4342,46.9825,3044053
2017-09-25,46.9336,47.0609,46.6202,47.0021,4710047
2017-09-26,46.914,47.2861,46.8063,46.8552,2941636
2017-09-27,47.1294,47.2958,46.6202,46.7182,2857103
2017-09-28,46.6986,47.0805,46.5811,47.0609,4015715
2017-09-29,46.963,47.433,46.8601,47.4134,1974645
2017-10-02,47.384,48.1674,47.3546,48.0107,3457131
2017-10-03,47.903,48.0793,47.7757,48.0499,2542803
2017-10-04,47.9911,48.2751,47.9226,48.1478,3555398
2017-10-05,48.187,48.2359,47.9715,48.0303,2757466
2017-10-06,48.0793,48.3828,47.9226,48.2555,1815892
2017-10-09,48.3143,48.7157,48.1429,48.422,2292207
2017-10-10,48.4122,48.5982,48.138,48.3436,2198168
2017-10-11,48.2653,48.3339,47.9422,48.2261,2336605
2017-10-12,48.2947,48.3828,47.6876,47.7365,3064813
2017-10-13,47.8247,48.138,47.6239,47.6582,3216581
2017-10-16,47.6582,48.0988,47.6582,47.9618,3142711
2017-10-17,47.9813,48.4415,47.0805,47.5407,5517417
2017-10-18,47.8442,47.9618,46.8944,47.0903,4104074
2017-10-19,47.0413,47.6876,46.9238,47.6778,2502737
2017-10-20,47.952,48.0009,47.5113,47.8932,3089680
2017-10-23,47.9618,48.0401,47.7414,47.8834,3002881
2017-10-24,47.9715,48.2555,47.8247,48.0107,3221407
2017-10-25,47.8834,47.9911,47.5505,47.6092,1957191
2017-10-26,47.854,48.2261,47.6582,48.1282,2883147
2017-10-27,47.9324,48.0988,47.6484,47.8834,2683153
2017-10-30,47.7757,48.0891,47.6435,47.6484,2385075
2017-10-31,47.6876,47.9128,47.5799,47.6386,2689957
2017-11-01,47.8345,47.9128,47.6778,47.7855,1873492
2017-11-02,47.8638,49.0976,47.8247,48.2849,3538325
2017-11-03,48.1576,49.2249,48.1282,49.1074,3884802
2017-11-06,48.7745,49.3522,48.706,49.1662,3272613
2017-11-07,49.2641,49.9398,49.2445,49.4404,1830999
2017-11-08,49.3522,49.6656,49.2347,49.4991,1778767
2017-11-09,49.3424,49.6754,49.0976,49.5872,1772057
2017-11-10,49.4306,49.8027,49.1368,49.695,1292349
2017-11-13,49.4991,50.1454,49.3522,50.0377,3418901
2017-11-14,49.7439,50.4685,49.6656,50.2139,2894777
2017-11-15,50.1062,50.8113,49.8908,50.5762,3130381
2017-11-16,50.919,50.9973,50.3608,50.4979,2940131
2017-11-17,50.3217,50.6056,50.2531,50.4783,2240670
2017-11-20,50.5762,50.8211,50.4783,50.7427,2015760
2017-11-21,50.919,51.1736,50.6742,50.7917,4229958
2017-11-22,50.8015,50.8015,50.4098,50.6056,2078667
2017-11-24,50.7819,50.87,50.5371,50.7721,1726318
2017-11-27,50.8504,51.154,50.782,50.9875,2086846
2017-11-28,50.9679,51.7219,50.9386,51.6828,3747837
2017-11-29,51.8198,52.1822,51.3107,51.3596,3706111
2017-11-30,51.6436,52.5934,51.4184,52.0744,5779044
2017-12-01,52.2213,52.8774,51.4575,52.4857,3301907
2017-12-04,53.0634,53.4062,52.9166,53.2299,3373566
2017-12-05,53.367,53.6118,53.0145,53.1222,3880740
2017-12-06,53.1418,53.5383,52.9587,53.4551,1935070
2017-12-07,53.3866,53.695,53.2642,53.3866,1993232
2017-12-08,53.6314,53.8468,53.4355,53.8468,1609665
2017-12-11,53.7391,53.8468,53.318,53.7391,2571554
2017-12-12,54.0329,54.6498,53.886,54.0035,4154715
2017-12-13,54.0916,55.061,54.0035,54.6987,3407800
2017-12-14,54.8358,55.017,53.8566,53.9937,3069152
2017-12-15,54.1406,54.64,54.0524,54.307,5616812
2017-12-18,54.5323,54.6204,53.9496,54.0524,2511204
2017-12-19,54.2777,54.7477,54.1602,54.6302,2613678
2017-12-20,54.6596,55.11,54.6302,55.0023,2691183
2017-12-21,55.9913,55.9913,54.4931,54.64,2610789
2017-12-22,54.5812,55.0121,54.4833,54.9239,1714783
2017-12-26,54.8652,55.1296,54.826,55.0512,1235654
2017-12-27,55.1296,55.5115,55.0512,55.1883,1865601
2017-12-28,55.3548,55.5213,54.968,55.3352,1314720
2017-12-29,55.345,55.4625,55.1492,55.1492,1375219
2018-01-02,55.2863,55.2863,53.9252,54.2091,2715475
2018-01-03,54.17,54.405,53.7195,54.1797,3247332
2018-01-04,54.2777,54.64,53.9496,54.17,2573296
2018-01-05,54.2875,54.4343,53.7293,54.3756,3264793
2018-01-08,54.4539,54.6547,54.17,54.5421,3075619
2018-01-09,54.6498,55.394,54.6106,55.0023,3823617
2018-01-10,54.8946,55.0317,54.2875,54.5225,3212949
2018-01-11,54.6791,54.875,54.3462,54.5029,2087117
2018-01-12,54.6596,54.9337,54.2189,54.7771,2659776
2018-01-16,54.9142,55.3548,54.7183,55.1002,3800449
2018-01-17,55.3058,56.2067,55.061,56.0402,3169878
2018-01-18,56.05,56.2459,55.7269,56.099,2042859
2018-01-19,56.3144,56.6474,56.148,56.4613,3847604
2018-01-22,56.6474,57.039,56.5886,57.0097,2632899
2018-01-23,56.9607,57.039,55.159,55.864,4611261
2018-01-24,56.4319,56.4319,52.8872,54.1797,7594887
2018-01-25,54.5421,54.6498,53.9349,54.6008,4766578
2018-01-26,54.8162,55.58,52.9264,53.6901,5802847
2018-01-29,53.6216,53.7097,51.9863,52.0255,7824812
2018-01-30,52.0451,53.3376,52.0451,52.378,5233570
2018-01-31,52.7011,53.367,52.3878,52.9753,6765392
2018-02-01,53.15,54.41,53.1,53.58,4502846
2018-02-02,53.56,54.45,53.16,53.24,3004371
2018-02-05,52.96,54.37,51.94,51.95,4452676
