date,open,high,low,close,volume
2017-06-20,160.7546,161.6404,160.2329,160.9613,1120760
2017-06-21,160.2526,160.3843,155.4197,155.6264,1584122
2017-06-22,155.8922,156.1481,154.5339,154.9276,1241080
2017-06-23,154.6717,157.2899,154.4502,157.1225,3954702
2017-06-26,157.1324,157.6344,153.9236,154.6028,1164872
2017-06-27,154.6913,155.1244,153.648,153.7661,883308
2017-06-28,154.9669,155.902,154.2681,155.528,1052312
2017-06-29,156.0398,156.0398,153.1165,154.5831,1462660
2017-06-30,155.3508,159.8441,155.2721,157.3096,1474397
2017-07-03,158.0478,159.4947,157.0733,158.6876,484847
2017-07-05,158.5301,159.7605,157.969,158.6088,897300
2017-07-06,157.4867,158.7663,156.6304,156.9454,791564
2017-07-07,157.2013,158.7958,156.8666,158.3726,973761
2017-07-10,157.8312,161.5125,156.8666,160.7841,799105
2017-07-11,161.0794,161.1089,158.8844,160.5577,1225698
2017-07-12,161.6798,162.9594,161.0892,161.227,850481
2017-07-13,161.1581,162.5263,160.8924,162.2507,934783
2017-07-14,162.6247,162.861,161.6306,162.4673,676518
2017-07-17,162.3688,164.2192,162.0834,163.363,1146741
2017-07-18,163.0775,163.4417,161.8078,162.6641,550662
2017-07-19,163.4515,164.2291,161.8767,164.1406,556048
2017-07-20,164.1406,164.4949,163.1169,163.3531,656405
2017-07-21,162.3295,162.4968,160.0065,161.9554,1057445
2017-07-24,161.9653,162.3098,159.8786,161.8176,763834
2017-07-25,163.4122,164.8689,161.1877,163.3728,1079730
2017-07-26,163.0677,163.2153,160.7054,162.0735,788424
2017-07-27,162.4476,163.3925,161.1089,161.4928,1060336
2017-07-28,161.2959,162.8905,160.6758,162.1621,745826
2017-07-31,163.1169,163.8797,162.3196,163.3728,698859
2017-08-01,163.5106,164.3177,160.3707,161.9357,1159198
2017-08-02,161.4141,162.7133,160.3117,161.7192,1435787
2017-08-03,159.3569,164.0913,158.2151,162.7232,1353276
2017-08-04,163.5204,163.5204,161.0696,161.6404,918920
2017-08-07,161.2172,161.3845,159.1797,159.8392,1313790
2017-08-08,159.5341,160.7447,158.5104,159.101,933671
2017-08-09,158.4218,159.1207,157.8214,158.4907,811699
2017-08-10,157.6344,157.7427,153.1362,153.3133,1662527
2017-08-11,153.1657,155.4689,152.6066,154.5535,1013764
2017-08-14,155.5182,156.8174,155.4296,155.7741,844192
2017-08-15,156.0103,156.4926,155.2661,155.7052,936505
2017-08-16,156.089,156.9257,155.9611,156.2957,627399
2017-08-17,155.8725,156.6796,153.1263,153.1263,1057003
2017-08-18,152.3586,154.1008,151.2365,152.7129,867073
2017-08-21,152.959,152.9984,152.0633,152.7129,682608
2017-08-22,153.5988,156.8076,153.3626,156.6304,796047
2017-08-23,155.843,156.7879,155.0851,155.0851,1478856
2017-08-24,155.5496,155.9302,154.6897,154.7589,587101
2017-08-25,155.5398,155.9944,155.0357,155.4805,621106
2017-08-28,155.9055,156.6962,155.4575,156.5776,656635
2017-08-29,155.6781,157.7341,155.5918,157.3585,772205
2017-08-30,157.2695,158.94,157.1509,158.6039,821264
2017-08-31,159.1871,159.879,158.3173,159.0289,864169
2017-09-01,159.7604,161.8657,159.5627,160.9465,1099882
2017-09-05,160.6895,161.1046,157.8033,157.912,1043823
2017-09-06,159.0487,159.8098,157.9169,158.2184,976743
2017-09-07,158.4853,158.4853,155.2136,157.0224,993646
2017-09-08,156.5974,159.8938,156.5974,159.4638,686722
2017-09-11,160.1656,163.1803,159.8296,163.1803,886032
2017-09-12,163.4077,164.6037,163.1309,164.5839,1084604
2017-09-13,164.2479,166.7486,163.1853,166.0073,850047
2017-09-14,165.5625,166.284,165.0386,165.9776,756433
2017-09-15,165.9084,168.6958,165.4537,167.7271,1142292
2017-09-18,168.5179,171.7995,168.1324,171.6216,1726126
2017-09-19,172.1454,174.577,171.4931,174.0531,2046496
2017-09-20,174.3299,175.5456,173.5095,174.2508,969381
2017-09-21,173.7072,174.7942,173.2228,173.8752,684255
2017-09-22,173.549,175.5555,173.549,175.0613,741637
2017-09-25,174.8142,175.4468,173.1437,174.834,717844
2017-09-26,175.0119,175.1404,169.5162,171.9576,1858001
2017-09-27,173.0153,174.2014,172.185,173.4897,922249
2017-09-28,172.7583,174.0432,172.0565,173.7862,691475
2017-09-29,173.7862,174.1223,172.7286,172.9955,659817
2017-10-02,170.0104,174.1223,168.6859,174.1223,1155526
2017-10-03,173.9641,175.427,173.7961,175.1008,590140
2017-10-04,175.1898,176.0695,174.8933,175.4764,603418
2017-10-05,175.5456,176.3265,174.9921,175.2096,790432
2017-10-06,175.1799,175.9311,174.7845,175.1305,951027
2017-10-09,175.5555,175.941,174.7549,175.2788,434977
2017-10-10,175.9707,176.4352,174.3743,175.4468,609316
2017-10-11,175.4666,175.7532,174.8636,175.5061,533563
2017-10-12,175.3776,178.1057,175.3776,177.9969,793273
2017-10-13,179.0842,179.8354,177.9574,178.3132,679382
