date,open,high,low,close,volume
2017-06-08,101.3431,101.9203,100.7365,101.5192,418407
2017-06-09,102.1257,103.4758,101.7686,102.6736,598920
2017-06-12,102.5268,103.4758,102.3899,102.9182,780768
2017-06-13,103.0166,104.1386,102.7509,104.0894,441929
2017-06-14,104.8965,104.8965,102.8788,103.2922,503833
2017-06-15,103.0757,104.6504,102.6466,103.7056,515526
2017-06-16,103.8926,105.9889,103.7745,105.8708,1008034
2017-06-19,106.8452,107.1749,105.8807,106.5893,574984
2017-06-20,106.4712,106.7074,105.674,106.1956,492675
2017-06-21,106.2645,106.5105,105.4574,106.0086,438250
2017-06-22,106.2153,106.3826,105.359,106.0283,483909
2017-06-23,106.1661,107.8195,105.6149,107.7014,1192300
2017-06-26,108.2624,109.6502,107.8392,109.3254,982285
2017-06-27,109.2368,109.5813,108.7152,108.8628,1145676
2017-06-28,109.473,111.7268,109.2762,110.9887,948489
2017-06-29,111.1855,111.1855,109.099,109.7879,1109266
2017-06-30,110.3686,110.4621,109.0301,109.6305,843234
2017-07-03,109.9454,111.2741,109.6009,110.3391,271102
2017-07-05,110.467,111.1363,109.5419,110.1226,548194
2017-07-06,109.66,110.1521,108.8628,109.0892,498350
2017-07-07,109.2368,109.7092,108.9711,109.1679,696476
2017-07-10,108.5478,111.6382,108.2725,110.6836,975072
2017-07-11,110.9296,110.9296,109.0203,109.5321,671098
2017-07-12,110.3096,110.9788,109.3106,110.0734,552336
2017-07-13,110.7328,112.5043,110.7033,111.5201,833340
2017-07-14,111.6678,111.7859,111.1954,111.3233,377194
2017-07-17,110.9296,111.4611,110.1718,111.0576,518387
2017-07-18,110.4375,110.6934,109.286,109.7486,809611
2017-07-19,110.2702,110.7426,109.9995,110.5064,756937
2017-07-20,110.1915,110.1915,107.7999,108.7152,1590315
2017-07-21,108.4691,108.8233,107.0322,107.731,1162208
2017-07-24,108.8037,109.0301,107.1995,107.2684,1476384
2017-07-25,107.9278,107.977,106.5401,106.8649,22606474
2017-07-26,107.0322,107.9081,105.8118,107.0814,2137102
2017-07-27,106.0578,110.5556,104.1386,108.8037,1473014
2017-07-28,108.8726,109.7289,107.3078,108.0361,2008514
2017-07-31,108.5577,108.9514,107.3766,107.7506,1159075
2017-08-01,107.977,108.6856,107.1208,108.3116,1017585
2017-08-02,107.9081,108.7939,107.0814,108.4888,735337
2017-08-03,108.3707,109.5911,107.9081,108.3412,702899
2017-08-04,108.7053,109.0301,107.0814,107.357,941062
2017-08-07,107.6325,108.3805,107.1896,107.6916,766067
2017-08-08,108.105,108.7152,107.544,107.8884,995912
2017-08-09,107.8786,108.4101,107.1995,107.4455,751227
2017-08-10,107.7506,108.0754,105.4673,105.6346,732864
2017-08-11,105.4574,106.3334,105.2114,105.8216,1532275
2017-08-14,106.6582,108.1542,106.3728,107.4062,737673
2017-08-15,107.5243,108.4691,107.0125,107.5636,804062
2017-08-16,108.2526,109.8667,108.2526,109.6797,708332
2017-08-17,109.3451,109.7387,108.5872,108.8234,702653
2017-08-18,108.5282,109.2171,107.9869,108.2526,731861
2017-08-21,108.0459,108.0459,104.8079,104.8276,999823
2017-08-22,104.9063,107.1896,104.9063,107.0715,841971
2017-08-23,106.6287,108.1542,106.4023,107.4357,610152
2017-08-24,107.7211,108.6561,107.416,108.3805,614280
2017-08-25,108.8037,109.2368,108.1345,108.6167,524525
2017-08-28,108.7152,108.9711,107.1995,107.3373,560158
2017-08-29,106.8747,107.1011,106.294,106.7861,646926
2017-08-30,106.8255,109.4139,106.8255,109.3844,709293
2017-08-31,109.5813,110.9887,109.4238,110.6344,829022
2017-09-01,110.9296,111.8302,110.9296,111.6579,434542
2017-09-05,111.6284,111.8941,109.6994,110.1226,678124
2017-09-06,110.3194,110.9099,108.9514,109.8667,527789
2017-09-07,109.9749,111.0773,109.3879,110.5064,605028
2017-09-08,110.6344,112.6323,110.4572,111.9926,724969
2017-09-11,112.6225,115.6045,112.0122,114.955,1484493
2017-09-12,116.0376,117.0907,115.2404,116.4018,1182498
2017-09-13,115.8014,116.0967,113.8527,114.7582,1225899
2017-09-14,114.3327,114.8274,113.6499,114.5899,861008
2017-09-15,114.3524,114.867,113.3035,114.6691,2177654
2017-09-18,114.9957,115.9654,114.6988,115.0056,1092832
2017-09-19,115.0056,116.3217,114.1199,116.0347,1062489
2017-09-20,116.0347,118.182,116.0248,118.0336,877107
2017-09-21,117.9445,118.0633,117.2815,117.5586,461863
2017-09-22,117.2617,117.5487,114.0061,114.9957,1079990
2017-09-25,114.5701,114.8868,111.0276,112.7098,977814
2017-09-26,112.878,113.917,112.7098,113.1254,663516
2017-09-27,113.6697,114.6592,113.0462,114.0853,696836
2017-09-28,113.8577,114.9759,113.3827,114.4019,874097
2017-09-29,113.8874,113.9368,112.6999,113.4816,829808
2017-10-02,113.254,115.8368,113.254,115.629,681622
2017-10-03,116.0446,116.6482,115.244,116.0446,545329
2017-10-04,116.0743,116.7274,115.5844,116.104,655706
2017-10-05,116.1534,116.1633,115.0946,115.8368,771943
2017-10-06,115.53,116.5888,115.1144,115.2826,527852
2017-10-09,115.5795,115.8863,114.7977,115.5003,383804
2017-10-10,115.6587,116.4206,115.3321,116.2425,366187
2017-10-11,116.3513,116.5493,115.0847,115.4805,589518
2017-10-12,115.6982,115.6982,114.1793,114.2931,809339
2017-10-13,114.0853,114.8571,113.9269,114.4811,771589
