date,open,high,low,close,volume
2017-06-08,55.0517,55.1877,54.1189,54.8574,2623698
2017-06-09,54.8379,55.5181,54.7311,55.5084,2165500
2017-06-12,55.6063,56.2721,55.5377,56.135,2684585
2017-06-13,56.0371,56.1252,55.7727,55.9979,1779035
2017-06-14,56.4288,56.7127,56.1644,56.6246,2763886
2017-06-15,56.2232,57.4961,56.2085,57.2904,4389524
2017-06-16,57.359,57.4961,56.6834,56.9184,4335059
2017-06-19,56.8596,57.4275,56.7323,57.3688,2912537
2017-06-20,57.3981,57.4765,56.1742,56.4679,2200559
2017-06-21,56.5071,56.8547,56.4141,56.84,2639419
2017-06-22,56.6344,56.6834,56.3015,56.4386,1850801
2017-06-23,56.9967,57.8388,56.889,57.3002,3165446
2017-06-26,57.5156,57.873,57.3198,57.829,2390288
2017-06-27,58.1521,58.25,57.4814,57.4961,5484503
2017-06-28,57.6919,57.9954,57.3198,57.9563,3740241
2017-06-29,58.0248,58.1619,57.4079,57.4667,3400226
2017-06-30,57.545,57.7898,57.3639,57.4177,2594005
2017-07-03,57.6919,58.0738,57.3296,57.9563,1009471
2017-07-05,58.0248,58.0836,57.031,57.31,2244151
2017-07-06,57.075,57.2023,56.0175,56.0861,2529467
2017-07-07,56.3211,56.6687,56.0861,56.5463,2305136
2017-07-10,56.6344,56.8596,55.9979,56.0861,1955310
2017-07-11,56.0763,56.2134,55.4105,55.7532,2615083
2017-07-12,56.2819,56.6736,56.2036,56.5854,1829583
2017-07-13,56.6834,56.6834,56.1742,56.3504,1514552
2017-07-14,56.5561,57.0065,56.5561,56.8694,1754859
2017-07-17,56.8596,57.6038,56.654,57.3002,2019446
2017-07-18,57.31,59.2096,57.31,58.8669,3501899
2017-07-19,58.8865,59.0333,58.5242,58.8669,3074940
2017-07-20,58.8865,58.9942,57.9367,57.9367,2345203
2017-07-21,57.8094,58.0933,57.5548,57.7604,2643033
2017-07-24,57.7311,59.1802,57.4275,59.0431,2848905
2017-07-25,59.2487,59.2487,58.4948,59.0137,2487712
2017-07-26,59.0627,60.1692,58.9158,59.8656,2026014
2017-07-27,59.6502,60.2573,59.141,59.8852,1508809
2017-07-28,59.9439,60.3552,59.7187,60.2671,1591918
2017-07-31,60.5119,60.5216,59.4348,59.5425,3289941
2017-08-01,59.9537,60.316,59.846,60.081,1631473
2017-08-02,60.0908,60.2961,59.6306,59.9244,1380827
2017-08-03,59.9146,60.1789,59.5425,59.846,1751498
2017-08-04,59.9537,60.316,59.846,60.081,1631473
2017-08-07,60.0321,60.0321,59.1753,59.3858,1577098
2017-08-08,59.2683,59.895,59.0921,59.5131,1929739
2017-08-09,59.5131,59.6355,59.1998,59.474,1675785
2017-08-10,59.1606,59.3467,58.4458,58.6906,1769257
2017-08-11,58.7885,58.7885,58.1178,58.4654,1746987
2017-08-14,58.8669,60.1398,58.8669,60.0517,2134374
2017-08-15,59.9635,60.6391,59.6894,60.6,1585824
2017-08-16,60.6489,61.5596,60.6391,60.9525,2393830
2017-08-17,60.8741,61.1605,60.0223,60.0223,1588051
2017-08-18,59.8167,60.1398,59.3467,59.9537,1993934
2017-08-21,60.0614,60.8741,59.8362,60.7958,1779425
2017-08-22,60.9035,61.0014,60.1496,60.4139,1317785
2017-08-23,60.3944,61.6673,60.2671,61.5008,1415752
2017-08-24,61.6868,61.7642,60.9035,60.9721,1889521
2017-08-25,61.2952,61.5889,60.9623,61.2756,1303269
2017-08-28,61.3931,61.5302,60.7664,61.1287,1348051
2017-08-29,61.021,61.4421,60.7371,60.8839,1398511
2017-08-30,60.8056,61.1875,60.551,61.1581,1822173
2017-08-31,61.4323,62.2548,61.3441,62.0393,2991075
2017-09-01,62.1079,62.8031,62.0393,62.4506,1757782
2017-09-05,62.9108,62.9597,62.103,62.1862,2263474
2017-09-06,62.4702,62.6365,61.7456,61.8239,1799619
2017-09-07,62.0393,62.7248,61.8533,62.382,2314851
2017-09-08,62.2156,62.901,61.9503,62.6366,1410233
2017-09-11,62.8716,63.7724,62.8325,63.7724,1828452
2017-09-12,63.7333,63.9977,62.8716,63.3122,1596497
2017-09-13,63.1947,63.1947,62.4212,62.6758,1864242
2017-09-14,62.9206,64.1249,62.5877,63.9291,2548676
2017-09-15,64.0277,64.5009,63.1799,64.2741,4188973
2017-09-18,64.1756,64.5107,63.4855,64.1065,3528783
2017-09-19,64.1854,64.3333,63.6334,63.8305,2334381
2017-09-20,63.7812,64.0277,63.2735,63.7024,2540099
2017-09-21,63.6531,64.0868,63.3968,63.4461,1673509
2017-09-22,63.4066,63.7812,62.687,62.7757,1807350
2017-09-25,62.48,63.2686,62.3617,63.1109,2035809
2017-09-26,62.7954,63.101,62.5687,62.756,1633861
2017-09-27,62.5983,62.7659,61.228,62.0167,2549432
2017-09-28,62.1448,62.9039,62.0167,62.6476,1830712
2017-09-29,62.411,62.7954,61.9674,62.5588,2514990
2017-10-02,62.7757,63.0813,62.2532,62.687,1669162
2017-10-03,62.7264,62.9679,62.3715,62.7856,1395290
2017-10-04,62.8053,63.2193,62.5786,63.17,1358026
2017-10-05,63.2982,63.7911,63.1306,63.6531,1665452
2017-10-06,63.4263,63.6235,62.6673,63.6038,1201776
2017-10-09,63.5545,63.9488,63.5545,63.9094,941073
2017-10-10,64.0573,64.6093,63.7024,63.8009,1527547
2017-10-11,63.6235,63.8897,63.2193,63.5841,2123671
2017-10-12,63.5151,64.1558,63.4165,64.1558,2671579
2017-10-13,64.4417,64.698,64.0228,64.284,1696805
2017-10-16,64.3234,64.5304,63.7369,64.077,1949539
2017-10-17,64.0474,64.0474,62.8368,63.3968,2389301
2017-10-18,63.4362,64.4713,63.3573,64.3826,3551667
2017-10-19,64.3727,64.5206,63.313,63.6334,2404105
2017-10-20,63.6334,63.7911,63.1984,63.5249,2558476
2017-10-23,63.7615,63.7615,63.1996,63.5446,1579509
2017-10-24,63.4559,63.8305,62.6476,63.1306,2649448
2017-10-25,63.101,63.8601,62.8447,63.1355,1698173
2017-10-26,63.3968,63.5249,62.7067,63.3573,2267051
2017-10-27,63.2982,63.8897,62.9729,63.7714,1304435
2017-10-30,63.7122,63.7418,63.0813,63.17,1852698
2017-10-31,63.2883,63.7122,62.8743,63.6629,1906399
2017-11-01,63.6827,64.1263,63.4066,64.077,1727433
2017-11-02,64.2938,65.3092,64.0282,65.0036,2383431
2017-11-03,64.6586,65.881,64.5107,65.3289,2415032
2017-11-06,65.4374,65.8021,65.3142,65.5951,1491512
2017-11-07,65.7331,66.1472,65.2895,65.5852,2267679
2017-11-08,65.5458,66.0979,65.4571,65.7725,1714235
2017-11-09,65.3092,65.9106,64.9741,65.536,1599571
2017-11-10,65.0923,65.9401,65.0628,65.2796,1587602
2017-11-13,65.3388,66.2654,65.1121,66.1176,1613674
2017-11-14,66.0683,66.295,65.7406,66.2359,1869822
