date,open,high,low,close,volume
2017-06-08,117.105,119.6988,116.8798,118.4459,3149103
2017-06-09,119.2094,121.1475,119.2094,120.5602,2105438
2017-06-12,120.57,121.4705,118.6319,120.2372,2944506
2017-06-13,120.7755,121.6075,120.1491,121.1866,2242154
2017-06-14,120.1882,121.4705,118.9745,121.3432,1952638
2017-06-15,120.6678,121.9305,120.0414,120.3644,1723259
2017-06-16,120.2567,120.4916,119.3171,119.9142,2254987
2017-06-19,120.9321,121.9403,120.4721,121.167,1868195
2017-06-20,121.0496,121.3041,120.3448,120.384,1851309
2017-06-21,120.8832,120.8832,119.1898,119.738,1793540
2017-06-22,119.2779,119.5814,117.7901,118.2012,1872070
2017-06-23,118.9353,118.9353,116.3709,117.0169,2689485
2017-06-26,117.4475,118.4068,116.8798,117.8293,2316006
2017-06-27,118.7494,120.2861,118.3578,118.5536,1871351
2017-06-28,119.6009,121.1377,119.4443,120.7853,2580897
2017-06-29,123.9469,125.5325,121.5586,122.5961,2670656
2017-06-30,123.3302,123.3889,121.7641,122.2241,1669928
2017-07-03,122.9876,123.8588,122.5863,123.3302,1589891
2017-07-05,123.3106,123.8392,122.1948,123.4085,2495999
2017-07-06,123.477,125.1214,123.1344,123.34,1763069
2017-07-07,124.2699,124.2699,122.4101,123.8588,1841996
2017-07-10,123.4868,124.9844,123.2813,124.5048,2178676
2017-07-11,124.6516,125.0921,123.663,124.6907,2663316
2017-07-12,124.2894,124.8816,123.8,124.5243,1975450
2017-07-13,124.9772,126.0111,123.9828,125.3612,3160135
2017-07-14,123.9631,125.5877,123.0178,125.2135,2437179
2017-07-17,125.0855,126.2769,124.8197,125.4006,2321417
2017-07-18,124.3471,125.2332,123.1754,123.6382,2891183
2017-07-19,124.1305,124.8591,123.4905,124.4554,1966226
2017-07-20,124.4455,125.6566,124.2782,124.9969,2158438
2017-07-21,124.4652,125.4105,123.9434,124.2979,1445332
2017-07-24,124.2979,125.4695,124.1994,125.184,1495420
2017-07-25,127.3994,128.0,126.8874,127.3403,2977356
2017-07-26,127.1828,127.5569,124.8394,125.4006,2554750
2017-07-27,125.3219,126.2277,124.7803,125.7058,2478741
2017-07-28,125.6074,126.0505,124.8295,125.6862,1567977
2017-07-31,125.9422,127.2862,125.4991,126.8185,2017898
2017-08-01,129.2899,130.6289,128.896,130.1366,2399514
2017-08-02,128.6203,128.9157,127.8031,128.6695,2056008
2017-08-03,128.4923,128.9748,127.8917,128.5022,2312246
2017-08-04,129.2899,130.6289,128.896,130.1366,2399614
2017-08-07,129.9102,130.1662,128.5022,129.0929,2517158
2017-08-08,128.5908,131.2099,128.5908,130.3237,2802924
2017-08-09,129.6345,130.1563,128.896,129.7034,2246823
2017-08-10,128.3939,129.2073,126.6215,127.0055,2651970
2017-08-11,126.7397,127.7834,125.6763,126.08,2931654
2017-08-14,127.4289,129.3982,126.976,128.8862,2249645
2017-08-15,129.7428,130.2548,128.1871,128.3348,2615717
2017-08-16,128.9059,129.1225,127.2714,128.0985,3122892
2017-08-17,127.5865,127.8425,125.2234,125.3415,2770565
2017-08-18,124.7015,126.1489,124.2092,125.1545,1511657
2017-08-21,125.3809,125.3809,124.4751,124.6523,1376148
2017-08-22,124.9379,125.8732,124.9379,125.5483,1216541
2017-08-23,124.6523,126.0603,124.5046,125.568,1082518
2017-08-24,125.8437,126.0603,125.1545,125.7058,889519
2017-08-25,126.208,126.4739,125.6665,125.9126,991080
2017-08-28,126.4739,126.4739,125.2825,125.5877,1720068
2017-08-29,124.1009,124.8689,123.3231,124.3274,2052831
2017-08-30,124.6031,124.9172,123.6185,123.8548,2300505
2017-08-31,124.3471,124.3766,122.7323,123.4806,2777083
2017-09-01,123.8942,125.2332,123.1852,124.6917,1582546
2017-09-05,123.7268,123.9583,121.4769,121.8855,2913037
2017-09-06,122.5551,122.9686,121.344,121.6591,1908854
2017-09-07,121.6197,121.6197,117.9274,118.8529,3151897
2017-09-08,118.6462,120.5366,118.5379,119.6406,1953666
2017-09-11,121.1077,122.0825,120.7729,121.8659,2573021
2017-09-12,122.2794,124.8985,122.24,124.4948,2110497
2017-09-13,124.032,125.3612,123.7858,125.3415,1775024
2017-09-14,125.2234,126.08,125.0757,125.2332,1752707
2017-09-15,124.7705,126.2277,124.5046,126.2179,3278971
2017-09-18,126.7495,128.2363,126.5723,127.7046,2305895
2017-09-19,127.8425,129.5065,127.4486,129.2603,1758314
2017-09-20,129.5852,131.6332,128.8074,130.9539,2214472
2017-09-21,131.2985,132.2339,130.7865,131.2985,1911731
2017-09-22,130.8554,131.5052,130.0775,131.3772,1923182
2017-09-25,131.2591,132.1452,130.6289,131.4659,1719480
2017-09-26,130.816,131.2689,130.2154,130.3926,2436880
2017-09-27,132.1255,133.5828,131.2492,132.2535,2235130
2017-09-28,132.4406,132.7311,130.8653,132.3914,1481212
2017-09-29,132.2142,133.6419,132.1945,132.6966,2052871
2017-10-02,133.1791,133.5237,132.1945,133.0412,1745417
2017-10-03,133.1495,133.4154,131.7908,132.1157,2182668
2017-10-04,132.1157,133.12,131.6529,132.2043,1928012
2017-10-05,131.7612,134.0357,131.0622,133.4548,1359013
2017-10-06,134.1342,134.8135,132.5686,133.6025,1466605
2017-10-09,133.9077,134.1095,133.0314,133.5237,869567
2017-10-10,133.4449,134.7939,133.4055,134.6166,1409911
2017-10-11,134.1735,134.5772,133.4449,134.3902,1733027
2017-10-12,135.296,135.296,132.864,133.1889,2359917
2017-10-13,134.8923,134.8923,130.5994,131.6923,2727903
2017-10-16,132.2071,134.0389,131.92,133.7023,2281440
2017-10-17,134.1974,134.4845,132.8606,132.9399,2055742
2017-10-18,133.5241,134.1083,132.7517,133.4151,1709462
2017-10-19,132.524,134.3855,132.4547,133.9696,1329821
2017-10-20,135.4945,136.3559,134.841,135.6034,2081042
2017-10-23,135.7222,136.3361,135.0093,135.4252,1300985
2017-10-24,135.742,137.1302,135.5737,136.4748,1321185
2017-10-25,137.861,137.861,135.0786,136.1183,1041734
2017-10-26,136.9599,137.3758,136.2074,136.4946,1547305
2017-10-27,135.9599,137.1679,135.6133,136.8114,1198528
2017-10-30,135.8014,136.6926,135.2172,135.8113,1199207
2017-10-31,135.851,136.8411,135.4153,135.445,1131639
2017-11-01,136.5243,137.2768,135.4153,135.5935,1207600
