date,open,high,low,close,volume
2017-06-20,65.4414,65.5247,64.8631,65.1768,557608
2017-06-21,65.2748,65.2748,63.5495,63.6378,634074
2017-06-22,63.628,64.1573,63.5005,63.677,844004
2017-06-23,63.7456,64.3828,63.7456,64.3337,1114837
2017-06-26,64.52,64.9807,64.0083,64.3435,419841
2017-06-27,64.3828,64.6473,63.775,63.8044,441506
2017-06-28,64.3141,64.9121,64.2063,64.7454,625810
2017-06-29,64.9121,65.1277,64.1377,64.3239,652352
2017-06-30,64.5788,65.6277,64.3337,65.2258,588221
2017-07-03,65.6865,65.9904,65.2454,65.7061,413274
2017-07-05,65.7649,65.9315,65.1375,65.3728,702747
2017-07-06,65.2258,65.4022,64.27,64.3141,857284
2017-07-07,64.422,65.4512,64.422,65.314,647410
2017-07-10,65.3336,66.2158,64.9219,65.5394,597417
2017-07-11,65.4708,65.8335,65.0199,65.2944,596191
2017-07-12,65.9119,66.4315,65.8923,65.9806,541521
2017-07-13,66.1178,66.1668,65.4512,65.4708,650947
2017-07-14,65.5198,65.5885,65.1669,65.2356,686358
2017-07-17,65.1277,65.3042,64.9072,65.2258,565550
2017-07-18,65.0395,65.1964,64.4416,64.9709,592535
2017-07-19,65.0941,65.2714,64.7295,65.1138,627644
2017-07-20,65.1138,65.2025,63.9609,64.1777,1002974
2017-07-21,64.0693,64.0693,63.2908,63.8229,865826
2017-07-24,63.8328,63.9806,63.4288,63.6357,1027094
2017-07-25,62.7981,63.4288,61.7635,62.3449,1671802
2017-07-26,62.3843,62.4927,61.3989,61.458,1159907
2017-07-27,61.5566,61.7635,61.1723,61.5861,1129460
2017-07-28,61.6354,62.4532,61.4974,62.3449,872587
2017-07-31,62.3646,62.8277,61.9704,62.1478,970630
2017-08-01,62.0591,62.5074,61.9211,62.2365,994993
2017-08-02,61.3496,62.0098,61.1624,61.7438,1145941
2017-08-03,61.7635,62.0985,61.6058,61.931,819542
2017-08-04,62.0591,62.5074,61.9211,62.2365,994993
2017-08-07,62.2562,62.3547,61.7241,61.9113,646654
2017-08-08,61.793,62.0,61.3398,61.389,438390
2017-08-09,61.4679,61.6785,61.1624,61.458,631644
2017-08-10,61.3102,61.3102,60.5527,60.6204,801511
2017-08-11,60.5515,61.1624,60.1278,60.6697,558034
2017-08-14,61.054,61.7044,60.9703,61.596,565988
2017-08-15,61.5664,61.5664,60.8668,61.123,664068
2017-08-16,61.2215,61.7634,61.0195,61.4679,587426
2017-08-17,61.1723,61.5073,60.4529,60.4628,883448
2017-08-18,60.1475,60.6796,59.9799,60.0785,720884
2017-08-21,60.0489,60.3347,59.7927,59.9799,521422
2017-08-22,60.246,60.6599,60.1573,60.5022,685860
2017-08-23,60.177,60.4923,59.8518,59.8518,395069
2017-08-24,59.9898,60.2164,59.8617,60.0785,553022
2017-08-25,60.3642,60.7584,60.3642,60.6106,416158
2017-08-28,60.985,61.0836,59.9307,60.0588,561772
2017-08-29,59.5661,60.2953,58.2664,60.1672,670892
2017-08-30,60.0489,60.3347,59.773,60.0982,583807
2017-08-31,60.3445,61.2511,60.0194,61.1427,1140796
2017-09-01,61.389,61.9211,61.2314,61.5664,691872
2017-09-05,61.5073,61.5073,60.5613,60.6697,767094
2017-09-06,60.9456,61.1723,60.5121,60.8372,597166
2017-09-07,60.9949,60.9949,60.3544,60.7387,565517
2017-09-08,60.5712,61.2708,60.3347,61.1131,461986
2017-09-11,61.3989,62.8967,61.1723,62.7193,810648
2017-09-12,62.9755,63.478,62.8967,63.478,457788
2017-09-13,63.3204,63.9904,63.2164,63.5963,578721
2017-09-14,68.2462,68.8404,67.9987,68.5136,963758
2017-09-15,63.8328,64.02,63.3302,63.6554,1545737
2017-09-18,63.7934,64.6802,63.5963,64.5817,779149
2017-09-19,64.5817,65.6557,64.3747,65.6262,856993
2017-09-20,65.8627,66.3948,65.5966,66.1189,1920954
2017-09-21,66.1189,66.4046,65.7641,65.8035,605475
2017-09-22,65.8134,66.1484,65.6656,66.0696,792729
2017-09-25,66.0499,66.2765,65.4488,66.0006,857232
2017-09-26,66.0006,66.04,65.0448,65.3897,758759
2017-09-27,65.5867,66.0991,64.5521,66.04,1282130
2017-09-28,66.0203,66.1878,65.4882,66.1878,1107065
2017-09-29,66.3061,67.4984,66.0305,66.9663,1567514
2017-10-02,66.9072,68.3162,66.8037,68.3162,1224186
2017-10-03,68.4246,68.7794,68.1586,68.6119,986597
2017-10-04,68.671,69.479,68.3557,69.0159,1135303
2017-10-05,68.9764,69.0306,68.2768,68.5626,931741
