date,open,high,low,close,volume
2017-06-20,104.6745,105.004,104.022,104.122,1035164
2017-06-21,104.3062,104.3158,101.3695,101.6602,2096034
2017-06-22,101.3695,101.3695,99.9738,100.1289,1925509
2017-06-23,100.4196,100.7395,99.7896,100.1773,2599220
2017-06-26,100.7395,101.4179,99.3341,100.4778,2149314
2017-06-27,100.8073,102.7748,100.5069,101.3791,1678031
2017-06-28,102.3677,104.1705,102.3677,103.9572,2271035
2017-06-29,105.6437,106.3706,103.9863,105.0428,2923584
2017-06-30,105.76,106.0023,104.7326,104.8101,2152801
2017-07-03,105.6824,107.9504,105.6824,106.7873,1923259
2017-07-05,107.0199,107.1653,106.138,106.8261,2026144
2017-07-06,106.9909,109.2491,106.6129,107.3882,3178459
2017-07-07,107.8341,108.2314,106.8649,107.931,1935848
2017-07-10,107.6596,108.3768,107.5918,107.9116,1205245
2017-07-11,108.0279,108.1636,106.9424,107.2429,1064199
2017-07-12,107.1556,107.8535,106.7776,107.7856,1382200
2017-07-13,107.8535,108.6878,107.6208,108.4834,1193479
2017-07-14,107.1459,108.3865,106.5256,107.9795,1363908
2017-07-17,107.8535,108.183,107.049,107.8535,985432
2017-07-18,107.049,107.805,106.6323,107.1944,1437038
2017-07-19,106.9618,108.2702,106.8164,107.8728,1451696
2017-07-20,108.1636,108.5125,107.4125,107.6402,1339552
2017-07-21,107.4852,108.3865,107.1944,108.2993,1357843
2017-07-24,108.1442,108.9196,107.9988,108.6773,1059865
2017-07-25,110.1602,110.5866,109.7143,110.0245,1002566
2017-07-26,110.1214,110.3734,108.4447,108.7354,1019334
2017-07-27,108.939,109.8209,108.5901,109.2685,1015352
2017-07-28,109.2976,109.8597,108.6385,109.7143,956086
2017-07-31,110.1408,110.3928,109.6756,109.7434,1248548
2017-08-01,108.0958,109.7919,107.6887,109.0262,2088224
2017-08-02,110.3734,111.7109,109.9566,111.6818,1984094
2017-08-03,108.0667,109.9373,106.516,106.8746,4092780
2017-08-04,108.0958,109.7919,107.6887,109.0262,2088224
2017-08-07,108.7257,109.0504,108.1345,108.2508,1372979
2017-08-08,108.0279,109.6853,107.8922,108.0473,1337115
2017-08-09,107.0878,107.2816,105.915,106.5547,2242410
2017-08-10,105.6437,105.9344,102.6973,102.7942,2665030
2017-08-11,102.5228,103.4533,101.8928,102.4356,2239384
2017-08-14,103.6859,104.2722,103.4242,103.4533,2285942
2017-08-15,104.4709,105.2172,102.9202,102.9783,1572864
2017-08-16,103.0753,103.5901,101.6214,101.9704,2300053
2017-08-17,101.6214,101.7281,99.431,99.4989,3119224
2017-08-18,99.3622,100.0953,98.8155,99.538,3523224
2017-08-21,99.8309,99.8504,98.1613,98.6886,1680247
2017-08-22,99.206,99.7088,98.8741,99.4892,1613335
2017-08-23,98.7276,99.6649,98.6202,98.7081,1491073
2017-08-24,99.2939,99.8699,99.0205,99.2841,1724781
2017-08-25,99.7137,100.6119,99.4794,100.3874,2069580
2017-08-28,100.4557,100.6901,99.9871,100.2507,1375690
2017-08-29,98.9034,99.2744,98.5128,98.9229,1753994
2017-08-30,99.411,100.0652,98.8838,99.7235,1744093
2017-08-31,100.0945,100.1824,99.5575,99.6649,2214351
2017-09-01,99.9187,101.2368,99.6942,100.7096,1199247
2017-09-05,100.0261,100.1335,98.0539,98.3566,1939890
2017-09-06,98.6593,99.4208,98.1223,98.2004,2074156
2017-09-07,98.2492,98.2492,95.8865,96.316,2746140
2017-09-08,96.0231,97.3119,95.5643,96.5699,1839760
2017-09-11,97.888,99.3329,97.7903,98.5421,2545740
2017-09-12,99.0791,100.1628,98.9326,99.7625,2101807
2017-09-13,99.6063,100.2312,99.3427,99.9383,1618755
2017-09-14,99.9871,100.4126,99.4403,99.5575,2061075
2017-09-15,99.4989,100.3972,99.1474,100.3483,2944469
2017-09-18,100.7096,101.4028,100.5631,100.9341,2170450
2017-09-19,100.9048,102.1643,100.6471,101.8421,1649190
2017-09-20,101.9886,103.2774,101.2075,102.6818,1984795
2017-09-21,102.5353,103.3945,102.301,102.301,2138810
2017-09-22,101.8226,102.8478,101.7152,102.5158,1789601
2017-09-25,102.3791,103.3359,102.0374,102.8673,1865938
2017-09-26,102.799,103.5507,102.4865,103.4336,1744510
2017-09-27,104.7809,105.0444,104.1072,104.2537,1972178
2017-09-28,104.283,104.449,102.9649,103.4922,1186185
2017-09-29,103.4922,104.0975,103.2188,103.8046,1227301
2017-10-02,104.3806,104.9371,103.7362,104.7419,1303913
2017-10-03,104.7321,105.3423,104.2342,105.2886,1767137
2017-10-04,105.3179,105.7377,104.9078,105.2984,1116950
2017-10-05,105.4351,107.1437,105.1129,106.675,1427154
2017-10-06,107.0851,108.0614,106.2952,107.0558,1708887
2017-10-09,107.2511,107.4659,106.304,106.4798,867749
2017-10-10,106.6262,107.5537,106.4993,107.3975,1565198
2017-10-11,107.0656,107.6904,106.7824,107.4073,1484329
2017-10-12,107.544,107.544,106.5579,106.7629,1149072
2017-10-13,106.7922,107.1974,106.2454,106.5286,1336950
2017-10-16,106.8312,107.4659,106.675,106.7824,1543239
2017-10-17,107.1046,107.3487,105.7768,106.2161,1605698
2017-10-18,106.7531,106.7531,105.8451,106.3138,1518894
2017-10-19,105.7182,107.0622,105.5727,107.007,1281261
2017-10-20,108.0321,108.6863,107.5244,108.1591,1519219
2017-10-23,108.1591,108.8523,107.9736,108.1688,1048617
2017-10-24,108.862,109.8481,108.6179,109.5162,1616383
2017-10-25,109.5162,109.77,108.1102,108.6082,1550075
2017-10-26,108.9499,109.9751,108.9304,109.2428,1205279
2017-10-27,108.8132,109.5064,108.4588,109.3697,1091432
2017-10-30,108.8523,109.4088,108.5984,108.9597,1818842
2017-10-31,108.989,109.3014,107.8076,107.8466,1564566
2017-11-01,108.3543,109.4771,107.7588,107.9638,1793470
2017-11-02,109.0085,110.6585,107.7978,110.268,2352439
2017-11-03,110.0434,110.307,108.9108,109.194,1985137
2017-11-06,109.0378,110.0776,108.8524,109.731,1416915
2017-11-07,110.0532,111.2736,108.7742,109.2916,1629039
2017-11-08,109.2819,110.3461,108.6863,109.7798,1966410
2017-11-09,109.2526,110.4339,108.6376,109.3014,1555517
2017-11-10,109.3697,109.6236,108.0321,108.1005,1805408
2017-11-13,107.2999,108.6375,106.8898,107.8271,1614487
2017-11-14,107.0656,107.3438,106.675,106.9679,1794570
2017-11-15,105.7923,106.8826,105.3859,106.6745,758965
2017-11-16,108.2176,108.9108,107.7002,107.7588,1857577
2017-11-17,107.212,108.3299,107.0167,107.6416,1232693
2017-11-20,107.8076,107.9833,107.3194,107.417,1662250
2017-11-21,107.8466,107.9638,107.3341,107.4561,1271648
2017-11-22,107.6221,108.0224,106.8898,107.1046,1252646
2017-11-24,107.6355,107.6748,107.0162,107.0751,575673
2017-11-27,107.2128,108.0091,107.2128,107.6551,1512857
2017-11-28,108.068,111.0811,107.8419,110.9189,2625970
2017-11-29,111.843,115.0946,111.3515,113.9074,2743151
2017-11-30,114.9101,115.5983,113.3274,113.8779,3784283
2017-12-01,114.0352,114.2318,110.506,113.4454,1664527
2017-12-04,115.1559,115.9915,114.7529,114.7823,1789297
2017-12-05,115.1756,115.3918,113.3864,113.5535,1302141
2017-12-06,113.3962,114.2613,113.2586,113.4257,1247844
2017-12-07,112.9735,114.7037,112.8162,114.3596,1035868
2017-12-08,114.8807,115.2149,114.222,115.1657,1184239
2017-12-11,115.0379,115.264,113.7895,114.2908,1460071
2017-12-12,114.7037,115.0183,113.6125,114.4186,1841905
2017-12-13,114.1139,114.399,112.0003,112.0199,1759715
2017-12-14,112.4623,113.7796,112.0003,112.5311,1981848
2017-12-15,113.5535,114.7725,113.2389,113.7698,2849764
2017-12-18,114.5759,115.007,113.3078,114.1532,2007509
2017-12-19,114.7627,115.4705,114.6251,114.8807,1578182
2017-12-20,115.8244,116.1685,114.9986,115.1264,2140255
2017-12-21,115.7064,116.0898,114.7037,114.7627,1859126
2017-12-22,115.0085,115.4705,113.8878,114.1925,1011243
2017-12-26,114.3695,114.7332,113.5044,113.6911,670609
2017-12-27,113.7305,113.7403,113.062,113.3766,1341047
2017-12-28,113.6322,113.6322,112.9342,113.2488,979946
2017-12-29,113.6617,113.7993,112.9932,113.0325,1147261
2018-01-02,113.2193,113.7501,112.5901,113.4945,2207090
2018-01-03,113.3078,113.9467,113.0325,113.5339,1449709
2018-01-04,114.0745,115.5196,113.8386,114.5366,1834087
2018-01-05,114.861,115.7556,114.2426,115.6868,1698455
2018-01-08,115.7851,115.8342,115.1854,115.618,1500968
2018-01-09,116.0013,117.6726,115.7949,116.9844,2536243
2018-01-10,117.181,120.8577,116.9353,119.4519,2578863
2018-01-11,120.5824,121.6834,120.0319,121.6245,1879369
2018-01-12,122.1357,122.8828,121.5857,122.0177,1365548
2018-01-16,120.6021,122.0079,119.4814,120.0221,1962190
2018-01-17,120.7397,121.7621,119.8746,121.3492,1288193
2018-01-18,121.7326,122.3421,121.1428,121.2214,1805512
2018-01-19,121.7818,122.2831,121.1821,122.0275,3248499
2018-01-22,122.1651,122.3618,121.1133,122.2241,1507383
2018-01-23,122.2241,122.4414,120.9953,122.0963,1802816
2018-01-24,122.8631,123.8265,122.2831,122.7157,2014745
2018-01-25,123.1974,123.276,122.1651,122.2929,1691771
2018-01-26,122.637,123.8855,122.3716,123.8855,1594105
2018-01-29,123.7184,124.9865,123.0499,123.2465,1623367
2018-01-30,121.4967,122.0275,119.1226,119.3339,2421592
2018-01-31,119.5797,119.9041,116.4634,116.8075,3053615
2018-02-01,116.5715,118.5475,116.371,118.4787,1994638
2018-02-02,117.6529,118.341,114.979,115.3427,2017827
2018-02-05,113.9762,114.9101,108.7463,108.9135,2628290
2018-02-06,105.8955,109.8081,104.706,109.1101,4151703
2018-02-07,108.3531,110.6043,107.8419,109.287,2262204
2018-02-08,109.3657,110.0735,101.511,101.629,4406263
2018-02-09,102.9463,105.1877,100.3707,104.2439,4271379
2018-02-12,106.5443,108.5792,104.7076,106.0331,3459522
2018-02-13,105.0304,105.8955,104.5192,105.0795,2818346
2018-02-14,104.6765,109.8081,104.5978,109.3853,2934839
2018-02-15,110.1718,111.1155,107.2521,107.8714,2354657
2018-02-16,107.4782,108.4613,107.2226,107.5765,2520406
2018-02-20,108.0423,108.2802,106.947,107.5269,2231355
2018-02-21,107.5467,109.3904,107.5467,107.6756,2468068
2018-02-22,108.2009,109.1029,106.6844,106.843,2186147
2018-02-23,107.3386,108.0522,106.3384,108.0225,1823075
2018-02-26,108.6668,109.5688,108.2703,109.1525,1919851
2018-02-27,109.0335,110.1536,107.7053,107.7351,2483838
2018-02-28,108.528,108.7394,105.3462,105.3859,2053232
2018-03-01,105.5147,106.5456,102.7096,103.0169,2785841
2018-03-02,102.9177,104.8903,101.54,104.6722,2412741
2018-03-05,103.5819,106.3275,103.2349,105.2868,2269893
2018-03-06,105.9707,106.8632,105.0489,106.5952,1560208
2018-03-07,105.0984,106.5952,104.9877,106.3672,1477490
