date,open,high,low,close,volume
2017-06-08,202.0338,203.6886,198.8975,202.9093,1858388
2017-06-09,201.649,202.89,199.0995,199.6864,1275994
2017-06-12,199.7933,202.3967,198.987,201.1241,1489783
2017-06-13,200.9493,202.4744,200.3373,202.4453,1431831
2017-06-14,202.1053,204.9127,201.6196,203.883,1104447
2017-06-15,203.4361,206.671,203.0281,206.603,855424
2017-06-16,206.9138,207.9921,205.2915,207.555,943787
2017-06-19,208.0893,208.0893,204.7378,205.7287,726564
2017-06-20,205.4955,205.9424,201.1921,205.6995,937318
2017-06-21,206.059,207.3073,205.447,206.2338,585908
2017-06-22,205.7578,206.0833,203.8733,205.1458,632189
2017-06-23,205.1944,208.8178,205.1944,207.0207,703832
2017-06-26,208.0893,209.459,205.923,206.4184,573893
2017-06-27,205.9327,206.84,203.611,204.2618,777597
2017-06-28,204.7573,205.4178,203.373,203.4555,627353
2017-06-29,202.6687,203.3876,200.9881,201.639,669687
2017-06-30,202.7464,203.9995,201.6001,202.5716,620901
2017-07-03,203.9315,207.4384,202.4744,206.6515,562898
2017-07-05,206.1658,206.195,202.0664,202.115,756519
2017-07-06,201.095,202.0081,198.0641,199.4921,1028919
2017-07-07,199.871,201.7653,199.326,201.1144,509552
2017-07-10,201.1144,201.265,197.3453,197.559,700094
2017-07-11,198.1418,198.5838,196.7236,197.4521,669273
2017-07-12,198.7441,200.9493,198.1418,200.5121,648429
2017-07-13,200.5024,201.5613,198.8801,198.9676,740647
2017-07-14,200.2887,202.5074,200.2498,201.7458,566232
2017-07-17,201.8236,203.747,201.0464,201.6584,660467
2017-07-18,201.3961,203.135,199.4824,201.2893,917920
2017-07-19,201.5321,202.4744,201.1436,201.8333,887523
2017-07-20,201.707,202.8144,200.2887,201.6001,703615
2017-07-21,201.3573,203.1738,201.2796,202.9698,439521
2017-07-24,202.9504,203.2807,201.299,203.0281,643574
2017-07-25,203.271,203.271,200.1333,201.7847,871812
2017-07-26,201.6778,205.2235,201.2116,204.0578,964398
2017-07-27,192.3813,196.2281,186.6596,192.6144,3807216
2017-07-28,192.7796,197.6464,192.051,197.0441,1490254
2017-07-31,197.2773,200.3276,195.9659,199.6961,1370148
2017-08-01,196.5196,198.443,195.2761,196.4419,933837
2017-08-02,196.5196,198.443,195.2761,196.4419,933873
2017-08-03,195.2761,197.1607,192.527,194.6156,870120
2017-08-04,194.6059,196.2087,193.921,195.7327,672190
2017-08-07,195.7521,196.1213,194.4699,195.3344,534705
2017-08-08,194.9944,195.7424,192.7116,194.9459,717934
2017-08-09,194.7613,196.1019,194.0619,195.1401,646039
2017-08-10,194.7516,195.6939,193.5081,194.9167,590457
2017-08-11,195.0624,195.0624,191.8373,192.9544,630343
2017-08-14,194.295,195.1304,193.7551,194.8099,807328
2017-08-15,194.6059,195.9659,193.6053,195.8201,651237
2017-08-16,196.2281,196.8304,193.1196,193.3236,876474
2017-08-17,193.2361,194.3824,192.0801,192.0801,728662
2017-08-18,191.2836,192.0801,188.9424,190.6813,793777
2017-08-21,191.3807,195.3927,190.9436,194.6447,993043
2017-08-22,194.8487,196.2087,193.7704,195.8299,796857
2017-08-23,195.6939,200.6287,195.485,199.5504,966284
2017-08-24,199.531,200.8716,198.511,198.8218,727581
2017-08-25,198.8121,199.5261,197.1996,198.0447,569306
2017-08-28,198.0253,198.8801,196.0144,198.4624,613539
2017-08-29,198.5013,200.7744,198.4673,199.6961,527453
2017-08-30,199.2396,200.0556,196.9081,200.0556,519693
2017-08-31,200.2498,201.0853,198.5838,199.4727,858092
2017-09-01,199.939,200.9833,199.3173,199.9973,408257
2017-09-05,199.7058,201.0464,199.1133,200.755,656850
2017-09-06,201.571,203.5041,201.5516,201.9498,964415
2017-09-07,202.523,209.0413,202.3967,208.1573,1413642
2017-09-08,208.1281,213.641,208.0504,212.0721,1319819
2017-09-11,209.8475,209.8475,204.3299,207.3024,1583856
2017-09-12,206.4198,206.4394,203.0367,203.5564,1240103
2017-09-13,203.5957,204.7528,202.0953,204.6939,646348
2017-09-14,204.8214,209.8323,203.5662,208.4399,803318
2017-09-15,208.332,210.1658,207.724,209.9991,1032132
2017-09-18,209.8618,212.2055,209.8618,211.6661,796594
2017-09-19,211.8034,212.323,210.7051,211.5386,763139
2017-09-20,211.774,212.3918,208.5183,209.9599,704864
2017-09-21,209.8618,212.5879,209.244,210.7051,671973
2017-09-22,211.215,212.0584,208.989,209.5676,500245
2017-09-25,209.3519,211.2739,208.4497,210.0579,530031
2017-09-26,210.4796,211.6661,209.8226,209.9795,675403
2017-09-27,209.4107,209.4107,205.753,207.8711,730202
2017-09-28,207.6162,208.8714,205.6157,208.6262,548550
2017-09-29,208.6262,210.2835,207.1651,209.8422,909720
2017-10-02,210.3913,211.2837,209.2734,210.1266,771200
2017-10-03,210.558,211.2934,208.3516,208.7929,574017
2017-10-04,208.4889,209.8951,207.5279,209.7245,527206
2017-10-05,210.3521,211.3621,209.244,209.5382,681273
2017-10-06,208.8714,209.8716,207.5181,209.2832,847063
2017-10-09,209.0773,210.8767,207.5868,209.6853,635665
2017-10-10,209.7833,211.6857,207.5279,208.891,807623
2017-10-11,208.8714,211.0385,207.5426,210.5188,783448
2017-10-12,210.4404,212.7154,210.3129,212.6075,541558
2017-10-13,213.2841,215.2748,212.1319,214.3236,1057695
2017-10-16,214.6864,215.2258,212.3035,213.343,768070
2017-10-17,212.5389,213.544,210.1511,211.6955,723341
