date,open,high,low,close,volume
2017-06-08,74.5481,75.628,74.519,75.1011,2434728
2017-06-09,75.0623,77.3328,74.9992,77.2067,2832784
2017-06-12,77.2649,78.0897,77.2261,77.8277,2971158
2017-06-13,77.9053,78.3322,77.5269,78.2352,1843073
2017-06-14,78.1964,78.2449,76.411,76.4401,2810765
2017-06-15,76.2752,77.0223,76.1976,76.7312,2157299
2017-06-16,77.0708,78.5748,76.8574,78.536,4870857
2017-06-19,78.5845,79.0988,78.4487,78.8271,2757432
2017-06-20,77.915,78.2061,76.5663,77.1873,2299676
2017-06-21,77.1873,77.4007,76.2946,76.5469,2073891
2017-06-22,76.673,77.0514,76.2946,76.5663,1016070
2017-06-23,76.479,77.9829,76.4595,77.8859,2696625
2017-06-26,77.8956,78.2546,77.6773,77.8568,1512907
2017-06-27,78.0023,78.8853,77.8568,78.1479,1653917
2017-06-28,78.5942,79.6906,78.5845,79.3607,2317543
2017-06-29,79.6615,80.3602,79.3607,79.4384,2513955
2017-06-30,79.875,80.6415,79.4869,80.234,2458693
2017-07-03,80.5057,81.379,80.4572,80.8647,1076858
2017-07-05,80.7774,80.7774,79.71,79.8847,1974184
2017-07-06,79.9526,80.1504,79.2637,79.4578,1590807
2017-07-07,79.4869,80.3602,79.1279,80.1467,1710804
2017-07-10,80.0302,80.4087,79.8848,80.0108,1498681
2017-07-11,79.8362,80.2922,79.4772,79.9138,1366121
2017-07-12,80.3699,80.6318,79.4772,79.7974,1605978
2017-07-13,79.5063,79.8071,78.7009,79.2928,2319003
2017-07-14,79.4287,79.9041,79.2249,79.7586,1435779
2017-07-17,79.4869,79.778,79.2152,79.3801,1843814
2017-07-18,79.6518,79.6906,79.0891,79.5257,1339117
2017-07-19,79.516,80.4766,79.4287,80.4572,1666164
2017-07-20,80.5057,80.6512,79.5548,79.9138,1167740
2017-07-21,79.8653,80.8501,79.5451,80.3893,2190624
2017-07-24,80.234,80.5542,80.0691,80.1952,1417890
2017-07-25,80.7386,82.1649,80.7386,81.9417,2335573
2017-07-26,82.1746,82.2066,81.1364,81.214,1754183
2017-07-27,81.0491,82.4075,80.8657,82.0,2188391
2017-07-28,81.738,82.1358,81.0102,81.1655,2169434
2017-07-31,81.3887,81.8835,81.2625,81.2625,3641465
2017-08-01,81.5439,83.2613,81.5051,83.0867,2696710
2017-08-02,82.912,84.7071,82.8441,84.0958,2952526
2017-08-03,84.1928,84.5324,83.0479,83.1061,2430478
2017-08-04,83.1449,83.6301,83.0382,83.0576,2087492
2017-08-07,82.9897,83.0479,82.359,82.5433,2187167
2017-08-08,82.3202,82.7762,82.0194,82.4948,1847981
2017-08-09,82.4754,83.0188,81.8107,81.9805,2297079
2017-08-10,81.9126,82.2328,81.0005,81.1558,1850474
2017-08-11,80.6221,81.311,80.496,80.9617,1858217
2017-08-14,81.117,81.7962,80.9617,81.3887,1758701
2017-08-15,81.2625,81.5829,80.7677,81.1946,1907632
2017-08-16,81.5175,81.6838,80.9833,81.2435,2138380
2017-08-17,80.8913,81.2239,79.1496,79.1496,2359120
2017-08-18,79.0615,80.402,78.993,79.8051,2288852
2017-08-21,79.6584,80.2748,79.3942,80.1378,1686896
2017-08-22,80.3531,80.8228,80.2259,80.4607,1709073
2017-08-23,80.2063,80.8717,80.1183,80.5879,1159758
2017-08-24,80.2944,82.5938,80.2944,82.0654,2463215
2017-08-25,82.4862,83.0146,81.5762,81.6251,1778851
2017-08-28,82.3003,82.7797,81.723,81.8502,2285609
2017-08-29,81.7034,82.1829,81.4588,81.7034,1697342
2017-08-30,81.7034,81.9382,81.1652,81.8013,1853829
2017-08-31,82.1633,82.1731,81.3316,82.0067,2445980
2017-09-01,82.0654,82.7895,81.4001,82.6134,2048819
2017-09-05,82.5058,82.584,80.8815,81.449,2491360
2017-09-06,81.8404,82.1437,81.3903,81.5664,1885884
2017-09-07,81.6838,82.3883,81.3218,82.2318,1853228
2017-09-08,82.222,83.2788,82.1535,82.8776,1936653
2017-09-11,83.0733,83.5821,82.6133,83.357,1508877
2017-09-12,83.3668,83.9931,83.2494,83.8854,1567276
2017-09-13,84.042,84.5948,83.6799,84.4921,1748362
2017-09-14,84.3257,84.8933,84.1007,84.3844,2002274
2017-09-15,84.4432,85.9305,84.4334,85.7837,4363635
2017-09-18,85.725,86.449,85.6173,86.4099,1815947
2017-09-19,86.4686,87.3835,86.1261,87.1731,1928572
2017-09-20,87.1144,87.5841,86.86,87.1536,2279024
2017-09-21,86.9872,87.7798,86.8894,87.2221,2035665
2017-09-22,87.2221,88.1614,87.1046,87.9559,2036645
2017-09-25,88.0342,89.5264,87.9168,89.0518,2039664
2017-09-26,89.1888,89.7074,88.954,89.3845,1986464
2017-09-27,89.4236,90.0988,88.6311,89.8248,2468192
2017-09-28,90.0009,90.2064,89.3258,89.815,2197416
2017-09-29,89.6878,90.0939,89.3845,89.6389,1947346
2017-10-02,89.3943,90.6761,89.2475,90.3923,1929524
2017-10-03,91.7818,92.6526,91.2436,91.6154,2606137
