date,open,high,low,close,volume
2017-06-08,103.4781,104.0275,102.7788,103.0485,638964
2017-06-09,103.1884,105.8705,102.6989,105.4759,751960
2017-06-12,105.2561,107.1341,105.1862,106.0852,1115002
2017-06-13,106.1552,106.1552,105.0064,105.4959,752530
2017-06-14,105.9354,106.4648,105.1463,106.315,694931
2017-06-15,104.8066,105.8055,104.6468,105.5458,711046
2017-06-16,105.366,105.6257,104.5669,105.0164,980834
2017-06-19,105.1463,105.6957,104.2273,105.6058,611602
2017-06-20,105.4859,105.4859,104.3971,104.7767,769648
2017-06-21,104.417,105.406,104.3371,104.9565,826800
2017-06-22,105.4859,110.0009,105.4659,108.9521,1628947
2017-06-23,108.5925,110.4705,107.9432,110.3606,1386908
2017-06-26,110.94,112.6781,110.94,112.2086,1243577
2017-06-27,112.3185,112.8379,111.8091,112.3585,901583
2017-06-28,112.9278,115.7348,112.6581,113.2475,1227037
2017-06-29,113.4772,114.3963,112.6182,113.6571,1086520
2017-06-30,114.8358,115.2953,113.9667,114.3763,995439
2017-07-03,114.3263,115.0456,114.1066,114.7159,561475
2017-07-05,114.5161,114.6959,112.788,113.3274,801623
2017-07-06,112.9179,113.1126,110.4705,110.7602,850480
2017-07-07,111.2197,112.4583,111.1847,112.0488,431258
2017-07-10,111.879,113.0078,111.3595,111.879,685072
2017-07-11,111.7691,112.3884,110.6403,111.6392,704569
2017-07-12,112.1487,112.8679,111.5593,111.7092,686001
2017-07-13,112.1587,113.5771,111.3995,113.1676,1037572
2017-07-14,113.5472,113.5771,111.9389,112.4384,568094
2017-07-17,112.828,114.3863,112.6182,113.4872,545462
2017-07-18,113.5771,113.9967,112.0488,112.818,550868
2017-07-19,113.1776,114.1565,112.6581,113.9467,445181
2017-07-20,114.2664,116.0644,113.677,115.6249,858633
2017-07-21,115.7448,117.5429,115.2503,116.8536,714091
2017-07-24,117.1133,117.1133,115.9446,116.3941,658550
2017-07-25,116.6338,119.5906,116.1444,118.6017,765455
2017-07-26,118.6017,118.7715,117.383,118.282,560458
2017-07-27,118.3819,119.8301,118.0723,119.0312,629401
2017-07-28,119.1511,120.3598,118.4419,119.8104,914275
2017-07-31,119.8104,119.8104,118.0423,119.1611,697166
2017-08-01,119.5707,120.8593,119.291,119.6006,557344
2017-08-02,119.5707,120.8593,119.291,119.6006,557362
2017-08-03,119.8703,121.4786,119.4808,121.139,654650
2017-08-04,121.1689,122.6174,121.1689,121.9681,760298
2017-08-07,122.907,124.815,122.003,123.9559,675357
2017-08-08,125.704,125.9737,123.9559,124.1657,845951
2017-08-09,123.4465,124.5653,123.0069,123.9759,610477
2017-08-10,123.2866,123.6562,121.2888,121.4986,857844
2017-08-11,121.2189,124.1757,120.9632,123.7461,686327
2017-08-14,124.5053,124.9498,123.8161,124.2356,580574
2017-08-15,123.6762,124.7251,121.6085,123.2467,806560
2017-08-16,123.3566,124.5053,122.8577,124.0258,634720
2017-08-17,123.866,124.6951,122.1079,122.1678,1150257
2017-08-18,121.3687,121.3787,118.9413,120.9192,1128517
2017-08-21,120.6795,120.8093,119.0862,119.9303,898836
2017-08-22,120.2974,121.3266,119.0784,120.2275,1098161
2017-08-23,120.2575,120.827,118.5689,119.9477,1583175
2017-08-24,127.9016,130.1499,121.9062,126.8224,3806381
2017-08-25,127.432,129.1806,124.0446,125.8032,1507695
2017-08-28,126.013,126.3228,124.4942,126.133,1043649
2017-08-29,125.7732,126.9923,123.6848,126.5227,909765
2017-08-30,126.4327,127.8217,125.8632,125.9431,735729
2017-08-31,126.4527,126.7324,125.2536,125.7932,602829
2017-09-01,126.093,126.7725,125.1837,126.4327,498702
2017-09-05,126.7825,128.651,126.4477,128.4012,1033401
2017-09-06,129.4204,130.6495,128.5211,129.0107,880964
2017-09-07,129.4404,129.98,128.2713,128.5911,975368
2017-09-08,128.4712,128.4712,127.2421,127.6618,648375
2017-09-11,128.3113,130.0499,128.0115,129.5004,752074
2017-09-12,129.7801,130.1399,127.7317,127.9915,645622
2017-09-13,128.1014,129.0307,126.4627,127.332,765816
2017-09-14,127.2221,127.2221,123.6848,126.3328,822243
2017-09-15,127.0323,128.4811,126.4927,128.0015,1187402
2017-09-18,128.5011,128.5411,127.5619,127.9116,932154
2017-09-19,127.9815,128.6011,126.4027,127.372,759574
2017-09-20,127.6618,128.0415,125.8732,126.5826,803299
2017-09-21,126.5926,127.0023,125.5934,125.7532,497265
2017-09-22,125.8732,126.113,125.3436,125.9731,433763
2017-09-25,125.5034,126.8624,124.814,125.0238,611313
2017-09-26,125.2037,127.2621,124.9239,126.6126,787136
2017-09-27,126.3628,126.8324,124.779,126.2629,837052
2017-09-28,126.113,126.113,124.0945,125.4235,869820
2017-09-29,125.5634,126.5127,125.0838,125.9631,512151
2017-10-02,125.8232,126.9124,124.5841,126.9024,504436
2017-10-03,126.9024,126.9024,125.5434,126.1729,1220414
2017-10-04,126.2229,127.8217,126.053,127.1921,719355
2017-10-05,127.1022,127.6418,125.9081,127.2221,909334
2017-10-06,127.0822,127.4619,126.1429,127.432,652069
2017-10-09,127.4819,127.5219,124.3343,124.9339,641267
2017-10-10,124.9738,126.2229,124.6441,125.9431,643395
2017-10-11,125.8732,126.3628,124.729,126.113,769633
2017-10-12,125.6833,125.6833,124.0296,124.7041,652661
2017-10-13,124.754,127.0822,123.9946,124.8439,711276
2017-10-16,124.794,125.2636,123.5549,124.5742,774968
2017-10-17,124.0745,125.2436,123.8747,124.0645,575178
2017-10-18,124.6341,125.1737,123.8947,124.2644,480682
2017-10-19,124.0645,126.033,123.7248,125.6433,634419
2017-10-20,126.2429,128.5811,126.123,128.2114,980180
2017-10-23,128.7509,133.1376,128.631,129.5803,1051273
