date,open,high,low,close,volume
2017-06-08,78.02,78.18,76.64,78.08,1445261
2017-06-09,77.78,78.99,73.39,75.27,2088034
2017-06-12,74.2,74.76,71.2,74.63,2174446
2017-06-13,75.04,76.39,74.3,74.65,1147283
2017-06-14,74.92,75.31,70.88,72.13,2133342
2017-06-15,70.75,72.3,70.28,71.68,2756014
2017-06-16,72.05,72.33,71.23,71.72,1685068
2017-06-19,72.29,72.83,71.8,72.46,1734441
2017-06-20,72.25,72.51,70.78,70.86,1045476
2017-06-21,71.3,72.18,70.62,71.18,1316503
2017-06-22,71.1,71.12,69.325,70.49,1088968
2017-06-23,70.71,70.79,69.79,69.94,2683712
2017-06-26,69.95,70.42,66.11,66.41,3320719
2017-06-27,66.08,66.34,64.1,64.49,2499732
2017-06-28,65.07,66.19,63.806,65.95,2362496
2017-06-29,65.57,65.75,63.03,64.29,1957457
2017-06-30,64.45,64.8,63.06,63.32,1584919
2017-07-03,63.49,63.95,62.68,63.0,807182
2017-07-05,63.43,65.34,63.36,65.02,2265780
2017-07-06,64.08,65.08,63.59,64.01,1965180
2017-07-07,64.42,66.26,64.28,65.86,1948850
2017-07-10,65.62,65.98,63.97,65.0,2001203
2017-07-11,64.99,66.15,64.8326,65.93,997701
2017-07-12,66.29,67.81,65.73,67.47,2382748
2017-07-13,67.3,67.78,66.32,67.37,2169439
2017-07-14,67.71,68.08,67.23,67.32,789513
2017-07-17,67.3,67.55,66.61,67.0,1196702
2017-07-18,66.89,67.17,66.16,66.98,909357
2017-07-19,67.25,67.7,66.86,67.64,911627
2017-07-20,67.72,68.96,67.04,68.72,1202076
2017-07-21,68.72,69.42,67.52,69.29,1563585
2017-07-24,69.28,69.5,68.8,69.17,1642840
2017-07-25,69.2,69.7299,68.4068,69.295,1076119
2017-07-26,69.53,70.27,68.98,69.54,747134
2017-07-27,69.62,69.66,68.325,69.1,2024112
2017-07-28,68.87,69.35,68.37,69.0,789364
2017-07-31,69.19,69.26,68.03,68.56,1448364
