date,open,high,low,close,volume
2017-06-08,109.8289,111.3766,109.4958,110.5145,1043007
2017-06-09,110.5733,111.21,106.6355,107.5759,1634347
2017-06-12,107.4289,107.7522,104.4804,107.6542,2041523
2017-06-13,108.9179,110.3088,108.3791,108.5652,1543952
2017-06-14,109.7113,110.5145,108.4673,109.3587,1351305
2017-06-15,108.2322,109.8386,107.3212,109.7799,1432260
2017-06-16,109.3097,110.0542,108.4673,109.6133,1480293
2017-06-19,110.1913,111.1317,110.0101,110.9847,1128820
2017-06-20,111.0631,111.355,109.2999,109.388,753330
2017-06-21,109.7113,112.0035,109.7113,111.5823,1605224
2017-06-22,111.4941,113.2671,109.7995,109.8582,1717280
2017-06-23,109.8778,110.0639,108.575,109.5742,1593160
2017-06-26,109.6329,110.4558,108.9374,109.055,939018
2017-06-27,109.055,109.2411,106.5865,106.6649,1275637
2017-06-28,107.5269,108.6828,107.5269,108.4868,1224499
2017-06-29,108.3889,108.5554,105.6657,107.0371,1032262
2017-06-30,107.1938,107.5954,106.2045,106.9979,1137728
2017-07-03,107.4681,108.9472,106.5963,106.6159,723797
2017-07-05,106.7922,108.8297,106.7726,108.3791,1135915
2017-07-06,107.5269,107.5269,105.9204,106.3514,992068
2017-07-07,106.753,107.7522,106.3612,106.9685,930150
2017-07-10,107.0665,107.4387,106.6649,106.9587,730414
2017-07-11,106.9097,107.1546,105.5824,107.0273,954150
2017-07-12,107.4877,108.1244,107.3603,107.7718,1060512
2017-07-13,107.8403,108.0522,106.6257,107.3114,795420
2017-07-14,107.0665,107.6248,106.273,106.6649,881898
2017-07-17,106.6747,109.6819,106.4298,109.2117,1496517
2017-07-18,108.9962,109.9954,108.5358,109.5644,872073
2017-07-19,109.7505,110.299,109.3293,110.2599,1166068
2017-07-20,111.406,113.9822,111.406,112.9047,1890537
2017-07-21,112.65,113.8255,112.4198,112.5618,1467887
2017-07-24,112.3072,113.9038,112.1896,113.3749,1425845
2017-07-25,114.1193,114.5004,112.2876,112.5716,1137635
2017-07-26,112.9243,113.081,111.9153,112.1112,811350
2017-07-27,112.7088,112.7871,110.0248,110.9749,1132286
2017-07-28,110.3088,111.4148,109.8974,111.0729,899887
2017-07-31,111.8566,112.6402,110.5635,110.7594,1714944
2017-08-01,117.4988,118.4882,116.9209,117.2442,1529210
2017-08-02,115.2361,115.2752,112.3169,114.9912,2631808
2017-08-03,115.0989,118.0082,114.6091,117.4695,2286854
2017-08-04,117.4988,118.4882,116.9209,117.2442,1529210
2017-08-07,117.5478,117.5478,115.2263,115.3536,2100574
2017-08-08,115.4222,118.9878,115.3928,117.3519,2409645
2017-08-09,116.3723,118.0474,115.6475,118.0278,1960414
2017-08-10,116.9503,117.4009,114.0018,114.9128,2002550
2017-08-11,114.0312,115.334,113.0909,114.8246,1787406
2017-08-14,116.0001,117.4695,115.5887,117.1658,1784957
2017-08-15,118.2237,120.4473,117.9397,119.2327,1934725
2017-08-16,119.7225,120.0898,118.6351,118.7527,1515159
2017-08-17,118.5274,118.6694,116.6858,116.7838,2024130
2017-08-18,116.774,117.5478,115.9511,116.3821,1747300
2017-08-21,116.7446,117.7731,116.4801,117.538,1528141
2017-08-22,117.5478,118.88,117.4303,118.5372,1458435
2017-08-23,117.9886,118.9878,117.9886,118.1552,1058534
2017-08-24,118.7037,118.8604,117.5184,118.0768,1407127
2017-08-25,118.5078,118.5372,117.4988,117.9788,962020
2017-08-28,118.2139,119.2131,117.9592,118.2923,1537409
2017-08-29,116.9503,118.0082,116.2254,117.8711,1470121
2017-08-30,117.7829,119.2425,117.2148,119.1445,1254178
2017-08-31,119.8498,121.9657,119.507,121.9167,1784088
2017-09-01,122.3575,122.4457,121.2898,121.7012,1202860
2017-09-05,121.3877,121.3877,115.3732,116.6074,2768830
2017-09-06,116.0393,117.1168,114.8638,116.3919,2073821
2017-09-07,116.5683,117.4303,114.9422,115.1381,1535352
2017-09-08,114.6091,116.2744,113.2377,115.0499,2060042
2017-09-11,117.5968,120.8098,117.5576,119.2033,2056902
2017-09-12,119.311,119.7372,118.018,119.1739,1419044
2017-09-13,118.7625,119.84,118.1356,119.6931,1202610
2017-09-14,119.1739,122.2106,118.6547,121.0253,2030773
2017-09-15,119.0662,119.7323,117.3617,118.449,2624259
2017-09-18,118.4784,118.6107,116.3136,116.3723,1514465
2017-09-19,116.4311,116.5879,115.0891,116.0981,1446168
2017-09-20,116.0981,116.147,112.2582,113.179,2812648
2017-09-21,113.7304,114.9612,112.3223,114.4098,2290819
2017-09-22,114.144,114.5575,113.051,113.5236,1490895
2017-09-25,112.8146,113.3365,111.4656,112.1352,2098535
2017-09-26,114.272,117.6593,113.5531,115.3945,2414273
2017-09-27,115.5422,116.714,113.7698,113.9667,1805362
2017-09-28,113.3857,116.7238,113.3267,116.3989,2088491
2017-09-29,116.2807,117.5214,114.9415,116.7238,1743920
2017-10-02,116.5663,117.3934,115.749,117.2949,1617537
2017-10-03,117.3737,117.807,116.0148,117.1768,1151495
2017-10-04,117.2654,120.4262,117.1768,119.8059,1694479
2017-10-05,119.9929,122.3266,119.9929,121.7654,1819149
2017-10-06,121.9229,123.0848,120.8988,121.4995,1076327
2017-10-09,121.47,122.7303,121.0958,122.622,1111537
2017-10-10,122.9667,124.1384,122.6811,122.8879,1445545
2017-10-11,123.5082,123.9317,122.5925,123.0947,1579645
2017-10-12,122.8682,123.7544,122.6023,123.0848,1709588
2017-10-13,123.4295,126.1275,123.3507,125.8124,1817960
2017-10-16,125.6253,125.9601,124.5619,125.4382,1231030
2017-10-17,125.4481,125.7041,125.0542,125.2708,1013646
2017-10-18,125.5268,125.6253,122.9371,122.9667,1855284
2017-10-19,122.5925,122.7402,119.2052,119.2643,2823213
2017-10-20,120.1406,120.8201,118.2993,118.8606,1898703
2017-10-23,119.1461,120.9973,118.8999,119.8748,1503401
2017-10-24,120.1308,120.7659,119.5105,120.5247,1340408
2017-10-25,119.8846,120.9776,118.8606,119.3972,1164345
2017-10-26,120.2096,121.3912,119.9732,121.1746,1036447
2017-10-27,121.0367,123.8923,119.8354,122.3069,2192885
2017-10-30,121.7752,122.0509,119.4711,120.1209,1986620
2017-10-31,120.4951,123.3408,120.313,121.8737,1454981
2017-11-01,122.3463,122.8337,118.4371,119.0083,2092335
2017-11-02,119.1658,122.6811,119.0772,121.2041,2195194
2017-11-03,121.5586,121.9032,120.889,121.2927,840372
2017-11-06,121.7457,125.2905,121.7457,123.4196,2427377
2017-11-07,130.1647,131.7008,124.9163,127.25,3568522
2017-11-08,127.506,128.1855,126.3934,126.9448,1779046
2017-11-09,126.413,127.1023,124.1877,124.7292,1995266
2017-11-10,123.2522,123.4689,118.9098,122.3168,2426833
2017-11-13,121.0072,122.8387,120.9776,122.5728,1342033
2017-11-14,120.8988,121.7703,119.5301,121.6177,1818885
2017-11-15,121.0367,121.9032,119.8059,120.6428,1038183
2017-11-16,121.0958,121.8441,119.7714,120.9087,1368586
2017-11-17,120.3179,122.622,120.3179,122.494,1458395
2017-11-20,122.494,122.9273,120.8989,122.0509,1009447
2017-11-21,122.622,123.6067,121.2927,122.8781,1086532
2017-11-22,123.3704,123.715,122.4153,123.5279,819465
2017-11-24,123.971,123.971,122.75,123.2916,488595
2017-11-27,123.5279,124.2558,122.9568,123.331,859311
2017-11-28,123.4984,125.2019,122.7993,123.8726,1143137
2017-11-29,124.4043,124.5717,122.1395,122.7894,1062538
2017-11-30,121.7555,123.2227,118.2254,121.982,2426878
2017-12-01,121.9525,123.9907,120.6428,123.3113,1847592
2017-12-04,125.0542,125.8567,123.1636,123.1636,1626125
2017-12-05,123.3605,123.9513,120.8398,120.9382,1267995
2017-12-06,121.1155,121.6669,119.7468,121.1352,1370590
2017-12-07,121.6078,122.8879,120.5936,122.1494,1298783
2017-12-08,122.5334,124.6505,122.1888,123.3113,1276061
2017-12-11,123.459,124.1187,122.5531,123.5279,902894
2017-12-12,123.3507,123.6559,121.5684,121.9328,1156087
2017-12-13,121.8441,121.9426,119.7074,119.8255,1103234
2017-12-14,119.8846,120.9087,119.2544,119.796,1418563
2017-12-15,120.761,123.7249,120.4951,123.1735,1989184
2017-12-18,124.1581,127.6833,123.2621,124.6406,2009341
2017-12-19,125.2413,126.6494,124.4535,124.6111,1270796
2017-12-20,125.0167,125.7686,122.0387,122.1673,1341317
2017-12-21,123.038,123.1171,120.0511,120.4557,1346190
2017-12-22,120.149,120.891,119.126,119.773,1077903
2017-12-26,119.5158,119.6444,118.5759,118.9024,638346
2017-12-27,118.754,120.238,118.754,119.9214,576498
2017-12-28,120.06,120.3073,119.031,119.595,598676
2017-12-29,119.8423,120.1787,117.9427,118.012,924679
2018-01-02,118.8925,119.2388,118.3088,119.1003,1317492
2018-01-03,119.9412,123.127,119.7533,122.2663,2295092
2018-01-04,122.6818,122.9687,120.5645,121.1582,1118447
2018-01-05,121.4154,121.5539,119.3427,119.9412,1182387
2018-01-08,119.7038,120.426,118.843,119.8027,1023963
2018-01-09,120.4953,122.8005,120.1094,121.8408,1191948
2018-01-10,121.6924,123.0577,121.6083,121.7518,1015157
2018-01-11,123.6712,124.6506,122.4147,124.0768,1297350
2018-01-12,124.1658,126.293,123.8987,126.1743,1524072
2018-01-16,127.0152,127.876,124.4528,125.4026,1340285
2018-01-17,126.2039,129.2215,125.6301,128.8258,1754524
2018-01-18,128.618,129.1127,127.5594,127.9452,1328376
2018-01-19,128.9247,129.0236,127.4308,127.599,1445835
2018-01-22,127.5099,127.5198,125.1948,127.3318,1738055
2018-01-23,127.4604,127.7671,125.3234,125.8676,2094490
2018-01-24,126.5601,133.3225,126.1347,131.1013,4607329
2018-01-25,131.1112,131.2695,128.6675,130.5275,2058189
2018-01-26,131.1904,133.7528,130.7155,133.5451,1569027
2018-01-29,133.1196,134.2079,132.3281,133.3373,1302052
2018-01-30,132.7931,133.6638,131.408,131.8631,1379088
2018-01-31,131.8532,133.3769,131.7642,132.1303,1455622
2018-02-01,131.9324,132.7635,131.4476,131.8928,1296898
2018-02-02,131.2695,131.8631,127.8364,128.2816,1416339
2018-02-05,127.5198,128.5586,123.2259,124.0372,1783640
2018-02-06,121.4649,126.6689,121.2472,126.3029,1755969
2018-02-07,126.3326,128.707,125.8082,127.1537,1761740
2018-02-08,127.2527,127.312,121.1186,121.1483,1221472
2018-02-09,122.7708,124.2747,118.4869,123.1468,2334475
2018-02-12,125.1651,129.1127,124.6308,127.8958,2081633
2018-02-13,127.2329,128.7664,126.3919,127.6583,1732187
2018-02-14,126.7085,129.9438,126.6492,129.1424,1539099
2018-02-15,129.9833,130.5868,128.5191,130.3098,993050
2018-02-16,129.7063,131.2893,128.8851,130.2801,1195725
2018-02-20,129.6074,131.507,129.2116,130.1614,1155253
2018-02-21,130.6363,131.6752,129.083,129.1622,1459989
2018-02-22,130.013,131.6059,128.2124,128.2223,1652819
2018-02-23,128.9346,129.3897,128.3212,128.8159,1045226
2018-02-26,129.5678,129.8745,128.5586,129.0137,1058398
2018-02-27,129.0137,129.2314,127.4604,127.4901,1264913
2018-02-28,128.0738,128.7466,125.2047,125.2541,1836676
2018-03-01,124.9969,126.0951,121.8408,122.6521,1681413
2018-03-02,121.6924,121.8308,119.6741,121.3264,1898476
2018-03-05,120.3271,121.1681,119.1596,120.0699,1886775
2018-03-06,120.9051,123.4803,120.5073,123.0925,2536785
2018-03-07,122.0783,123.1223,121.5414,122.824,1503912
2018-03-08,123.6393,124.4845,123.351,124.0669,1824256
2018-03-09,124.9717,125.9461,123.7189,125.8964,2276892
2018-03-12,126.5128,126.5128,124.0569,124.5441,1173329
2018-03-13,125.4092,126.2941,124.6735,125.2302,1145694
2018-03-14,125.6577,125.9262,123.9476,124.912,1259752
2018-03-15,125.1606,125.4291,123.9277,123.9376,843484
2018-03-16,123.8183,124.395,123.5499,124.0371,1262084
2018-03-19,124.1265,124.8723,122.7743,123.7089,959256
2018-03-20,124.574,126.2344,123.6791,124.1464,1432360
2018-03-21,124.1166,124.4149,122.3766,122.6649,1069621
2018-03-22,123.4007,124.2061,119.3639,119.4932,1697023
2018-03-23,119.8014,120.2687,116.3115,116.3711,1607395
2018-03-26,117.8625,119.2844,116.6396,119.2347,1035680
2018-03-27,119.3142,120.5471,117.0174,117.6239,966223
2018-03-28,117.7035,118.2503,115.2784,115.864,1199286
2018-03-29,116.56,118.0415,115.8839,117.0671,1071881
2018-04-02,117.3256,117.9819,114.0843,115.5956,1228412
2018-04-03,115.9038,116.3015,113.9649,114.9891,875730
2018-04-04,113.5672,116.4308,113.2689,116.1822,1057751
2018-04-05,116.8484,118.1111,116.1921,117.1467,1918005
2018-04-06,116.4705,117.0572,113.3684,114.1737,1106274
2018-04-09,115.2277,116.6992,114.4024,114.472,1143321
2018-04-10,115.5061,116.1325,110.2463,112.2747,2626497
2018-04-11,112.1255,114.3527,112.0672,112.5133,1560576
