date,open,high,low,close,volume
2017-06-20,477.92,504.89,474.62,495.33,2134851
2017-06-21,496.51,525.0,495.04,522.02,1743114
2017-06-22,525.0,543.5518,521.5,526.53,1843555
2017-06-23,511.79,519.65,500.25,517.33,1885482
2017-06-26,513.0,521.512,506.7,515.91,1172515
2017-06-27,517.55,529.99,500.74,502.12,1447343
2017-06-28,506.51,518.0,500.75,513.19,935072
2017-06-29,510.44,512.64,499.08,509.93,922249
2017-06-30,507.46,508.0,490.89,491.14,1267538
2017-07-03,494.2,498.5461,484.28,487.73,603507
2017-07-05,490.08,499.36,489.56,497.0,823013
2017-07-06,491.76,496.35,482.51,490.19,898606
2017-07-07,497.51,506.39,493.44,496.5,729067
2017-07-10,497.61,500.74,489.33,499.91,888378
2017-07-11,498.52,502.0,489.195,492.0,829218
2017-07-12,496.2,499.32,489.09,496.99,576678
2017-07-13,496.02,509.955,492.18,505.05,790120
2017-07-14,507.4,509.575,498.65,504.9,608260
2017-07-17,508.28,509.88,496.76,498.11,620273
2017-07-18,497.64,499.98,494.37,497.63,450891
2017-07-19,504.99,509.135,501.1,506.79,850765
2017-07-20,510.47,524.89,509.92,521.13,772154
2017-07-21,518.46,522.0,513.4,515.92,617665
2017-07-24,516.94,521.77,510.7,521.22,474355
2017-07-25,523.97,526.12,510.74,513.45,596286
2017-07-26,513.77,518.57,510.0,515.63,369478
2017-07-27,515.77,517.44,503.98,508.41,958059
2017-07-28,507.01,513.42,499.04,508.71,620107
2017-07-31,489.67,499.14,487.1344,491.62,1008967
2017-08-01,486.6,490.17,471.26,472.0,1282126
2017-08-02,470.78,477.51,468.31,476.82,958199
2017-08-03,498.1,498.4975,463.3001,467.11,1208756
2017-08-04,469.32,473.34,466.66,468.76,771168
2017-08-07,468.71,471.76,462.21,470.1,499116
2017-08-08,469.18,475.25,467.35,469.68,484815
2017-08-09,469.96,478.99,465.524,474.09,979959
2017-08-10,470.48,472.46,459.14,460.08,573734
2017-08-11,462.35,467.8599,459.23,466.59,495953
2017-08-14,469.97,476.8,466.99,474.54,537421
2017-08-15,473.87,475.005,470.49,472.57,378514
2017-08-16,475.58,475.58,467.24,468.54,383329
