date,open,high,low,close,volume
2017-06-08,73.1515,75.708,73.0131,75.2484,1079320
2017-06-09,75.9704,77.7507,75.9704,77.4342,766418
2017-06-12,77.5232,78.5519,77.2463,77.8694,937886
2017-06-13,78.2255,78.6804,77.4936,78.0474,711210
2017-06-14,77.2661,78.1266,76.3462,78.0771,594851
2017-06-15,77.4045,78.3343,77.3551,77.7705,369595
2017-06-16,77.8101,78.1068,77.1672,77.6123,860025
2017-06-19,78.087,78.5222,77.632,78.1958,804576
2017-06-20,78.0079,78.0079,77.1474,77.2957,525589
2017-06-21,77.3155,77.5331,76.6726,76.8309,788350
2017-06-22,76.4748,76.6034,75.7528,76.3462,429961
2017-06-23,76.8704,76.8704,75.5847,75.7825,1833478
2017-06-26,76.0199,76.9496,75.5599,76.643,568328
2017-06-27,77.1276,78.453,77.0979,77.7804,660196
2017-06-28,78.5024,80.0553,78.2799,79.8278,1051339
2017-06-29,81.2361,81.9105,79.1633,79.8377,874533
2017-06-30,80.4129,80.5905,79.1633,79.56,710036
2017-07-03,80.2146,81.3254,79.7286,80.9286,343348
2017-07-05,81.0278,81.3055,80.5815,80.8592,720330
2017-07-06,80.8096,81.7617,80.2939,80.3435,758614
2017-07-07,80.7204,80.9981,80.0063,80.7204,482573
2017-07-10,80.641,81.9303,80.1749,81.7221,575573
2017-07-11,81.8212,81.8212,80.8295,81.0973,442619
2017-07-12,80.9286,81.6923,80.4526,81.5634,462823
2017-07-13,81.8212,82.3072,81.484,81.851,360698
2017-07-14,80.8691,82.0692,80.4626,81.6229,430056
2017-07-17,81.6626,82.337,81.2925,82.089,407569
2017-07-18,81.5733,82.089,81.2063,81.9799,796670
2017-07-19,82.3965,82.4461,81.494,82.089,395798
2017-07-20,82.089,82.5353,81.9601,82.0494,468454
2017-07-21,81.8411,82.7138,81.7717,82.0394,446037
2017-07-24,81.9502,83.3387,81.9502,83.1601,538768
2017-07-25,84.2511,84.7073,83.894,84.2908,690808
2017-07-26,84.6577,85.2627,84.3205,84.6676,878030
2017-07-27,83.6659,83.6957,80.5518,82.0494,1745166
2017-07-28,81.9403,82.5651,81.7816,82.208,483728
2017-07-31,82.575,82.6543,82.1386,82.5056,531049
2017-08-01,83.1304,83.3387,82.3072,82.7535,657757
2017-08-02,82.5552,82.9221,81.6164,82.1188,593486
2017-08-03,82.1287,82.1287,81.3849,81.7022,606809
2017-08-04,82.456,83.0064,81.9105,82.218,610633
2017-08-07,82.1981,82.456,81.8014,82.1981,363453
