date,open,high,low,close,volume
2017-06-08,154.9433,157.505,154.4034,157.0928,657972
2017-06-09,157.7406,159.9687,157.7406,159.1344,705845
2017-06-12,159.0264,159.7252,157.7308,158.3197,892101
2017-06-13,158.3982,159.3503,157.6621,158.0351,622191
2017-06-14,157.9173,158.1921,155.7972,156.9063,662746
2017-06-15,155.4733,158.6829,155.1561,158.6142,880371
2017-06-16,159.0951,161.0974,158.1528,161.0581,1112024
2017-06-19,161.7943,162.3341,159.9588,161.0287,694602
2017-06-20,160.0472,160.8913,158.9577,159.154,584102
2017-06-21,159.8411,159.9981,156.9161,157.1615,621675
2017-06-22,157.2989,158.1136,156.3861,157.5639,393644
2017-06-23,158.3884,159.419,157.2106,159.1933,1330999
2017-06-26,159.9196,160.214,158.2903,158.3786,359559
2017-06-27,158.6338,158.8792,156.1505,156.4254,511854
2017-06-28,157.348,157.8388,156.6609,157.5639,707838
2017-06-29,157.986,159.1245,155.1101,155.8855,858559
2017-06-30,156.4254,159.7036,156.4254,158.9675,702609
2017-07-03,159.6742,160.9011,159.1442,159.8312,403420
2017-07-05,159.5564,160.7833,158.583,160.4692,699293
2017-07-06,160.1748,161.5882,159.419,159.7822,705953
2017-07-07,160.1061,162.4617,159.5073,161.3919,553142
2017-07-10,160.3907,162.7366,160.3416,161.6471,559226
2017-07-11,161.5489,161.7845,160.165,161.1269,642847
2017-07-12,161.8237,162.9623,161.5882,162.6678,535801
2017-07-13,162.6678,163.3745,161.9906,162.6188,638890
2017-07-14,162.9917,164.6996,162.7267,164.2481,766017
2017-07-17,164.1107,164.2481,163.0212,163.2273,485035
2017-07-18,162.9329,163.1027,161.9513,162.4323,580937
2017-07-19,162.4421,164.2775,162.2851,164.2481,684352
2017-07-20,164.0911,164.8665,162.5697,163.7475,685335
2017-07-21,162.8936,163.5512,160.9011,162.0299,633564
2017-07-24,162.4126,162.4126,160.5772,160.9305,937131
2017-07-25,162.2163,163.2077,158.781,160.0864,1452535
2017-07-26,155.5616,161.8532,155.0807,159.7724,1939210
2017-07-27,160.4496,163.6297,160.2636,161.9219,1018771
2017-07-28,161.9317,161.9513,160.2533,161.4311,653351
2017-07-31,161.9513,163.5512,161.7158,161.9808,641449
2017-08-01,162.5697,162.9819,161.706,161.8532,536349
2017-08-02,160.1355,163.0899,160.1355,162.1673,786077
