date,open,high,low,close,volume
2017-06-20,233.0184,233.744,231.0899,231.567,280513
2017-06-21,231.5074,231.8503,229.6286,231.2887,391721
2017-06-22,231.1992,232.402,230.8712,231.0302,274637
2017-06-23,231.3881,231.8653,229.7777,230.1356,1180513
2017-06-26,231.1694,232.2728,230.0859,231.2092,370201
2017-06-27,230.7917,231.4676,228.5848,228.7538,229049
2017-06-28,230.0759,231.8056,229.39,230.9209,296449
2017-06-29,230.7618,231.1495,227.044,228.5451,434045
2017-06-30,229.2409,231.239,229.0322,230.1555,315850
2017-07-03,231.6963,232.4219,229.559,230.9607,179862
2017-07-05,231.6176,235.4605,230.642,234.226,396138
2017-07-06,233.5888,234.6541,231.4484,232.1154,511777
2017-07-07,232.4141,235.122,232.4141,233.4096,312660
2017-07-10,232.653,236.1325,232.6132,233.6984,443574
2017-07-11,233.6685,234.8433,232.2647,234.226,358619
2017-07-12,235.7592,237.4336,235.4456,236.6054,394595
2017-07-13,236.4859,236.4859,234.455,235.351,402305
2017-07-14,235.789,237.1131,233.6187,234.7636,461377
2017-07-17,234.5745,235.7094,233.788,235.4904,217974
2017-07-18,234.8433,235.1021,232.4141,232.9119,378059
2017-07-19,233.1608,235.0921,231.757,235.0125,402624
2017-07-20,235.1718,235.4207,233.4096,233.8079,262873
2017-07-21,232.2448,233.8278,230.5225,233.7282,285922
2017-07-24,233.8278,235.0225,232.9467,233.9771,256748
2017-07-25,234.8433,235.4306,231.8964,232.3842,288882
2017-07-26,232.8621,233.788,232.1851,232.7227,255750
2017-07-27,233.2902,233.3897,229.736,230.9307,305334
2017-07-28,230.861,231.5878,227.8146,231.309,474391
2017-07-31,225.8035,232.8621,225.8035,231.4285,735787
2017-08-01,232.6431,235.8587,231.2891,235.4207,522743
2017-08-02,235.2017,236.0678,233.778,234.7138,490799
2017-08-03,234.8532,235.6595,232.5634,235.341,311150
2017-08-04,235.789,236.7746,234.9926,235.6098,260820
2017-08-07,235.3112,235.8587,233.6884,235.4107,226923
2017-08-08,234.8433,236.1474,234.4749,234.9329,263030
2017-08-09,234.9826,234.9826,232.9616,233.4694,205805
2017-08-10,232.6431,232.9716,228.1033,228.1431,602564
2017-08-11,229.2283,229.5966,227.737,228.5214,388218
2017-08-14,230.1641,233.3,228.6708,232.9218,449945
2017-08-15,232.9915,234.3554,230.642,232.2946,354835
2017-08-16,232.5535,233.2304,231.3687,232.0656,376080
2017-08-17,231.6873,231.7471,228.2825,228.2825,289953
2017-08-18,227.8345,228.4317,226.5004,227.1874,404242
2017-08-21,227.2372,228.0535,226.3013,226.7792,322976
2017-08-22,227.4462,231.9263,227.4462,231.4683,326112
2017-08-23,229.6564,230.6918,228.9694,230.0148,315901
2017-08-24,230.5325,231.2244,227.6453,228.0137,282352
2017-08-25,228.5712,230.2637,228.5712,229.736,247206
2017-08-28,230.3831,230.9008,228.8002,228.9794,346221
2017-08-29,227.9838,228.7504,226.9186,228.4517,282490
2017-08-30,228.6011,230.6918,228.1949,230.6022,349131
2017-08-31,231.2294,231.3389,229.0989,229.6365,426416
2017-09-01,230.1741,230.6718,228.412,229.069,293942
2017-09-05,227.7051,228.8898,226.4507,227.9938,320495
2017-09-06,228.9694,229.3876,227.6652,228.5712,298873
2017-09-07,228.611,229.7161,227.058,228.9396,267336
2017-09-08,228.5613,233.5092,228.1232,233.34,348339
2017-09-11,234.5545,236.1823,233.3698,235.7691,297719
2017-09-12,236.1773,237.3521,235.3311,236.3167,152097
2017-09-13,236.0977,236.1895,233.7382,234.5346,271563
2017-09-14,234.0269,235.4505,233.8676,235.3609,241441
2017-09-15,234.7437,237.0434,234.236,236.7746,409087
2017-09-18,237.3919,238.2779,235.9682,236.7547,375801
2017-09-19,236.7946,238.2083,235.9334,237.5412,242407
2017-09-20,240.5777,246.2026,239.1242,245.1274,801725
2017-09-21,245.0577,246.3917,243.1363,245.4659,398665
2017-09-22,244.998,246.4416,244.3509,245.0677,319153
2017-09-25,245.1175,245.5057,241.7823,243.1761,310019
2017-09-26,243.6739,244.5898,241.6728,242.3299,262978
2017-09-27,242.967,243.8332,239.2735,239.9604,370403
2017-09-28,239.3532,240.6573,238.9748,240.6374,391190
2017-09-29,240.2989,242.748,239.7763,242.3199,305758
2017-10-02,242.3697,246.8099,242.3697,246.7004,343898
2017-10-03,247.457,248.8309,246.352,248.7513,341848
