date,open,high,low,close,volume
2017-06-08,62.0468,62.146,60.7171,60.8461,3451778
2017-06-09,60.9453,61.6002,60.2706,61.4812,2498629
2017-06-12,61.1835,62.3841,61.1835,61.3819,3101753
2017-06-13,61.2232,61.7987,61.0594,61.6102,1962910
2017-06-14,61.8681,61.8681,60.35,60.6278,2903907
2017-06-15,60.598,60.8858,59.0699,60.4393,2930130
2017-06-16,59.7149,59.7645,59.1394,59.6157,4407508
2017-06-19,59.7248,60.3698,59.0997,60.1813,2400550
2017-06-20,60.1515,60.1515,57.2144,57.2739,5961078
2017-06-21,57.1648,57.7006,56.2122,56.4603,7242738
2017-06-22,56.5,56.5,55.1902,55.5375,6669932
2017-06-23,55.5771,55.9344,54.7932,55.855,5281551
2017-06-26,55.9741,56.8274,55.9651,56.2618,2851471
2017-06-27,56.1824,56.5496,55.7657,56.0931,2610537
2017-06-28,56.2916,57.6411,55.9096,57.3335,3476441
2017-06-29,57.2739,57.4823,56.3213,56.8572,2935113
2017-06-30,57.6113,57.6113,56.9366,57.2839,3419092
2017-07-03,57.5418,58.038,57.5121,57.78,1544030
2017-07-05,57.7304,57.7998,56.5595,56.9465,3940254
2017-07-06,56.4702,56.5595,55.5226,55.8451,4068917
2017-07-07,55.8351,56.2271,55.6863,55.7061,3581390
2017-07-10,55.6168,55.7061,54.307,54.3765,4575628
2017-07-11,54.3864,54.5948,53.9002,53.9201,3657062
2017-07-12,54.2574,54.4672,53.6621,53.7117,4363932
2017-07-13,53.6819,54.1904,53.4735,53.9994,6000351
2017-07-14,55.1802,55.6168,54.2574,54.3368,5736567
2017-07-17,54.3666,54.8329,54.2475,54.307,3468128
2017-07-18,54.3666,54.5452,53.8407,53.9101,2698261
2017-07-19,53.93,54.307,53.7911,53.9994,4683198
2017-07-20,54.0987,54.6543,53.9994,54.2277,4902432
2017-07-21,54.307,54.5948,53.6769,53.8903,4069052
2017-07-24,53.7811,53.7811,52.5011,52.6599,5574525
2017-07-25,52.9278,54.059,52.6648,53.6124,5339991
2017-07-26,53.672,53.9895,52.9575,53.543,2715419
2017-07-27,53.4835,54.7039,53.3743,54.694,3182551
2017-07-28,54.6543,54.9222,54.2475,54.446,2102600
2017-07-31,54.6742,54.9619,54.307,54.8925,2736560
2017-08-01,55.0314,55.2497,54.6047,55.1703,2475331
2017-08-02,55.1505,55.468,54.7833,55.2199,2471882
2017-08-03,55.2001,55.5573,54.1086,54.446,3108983
2017-08-04,54.6742,55.5077,54.436,55.4283,2400886
2017-08-07,55.1902,55.5871,54.7039,54.9719,2235112
2017-08-08,55.0909,56.1718,55.0909,55.4878,3086164
2017-08-09,55.4481,55.6367,54.5948,55.6069,3352973
2017-08-10,55.2695,55.2993,54.2475,54.3765,3336906
2017-08-11,54.436,55.5077,54.3765,55.1306,2593760
2017-08-14,55.4779,55.8054,54.2177,54.3467,3457242
2017-08-15,54.2475,54.3269,52.4416,52.6202,7469019
2017-08-16,53.4636,54.03,52.9774,53.9498,3615304
2017-08-17,53.5033,53.9399,52.7789,52.9179,5508437
2017-08-18,58.2761,59.0402,57.5418,58.5639,14140321
2017-08-21,58.4944,58.683,57.3037,58.1074,5277373
2017-08-22,58.3456,58.7822,58.2067,58.7326,3342689
2017-08-23,58.5738,58.8616,58.2166,58.4647,3144667
2017-08-24,58.9013,60.3301,57.6907,57.8792,4233463
2017-08-25,57.9388,59.2039,57.9388,58.9211,6287651
2017-08-28,58.9906,59.0848,58.3084,58.5639,2764555
2017-08-29,58.1571,58.6929,57.5022,58.2364,2649369
2017-08-30,58.286,58.4647,57.6014,57.9784,3179226
2017-08-31,58.0479,58.415,57.7006,57.9983,3369989
2017-09-01,58.1967,58.812,58.1967,58.4647,2751772
2017-09-05,58.296,58.9112,58.2464,58.5341,2921455
2017-09-06,58.544,59.3997,58.544,58.8525,2924110
2017-09-07,59.0714,59.3201,57.8277,58.2555,2942049
2017-09-08,58.2157,58.4246,57.5739,58.2257,2085349
2017-09-11,58.3053,59.0813,58.0466,58.9719,2778151
2017-09-12,59.1908,61.0912,58.8923,60.3648,3370159
2017-09-13,60.4544,61.5887,60.4544,61.1011,2943989
2017-09-14,60.9718,61.131,59.9868,60.2952,2800941
2017-09-15,60.2653,60.6235,59.6982,60.4046,3528360
2017-09-18,60.5041,60.6832,59.6485,60.5041,2373688
2017-09-19,60.5738,60.8971,60.3847,60.8424,3052350
2017-09-20,60.9917,61.121,60.3201,60.6136,1746960
2017-09-21,60.7927,60.9519,60.3449,60.6036,2352147
2017-09-22,60.325,60.7628,60.0067,60.5837,1644545
2017-09-25,62.3747,63.2602,62.1856,62.5438,3860682
2017-09-26,62.6931,63.6184,62.3548,63.4691,3651706
2017-09-27,63.3597,64.9716,63.3199,64.5139,4648238
2017-09-28,64.2353,64.5238,63.4094,64.4741,4223975
2017-09-29,64.5935,64.882,64.1756,64.2452,2501677
2017-10-02,64.0164,64.5935,63.4094,64.3646,2507345
2017-10-03,64.2253,64.8223,64.1258,64.5835,1775298
2017-10-04,64.683,65.0511,64.0164,64.9019,3286933
2017-10-05,64.892,65.3198,64.7228,65.2004,2227168
2017-10-06,65.0014,65.8272,64.9915,65.6581,2385409
2017-10-09,65.6282,65.6282,64.7427,64.9616,1268100
2017-10-10,64.9616,65.1805,64.2751,64.5139,1761936
2017-10-11,64.6333,64.9019,64.0661,64.2253,2754383
2017-10-12,64.2253,64.3348,62.8423,62.9617,3254305
2017-10-13,63.0712,63.2851,62.5936,62.8025,2812713
2017-10-16,62.713,63.0712,62.0264,62.5936,2226095
2017-10-17,62.6831,63.2801,62.5438,62.9219,1783755
2017-10-18,62.902,63.2304,62.5438,63.0015,1860777
2017-10-19,63.0314,63.295,62.6135,63.0712,1771514
2017-10-20,63.3796,64.0164,63.0911,63.9069,2334638
2017-10-23,63.8273,64.5835,63.6433,63.9865,1891156
2017-10-24,64.0164,64.4343,63.8174,64.0164,2020707
2017-10-25,63.6781,63.9965,62.9816,63.5189,2364173
2017-10-26,63.698,64.3845,63.3895,63.9467,1624035
2017-10-27,63.3199,63.7676,62.9717,63.499,2537178
2017-10-30,63.2702,63.2702,62.2752,63.101,2159635
2017-10-31,63.3597,64.5437,63.0911,63.1707,1983728
2017-11-01,63.4194,63.7975,62.8523,63.1607,1965682
2017-11-02,63.5288,64.3447,63.2304,64.0363,1948277
2017-11-03,63.8472,64.2253,63.7278,63.8074,1645382
2017-11-06,63.7875,64.4044,62.5316,63.8174,2052865
2017-11-07,63.887,64.494,63.6781,64.4641,2680369
2017-11-08,64.3049,64.5537,63.4592,63.5487,2373361
2017-11-09,63.2403,64.8621,63.2304,64.2452,2391996
2017-11-10,63.9666,65.469,63.9666,65.4292,3430702
2017-11-13,64.8323,65.5586,64.3845,64.5835,2613042
2017-11-14,63.698,64.5835,63.2403,64.1457,3992385
2017-11-15,63.9169,65.1904,63.5885,64.285,3327996
2017-11-16,64.2353,65.6581,64.0562,65.3596,4665751
2017-11-17,71.7672,73.5681,70.6628,71.8866,8241924
2017-11-20,72.0259,72.4886,71.3095,72.3741,4161609
2017-11-21,72.603,72.632,71.5284,72.3045,3069354
2017-11-22,71.8866,72.4438,71.6379,71.9363,2287837
2017-11-24,71.9065,72.3244,70.822,70.9613,1045380
2017-11-27,71.2399,71.5931,70.6628,70.9712,2557214
2017-11-28,71.0011,72.5234,70.4837,72.4438,3015419
2017-11-29,72.5831,75.9461,72.3642,75.568,5689796
2017-11-30,75.7475,76.9739,74.7105,75.8073,5023895
2017-12-01,75.4185,76.1064,74.0624,75.5082,3100709
2017-12-04,76.1962,78.5792,76.0167,77.7815,4498211
2017-12-05,77.9909,78.5493,76.7645,76.7944,2403457
2017-12-06,77.0337,77.7416,76.4056,76.5651,2037567
2017-12-07,76.8642,77.2531,76.2759,76.4753,1748860
2017-12-08,76.7844,76.8841,75.927,76.6648,2093924
2017-12-11,76.4753,76.9839,75.7973,76.5352,2070695
2017-12-12,76.5152,76.9639,75.9868,76.1862,2096538
2017-12-13,76.4554,77.3428,76.2959,76.7446,2014162
2017-12-14,76.924,77.2531,74.9797,75.2888,2057230
2017-12-15,76.1862,76.5451,75.0396,75.7375,4383057
2017-12-18,76.1264,77.4624,76.1264,77.3328,1813175
2017-12-19,77.5322,78.6091,76.9639,78.31,2925573
2017-12-20,78.5792,79.5713,78.1006,79.3768,2991841
2017-12-21,79.4865,80.3839,79.2921,79.9053,2515563
2017-12-22,79.8355,80.2842,79.1874,80.2044,1447612
2017-12-26,80.3141,80.8924,80.1645,80.7229,1309931
2017-12-27,81.002,81.002,80.324,80.4935,958005
2017-12-28,80.683,80.683,79.7856,80.3739,810870
2017-12-29,80.324,81.2413,79.985,80.0149,1758151
2018-01-02,80.6232,81.1217,80.1944,80.2642,2107957
2018-01-03,80.4038,80.4237,79.3868,80.2144,2942035
2018-01-04,80.2243,80.7727,79.3768,80.673,2313233
2018-01-05,81.0818,81.8795,80.7328,81.7299,2224474
2018-01-08,81.7199,81.8795,80.5982,80.9821,3318396
2018-01-09,80.9323,80.9323,79.3369,80.2742,1676877
2018-01-10,80.1446,80.9721,79.6859,80.4437,3348624
2018-01-11,80.7229,82.378,80.1446,82.3182,2252821
2018-01-12,82.6771,83.6842,82.5674,83.3352,2202580
2018-01-16,83.8337,84.0132,80.3639,80.6331,2596518
2018-01-17,81.3411,81.9792,80.9422,81.0619,2950216
2018-01-18,81.2713,82.2185,81.1117,81.4108,2186351
2018-01-19,81.9194,83.6543,81.4956,83.5147,2514547
2018-01-22,83.6243,84.3113,83.2255,84.2326,1852987
2018-01-23,83.9733,84.412,83.6044,84.3323,1537501
2018-01-24,84.3821,85.0701,83.2056,84.3422,1751951
2018-01-25,84.8208,84.8607,83.5645,84.1428,1259044
