date,open,high,low,close,volume
2017-06-20,63.7928,63.9789,63.2148,63.254,584720
2017-06-21,63.2736,63.4695,62.676,62.774,832990
2017-06-22,62.774,62.9307,62.4311,62.5878,672748
2017-06-23,62.5976,62.7642,62.3919,62.7348,1347972
2017-06-26,62.8719,62.9601,62.5487,62.7544,940562
2017-06-27,62.6466,62.9405,62.578,62.676,777540
2017-06-28,62.9405,63.2736,62.8817,62.9209,577393
2017-06-29,62.9701,63.0587,61.7887,62.2514,1340040
2017-06-30,62.6157,62.9947,62.5369,62.7437,1055352
2017-07-03,62.8421,63.1867,62.7437,62.8028,601253
2017-07-05,62.8618,63.1178,62.5862,62.98,812856
2017-07-06,62.8914,62.8914,62.468,62.596,1091625
2017-07-07,62.724,63.2458,62.6698,63.0981,638272
2017-07-10,63.1966,63.5116,63.0883,63.3442,762535
2017-07-11,63.4132,63.6396,63.1227,63.2458,702620
2017-07-12,63.5608,63.7884,63.3344,63.4329,660089
2017-07-13,63.4919,63.6691,62.9701,63.3147,824960
2017-07-14,63.3344,63.5904,63.2064,63.4525,646495
2017-07-17,63.423,63.6888,63.2261,63.6396,663443
2017-07-18,63.6691,63.994,63.3935,63.8267,627516
2017-07-19,63.9251,63.9546,63.5805,63.7282,849274
2017-07-20,63.7282,63.9251,63.6691,63.7774,608402
2017-07-21,63.6199,63.9842,63.6199,63.8956,825886
2017-07-24,63.8956,63.9842,63.4821,63.5116,720466
2017-07-25,63.6888,64.25,63.5215,63.9743,906540
2017-07-26,64.1811,64.2402,63.5313,63.7971,900576
2017-07-27,63.7971,64.4568,63.6494,64.3878,1127907
2017-07-28,64.5257,64.5257,62.7978,63.3049,1601140
2017-07-31,63.4821,63.5018,63.1572,63.2261,991509
2017-08-01,63.7873,63.9743,63.4427,63.7282,590422
2017-08-02,63.5215,63.6593,63.1966,63.5608,799044
2017-08-03,63.4624,63.9448,63.4624,63.7873,705271
2017-08-04,63.7873,63.9743,63.4427,63.7282,590422
2017-08-07,63.7971,63.8956,63.5904,63.6987,671098
2017-08-08,63.6494,63.8168,63.4033,63.4427,739689
2017-08-09,63.5116,63.7184,63.2753,63.3836,517069
2017-08-10,63.2064,63.4624,63.0489,63.0883,883601
2017-08-11,63.2359,63.4919,62.9898,62.9898,634208
2017-08-14,63.1966,63.6593,63.141,63.6002,628509
2017-08-15,63.5904,63.7676,63.5215,63.5608,495129
2017-08-16,63.5904,63.9694,63.5904,63.6494,526243
2017-08-17,63.5707,63.7774,63.0883,63.1375,815634
2017-08-18,63.1375,63.3836,62.8815,62.9012,881280
2017-08-21,62.9111,63.3442,62.6255,63.1572,1027865
2017-08-22,63.3639,63.8562,63.2163,63.8464,824303
2017-08-23,63.551,63.8168,63.3738,63.3738,547989
2017-08-24,63.4624,63.6987,63.1178,63.167,890137
2017-08-25,63.2753,63.5805,63.108,63.3738,1045760
2017-08-28,63.4919,63.6396,63.0587,63.3935,558445
2017-08-29,63.3147,64.0039,63.2556,63.8759,774044
2017-08-30,63.8267,64.0826,63.7134,64.0728,732066
2017-08-31,64.1909,64.378,63.9153,64.2303,980255
2017-09-01,64.2992,64.4666,64.0728,64.1811,792537
2017-09-05,64.1811,64.4075,63.5116,63.6298,980197
2017-09-06,63.7282,63.8956,63.4722,63.4722,838032
2017-09-07,63.5018,63.9153,63.5018,63.6101,785007
2017-09-08,63.5018,64.5651,63.4329,64.4469,909469
2017-09-11,64.634,65.2542,64.4568,65.2542,1196732
