date,open,high,low,close,volume
2017-06-08,135.95,136.32,133.01,134.27,1311463
2017-06-09,134.26,135.64,133.29,134.3,924809
2017-06-12,132.28,132.9799,129.4,132.42,1170933
2017-06-13,133.46,133.48,131.58,132.05,1119802
2017-06-14,133.06,134.89,132.52,132.91,966516
2017-06-15,132.41,132.97,131.72,132.22,692317
2017-06-16,132.06,133.87,132.06,133.05,964691
2017-06-19,133.0,133.66,132.62,132.96,677559
2017-06-20,132.96,133.8,131.26,131.56,894073
2017-06-21,131.56,132.13,130.74,131.08,742705
2017-06-22,131.32,132.32,130.94,131.24,580284
2017-06-23,131.33,132.87,131.32,131.91,2864633
2017-06-26,132.68,133.65,132.205,132.8,723420
2017-06-27,135.05,138.55,134.98,135.74,1640634
2017-06-28,135.71,135.8,133.98,134.35,979796
2017-06-29,133.73,134.95,132.96,134.52,860045
2017-06-30,134.61,135.8489,134.01,134.9,1076501
2017-07-03,135.05,135.68,133.7,134.28,648222
2017-07-05,134.05,135.35,133.67,134.41,580301
2017-07-06,134.05,135.07,133.7,134.36,925417
2017-07-07,134.42,137.02,134.42,136.68,1045185
2017-07-10,137.17,137.42,134.23,134.49,924038
2017-07-11,134.26,135.49,133.27,133.6,794681
2017-07-12,134.65,137.1,134.65,136.25,692464
2017-07-13,136.41,136.76,135.42,135.91,297567
2017-07-14,137.06,137.61,135.9,136.49,704846
2017-07-17,136.03,136.52,135.01,136.0,1130936
2017-07-18,136.0,137.97,135.79,137.49,1028462
2017-07-19,138.96,138.96,136.39,138.46,1064661
2017-07-20,138.16,138.99,135.55,135.81,1095917
2017-07-21,136.0,137.23,135.37,136.6,993179
2017-07-24,136.35,136.7,135.02,136.18,666596
2017-07-25,136.37,137.22,134.73,135.45,830475
2017-07-26,135.9,136.499,135.14,135.57,642130
2017-07-27,135.81,136.83,135.1,136.0,1024588
2017-07-28,135.62,138.11,135.62,137.64,1020957
2017-07-31,138.33,138.86,136.39,137.55,862690
2017-08-01,135.1,138.84,134.5,137.43,1089449
2017-08-02,137.81,138.65,136.98,138.0,832390
2017-08-03,138.35,138.725,137.35,138.36,1347503
2017-08-04,138.8,141.59,138.18,139.96,1037933
2017-08-07,139.37,140.29,137.9101,139.52,535546
2017-08-08,138.83,139.54,137.76,138.22,493938
2017-08-09,138.37,139.29,137.68,139.03,576606
2017-08-10,138.4,139.68,137.85,139.02,453973
2017-08-11,139.08,139.33,137.17,138.27,733781
2017-08-14,139.67,141.2,139.09,140.49,673694
2017-08-15,139.92,142.07,138.72,141.3,586189
2017-08-16,141.59,144.1,141.57,143.72,1123885
2017-08-17,143.51,144.81,142.19,142.21,788421
2017-08-18,142.02,143.43,142.0,142.9,573649
2017-08-21,142.81,144.61,142.3,144.06,492962
2017-08-22,144.38,145.75,144.07,145.59,759868
2017-08-23,144.95,146.4799,144.95,146.23,558617
2017-08-24,146.83,148.34,146.34,148.08,992257
2017-08-25,151.82,152.54,150.82,152.1,4331677
2017-08-28,151.87,153.8,151.44,152.36,2211973
2017-08-29,152.13,153.13,151.68,152.0,1792102
2017-08-30,151.11,153.16,150.75,153.04,2149061
2017-08-31,153.07,154.71,152.13,153.55,23507738
2017-09-01,154.42,154.5,150.82,150.9,2486954
2017-09-05,151.97,152.3,150.27,151.16,1809800
2017-09-06,151.84,151.97,150.37,150.5,1351018
2017-09-07,150.41,151.22,149.86,150.65,1168966
2017-09-08,150.04,150.4,149.1,149.45,857506
2017-09-11,149.85,150.8,149.28,150.13,1253768
2017-09-12,149.64,150.16,148.33,149.74,1373282
2017-09-13,149.24,149.89,148.02,149.15,1279297
2017-09-14,148.02,149.735,147.68,148.77,1288352
2017-09-15,148.93,150.53,148.3,149.99,1898902
2017-09-18,150.33,151.82,149.97,150.53,974575
2017-09-19,150.59,150.99,144.631,145.42,2382507
2017-09-20,146.2,147.39,145.38,146.08,2256195
2017-09-21,145.27,146.3,144.69,145.01,948951
2017-09-22,144.75,144.97,142.54,142.62,1529418
2017-09-25,142.11,143.255,140.62,141.46,1740075
2017-09-26,141.55,142.98,141.09,142.41,1467371
2017-09-27,143.88,144.5699,142.17,142.98,989055
2017-09-28,142.16,144.0,142.09,143.76,1008043
2017-09-29,143.59,145.0,143.16,144.05,992621
2017-10-02,143.82,144.845,142.7,142.87,1052678
2017-10-03,142.31,144.54,142.31,143.77,894709
2017-10-04,144.0,147.795,143.61,147.21,1022049
2017-10-05,147.51,148.33,146.75,146.87,1245416
2017-10-06,146.4,147.58,145.16,147.32,575502
2017-10-09,147.36,148.59,146.87,147.73,635460
2017-10-10,148.48,149.48,148.07,148.42,760597
2017-10-11,148.92,151.57,148.46,151.35,1047898
2017-10-12,151.41,152.455,151.2,152.22,1147346
2017-10-13,152.5,152.55,150.02,150.94,838743
2017-10-16,150.29,150.785,148.325,149.11,1040851
2017-10-17,149.22,150.4,147.85,148.46,1051449
2017-10-18,148.17,148.62,146.71,147.4,1360162
2017-10-19,147.24,148.43,146.72,148.0,1625248
2017-10-20,148.37,149.05,147.5,147.89,834481
2017-10-23,148.41,148.62,147.14,147.99,594955
2017-10-24,147.46,148.65,147.46,148.23,737532
2017-10-25,148.16,148.93,146.18,146.48,772403
2017-10-26,147.24,147.24,145.81,146.55,1522139
2017-10-27,146.26,147.59,145.99,146.72,1079507
2017-10-30,146.98,153.65,146.39,150.17,2414784
2017-10-31,150.19,159.14,148.36,157.18,2151745
2017-11-01,157.25,157.64,151.43,152.58,1937438
2017-11-02,153.31,156.55,152.06,156.1,1195050
2017-11-03,155.09,156.18,153.8,154.53,715420
2017-11-06,158.52,167.44,158.21,164.42,2398861
2017-11-07,163.99,165.88,162.56,165.65,1369538
2017-11-08,165.0,170.53,165.0,169.5,878075
2017-11-09,169.11,170.815,168.12,169.51,886145
2017-11-10,167.81,169.74,166.6779,168.95,698777
2017-11-13,169.72,170.2,164.94,165.2,1945473
2017-11-14,164.97,166.69,163.16,165.53,1487951
2017-11-15,164.61,165.86,162.07,165.3,1361077
2017-11-16,166.13,168.13,164.48,164.67,903073
2017-11-17,164.25,165.92,163.24,165.21,1063889
2017-11-20,164.8,166.295,164.63,165.68,692910
2017-11-21,166.21,168.09,165.49,167.83,1048357
2017-11-22,167.75,168.37,166.0,166.98,481543
2017-11-24,167.8,171.29,167.54,169.72,568187
2017-11-27,171.0,172.93,170.67,172.35,1134551
2017-11-28,172.6,173.97,171.9,172.09,1005082
2017-11-29,171.66,172.055,167.74,169.76,1285172
2017-11-30,170.52,171.0,167.59,169.75,1372090
2017-12-01,169.8,170.64,167.73,169.16,807419
2017-12-04,169.15,169.205,162.12,162.2,914920
2017-12-05,161.73,165.87,161.23,163.87,1246678
2017-12-06,163.91,166.73,162.835,166.4,623815
2017-12-07,166.09,166.97,165.14,166.68,1232881
2017-12-08,167.0,167.81,164.82,165.19,564909
2017-12-11,165.5,166.8,164.29,166.61,1090649
2017-12-12,167.54,167.86,164.93,165.67,878611
2017-12-13,166.4,167.59,165.05,165.43,954375
2017-12-14,165.12,167.64,164.5395,165.8,1046074
2017-12-15,166.74,166.74,162.23,163.68,1995854
2017-12-18,163.81,164.78,160.39,161.79,1217455
2017-12-19,161.78,162.7,157.88,157.99,1747108
2017-12-20,158.53,159.2687,156.14,157.98,1205752
2017-12-21,158.73,160.14,157.66,157.84,764606
2017-12-22,157.25,160.43,156.02,160.22,603270
2017-12-26,159.52,161.69,159.37,159.82,364016
2017-12-27,160.71,161.82,159.82,161.26,568991
2017-12-28,161.08,163.35,160.4,163.0,508709
2017-12-29,163.56,164.74,162.52,163.36,592483
2018-01-02,163.08,164.58,160.41,160.63,931554
2018-01-03,159.77,163.0,159.35,162.64,773311
2018-01-04,162.83,163.81,161.07,161.75,1055801
2018-01-05,162.53,163.64,162.075,162.87,826889
2018-01-08,163.24,163.94,162.57,162.89,827888
2018-01-09,162.92,164.24,162.66,163.55,684219
2018-01-10,163.03,163.62,157.75,160.89,915018
2018-01-11,161.39,161.39,156.27,157.5,959778
2018-01-12,157.01,157.74,154.95,155.94,877607
2018-01-16,157.48,162.79,157.0,159.85,1412813
2018-01-17,159.72,162.98,159.7,161.47,751060
2018-01-18,160.89,162.51,159.87,161.65,1441198
2018-01-19,161.8,165.98,161.15,165.79,1618038
2018-01-22,165.55,167.89,164.815,167.65,1027730
2018-01-23,168.16,169.15,166.58,168.25,834732
2018-01-24,168.25,169.68,167.86,168.95,627455
2018-01-25,168.89,170.71,168.7,170.29,1038098
2018-01-26,171.15,172.63,169.78,172.28,802505
2018-01-29,171.83,173.0,169.29,169.52,789670
2018-01-30,169.03,170.17,166.97,169.71,1159840
2018-01-31,170.27,175.9999,169.75,174.5,1399234
2018-02-01,174.41,177.67,170.01,174.73,1340868
2018-02-02,173.27,174.91,171.43,173.21,777709
2018-02-05,173.25,174.21,168.17,168.27,1335969
2018-02-06,166.84,168.54,162.631,166.0,2522737
2018-02-07,165.15,168.6,165.15,166.51,1075498
2018-02-08,166.59,168.49,159.75,159.85,1271652
2018-02-09,160.6,162.7903,154.36,159.73,1305784
2018-02-12,160.25,161.72,157.26,159.63,1271735
2018-02-13,159.1,162.11,158.73,161.42,1249074
2018-02-14,159.58,163.38,157.44,162.56,1392428
2018-02-15,162.89,167.64,160.08,167.1,1146682
2018-02-16,166.75,170.17,165.09,169.12,1438222
2018-02-20,168.07,170.73,168.07,169.72,818994
