date,open,high,low,close,volume
2017-06-08,169.11,179.24,169.06,175.56,502178
2017-06-09,177.21,183.54,177.21,180.66,657885
2017-06-12,180.89,184.62,180.3,182.17,670518
2017-06-13,183.31,185.25,182.22,183.31,502649
2017-06-14,181.68,183.07,177.1,182.56,484754
2017-06-15,180.75,183.51,178.52,179.78,438559
2017-06-16,179.69,180.91,177.66,178.88,633046
2017-06-19,180.47,182.91,179.8558,180.75,379423
2017-06-20,179.78,180.43,177.08,177.12,231909
2017-06-21,177.82,180.0114,173.51,173.85,458879
2017-06-22,173.75,174.637,170.82,174.25,420693
2017-06-23,175.58,175.99,170.62,170.84,574324
2017-06-26,172.57,175.37,170.52,173.16,380885
2017-06-27,174.27,177.7499,173.06,174.45,442259
2017-06-28,176.27,177.45,174.74,176.09,409989
2017-06-29,179.58,181.49,175.89,177.23,475164
2017-06-30,178.05,178.05,174.47,175.79,551072
2017-07-03,177.17,181.685,176.01,179.44,305933
2017-07-05,181.14,181.58,177.32,180.6,490874
2017-07-06,180.24,182.51,176.76,177.11,537514
2017-07-07,178.5,181.98,177.15,181.72,423907
2017-07-10,180.52,182.35,178.46,180.92,408431
2017-07-11,181.55,183.785,179.55,182.42,498219
2017-07-12,182.12,183.625,181.02,182.17,490464
2017-07-13,182.76,183.559,181.65,183.07,470484
2017-07-14,180.8,182.91,178.08,181.7,396967
2017-07-17,180.55,181.79,177.66,180.57,349084
2017-07-18,179.15,181.75,178.27,179.96,387162
2017-07-19,180.23,182.19,178.9,180.07,241515
2017-07-20,180.8,181.94,177.81,179.96,250209
2017-07-21,179.43,180.48,176.73,177.42,271773
2017-07-24,177.19,179.085,176.34,178.27,748452
2017-07-25,181.65,186.19,181.65,182.99,719793
2017-07-26,182.69,184.25,177.98,178.65,435387
2017-07-27,180.06,181.84,177.4,179.14,548308
2017-07-28,178.0,178.0,172.0,176.99,755489
2017-07-31,178.47,179.17,177.4175,178.44,594273
2017-08-01,180.2,184.715,179.28,183.39,675671
2017-08-02,182.98,184.17,181.75,183.33,347355
2017-08-03,183.5,184.74,181.15,181.44,426583
2017-08-04,184.01,186.8,182.2,184.89,439976
2017-08-07,185.83,187.71,182.68,182.85,318640
2017-08-08,183.14,187.26,182.76,184.01,505109
2017-08-09,182.13,183.94,178.79,179.55,291163
2017-08-10,177.78,178.31,172.55,172.82,360224
2017-08-11,172.26,174.62,170.27,172.03,513125
2017-08-14,175.16,176.77,173.19,174.33,397428
2017-08-15,175.89,177.04,174.565,174.66,329984
2017-08-16,175.24,176.485,173.275,174.13,378448
2017-08-17,173.43,174.64,165.41,166.3,447759
2017-08-18,165.65,168.26,163.69,166.59,429131
2017-08-21,166.67,167.625,163.91,164.84,345300
2017-08-22,165.96,168.52,165.42,168.34,266183
2017-08-23,166.31,170.9027,165.02,168.43,362053
2017-08-24,169.57,169.96,167.96,169.34,239294
2017-08-25,169.68,171.49,168.53,169.64,303307
2017-08-28,169.79,170.88,167.54,167.95,190918
2017-08-29,165.78,166.63,163.75,165.91,356509
2017-08-30,166.57,170.65,165.8,169.63,388511
2017-08-31,169.83,171.67,169.0,169.34,381990
2017-09-01,169.71,173.14,169.31,172.53,267963
2017-09-05,170.81,171.66,165.31,167.18,386550
2017-09-06,168.03,169.34,166.98,167.84,269870
2017-09-07,167.64,167.75,159.44,160.72,625038
2017-09-08,160.52,164.44,159.68,162.46,311134
2017-09-11,165.23,169.99,162.94,168.57,363006
2017-09-12,169.52,172.605,168.08,171.24,387477
2017-09-13,171.54,172.03,170.1,171.42,318749
2017-09-14,171.76,172.23,168.9,168.98,251489
2017-09-15,168.76,171.01,167.9877,170.59,978875
2017-09-18,170.83,173.26,169.98,172.65,587689
2017-09-19,173.01,175.27,172.305,172.88,458805
2017-09-20,172.42,177.6,170.14,177.22,509174
2017-09-21,177.25,179.5,176.16,179.06,298953
2017-09-22,177.72,180.37,177.72,179.82,316106
2017-09-25,178.94,182.18,178.61,179.93,302575
2017-09-26,179.51,181.5799,179.34,180.68,357581
2017-09-27,183.62,187.005,182.705,186.42,484127
2017-09-28,187.0,187.55,183.67,186.59,309031
2017-09-29,186.58,191.38,186.58,187.09,409821
2017-10-02,186.54,188.47,184.75,187.96,527642
2017-10-03,188.91,189.62,185.26,186.13,279922
2017-10-04,184.89,186.15,182.41,182.69,301082
2017-10-05,183.6,187.67,183.6,187.26,354818
2017-10-06,188.44,191.47,187.24,189.1,427711
2017-10-09,189.23,189.23,186.9,188.0,222557
2017-10-10,189.16,189.71,187.42,188.93,376572
2017-10-11,188.92,189.22,186.765,188.07,513003
2017-10-12,188.38,189.43,186.97,187.43,347055
2017-10-13,186.16,186.16,183.51,184.16,376449
2017-10-16,184.63,186.5,184.43,185.2,194025
2017-10-17,185.74,185.95,181.51,181.64,257595
2017-10-18,182.3,183.5,181.38,182.7,264986
2017-10-19,181.0,186.61,180.325,185.18,252185
2017-10-20,189.39,190.99,188.77,189.47,416883
2017-10-23,189.59,189.63,186.74,186.8,209513
2017-10-24,188.53,191.49,187.95,188.99,273478
2017-10-25,189.49,190.095,185.4101,188.58,399632
2017-10-26,188.73,192.94,186.155,192.37,390871
2017-10-27,209.98,223.82,206.98,216.69,1875475
2017-10-30,217.46,222.52,216.76,220.94,962018
2017-10-31,221.86,221.86,218.01,219.28,556098
2017-11-01,220.45,221.82,217.85,218.73,514783
2017-11-02,218.42,220.605,215.78,218.92,432955
2017-11-03,217.34,220.4,215.57,219.52,363871
2017-11-06,219.49,220.1,217.1,217.69,305923
2017-11-07,218.03,218.12,212.45,215.06,554281
2017-11-08,214.54,215.92,208.31,209.56,587036
2017-11-09,208.04,212.12,204.32,208.23,393052
2017-11-10,208.81,210.23,207.805,208.88,278785
2017-11-13,206.72,212.72,204.79,212.26,524598
2017-11-14,210.4,214.07,210.4,213.28,354701
2017-11-15,210.0,215.03,208.23,213.74,342041
2017-11-16,215.0,216.84,212.03,214.23,353371
2017-11-17,213.13,216.53,211.91,215.22,263274
2017-11-20,215.07,216.84,214.08,215.15,305878
2017-11-21,216.02,216.44,212.705,214.92,326735
2017-11-22,215.61,215.75,212.77,214.08,179855
2017-11-24,215.11,216.3,213.0,213.1,113562
2017-11-27,213.0,215.61,212.3,213.41,219397
2017-11-28,214.6,221.7,214.305,221.33,262620
2017-11-29,222.8,229.67,222.165,226.98,642159
2017-11-30,229.22,233.46,226.01,227.64,567318
2017-12-01,227.04,230.8,219.56,228.17,401101
2017-12-04,232.0,236.18,230.82,231.27,446315
2017-12-05,233.41,235.27,226.11,227.53,385380
2017-12-06,226.06,231.03,225.94,228.66,315245
2017-12-07,228.28,232.07,226.211,229.79,425617
2017-12-08,232.19,233.65,228.99,232.27,316123
2017-12-11,232.26,233.92,230.41,232.39,562278
2017-12-12,235.06,235.92,230.775,234.9,420238
2017-12-13,234.62,236.86,230.87,231.29,664309
2017-12-14,233.29,234.785,227.46,229.67,731250
2017-12-15,228.0,239.4,228.0,237.55,1820950
2017-12-18,240.7,242.92,237.59,240.65,712169
2017-12-19,241.17,242.5554,237.905,238.23,554543
2017-12-20,240.49,242.41,232.41,236.3,459958
2017-12-21,238.45,242.48,237.12,241.67,261930
2017-12-22,241.92,241.92,235.41,241.7,284321
2017-12-26,241.0,241.0,235.06,236.17,304846
2017-12-27,235.84,236.2,234.11,234.89,368552
2017-12-28,235.39,237.9,234.3,237.71,259490
2017-12-29,238.79,238.79,233.0,233.77,243030
2018-01-02,235.89,237.55,233.35,237.38,395968
2018-01-03,236.96,238.3404,234.355,237.67,341874
2018-01-04,239.57,241.78,238.18,239.94,721871
2018-01-05,241.86,244.435,240.05,243.85,402884
2018-01-08,243.89,244.045,241.16,243.58,409217
2018-01-09,245.76,249.45,244.81,246.89,299245
2018-01-10,247.22,254.1,247.22,249.65,299849
2018-01-11,251.14,253.1986,247.89,250.65,268536
2018-01-12,252.14,253.41,250.18,253.18,346867
2018-01-16,255.01,257.24,250.12,251.7,418769
2018-01-17,253.71,254.91,249.73,254.62,269975
2018-01-18,254.8,257.11,253.26,253.99,327554
2018-01-19,253.61,256.655,253.51,256.32,379867
2018-01-22,256.78,259.455,255.44,259.35,310450
2018-01-23,258.89,262.87,257.05,261.34,440455
2018-01-24,262.64,263.09,258.72,260.72,399869
2018-01-25,262.79,262.79,258.22,261.13,480311
2018-01-26,250.0,258.99,250.0,257.83,755015
2018-01-29,257.74,260.93,249.82,250.26,415526
2018-01-30,247.59,252.57,246.0,247.02,456168
2018-01-31,248.11,254.84,245.31,246.55,374412
2018-02-01,245.28,253.49,243.69,253.38,352603
2018-02-02,254.0,256.93,247.87,249.1,398728
2018-02-05,244.68,248.7427,232.1,235.78,466972
2018-02-06,233.96,245.89,226.61,243.43,815825
2018-02-07,242.95,247.1,240.13,240.52,329011
2018-02-08,241.21,242.5,226.95,227.08,440322
2018-02-09,231.85,240.23,226.75,238.65,944019
2018-02-12,239.9,244.3,236.46,239.86,388905
2018-02-13,237.37,242.0,237.055,239.45,370669
2018-02-14,238.29,249.5,232.41,247.49,482568
2018-02-15,250.27,254.38,244.955,248.87,395824
2018-02-16,247.08,252.36,240.0,248.81,382458
2018-02-20,248.08,252.46,246.145,249.41,343896
2018-02-21,250.01,254.84,250.01,252.57,372192
2018-02-22,254.57,254.57,243.0,243.82,361794
2018-02-23,244.68,248.25,243.67,248.08,237020
2018-02-26,249.26,251.75,246.59,251.71,277736
2018-02-27,250.4,254.325,247.48,247.67,319983
2018-02-28,248.86,257.3,248.86,248.98,488620
2018-03-01,249.71,254.87,247.83,250.18,381987
2018-03-02,247.49,256.94,244.85,255.86,502659
2018-03-05,253.45,261.855,248.97,260.12,422550
2018-03-06,261.65,266.23,257.15,266.11,516923
2018-03-07,261.69,267.0744,260.08,266.43,423336
2018-03-08,267.77,270.0,261.26,265.16,299091
2018-03-09,268.63,271.79,266.34,270.72,408372
2018-03-12,269.0,271.48,265.33,267.48,901882
2018-03-13,268.0,268.1958,260.49,262.19,723921
2018-03-14,263.04,263.35,258.13,259.53,591657
2018-03-15,261.19,262.725,258.13,259.77,630353
2018-03-16,261.47,266.8,259.8,263.8,11017295
2018-03-19,265.51,268.97,258.26,260.59,648812
2018-03-20,263.33,265.16,261.0,264.59,577710
2018-03-21,265.53,268.73,261.63,265.04,514033
2018-03-22,260.54,262.23,250.29,250.67,752231
2018-03-23,252.39,254.99,238.5001,239.55,813269
2018-03-26,244.82,249.93,243.25,249.47,602129
2018-03-27,249.92,250.93,237.44,239.21,622057
2018-03-28,238.87,239.93,232.27,235.81,1027003
2018-03-29,238.1,243.19,235.83,240.01,717680
2018-04-02,240.0,240.944,227.781,233.42,793657
2018-04-03,235.72,238.65,231.6,236.49,550000
2018-04-04,231.14,241.72,231.01,240.81,587711
2018-04-05,242.41,244.98,240.29,242.28,422478
2018-04-06,239.29,241.6,232.6438,236.06,707447
2018-04-09,238.43,243.32,236.86,237.11,435964
2018-04-10,241.8,246.62,239.66,245.66,659974
2018-04-11,243.12,245.76,241.785,243.59,357135
2018-04-12,245.91,252.39,244.0,250.56,362958
2018-04-13,253.9,253.9,245.39,247.03,620647
2018-04-16,249.51,252.01,245.46,246.57,288234
2018-04-17,249.2,249.2,243.68,244.61,400786
2018-04-18,245.53,247.0,241.83,242.72,576938
2018-04-19,241.3,251.16,241.3,249.14,587141
2018-04-20,250.54,253.74,248.76,250.83,476318
2018-04-23,252.15,255.83,250.24,254.23,304320
2018-04-24,257.24,262.68,253.21,257.61,697318
2018-04-25,258.27,259.8399,254.8,257.58,484330
2018-04-26,257.79,260.19,256.0,257.37,535576
2018-04-27,300.0,306.94,297.03,305.61,2129453
2018-04-30,305.92,306.81,299.61,299.61,939528
2018-05-01,295.0,308.37,294.72,305.46,832252
2018-05-02,304.2158,309.4,299.78,306.01,846622
2018-05-03,303.0,306.09,294.23,303.48,639333
2018-05-04,302.13,309.23,297.96,305.82,508955
2018-05-07,306.0,309.48,303.1,307.32,363839
2018-05-08,306.51,313.93,306.51,312.73,538230
2018-05-09,313.44,318.71,310.44,317.12,387706
2018-05-10,317.84,323.7,315.84,320.28,401818
2018-05-11,321.5,324.7679,319.58,321.02,343294
2018-05-14,321.2,322.56,318.05,319.2,481843
2018-05-15,317.96,323.0,317.92,321.29,445518
2018-05-16,319.92,325.38,318.14,322.09,361382
2018-05-17,321.97,325.345,319.63,323.36,675525
2018-05-18,324.0,325.93,320.0,321.78,386033
2018-05-21,324.63,326.2347,321.2595,322.2,469332
2018-05-22,323.67,327.91,322.86,324.31,284361
2018-05-23,320.81,324.47,319.37,323.7,443307
2018-05-24,322.7,323.76,317.6,322.29,356093
2018-05-25,320.23,322.205,318.39,319.46,337150
2018-05-29,315.77,316.58,305.16,306.99,877410
2018-05-30,312.09,317.77,310.66,314.98,695260
2018-05-31,314.92,316.67,310.2,312.13,517910
2018-06-01,316.93,319.695,315.96,317.73,677103
2018-06-04,318.52,319.99,316.2501,319.52,443351
2018-06-05,320.21,321.83,317.62,318.7,374772
2018-06-06,320.21,325.72,318.95,323.59,453472
2018-06-07,325.0,326.57,319.41,322.4,456057
