date,open,high,low,close,volume
2017-06-20,120.6477,120.7644,119.0228,119.0617,783903
2017-06-21,119.3244,120.0347,118.0012,118.2834,844229
2017-06-22,118.439,118.8963,117.6315,117.9526,855963
2017-06-23,117.9428,118.4974,117.1742,117.4563,1146361
2017-06-26,117.6412,119.0131,117.3493,118.7601,658326
2017-06-27,118.3223,118.7601,116.9115,116.9212,880979
2017-06-28,117.3396,118.0304,116.4347,116.5709,594606
2017-06-29,116.8531,116.8823,114.5958,114.8293,1354403
2017-06-30,115.2088,115.7731,114.2942,115.131,855976
2017-07-03,115.5883,115.8996,114.7126,114.9558,504828
2017-07-05,114.7029,114.8877,113.1072,113.1558,977062
2017-07-06,113.0683,113.4915,111.9562,111.998,833546
2017-07-07,112.4261,112.5818,111.7353,112.2704,795525
2017-07-10,112.3288,112.3288,111.2975,111.3169,739194
2017-07-11,111.7061,112.4504,111.2196,111.3559,1177603
2017-07-12,112.1731,112.864,111.8326,112.0467,946876
2017-07-13,112.1342,113.2433,111.9883,113.1948,1246516
2017-07-14,113.2726,113.9439,113.078,113.5937,804099
2017-07-17,114.051,115.3937,113.8564,115.3645,1085201
2017-07-18,115.7731,115.7731,113.1753,113.331,1017228
2017-07-19,112.8737,113.7883,111.891,113.6034,1085282
2017-07-20,113.8272,116.172,113.8077,115.0531,1622792
2017-07-21,114.8877,115.2769,114.1483,115.2769,1281347
2017-07-24,115.238,116.8726,114.8099,116.3764,1024433
2017-07-25,116.5418,117.8467,116.1623,117.7482,1034494
2017-07-26,118.0109,118.1666,117.2228,117.4466,744882
2017-07-27,117.612,118.838,116.9699,118.8282,645742
2017-07-28,119.3536,119.4801,118.6434,119.1104,758937
2017-07-31,119.1396,119.1765,118.4585,118.6044,777746
2017-08-01,118.2542,118.4877,117.7288,118.1861,745219
2017-08-02,117.1645,118.4682,115.8315,117.5439,1328756
2017-08-03,117.2715,118.6434,117.2715,117.8942,567853
2017-08-04,118.2542,118.4877,117.7288,118.1861,745219
2017-08-07,118.1861,119.4023,118.0109,119.2563,668574
2017-08-08,118.8574,119.2466,118.3612,118.4974,594497
2017-08-09,118.7324,119.9858,118.4974,119.6529,714544
2017-08-10,119.1926,119.7116,118.7226,119.1926,805392
2017-08-11,119.5549,120.495,118.987,119.741,448769
2017-08-14,119.8683,120.8965,119.6333,120.4558,638538
2017-08-15,120.495,120.779,120.0543,120.3677,613403
2017-08-16,120.3677,121.2098,120.0152,120.6223,545689
2017-08-17,120.3481,121.2588,119.9368,120.1131,669735
2017-08-18,120.0054,120.1327,119.0784,119.3689,725363
2017-08-21,119.1045,119.5549,118.6051,119.3199,704738
2017-08-22,119.1828,119.3444,116.7249,117.3712,1324297
2017-08-23,116.862,117.2048,115.6422,116.3822,2393966
2017-08-24,110.1641,110.7516,104.7097,105.2777,5352375
2017-08-25,105.3168,105.6498,102.859,102.9667,2441067
2017-08-28,102.9177,104.3278,101.9874,103.2115,1888435
2017-08-29,103.3094,103.5346,102.4183,102.526,1368003
2017-08-30,102.5946,102.9275,101.3509,102.0756,1772435
2017-08-31,102.2029,102.8296,101.8503,102.5848,1493677
2017-09-01,102.8198,103.2702,102.291,102.6631,1044859
2017-09-05,102.6631,103.9753,102.3008,103.8774,1182312
2017-09-06,104.083,104.1613,103.0254,104.0047,1260260
2017-09-07,103.8872,104.3082,102.7219,103.8186,1296457
2017-09-08,103.799,105.2189,103.3339,104.9154,1073047
2017-09-11,105.1602,105.9338,104.5237,104.8762,1250323
