date,open,high,low,close,volume
2017-06-20,65.0702,65.0702,64.09,64.779,9579959
2017-06-21,64.517,64.5267,63.333,63.5368,11374235
2017-06-22,63.5659,64.4685,63.2263,63.4398,8088027
2017-06-23,63.401,64.2065,63.2263,63.9832,7402492
2017-06-26,64.1579,64.4394,63.5951,63.9444,8042711
2017-06-27,63.7115,64.09,63.2069,63.4301,6498360
2017-06-28,63.5077,64.09,63.1778,63.3233,6243534
2017-06-29,63.663,64.3423,63.3719,63.4495,7194819
2017-06-30,63.9056,64.1579,63.4495,63.8959,7981924
2017-07-03,64.1676,65.4098,63.9541,64.9925,5201403
2017-07-05,65.274,65.274,63.4107,63.7989,8872902
2017-07-06,64.2065,64.5364,63.0953,63.2069,6503753
2017-07-07,63.071,63.2554,62.2558,63.1583,6743422
2017-07-10,62.906,63.7455,62.8672,63.4204,5873639
2017-07-11,63.4204,64.2841,63.1486,63.8474,5534042
2017-07-12,64.5558,64.6335,63.4107,63.6436,6497554
2017-07-13,63.5368,64.5752,63.5077,64.5267,6252255
2017-07-14,64.5364,65.109,64.4103,64.8761,5340611
2017-07-17,64.779,65.5457,64.682,64.8567,6438534
2017-07-18,65.3225,65.3322,64.0318,64.2259,5359752
2017-07-19,64.1773,65.6428,64.1482,65.4487,6642300
2017-07-20,65.7689,65.8951,64.7887,65.0411,7458162
2017-07-21,65.798,66.9238,64.2453,64.5655,10910320
2017-07-24,64.7111,64.8664,63.9056,64.4588,6210964
2017-07-25,65.0217,65.5554,64.9537,65.0314,6947164
2017-07-26,65.4875,66.1474,64.7499,65.0119,8350793
2017-07-27,64.9828,65.798,64.4306,65.7786,6968571
2017-07-28,65.5457,67.0014,65.5069,66.4385,10545593
2017-07-31,66.4191,66.7588,65.6913,66.5744,10621068
2017-08-01,66.8461,67.3217,66.3997,67.0888,7967401
2017-08-02,66.8461,67.3217,66.3997,67.0888,7973424
2017-08-03,66.9238,67.2052,65.7495,66.2056,9869702
2017-08-04,66.1377,66.3706,65.4632,65.5457,5411615
2017-08-07,65.2643,65.5069,64.5655,64.5849,5756631
2017-08-08,64.2938,64.6626,63.333,63.5562,8700109
2017-08-09,63.7892,63.9541,63.1438,63.5562,6274921
2017-08-10,63.6145,63.8377,62.2946,62.4984,8060480
2017-08-11,62.2073,62.7605,61.8579,61.9453,4627489
2017-08-14,62.1102,62.3788,61.79,62.0617,4961009
2017-08-15,62.052,62.052,61.1689,61.5668,6850815
2017-08-16,61.7609,62.0617,61.363,61.8288,6329590
2017-08-17,61.5862,61.9161,61.0912,61.1689,5292094
2017-08-18,61.2077,61.9258,61.0718,61.4503,9096305
2017-08-21,61.2465,61.5328,61.1301,61.1398,4498202
2017-08-22,61.295,61.756,61.2465,61.4794,4710207
2017-08-23,61.2368,61.625,61.0136,61.3242,4433403
2017-08-24,61.2368,61.3727,60.7128,61.0233,5674063
2017-08-25,61.2465,62.2364,61.1301,61.9938,5712609
2017-08-28,61.955,62.1879,61.1398,61.5765,4505590
2017-08-29,61.3921,61.7415,60.9554,61.625,4076319
2017-08-30,61.528,61.8773,61.2077,61.5182,4629119
2017-08-31,61.722,61.8967,61.295,61.6347,5833538
2017-09-01,61.8206,62.5249,61.5956,61.9673,4907449
2017-09-05,62.0945,63.8258,61.9673,63.6791,7517646
2017-09-06,63.865,64.7942,63.8552,64.2856,6806190
2017-09-07,64.2856,64.6866,63.9285,64.4323,4236427
2017-09-08,64.2856,64.3247,63.1323,63.4443,5486979
2017-09-11,63.7671,64.4519,63.5617,64.3345,5617087
2017-09-12,64.3247,65.1659,63.9151,64.9801,5308560
2017-09-13,65.0681,65.9974,64.9801,65.4594,5728190
2017-09-14,65.9485,66.4571,65.7039,66.2224,5954133
2017-09-15,66.2126,66.418,65.2931,65.7724,11428399
2017-09-18,65.6159,66.5158,65.5376,66.3886,6688895
2017-09-19,66.5158,66.7652,65.9974,66.4082,6817176
2017-09-20,66.6527,66.6722,65.9974,66.1441,6765969
2017-09-21,66.0561,67.0049,65.5474,66.6038,8315084
2017-09-22,66.2517,67.4353,66.2517,67.2983,6797576
2017-09-25,67.5918,68.4819,67.5722,68.1298,6914341
2017-09-26,67.7581,68.0418,67.044,67.3179,6393397
2017-09-27,67.4353,67.6798,66.7995,67.5722,6043142
2017-09-28,67.8168,68.1396,67.0538,67.6505,6464308
2017-09-29,67.5233,68.2472,66.7701,68.2374,6559138
2017-10-02,67.2299,67.807,67.044,67.807,7254816
2017-10-03,67.7483,68.0515,67.3479,67.5527,6124491
