date,open,high,low,close,volume
2017-06-08,156.8282,156.8625,151.5771,153.6932,1335575
2017-06-09,153.6736,154.7905,151.3714,154.3104,1105742
2017-06-12,154.7905,156.2698,152.4588,154.2712,493409
2017-06-13,154.5945,155.2852,153.7129,154.5553,531903
2017-06-14,154.7905,154.7905,152.7821,153.8304,577281
2017-06-15,152.7919,153.8108,151.6751,152.9878,561841
2017-06-16,153.0172,154.7905,152.6841,154.7513,660099
2017-06-19,154.7905,155.2509,152.7233,154.4378,587382
2017-06-20,153.8108,154.3888,153.174,153.2132,428466
2017-06-21,152.9291,152.9389,149.8137,150.1272,731374
2017-06-22,150.1174,152.5176,149.3924,151.6261,567421
2017-06-23,151.9298,153.1054,150.9305,151.3322,1266628
2017-06-26,151.7044,153.6736,151.4203,152.8801,352504
2017-06-27,152.7527,153.3209,151.6653,151.7534,445455
2017-06-28,152.0277,153.3797,151.7632,152.7527,569732
2017-06-29,153.223,154.4378,152.3217,153.3307,795796
2017-06-30,153.5169,155.6918,153.4679,154.7905,771397
2017-07-03,155.5252,156.4951,154.7023,155.6036,401348
2017-07-05,156.0249,156.1914,151.6163,153.7716,759111
2017-07-06,152.8801,153.5659,150.7444,151.1852,861162
2017-07-07,151.4105,153.3292,150.9599,152.8213,549004
2017-07-10,151.969,152.8213,150.9109,151.0089,605002
2017-07-11,150.8717,151.3616,149.6863,150.3623,920407
2017-07-12,150.8717,151.9788,149.5002,149.8332,670248
2017-07-13,149.892,151.2048,149.3973,151.146,1019288
2017-07-14,151.2538,153.0858,151.0089,152.5764,645954
2017-07-17,153.2621,156.5049,152.8311,155.7897,931254
2017-07-18,155.3489,155.8877,153.174,153.5071,887465
2017-07-19,153.5169,154.7513,152.9095,154.5064,1155512
2017-07-20,156.7498,159.1893,146.4631,147.2861,2289696
2017-07-21,147.4232,149.4022,145.6353,146.953,1522415
2017-07-24,146.8256,146.953,143.4947,144.5135,1285904
2017-07-25,144.7585,146.9824,144.0237,146.8942,1092133
2017-07-26,147.1489,147.8053,146.124,146.9922,1300195
2017-07-27,147.0313,151.9004,146.0419,151.7338,1697373
2017-07-28,150.8717,152.4588,149.2258,149.3336,1209955
2017-07-31,149.6471,151.3322,147.5702,151.0677,726064
2017-08-01,149.7353,150.2292,148.6674,149.6569,409873
2017-08-02,149.843,150.7933,148.4568,149.8822,464228
2017-08-03,149.8822,151.1754,149.4512,149.7451,470676
2017-08-04,149.7353,150.2292,148.6674,149.6569,409873
2017-08-07,150.8913,152.7037,149.9312,151.8024,481613
2017-08-08,151.8514,152.7135,150.7737,151.097,543564
2017-08-09,151.5575,152.6841,151.146,152.0473,670393
2017-08-10,151.0285,151.9347,148.9515,149.6667,575455
2017-08-11,149.3924,151.1656,149.2552,149.363,603067
2017-08-14,150.3329,150.8423,149.0495,150.6366,496025
2017-08-15,150.6366,150.7003,147.9131,148.4421,503279
2017-08-16,148.5602,149.2,147.2019,149.141,506797
2017-08-17,148.9343,149.8103,146.4145,146.4834,425407
2017-08-18,145.7451,146.818,145.5581,145.6369,757656
2017-08-21,143.5403,144.4754,139.0224,139.4752,1854233
2017-08-22,139.7212,140.5382,138.6188,139.7704,1291320
2017-08-23,139.5244,141.1681,139.1405,139.2881,871685
2017-08-24,139.6425,140.7449,139.1405,140.5874,640076
2017-08-25,140.6366,144.4557,140.5579,142.6348,655680
2017-08-28,143.0383,143.186,141.8079,142.4871,320351
2017-08-29,141.9162,144.1506,141.5816,143.4123,620103
2017-08-30,143.3927,143.8651,142.1918,143.8553,512569
2017-08-31,144.1703,145.6861,143.9537,145.253,442279
2017-09-01,145.6762,145.7501,143.6289,143.7175,425137
2017-09-05,143.688,143.688,141.9211,142.3985,613383
2017-09-06,143.0186,144.1998,141.9162,143.4123,411131
2017-09-07,143.2647,144.1506,142.7627,144.0423,341425
2017-09-08,143.7175,145.0825,143.3189,144.6919,298755
2017-09-11,145.6762,145.6762,144.1801,144.8986,378421
2017-09-12,145.253,147.133,144.7215,147.0247,369420
2017-09-13,146.7097,147.507,146.2767,146.631,436911
2017-09-14,146.631,146.631,144.377,144.7018,611805
2017-09-15,144.4163,144.8593,143.2942,144.3573,780286
2017-09-18,144.8002,144.9872,143.7962,144.3573,565404
2017-09-19,144.5541,145.5975,143.934,144.4951,476763
2017-09-20,144.8297,147.0149,144.3376,146.7196,577364
2017-09-21,146.8377,147.3397,146.0995,146.2471,453813
2017-09-22,146.257,147.1527,145.7648,146.9755,423695
2017-09-25,146.9755,147.0985,146.4243,146.7196,746945
2017-09-26,146.8672,147.9506,145.6467,147.2806,431481
