date,open,high,low,close,volume
2017-06-08,76.12,76.45,75.72,76.12,889866
2017-06-09,75.95,76.57,74.43,74.93,1194026
2017-06-12,74.39,74.76,73.05,73.89,1554209
2017-06-13,74.12,74.67,73.95,74.66,1173314
2017-06-14,74.95,74.96,73.71,74.34,1011498
2017-06-15,74.11,74.11,73.13,74.02,1325344
2017-06-16,73.77,74.325,73.58,73.78,1360335
2017-06-19,73.73,75.175,73.72,74.71,1178294
2017-06-20,74.45,75.27,74.45,74.61,888969
2017-06-21,74.95,74.98,74.14,74.65,863109
2017-06-22,74.75,74.92,74.04,74.59,779274
2017-06-23,74.59,74.87,74.31,74.36,1971188
2017-06-26,74.36,74.935,74.26,74.52,905170
2017-06-27,74.39,74.815,73.61,73.65,840983
2017-06-28,73.98,74.46,73.65,74.26,734965
2017-06-29,74.04,74.25,72.4,72.97,901109
2017-06-30,73.02,73.35,72.755,72.93,779767
2017-07-03,73.37,73.44,72.08,72.12,530307
2017-07-05,72.43,72.99,72.0501,72.74,1081871
2017-07-06,72.48,72.655,71.94,72.53,1042928
2017-07-07,72.67,73.53,72.26,73.15,697848
2017-07-10,73.05,73.841,73.04,73.5,833020
2017-07-11,73.51,73.89,73.0358,73.54,732602
2017-07-12,74.0,75.25,73.4257,75.16,949898
2017-07-13,75.16,75.43,74.71,74.89,685511
2017-07-14,75.04,75.41,74.67,75.27,554760
2017-07-17,75.3,75.83,75.02,75.64,479958
2017-07-18,75.49,75.69,75.16,75.66,384840
2017-07-19,75.85,76.51,75.74,76.41,536670
2017-07-20,76.48,76.56,75.49,75.82,556472
2017-07-21,75.59,76.18,75.59,75.91,453358
2017-07-24,75.95,76.36,75.81,76.34,687691
2017-07-25,76.3,76.97,76.185,76.4,844991
2017-07-26,76.57,77.25,76.47,76.69,416973
2017-07-27,76.85,77.29,75.61,76.36,748165
2017-07-28,76.23,76.68,75.98,76.43,352122
2017-07-31,76.6,76.89,76.08,76.57,579661
2017-08-01,76.9,76.9,76.37,76.77,661020
2017-08-02,76.96,76.96,75.63,76.04,690006
2017-08-03,76.11,76.28,75.53,76.1,724882
2017-08-04,76.06,76.64,75.82,76.61,1125553
2017-08-07,76.69,77.22,76.48,77.15,506025
2017-08-08,77.13,77.55,76.75,76.82,871638
2017-08-09,76.45,77.05,76.2288,76.85,637227
2017-08-10,76.56,76.6952,75.59,75.65,1003312
2017-08-11,76.0,76.5,75.63,76.27,591969
2017-08-14,76.86,77.495,76.83,77.28,801067
2017-08-15,77.49,78.97,76.95,78.23,959561
2017-08-16,78.31,79.45,78.06,79.09,928556
