date,open,high,low,close,volume
2017-06-20,39.451,39.5078,38.8358,38.8452,3294455
2017-06-21,38.9872,39.6314,38.8852,39.4321,2799269
2017-06-22,39.716,39.9716,39.3658,39.7634,2443751
2017-06-23,39.7634,40.9371,39.6971,40.3881,3596992
2017-06-26,40.6531,40.956,39.9811,40.123,3631527
2017-06-27,38.902,38.9967,37.3971,37.3971,9008653
2017-06-28,37.8609,38.1439,37.3261,38.0312,4744043
2017-06-29,37.7094,37.7851,36.2368,36.8292,6082364
2017-06-30,37.2929,37.3403,36.4505,36.6777,3872621
2017-07-03,36.8386,37.1699,36.5073,36.5263,1975084
2017-07-05,36.725,37.0469,36.1193,36.9333,5116855
2017-07-06,36.2328,36.3843,34.9645,35.2958,9051804
2017-07-07,35.4756,36.6209,35.2295,36.1571,5852050
2017-07-10,36.1003,36.5357,35.8542,36.337,3631964
2017-07-11,36.318,37.0658,36.318,36.6493,3751231
2017-07-12,37.2267,38.0218,37.0563,37.5769,4980209
2017-07-13,35.6081,36.9238,35.3242,36.2707,11523664
2017-07-14,36.3464,37.5674,36.3275,37.3876,5357158
2017-07-17,36.9143,37.151,36.4931,36.9806,3813384
2017-07-18,36.9711,36.9711,36.2518,36.7534,3497284
2017-07-19,36.9143,37.3308,36.849,37.1415,4143946
2017-07-20,37.1415,37.4823,36.7913,37.3119,2778843
2017-07-21,37.3687,37.5958,36.9853,37.4633,3256610
2017-07-24,37.5106,37.9839,37.132,37.6337,6279070
2017-07-25,30.601,32.3048,30.1751,31.4245,35475705
2017-07-26,31.5665,31.6328,30.3644,30.6105,12637592
2017-07-27,30.7619,31.2625,30.3833,30.8187,7709592
2017-07-28,30.5726,30.8755,30.1751,30.8661,7865473
2017-07-31,30.9796,31.3677,30.743,31.1974,7171657
2017-08-01,31.2825,31.7179,31.1406,31.5854,6029177
2017-08-02,31.6706,31.6777,31.2636,31.6328,5838381
2017-08-03,31.7179,31.9593,31.4813,31.7747,4934872
2017-08-04,31.9072,32.2149,31.576,31.6422,6767992
2017-08-07,31.6138,31.8599,31.4624,31.6895,5520705
2017-08-08,31.6044,31.8221,31.2068,31.2257,5981481
2017-08-09,30.9891,31.2305,30.7336,30.8566,4285875
2017-08-10,30.6294,30.7809,29.8249,29.8628,6368456
2017-08-11,30.5253,31.4718,30.2603,30.5632,5647213
2017-08-14,30.9039,31.3867,30.7998,30.8093,4163015
2017-08-15,30.8471,30.9245,30.5348,30.5537,2938591
2017-08-16,30.6105,30.7714,30.4591,30.743,2533522
2017-08-17,30.5726,30.8566,29.787,29.8249,3483081
2017-08-18,29.8912,30.0426,29.38,29.6924,2901029
2017-08-21,29.787,29.8532,29.4747,29.7776,3141425
2017-08-22,29.9763,30.6484,29.8722,30.5632,2640301
2017-08-23,29.4557,29.6829,28.9636,29.3516,7757275
2017-08-24,29.4463,29.7492,29.2948,29.3611,4542635
2017-08-25,29.4084,29.7208,29.2002,29.5788,3504783
2017-08-28,29.664,30.0047,29.4557,29.806,2856317
2017-08-29,29.5315,29.8628,29.2948,29.7681,3357869
2017-08-30,29.6829,29.8912,29.257,29.8154,3807194
2017-08-31,30.0994,30.0994,29.5883,29.8438,4289317
2017-09-01,29.9006,30.3077,29.8628,30.0994,2115257
2017-09-05,30.1372,31.5665,30.1278,30.9986,8454710
2017-09-06,31.0932,31.5286,30.9039,31.0364,5927660
2017-09-07,31.169,31.2163,30.1846,30.6105,4284306
2017-09-08,30.5821,30.5821,30.194,30.2792,3562738
2017-09-11,29.5977,30.0899,29.2381,29.2948,6630305
2017-09-12,29.3422,30.2887,29.3043,30.1846,5159508
2017-09-13,30.4023,31.0932,30.2319,31.027,5300016
2017-09-14,30.7714,31.0364,30.62,30.9039,3368210
2017-09-15,30.9134,31.841,30.6673,31.7558,9565630
2017-09-18,31.9451,32.1088,30.5821,31.7274,8551019
2017-09-19,31.5924,31.7563,30.5795,31.0425,7963150
2017-09-20,31.0522,31.5248,30.8399,31.2354,4594086
2017-09-21,31.2354,31.8818,30.9171,31.5634,4696936
2017-09-22,31.5152,32.4605,31.4091,32.3834,4397593
2017-09-25,32.2387,32.5088,31.8046,31.9879,3625668
2017-09-26,32.0072,32.3158,31.6406,31.7081,3423937
2017-09-27,31.8528,32.2869,31.438,32.0072,3785358
2017-09-28,32.0747,32.1904,31.2644,31.8142,4585574
2017-09-29,31.8239,32.0554,31.5924,31.9975,2524367
2017-10-02,32.4509,33.2612,32.3544,32.9911,7403049
2017-10-03,32.9911,33.0393,32.3448,32.8464,3755445
2017-10-04,32.8368,33.049,32.6631,32.7789,3067371
2017-10-05,32.8753,33.0683,32.5667,32.8946,3211112
2017-10-06,32.6631,32.9236,32.3255,32.5956,3555643
2017-10-09,32.8271,33.5892,32.6438,32.6535,3679235
2017-10-10,33.0297,33.131,32.1808,32.557,5237532
2017-10-11,32.393,32.8946,32.2194,32.3158,3610699
2017-10-12,32.2194,32.5763,32.0457,32.4316,5111119
2017-10-13,32.6631,33.3384,32.4702,33.184,4179203
2017-10-16,33.2419,33.3287,32.8802,33.2709,4041455
2017-10-17,32.8368,32.9815,31.9782,32.7596,5936521
2017-10-18,32.9043,33.1165,32.8175,33.049,3732155
2017-10-19,32.721,33.1358,32.6559,33.1262,4362941
2017-10-20,33.3287,34.0329,33.1937,33.7049,8315324
2017-10-23,38.2485,39.4543,36.3095,37.9591,33601239
2017-10-24,38.1038,38.9141,37.1488,37.4671,12140476
2017-10-25,37.1102,37.3127,36.1745,36.8015,7430651
2017-10-26,36.9558,37.2549,36.242,36.8304,4276256
2017-10-27,36.9076,36.9076,35.5426,35.5957,5297431
2017-10-30,35.6439,35.6728,34.8432,35.3834,5870278
2017-10-31,35.5185,36.3963,35.2773,35.6632,4432597
2017-11-01,36.0587,36.2999,35.3641,35.6535,2784309
2017-11-02,35.6632,35.6921,35.0941,35.4703,2745209
2017-11-03,35.3063,35.6728,34.8818,35.0458,2280056
2017-11-06,34.9976,36.2034,34.795,36.1359,3186603
2017-11-07,36.1069,36.1609,35.5378,35.8079,2842344
2017-11-08,35.7307,36.8497,35.4326,36.377,4241354
2017-11-09,35.8175,36.7822,35.8175,36.0876,4349562
2017-11-10,35.8851,36.734,35.8851,36.6471,3011776
2017-11-13,36.5603,36.5989,36.0008,36.3288,2305647
2017-11-14,36.2902,36.5893,36.0105,36.1648,2598799
2017-11-15,36.0201,36.5121,35.9236,36.4735,3497299
2017-11-16,36.6182,37.8867,36.5893,37.7372,5258404
2017-11-17,37.853,38.2002,37.4092,38.0266,3154656
2017-11-20,37.9494,38.6536,37.6986,38.4414,3993233
2017-11-21,38.6343,39.2025,38.5475,38.7211,3848063
2017-11-22,38.6054,39.0395,38.4124,38.9044,2364850
2017-11-24,38.9334,39.1166,38.5571,38.8658,1340056
2017-11-27,38.0748,38.2967,37.197,37.6986,5631717
2017-11-28,37.988,38.6343,37.5828,38.5668,3809279
2017-11-29,38.5379,39.0684,37.2935,37.3803,6070187
2017-11-30,37.6118,37.7758,36.8594,37.197,6782523
2017-12-01,36.9558,37.8964,35.9333,37.7275,5125089
2017-12-04,38.3546,38.6054,37.4092,37.8144,4592560
2017-12-05,38.1231,38.5379,37.66,37.7468,3945577
2017-12-06,37.7854,37.9205,37.197,37.7951,2520261
2017-12-07,37.7758,38.6826,37.6021,38.1809,3724986
2017-12-08,38.4221,39.1793,38.1809,39.0588,5502052
2017-12-11,38.9237,39.6761,38.7501,39.0395,3740724
2017-12-12,39.2324,41.0652,39.1649,40.6311,6354875
2017-12-13,40.8723,41.1376,40.4575,40.5926,4509096
2017-12-14,40.718,40.7951,40.361,40.4575,3301558
2017-12-15,40.7083,40.718,39.9462,40.5347,6241798
2017-12-18,40.8627,41.5427,40.7363,41.4704,4628927
2017-12-19,41.3236,41.8326,41.0592,41.2942,4553347
2017-12-20,41.5487,41.6075,40.4914,40.6578,3322531
2017-12-21,40.8439,41.6368,40.7166,41.0788,3425256
2017-12-22,41.0494,41.4998,41.0201,41.2844,1713946
2017-12-26,41.1082,41.8033,40.8341,41.255,2969355
2017-12-27,41.3529,41.5977,40.8536,41.2257,1934643
2017-12-28,41.304,41.3725,40.8634,41.1376,1368877
2017-12-29,41.1278,41.4606,40.9613,40.9613,1866361
2018-01-02,41.4606,42.234,41.0299,42.0284,2888378
2018-01-03,42.0284,42.2438,41.5879,41.9501,3446064
2018-01-04,41.9697,42.3221,41.0886,41.7445,2824993
2018-01-05,41.9403,42.0872,41.5487,42.0382,2183179
2018-01-08,47.7556,48.6563,44.662,45.034,23460829
2018-01-09,45.5039,46.2969,45.0731,45.4158,10500163
2018-01-10,45.1906,46.2773,44.848,46.0815,3808752
2018-01-11,46.3654,48.0199,46.1207,47.9759,6246581
2018-01-12,48.0885,50.7905,48.0787,50.1835,7747448
2018-01-16,49.7038,51.2359,49.3612,50.4283,6885254
2018-01-17,50.1933,51.3191,49.8223,51.045,4113573
