date,open,high,low,close,volume
2017-06-08,142.4907,142.8859,139.833,140.7222,1683747
2017-06-09,140.8901,141.2853,139.5267,140.1689,1194653
2017-06-12,139.8824,140.0651,136.5429,138.9339,1657399
2017-06-13,139.3686,140.1096,138.2027,139.4872,1002296
2017-06-14,140.0503,140.9494,139.5267,140.1886,1144310
2017-06-15,139.3884,139.7737,138.0842,139.5366,1038209
2017-06-16,139.8033,140.653,139.1413,140.5344,1583290
2017-06-19,140.9395,141.4533,139.1809,139.6848,1307168
2017-06-20,139.744,140.6135,139.1315,139.2896,1053608
2017-06-21,139.7539,140.2776,138.7264,139.1117,1458170
2017-06-22,138.7659,139.7045,138.6572,139.5267,1253514
2017-06-23,139.497,140.2874,138.9931,139.4279,1161183
2017-06-26,139.4773,140.0207,138.1237,138.2324,702872
2017-06-27,138.2324,138.8598,137.5655,137.9162,804614
2017-06-28,138.6942,138.9321,138.2284,138.5456,700908
2017-06-29,138.7438,138.9519,136.5338,137.5645,1270569
2017-06-30,137.723,138.4564,137.5347,137.5347,1081938
2017-07-03,137.9807,138.1789,136.8509,136.9797,487567
2017-07-05,137.3167,138.724,136.95,138.4861,1040930
2017-07-06,137.9014,138.2037,136.7617,138.0203,1182427
2017-07-07,138.5257,139.9429,138.1095,139.8537,1239793
2017-07-10,139.5961,139.9528,139.1699,139.2988,831077
2017-07-11,139.3483,139.7943,139.0014,139.2393,1006891
2017-07-12,139.7645,143.798,139.6159,143.0647,1884829
2017-07-13,143.0647,143.1291,141.6277,141.9151,1132501
2017-07-14,142.0043,144.68,142.0043,144.0953,901770
2017-07-17,144.1449,144.4719,143.1439,143.5106,702789
2017-07-18,143.3025,144.2638,142.7079,144.0656,922502
2017-07-19,144.2341,145.1359,144.0755,144.908,733305
2017-07-20,145.0467,146.454,145.0269,146.0774,1011733
2017-07-21,146.1071,146.8206,144.6007,144.8782,1158620
2017-07-24,144.9377,145.7107,143.9962,145.5224,869450
2017-07-25,146.1666,146.1666,144.2341,144.7494,962961
2017-07-26,144.7296,144.9278,143.5503,144.4422,1107814
2017-07-27,144.4719,144.68,141.6871,142.7574,1465718
2017-07-28,143.5503,146.5828,143.5503,146.4738,1927066
2017-07-31,146.5828,146.5828,145.2647,145.7801,1455661
2017-08-01,145.7702,145.7702,144.5809,145.2152,638405
2017-08-02,146.3648,146.5729,143.3818,143.8377,1239378
2017-08-03,143.2232,145.1062,142.9953,145.0566,761066
2017-08-04,145.7702,145.7702,144.5809,145.2152,638405
2017-08-07,145.2746,145.4431,144.789,145.4134,674943
