date,open,high,low,close,volume
2017-06-20,49.8639,49.9216,48.9977,48.9977,8795404
2017-06-21,49.0458,49.8446,48.5453,48.6223,9996460
2017-06-22,48.7089,49.0458,48.17,48.7282,6746024
2017-06-23,48.6993,49.0073,48.4853,48.8533,6256671
2017-06-26,48.9207,49.7195,48.8629,49.5463,5804977
2017-06-27,49.4789,50.374,49.4308,50.1141,6671628
2017-06-28,50.1718,50.7108,49.9505,50.1045,6148350
2017-06-29,50.2873,50.6531,49.7965,50.1333,4662957
2017-06-30,50.2873,50.4606,49.9611,50.3258,4008357
2017-07-03,50.5568,50.8937,50.3643,50.6723,2790919
2017-07-05,50.8648,51.1824,49.9649,50.2007,3960745
2017-07-06,50.0467,50.1237,49.4404,49.5078,3712665
2017-07-07,49.5463,49.7869,48.7859,49.1517,4882419
2017-07-10,49.2287,49.2479,48.1603,48.2951,6520045
2017-07-11,48.3432,48.8677,48.3047,48.5164,4594347
2017-07-12,48.5838,49.2383,48.5646,48.9592,4482132
2017-07-13,50.2873,51.6925,50.0467,51.3075,23218005
2017-07-14,51.4711,51.5289,51.0669,51.2305,5829178
2017-07-17,51.2305,52.1352,51.2209,51.7117,12487976
2017-07-18,51.5674,51.9427,51.2594,51.7117,4526296
2017-07-19,51.7791,52.1689,51.5096,52.0678,3954187
2017-07-20,52.1256,52.8667,51.9524,52.5298,6665914
2017-07-21,52.5106,52.9437,52.1448,52.78,6355385
2017-07-24,52.5972,52.7993,51.9908,52.0197,5627145
2017-07-25,52.1737,53.473,52.1545,53.0303,4506512
2017-07-26,52.9918,53.088,52.2315,52.8955,3403388
2017-07-27,52.8955,53.9542,52.4817,53.9446,4489102
2017-07-28,53.8965,54.2429,53.55,54.0023,5371968
2017-07-31,54.2237,54.6183,53.8002,54.5413,5662758
2017-08-01,54.6472,54.9744,54.3014,54.6664,3482544
2017-08-02,54.6472,54.9744,54.3014,54.6664,3677123
2017-08-03,54.8204,55.2246,54.2622,54.8974,5321706
2017-08-04,55.0321,55.4845,55.0129,55.4171,4462766
2017-08-07,55.4075,55.7925,55.3401,55.7059,3904191
2017-08-08,55.8213,56.9859,55.8213,56.5335,8129344
2017-08-09,56.3699,56.3796,55.2246,55.6962,6389443
2017-08-10,55.1669,55.1669,53.3864,53.55,10853103
2017-08-11,53.2613,53.8195,53.0399,53.5596,6022770
2017-08-14,53.9197,54.5491,53.9197,54.2993,5775165
2017-08-15,54.2409,54.2896,52.8005,52.8978,9457262
2017-08-16,55.477,55.477,53.0146,54.8054,22059362
2017-08-17,55.0195,55.5305,53.9295,54.6205,15275188
2017-08-18,54.4161,54.8541,54.163,54.163,4738485
2017-08-21,54.3674,55.5889,54.1241,55.0487,11604165
2017-08-22,55.2045,55.3894,54.747,55.0293,7969503
2017-08-23,54.893,55.3699,54.6594,54.9514,4237830
2017-08-24,55.6424,56.0901,52.4598,52.7615,15836402
2017-08-25,52.9562,53.9197,52.6058,53.5401,6979927
2017-08-28,53.1606,53.3942,52.6253,52.9854,6368469
2017-08-29,52.7421,53.3942,52.6058,53.0924,4347842
