date,open,high,low,close,volume
2017-06-20,92.0072,92.0464,90.3992,90.4777,855662
2017-06-21,90.8208,91.0856,88.5364,89.5266,1189742
2017-06-22,89.5658,89.86,88.8403,89.6443,799250
2017-06-23,89.6247,90.0463,88.8305,89.9972,987706
2017-06-26,89.8992,90.6885,89.7619,90.5071,674236
2017-06-27,91.5072,92.7328,91.5072,91.8601,1845506
2017-06-28,92.2621,92.8798,91.9288,92.0562,1247968
2017-06-29,92.1837,92.1837,89.9678,90.713,1507197
2017-06-30,91.3111,92.7279,91.1542,92.0366,1831596
2017-07-03,92.5465,93.0465,91.7719,91.8503,585334
2017-07-05,91.3895,91.9778,90.9581,91.2523,1531960
2017-07-06,90.9189,91.5366,89.4874,91.2326,1380442
2017-07-07,91.2326,92.6543,90.8208,92.0072,1040279
2017-07-10,91.6542,91.8847,89.3011,89.5462,1861222
2017-07-11,89.5462,89.7031,88.4775,89.0658,1171136
2017-07-12,89.6737,90.7718,89.6737,90.6542,1017325
2017-07-13,91.615,92.9877,91.3405,92.2033,1497340
2017-07-14,92.1543,92.2425,89.6149,90.1051,1087240
2017-07-17,90.1051,90.586,89.6933,90.36,1910956
2017-07-18,90.2031,90.5953,89.6345,89.9972,490269
2017-07-19,89.7129,90.4507,89.7031,90.0659,1021905
2017-07-20,90.5071,90.9532,89.909,90.8208,959161
2017-07-21,90.762,91.919,90.4287,91.8798,743229
2017-07-24,91.919,91.9582,91.3993,91.615,716064
2017-07-25,92.1641,93.576,91.7572,93.1838,948126
2017-07-26,93.1348,93.6348,92.4974,93.2328,809304
2017-07-27,93.4387,93.5858,92.4484,93.3308,840212
2017-07-28,93.3701,94.6055,92.7818,94.4584,1140554
2017-07-31,94.6741,95.0467,93.2426,93.6446,1261690
2017-08-01,93.8211,94.2623,92.8994,93.9878,924023
2017-08-02,92.9583,93.5956,89.4874,90.6346,3405818
2017-08-03,90.6934,91.4974,90.6542,91.0365,1897396
2017-08-04,91.3601,91.5366,90.5659,91.1836,1540156
2017-08-07,90.6051,91.2523,89.7031,90.36,1973772
2017-08-08,90.713,91.0856,89.0903,89.5364,2097500
2017-08-09,89.1835,89.5364,88.6638,89.458,2052216
2017-08-10,88.8501,89.1737,87.5559,87.5951,1503333
2017-08-11,87.2127,88.905,87.0264,88.5265,910813
2017-08-14,89.154,89.7815,88.654,88.958,796140
2017-08-15,87.9579,88.9285,85.1488,86.3891,1464854
2017-08-16,86.9382,87.7617,85.9087,87.6343,1040761
2017-08-17,87.3598,87.7814,86.4578,86.644,958738
2017-08-18,86.5068,87.2421,86.0067,86.3107,1289751
2017-08-21,86.3793,86.8794,85.9087,86.1048,1587606
2017-08-22,86.5656,87.1441,86.2028,86.7715,1174397
2017-08-23,86.3401,87.3598,86.1832,86.9872,2471491
2017-08-24,89.7031,90.6934,84.6243,85.8401,2775132
2017-08-25,86.0558,86.7029,85.1831,86.2813,1740342
2017-08-28,86.8009,87.9285,86.8009,87.6049,1434303
2017-08-29,86.9578,87.3108,86.095,86.5558,1154054
2017-08-30,86.3205,86.7323,85.7518,85.9381,1429383
2017-08-31,86.4578,89.8207,86.4578,89.6149,2117472
2017-09-01,89.6149,90.7228,89.1835,90.5659,1488306
2017-09-05,91.1738,91.615,89.6639,90.4483,3697630
2017-09-06,90.6346,92.4386,90.5863,91.6542,1793163
