date,open,high,low,close,volume
2017-06-08,73.073,73.3088,71.4422,71.5011,5155033
2017-06-09,71.5109,72.7783,71.0197,72.3853,4676945
2017-06-12,72.2379,73.1712,72.2379,72.4737,3708919
2017-06-13,72.5425,72.9158,72.2576,72.6112,3207719
2017-06-14,72.4344,72.5523,71.5895,71.8843,3857259
2017-06-15,71.845,72.012,70.4204,71.2653,3909612
2017-06-16,70.6071,71.2358,70.1454,71.1671,5772547
2017-06-19,71.3341,71.4225,70.3361,71.0787,3889002
2017-06-20,70.8036,70.9141,68.9124,68.9468,7201805
2017-06-21,68.6717,69.5054,67.6402,68.1805,7237384
2017-06-22,68.1903,68.2296,67.3356,67.5419,6143853
2017-06-23,67.5124,68.151,67.0212,68.0528,6115162
2017-06-26,68.5636,69.104,68.2011,68.711,3843893
2017-06-27,68.4752,68.9959,68.4261,68.7307,3562883
2017-06-28,69.045,70.2731,68.9075,70.1552,4824413
2017-06-29,70.1257,70.332,69.5471,69.831,4493956
2017-06-30,70.2338,71.2751,70.0766,70.9018,6211807
2017-07-03,71.3734,71.9235,70.2731,70.3124,2969045
2017-07-05,70.4499,70.4499,69.0205,69.9292,5138700
2017-07-06,69.4085,69.6088,68.8829,69.0549,4691841
2017-07-07,69.2612,69.6836,68.9861,69.1138,4266861
2017-07-10,68.9566,69.0549,67.3946,67.4732,3879834
2017-07-11,67.3946,67.7089,67.1489,67.3946,4759581
2017-07-12,67.5616,67.9349,67.5026,67.7188,3446628
2017-07-13,68.1117,68.7994,68.0233,68.7503,5010852
2017-07-14,68.9861,69.2808,68.3573,68.5735,3709142
2017-07-17,68.5735,69.5412,68.4851,69.1236,4241102
2017-07-18,69.0352,69.2268,68.4654,68.7208,2848562
2017-07-19,68.8682,69.3791,68.6717,69.0647,5060909
2017-07-20,69.0745,69.438,68.3082,68.377,4880073
2017-07-21,68.0724,68.21,67.0998,67.7089,4810876
2017-07-24,67.3946,67.3946,65.4837,65.7244,7343650
2017-07-25,66.0879,68.0528,66.0388,67.4928,5865339
2017-07-26,67.7188,67.7388,66.9132,67.2668,5024013
2017-07-27,67.2472,68.5096,67.1195,68.4163,4674319
2017-07-28,68.4556,68.824,67.9349,68.377,3433486
2017-07-31,68.5243,69.2022,67.9645,69.0745,4228592
