date,open,high,low,close,volume
2017-06-20,175.4875,176.3648,174.71,175.1187,1299607
2017-06-21,175.9361,176.3249,174.5305,175.0489,1348035
2017-06-22,175.4776,175.8165,173.753,174.9193,964527
2017-06-23,175.1984,175.1984,172.6564,173.8926,1633704
2017-06-26,174.4408,174.4508,172.3973,172.6864,1297056
2017-06-27,172.4272,173.753,171.5898,173.1549,1207950
2017-06-28,174.072,175.7168,173.2197,175.2184,1009910
2017-06-29,175.0489,175.5473,172.6564,173.3443,1252062
2017-06-30,173.8726,174.6552,173.434,173.9225,819727
2017-07-03,174.7798,175.647,173.8626,173.8626,612254
2017-07-05,174.0521,175.8863,173.6832,175.1885,1186823
2017-07-06,174.2315,175.2383,173.743,174.4907,2290556
2017-07-07,175.2483,177.4314,174.8495,176.933,1345748
2017-07-10,177.242,177.7305,176.1853,177.1124,1492518
2017-07-11,177.0925,178.5778,176.3311,178.0794,2127065
2017-07-12,178.6476,180.1528,178.4981,179.6345,1101632
2017-07-13,180.0033,180.1329,178.7473,179.465,927411
2017-07-14,179.2955,180.7011,178.8071,180.3821,871939
2017-07-17,180.5117,181.8276,179.6764,180.2226,1297250
2017-07-18,180.0332,180.3921,178.2887,178.7871,1433309
2017-07-19,179.4949,180.0731,178.6875,179.5846,932294
2017-07-20,180.5416,182.1964,180.5416,180.9802,1109796
2017-07-21,180.7211,182.2861,180.4882,181.6083,786786
2017-07-24,181.5684,182.2961,181.0401,181.5883,805743
2017-07-25,181.1996,181.708,178.9367,179.5647,1440728
2017-07-26,174.6203,176.1853,169.6459,174.5106,3944043
2017-07-27,175.2981,176.4445,173.7829,174.72,2479063
2017-07-28,174.7499,175.9451,172.9886,175.4178,1326913
2017-07-31,176.0557,176.4944,174.7499,174.9791,1276212
2017-08-01,175.3779,176.3548,174.6053,175.7766,752054
2017-08-02,175.3181,176.0358,174.9592,175.8863,1370096
2017-08-03,175.4477,175.6674,174.3312,175.1885,933121
2017-08-04,175.3779,176.3548,174.6053,175.7766,752054
2017-08-07,175.7966,176.8732,175.1322,176.7934,792038
2017-08-08,175.9561,176.295,173.3842,173.444,1648660
2017-08-09,169.7257,173.4639,169.7257,172.7163,4284555
2017-08-10,171.3904,172.8459,170.7724,171.201,2266656
2017-08-11,171.1013,173.5536,169.5363,172.6864,2202642
2017-08-14,174.401,174.7,173.1748,173.4838,1182391
2017-08-15,174.2016,174.71,172.8159,173.0153,992549
2017-08-16,173.4041,175.4477,173.2895,174.8894,1268524
2017-08-17,174.6502,175.1685,172.3275,172.3474,1159842
2017-08-18,172.0185,173.8128,171.6141,172.0284,1182702
2017-08-21,172.2477,173.5935,171.9686,173.4639,1184874
2017-08-22,174.0022,176.305,173.6134,176.2352,1271562
2017-08-23,175.7567,176.7236,174.6103,175.2583,2168746
2017-08-24,175.2682,176.0857,174.9891,175.4078,1176969
2017-08-25,175.986,178.0345,175.9062,176.6638,1537681
2017-08-28,177.242,178.1755,176.6738,177.87,1462175
2017-08-29,177.1324,180.113,176.7286,179.9535,1549544
2017-08-30,180.4021,182.7447,179.8638,182.3758,1445303
2017-08-31,182.9142,186.9514,182.3858,186.5527,2035478
2017-09-01,187.6293,188.1676,184.8381,185.4163,1404832
2017-09-05,185.2867,185.9097,184.3008,185.4362,1190385
2017-09-06,186.8019,188.8953,186.443,188.8156,1516643
2017-09-07,189.4037,190.3507,188.2573,189.9919,1619097
2017-09-08,189.9919,191.6766,189.1844,191.0286,1546420
2017-09-11,191.6168,193.0622,191.4672,192.9625,1521017
2017-09-12,193.4111,193.6902,191.9956,193.431,1001278
2017-09-13,193.0423,193.2715,190.4953,190.8691,1302072
2017-09-14,191.3679,191.5474,189.193,191.2382,1287289
2017-09-15,190.3104,192.3755,190.1308,190.1807,3274947
2017-09-18,190.6994,191.5275,190.3303,191.4078,1750764
2017-09-19,191.5873,191.8268,188.8538,189.173,1215530
2017-09-20,189.0833,189.7217,186.9782,188.1554,1194406
2017-09-21,187.4571,188.8239,187.2576,187.4671,921626
2017-09-22,187.6866,188.6642,186.8685,187.8561,912198
2017-09-25,188.2752,188.6642,185.5416,186.8785,1916083
2017-09-26,188.8638,189.3992,187.1279,187.2276,1384634
2017-09-27,187.8063,188.6642,186.8086,188.0257,1410216
2017-09-28,187.3474,187.9958,185.6115,186.0105,1002198
2017-09-29,186.2699,189.1232,185.9107,188.754,1703247
2017-10-02,189.3626,191.0885,188.7887,191.0885,1414274
2017-10-03,191.0885,191.8467,189.0932,189.8814,1023472
2017-10-04,190.2605,193.0539,190.2605,193.0539,1114355
