date,open,high,low,close,volume
2017-06-20,125.4681,126.2529,125.4192,125.8591,1163701
2017-06-21,125.8591,126.2012,125.5072,125.6929,1115255
2017-06-22,125.2921,125.82,125.2726,125.429,1117052
2017-06-23,125.1259,125.7516,124.3146,124.7936,1899307
2017-06-26,124.7349,125.2921,124.4319,125.077,1004866
2017-06-27,125.4974,125.4974,124.471,124.5198,1027598
2017-06-28,124.862,125.5463,124.5296,124.9109,1324710
2017-06-29,125.341,125.3508,123.1317,123.5521,1909062
2017-06-30,123.6792,124.0702,122.9753,123.6889,1186460
2017-07-03,124.1288,125.3605,123.8453,124.4807,932749
2017-07-05,124.6078,124.6078,123.2979,123.5325,1402623
2017-07-06,123.6694,124.1973,123.1708,123.3468,1014593
2017-07-07,123.9431,124.4221,123.1806,124.3146,987142
2017-07-10,123.728,124.1288,122.946,122.946,1518082
2017-07-11,123.1317,123.1904,121.5579,122.2422,937740
2017-07-12,122.7896,123.0731,122.1737,122.4377,1034520
2017-07-13,122.4377,122.8531,121.9634,122.6136,886707
2017-07-14,122.4377,123.1415,121.8218,122.8971,1382377
2017-07-17,123.2099,123.4445,122.6332,123.3957,937396
2017-07-18,123.2197,123.2588,122.2617,122.7114,1407679
2017-07-19,123.1415,123.7378,121.7925,123.6205,1324127
2017-07-20,120.5119,122.5941,120.1307,121.7729,2219351
2017-07-21,121.5872,122.3888,120.7563,122.3399,1373057
2017-07-24,122.4377,123.7378,122.3888,123.5423,1392792
2017-07-25,124.9206,125.3312,124.3341,124.598,1578172
2017-07-26,124.4514,124.7056,122.8776,123.1708,1288911
2017-07-27,122.4963,123.4006,122.0564,123.0535,1694031
2017-07-28,123.2784,124.6078,122.902,124.3537,1277677
2017-07-31,124.6469,125.3899,124.4807,125.2139,1077258
2017-08-01,125.6147,126.3479,125.2628,126.3088,1518986
2017-08-02,126.123,126.993,125.6733,125.8395,1402260
2017-08-03,125.8982,126.9344,125.6245,126.6509,1081181
2017-08-04,126.9051,127.081,126.0741,126.778,1952516
2017-08-07,126.3674,126.9393,125.732,125.908,1008321
2017-08-08,125.8591,126.2599,125.5658,125.6636,1041892
2017-08-09,125.9764,127.257,125.4583,127.2276,1605075
2017-08-10,126.8073,127.257,126.299,126.778,2422154
2017-08-11,127.0224,127.4329,125.165,125.3019,1535138
2017-08-14,125.4485,126.1621,125.341,125.8982,1092726
2017-08-15,126.1035,126.514,125.7711,126.1523,1139473
2017-08-16,126.7095,127.4427,126.1035,126.5629,1424061
2017-08-17,126.7291,126.7291,125.1748,125.3117,1622095
2017-08-18,125.3899,125.644,124.6567,125.0184,1246905
2017-08-21,125.1944,125.1944,124.071,124.5883,1063816
2017-08-22,125.0477,125.2139,124.5736,124.9011,1113622
2017-08-23,124.8815,125.341,124.1386,124.3048,946955
2017-08-24,124.471,124.5101,122.6918,122.7505,1045112
2017-08-25,123.1611,123.8453,122.7407,123.6303,1332234
2017-08-28,122.1151,122.693,119.6712,120.463,2534881
2017-08-29,119.8472,121.1766,119.5344,120.248,1476237
2017-08-30,120.4435,120.7563,118.8892,119.0749,1349165
2017-08-31,119.3095,119.4171,117.462,118.4591,2156565
2017-09-01,119.0065,119.0163,116.983,117.2078,1547044
2017-09-05,116.3378,116.3671,112.6231,112.8382,3655089
2017-09-06,113.3954,115.7415,112.8577,115.0865,3561916
2017-09-07,114.6735,115.0275,111.89,113.2866,2715713
2017-09-08,112.8244,118.8438,112.5981,117.7914,4215429
2017-09-11,121.4797,124.5976,120.3584,120.5453,3440418
2017-09-12,120.5355,121.1669,119.3257,120.4666,1811467
2017-09-13,120.2207,120.4666,118.8044,119.5126,1561265
2017-09-14,119.4732,119.4732,116.798,117.9881,1812922
2017-09-15,118.6077,119.1683,117.516,118.7159,3062500
2017-09-18,118.7356,119.0897,118.1553,118.7356,1068628
2017-09-19,118.6569,119.4241,118.4798,118.5979,1248293
2017-09-20,119.0798,119.9749,117.9291,119.906,1489348
2017-09-21,120.1027,120.8797,119.1388,119.4929,1209258
2017-09-22,119.4929,120.1617,119.0602,120.0339,1291782
2017-09-25,119.9552,120.9486,119.5519,120.6535,1136487
2017-09-26,120.6535,121.46,120.2307,120.5552,1298467
2017-09-27,121.4305,121.4305,120.4765,120.5748,1103429
2017-09-28,120.3978,121.2338,120.2404,120.7814,1097060
2017-09-29,120.6043,121.1748,119.8962,120.506,1285833
2017-10-02,120.8502,121.4404,119.7142,121.2928,1587243
2017-10-03,121.283,121.6961,120.3781,121.6666,1275588
2017-10-04,121.6764,122.2469,121.2535,121.8633,836932
2017-10-05,121.942,122.7878,121.6676,122.3944,1135716
2017-10-06,122.5321,123.2993,122.1928,123.0141,1152158
2017-10-09,122.7485,123.4272,122.3059,122.896,723739
