date,open,high,low,close,volume
2017-06-20,17.15,17.15,16.84,16.91,8524617
2017-06-21,17.11,18.04,17.11,17.78,23734826
2017-06-22,17.85,18.38,17.66,18.15,20734456
2017-06-23,18.15,18.63,18.15,18.5,24821433
2017-06-26,18.55,19.01,18.11,18.29,17421403
2017-06-27,18.43,18.6,18.12,18.12,14748853
2017-06-28,18.22,18.235,17.75,17.95,17396147
2017-06-29,17.93,17.936,17.23,17.65,18796467
2017-06-30,17.66,18.075,17.47,17.87,13427025
2017-07-03,17.94,18.0073,17.41,17.65,9040399
2017-07-05,17.68,17.9569,17.42,17.82,8816038
2017-07-06,17.65,18.58,17.63,17.92,18661111
2017-07-07,18.0,18.335,17.97,18.02,13433882
2017-07-10,18.05,18.15,17.775,18.08,8606718
2017-07-11,18.14,18.66,18.1,18.64,18110911
2017-07-12,18.92,19.54,18.91,19.25,30008052
2017-07-13,19.54,19.67,19.08,19.32,17517365
2017-07-14,19.35,19.97,19.33,19.64,20835473
2017-07-17,19.8,20.2362,19.73,19.94,24152845
2017-07-18,19.76,19.99,19.41,19.98,15554456
2017-07-19,20.03,20.21,19.83,20.12,13469807
2017-07-20,20.18,20.88,20.18,20.53,24792686
2017-07-21,20.35,20.36,20.0,20.11,15302908
2017-07-24,20.28,20.62,19.82,20.0,17200861
2017-07-25,19.98,20.185,19.69,19.97,13591593
2017-07-26,20.0,20.02,19.27,19.61,24298875
2017-07-27,17.36,17.6,16.5,16.84,86681666
2017-07-28,16.66,17.2,16.52,16.75,26217582
2017-07-31,16.6,16.62,16.0,16.09,35946068
2017-08-01,16.2,16.32,15.91,16.21,21618167
2017-08-02,16.21,16.29,15.945,16.07,13278709
2017-08-03,16.07,16.42,16.05,16.18,15101639
2017-08-04,16.2,16.43,16.1299,16.29,15084843
2017-08-07,16.38,16.42,16.24,16.4,9142346
2017-08-08,16.33,16.48,16.05,16.15,12128250
2017-08-09,16.04,16.16,15.96,16.14,7763662
2017-08-10,16.03,16.18,15.73,15.75,11909191
2017-08-11,15.67,16.06,15.67,15.92,8442542
2017-08-14,16.15,16.28,16.01,16.09,9886964
2017-08-15,16.12,16.22,15.93,15.95,5948142
2017-08-16,15.97,16.36,15.96,16.16,15923110
2017-08-17,16.15,16.29,15.86,15.87,9218956
2017-08-18,15.85,16.07,15.77,15.99,7808420
2017-08-21,16.0,16.2534,15.9301,16.11,12076590
2017-08-22,16.14,16.65,16.14,16.63,11051568
2017-08-23,16.46,17.05,16.44,16.96,15184680
2017-08-24,17.07,17.07,16.78,16.89,10386648
2017-08-25,16.65,16.82,16.51,16.65,11496786
2017-08-28,16.61,16.88,16.61,16.77,7778797
2017-08-29,16.61,17.055,16.6,16.93,11444443
2017-08-30,16.92,17.04,16.8,16.93,6624594
2017-08-31,16.99,17.1,16.88,16.91,7860165
2017-09-01,16.97,17.0,16.58,16.86,8515176
2017-09-05,16.82,16.9,16.44,16.65,10503817
2017-09-06,16.65,17.05,16.5162,16.83,12335533
2017-09-07,16.85,17.41,16.8301,17.22,14659914
2017-09-08,17.19,17.46,17.08,17.45,11608181
2017-09-11,17.47,17.78,17.27,17.66,14002047
2017-09-12,17.7,18.29,17.7,18.17,19795434
2017-09-13,18.15,18.49,18.09,18.2,13710745
2017-09-14,18.15,18.27,17.94,18.21,9304102
2017-09-15,18.25,18.395,17.95,18.01,12649429
2017-09-18,18.01,18.09,17.47,17.6,14710694
2017-09-19,17.66,17.8,17.48,17.76,7090736
2017-09-20,17.8,17.84,17.51,17.62,7724700
2017-09-21,17.6,17.65,17.35,17.58,6952120
2017-09-22,17.49,17.6275,17.42,17.61,5551482
2017-09-25,17.6,17.72,16.82,16.98,13251687
2017-09-26,17.03,17.16,16.57,16.59,12933178
2017-09-27,16.9,17.05,16.755,16.95,9071342
2017-09-28,16.87,16.93,16.75,16.85,7037186
2017-09-29,16.89,17.04,16.75,16.87,9384553
2017-10-02,16.8,17.15,16.78,17.09,8460268
2017-10-03,17.13,17.63,17.12,17.59,13043658
2017-10-04,17.82,17.82,17.5,17.75,17353809
2017-10-05,17.8,18.29,17.74,18.25,21249585
2017-10-06,18.03,18.13,17.66,17.85,16418956
2017-10-09,17.82,18.05,17.65,17.67,8814354
2017-10-10,17.77,17.93,17.39,17.41,10186127
2017-10-11,17.47,17.78,17.43,17.73,9990927
2017-10-12,17.77,18.66,17.73,18.45,30723697
2017-10-13,18.45,18.79,18.35,18.63,15809855
2017-10-16,18.59,18.61,18.23,18.33,13009312
2017-10-17,18.31,18.465,18.11,18.28,8935415
2017-10-18,18.23,18.35,17.97,18.02,7771996
2017-10-19,17.84,17.95,17.65,17.89,9281278
2017-10-20,17.98,18.06,17.83,17.87,7257730
2017-10-23,17.94,17.955,17.34,17.37,14017742
2017-10-24,17.5,17.6,17.23,17.25,12550376
2017-10-25,17.2,17.41,17.03,17.16,17831055
2017-10-26,19.22,20.63,18.9,20.31,112277625
2017-10-27,20.18,21.96,20.15,21.68,63611092
2017-10-30,21.4,21.775,21.06,21.25,34019386
2017-10-31,21.26,21.56,20.46,20.62,28049247
2017-11-01,20.74,20.99,20.4,20.61,18828828
2017-11-02,20.5,20.63,19.64,19.71,24475142
2017-11-03,19.87,20.24,19.52,19.9,22259550
2017-11-06,19.78,19.85,19.26,19.39,25599266
2017-11-07,19.55,20.18,19.51,19.66,22238296
2017-11-08,19.7,19.98,19.37,19.59,16291257
2017-11-09,19.4,20.24,19.36,19.9,20253123
2017-11-10,19.79,20.58,19.74,20.32,16293315
2017-11-13,20.16,20.305,19.93,20.17,11804936
2017-11-14,20.17,20.445,19.88,20.05,11920093
2017-11-15,19.82,20.33,19.73,19.91,11191057
2017-11-16,20.06,20.49,19.985,20.36,12967827
2017-11-17,20.26,20.79,20.25,20.76,12846968
2017-11-20,20.78,21.26,20.7,21.13,16819873
2017-11-21,21.2,21.91,21.15,21.88,18339804
2017-11-22,21.9,22.4,21.8,22.27,21161825
2017-11-24,22.4,22.48,22.17,22.42,7584013
2017-11-27,22.36,22.4,21.7,21.82,19671432
2017-11-28,21.85,22.15,21.56,21.83,13845612
2017-11-29,21.82,22.11,20.52,20.79,23684010
2017-11-30,21.01,21.12,20.51,20.58,15823241
2017-12-01,20.52,20.98,20.12,20.71,15270829
2017-12-04,20.85,20.94,20.225,20.4,11639782
2017-12-05,20.3,20.93,20.3,20.77,10645291
2017-12-06,20.52,21.4,20.4,21.09,14023492
2017-12-07,21.12,21.45,20.97,21.01,11856354
2017-12-08,21.15,21.4,20.95,21.1,14870530
2017-12-11,21.1,22.2,21.1,22.05,17244434
2017-12-12,22.01,22.25,21.625,21.65,14296771
2017-12-13,21.77,21.98,21.52,21.66,17283630
2017-12-14,21.74,23.24,21.62,22.58,34074295
2017-12-15,22.61,22.86,22.185,22.23,17957632
2017-12-18,23.24,24.74,23.13,24.68,48965936
2017-12-19,24.59,25.49,23.92,25.08,46040812
2017-12-20,25.26,25.44,24.69,25.2,20687691
2017-12-21,25.055,25.56,24.7,25.05,19597687
2017-12-22,24.98,25.27,24.38,24.46,16112864
2017-12-26,24.26,24.57,24.13,24.26,10123099
2017-12-27,24.26,24.54,24.07,24.23,9118072
2017-12-28,24.25,24.6,24.17,24.31,9774658
2017-12-29,24.27,24.33,23.91,24.01,10393695
2018-01-02,24.07,24.57,23.85,24.51,15297229
2018-01-03,24.56,24.68,24.07,24.45,12832637
2018-01-04,24.5,24.59,23.685,23.99,17653544
2018-01-05,24.07,24.57,23.88,24.32,14953171
2018-01-08,24.37,24.78,23.88,24.59,17831260
2018-01-09,24.63,24.71,24.07,24.17,12587134
2018-01-10,24.0,24.42,23.76,24.25,10420723
2018-01-11,24.3,24.37,23.9,24.35,11670398
2018-01-12,24.94,25.85,24.93,25.41,37046059
2018-01-16,25.58,25.7089,24.51,24.66,32340744
2018-01-17,24.84,24.95,24.22,24.56,17026743
2018-01-18,24.5,24.52,23.72,24.04,21118485
2018-01-19,24.12,24.22,23.5,23.66,17529712
2018-01-22,23.17,23.5,22.86,23.32,23010628
2018-01-23,22.51,23.1691,22.41,22.75,35321246
2018-01-24,22.84,23.05,22.1,22.37,23186510
2018-01-25,22.5,22.68,22.04,22.16,15501687
2018-01-26,22.39,24.35,22.3,24.27,49683870
2018-01-29,24.4,25.55,24.1,25.18,52739620
2018-01-30,24.83,26.4,24.55,25.62,52388105
2018-01-31,25.61,26.65,25.14,25.81,40451922
2018-02-01,25.52,27.33,25.44,27.14,47582601
2018-02-02,26.56,27.0301,25.7,25.92,32492112
2018-02-05,25.37,26.64,24.1,25.13,33918379
2018-02-06,24.59,25.58,24.2,25.24,26646515
2018-02-07,25.83,27.08,25.76,26.91,48909339
2018-02-08,34.15,35.0,29.71,30.18,162434360
