date,open,high,low,close,volume
2017-06-08,81.2288,82.3613,80.6625,82.3418,4410227
2017-06-09,82.2344,82.6444,78.046,78.9833,6815668
2017-06-12,77.9288,79.3933,77.7803,79.1297,6746350
2017-06-13,79.4812,79.8619,78.6904,79.0711,4324759
2017-06-14,79.3347,79.5593,77.5578,78.2608,3944177
2017-06-15,77.47,78.4951,77.3431,78.1827,3061887
2017-06-16,77.9581,78.3291,77.1478,77.8117,6246751
2017-06-19,78.4658,79.5202,78.3779,79.4909,3569105
2017-06-20,79.2371,79.3054,77.6555,77.6848,3831267
2017-06-21,77.8117,78.0265,77.3528,77.7824,4318627
2017-06-22,78.0558,78.1534,77.0795,77.1771,3327555
2017-06-23,77.1869,78.1241,76.7768,77.6945,4052576
2017-06-26,78.1436,78.1924,76.3863,76.4546,4913133
2017-06-27,76.152,76.4156,75.1171,75.1268,5796978
2017-06-28,75.7712,76.357,75.1268,76.2105,6362093
2017-06-29,75.6638,76.0836,74.1212,75.078,6644609
2017-06-30,75.8493,75.8493,74.7949,75.1073,4696112
2017-07-03,75.615,75.7956,74.5899,74.5996,3494169
2017-07-05,74.8144,75.6736,74.4337,75.0878,6680753
2017-07-06,74.3849,75.8493,74.3849,75.039,5047044
2017-07-07,75.4783,76.7963,75.4783,76.6206,5342898
2017-07-10,76.5718,77.2161,76.0787,76.9135,3611514
2017-07-11,76.9135,77.2698,76.4253,77.1673,2729195
2017-07-12,77.5774,78.6318,77.5774,78.6123,3891673
2017-07-13,78.5049,79.0614,78.3633,78.6318,3372770
2017-07-14,79.0321,80.1646,78.9326,80.0572,3654684
2017-07-17,79.8815,80.0572,79.5495,79.7253,2972712
2017-07-18,79.569,80.2573,79.2273,80.2134,2773503
2017-07-19,80.5356,80.7406,79.9205,80.2134,3133520
2017-07-20,80.2525,80.848,79.9226,80.7308,3766700
2017-07-21,79.53,80.0572,79.0809,79.7643,4597561
2017-07-24,79.9205,79.9276,78.6904,79.0028,4350935
2017-07-25,79.1297,79.9889,78.6708,79.4616,6439703
2017-07-26,81.0335,82.2441,80.0181,80.5746,6982993
2017-07-27,80.6679,81.0657,78.669,79.5334,7152754
2017-07-28,78.9932,79.6022,78.6297,79.278,5228009
2017-07-31,79.3959,80.2112,79.3468,79.9361,5954583
2017-08-01,80.1522,80.388,79.5825,80.2603,3366103
2017-08-02,80.555,80.555,79.2093,79.8674,3179849
2017-08-03,79.8576,80.2799,79.5285,79.9165,2748469
2017-08-04,80.1817,80.5058,79.8084,79.9853,2325552
2017-08-07,79.9951,80.7416,79.9951,80.7121,2827728
2017-08-08,80.5353,82.2052,80.4371,80.9872,7184617
2017-08-09,80.5157,80.8496,79.9361,80.8202,4274007
2017-08-10,80.3487,80.5451,78.8557,78.9342,4469194
2017-08-11,79.1503,79.8968,79.003,79.4548,3426144
2017-08-14,80.0344,80.7514,79.7624,80.5943,3788615
2017-08-15,80.6139,80.8496,80.2406,80.496,3750250
2017-08-16,80.9577,81.1934,80.496,80.997,3291940
2017-08-17,80.496,80.7023,78.669,78.728,4151501
2017-08-18,78.669,79.2584,78.5217,78.5512,3626698
2017-08-21,78.7181,78.8164,78.1877,78.4726,3347304
2017-08-22,78.9146,79.6906,78.6396,79.3173,4359218
2017-08-23,78.8164,79.6808,78.6494,79.4548,4109286
2017-08-24,79.72,80.0491,79.3861,79.8084,3511122
2017-08-25,80.1326,80.4469,79.5039,79.5432,2627684
2017-08-28,79.9951,80.2112,79.1503,79.3271,3088454
2017-08-29,78.6592,79.8084,78.6101,79.5923,3729606
2017-08-30,79.7692,80.9479,79.6611,80.8496,4522163
2017-08-31,80.9773,81.4783,80.6728,81.3506,4411338
2017-09-01,81.272,81.6391,80.9184,81.0756,2665479
2017-09-05,80.8595,81.0264,79.8281,80.3978,3692998
