date,open,high,low,close,volume
2017-06-20,47.9037,47.9836,46.7953,46.8152,982396
2017-06-21,46.9351,47.005,46.0014,46.1262,1609879
2017-06-22,46.1262,46.4358,45.2824,45.3073,1666748
2017-06-23,45.3073,46.0463,44.9378,45.7168,5240563
2017-06-26,45.8266,46.0663,45.4771,45.5071,1460062
2017-06-27,45.527,46.5317,45.4471,46.3858,2597618
2017-06-28,46.6754,47.2546,46.5606,46.9151,899406
2017-06-29,47.015,47.4344,46.1661,46.5756,1161619
2017-06-30,46.8452,47.3345,46.5856,47.0349,1169945
2017-07-03,47.3245,47.9337,46.9351,47.6641,454347
2017-07-05,47.6441,48.0735,47.4843,47.9637,1317552
2017-07-06,47.9037,48.0286,47.3445,47.3645,1375963
2017-07-07,47.5143,48.2832,47.4643,47.9936,1168038
2017-07-10,48.0136,48.7126,47.7939,48.453,930627
2017-07-11,48.453,48.7925,48.0288,48.6627,1188140
2017-07-12,48.9323,49.192,48.6128,48.7426,1080513
2017-07-13,48.8924,49.2019,48.7626,49.1221,932128
2017-07-14,49.2918,49.7013,49.2319,49.5714,967662
2017-07-17,49.4716,49.7911,49.2818,49.4516,912057
2017-07-18,49.3418,49.7013,49.1221,49.4716,1872452
2017-07-19,50.0308,50.0807,48.413,48.6028,3114123
2017-07-20,48.6827,49.7013,48.5129,48.5628,2187481
2017-07-21,47.9337,48.6277,47.7739,48.423,2538195
2017-07-24,48.3831,48.8175,48.1334,48.7226,1464034
2017-07-25,49.152,49.4716,48.5678,49.2219,1499214
2017-07-26,49.3617,49.6513,48.6427,49.0422,1125221
2017-07-27,49.0322,49.0322,48.1234,48.433,978101
2017-07-28,48.423,49.2619,48.1134,49.182,953305
2017-07-31,49.182,49.2619,48.9024,49.0621,1078882
2017-08-01,49.1221,49.2718,48.9623,49.2419,808450
2017-08-02,49.2918,49.6713,49.0422,49.2918,1174672
2017-08-03,49.2019,49.3418,48.8524,48.9723,1011735
2017-08-04,49.1221,49.2718,48.9623,49.2419,808450
2017-08-07,49.2718,49.3717,48.6926,49.3318,858035
2017-08-08,49.2319,49.4216,48.8424,48.9922,1047286
2017-08-09,49.0022,49.182,48.443,49.0621,1275822
2017-08-10,48.8824,48.9922,48.1634,48.1734,1172572
2017-08-11,48.1134,48.6677,47.684,48.413,966039
2017-08-14,48.7925,49.0821,48.443,48.8824,637713
2017-08-15,48.9123,49.0821,48.7626,49.0222,697294
2017-08-16,49.1021,49.5215,48.9323,49.0621,1050877
2017-08-17,48.9223,48.9922,48.0336,48.0535,910352
2017-08-18,47.9736,48.0236,47.4843,47.6241,1037036
2017-08-21,47.694,47.694,47.1747,47.4643,1021145
2017-08-22,47.6341,48.1534,47.4344,47.9936,1211788
2017-08-23,47.8239,48.3931,47.7316,47.9237,1143919
2017-08-24,48.0036,48.1134,47.6541,47.8738,918482
2017-08-25,48.1334,48.5528,47.8838,48.3631,1244130
2017-08-28,48.473,48.6227,47.9637,48.0236,730408
