date,open,high,low,close,volume
2017-06-08,38.7499,38.7982,38.0873,38.6338,967563
2017-06-09,38.6241,38.9723,38.4113,38.9046,1083496
2017-06-12,38.2662,38.7402,38.2662,38.4307,1272857
2017-06-13,38.4693,38.6628,38.0824,38.3533,1743275
2017-06-14,38.6918,38.7789,38.2856,38.4016,1083420
2017-06-15,38.3243,38.9529,38.2759,38.6918,970395
2017-06-16,38.7982,39.0014,38.7499,38.8756,1748683
2017-06-19,38.9433,39.3786,38.8853,39.1658,969969
2017-06-20,39.2238,39.2722,38.508,38.9433,985717
2017-06-21,38.9627,38.982,38.479,38.7886,900317
2017-06-22,38.7015,38.8079,38.1646,38.3339,1516672
2017-06-23,38.3726,38.6338,38.2614,38.3726,1769116
2017-06-26,38.4887,38.6725,38.2517,38.4307,1289614
2017-06-27,38.2662,38.4307,37.8116,37.9277,1355216
2017-06-28,38.0147,38.1308,37.6955,37.7632,1484625
2017-06-29,37.5698,37.9857,37.3666,37.918,1444393
2017-06-30,37.9567,38.1985,37.6278,37.6955,1337386
2017-07-03,37.8309,38.0631,37.5504,38.0147,512616
2017-07-05,38.0244,38.4065,37.8841,38.0631,1347333
2017-07-06,37.9461,38.0143,37.0491,37.1174,1508169
2017-07-07,37.1759,37.4196,37.0686,37.2149,1322885
2017-07-10,37.2929,37.4293,36.8834,36.8834,1169968
2017-07-11,37.0004,37.0491,36.4349,36.8054,907080
2017-07-12,37.1369,37.3611,36.976,37.0491,1082614
2017-07-13,37.0491,37.1174,36.8249,36.8541,720730
2017-07-14,37.0394,37.2831,36.9809,37.2051,1251036
2017-07-17,37.1856,37.6536,37.1661,37.5853,688367
2017-07-18,37.5463,37.8096,37.2538,37.6438,1560219
2017-07-19,37.7023,38.1508,37.6682,38.1411,879431
2017-07-20,38.1606,38.4336,38.1021,38.2873,1311995
2017-07-21,38.2873,38.4628,38.0826,38.3848,1167216
2017-07-24,38.3848,38.4433,38.0728,38.1606,1562728
2017-07-25,38.3166,38.3166,37.6731,37.7121,840536
2017-07-26,37.7023,38.3946,37.5073,38.2093,828197
2017-07-27,37.4391,37.8876,37.0491,37.7121,2014551
2017-07-28,37.7998,38.4628,37.7121,38.3361,1442006
2017-07-31,38.3458,38.396,37.9656,38.1118,1368909
2017-08-01,38.1996,38.3946,38.0143,38.1216,1135181
2017-08-02,37.9851,38.2093,37.8388,38.0533,969817
2017-08-03,37.8778,38.3531,37.7023,37.8096,1166427
2017-08-04,37.8096,38.068,37.6438,37.6731,1162886
2017-08-07,37.6828,37.8778,37.5463,37.7608,700015
2017-08-08,37.5853,37.7901,37.4391,37.6828,1885175
2017-08-09,37.8096,38.0143,37.5366,37.8486,1154803
2017-08-10,37.8096,37.9558,37.6926,37.8291,852063
2017-08-11,37.8778,37.8778,37.4488,37.5073,721320
2017-08-14,37.6731,38.0826,37.5853,38.0338,770919
2017-08-15,37.9851,38.1703,37.7511,38.1508,1230745
2017-08-16,38.4043,38.5311,37.8778,37.9558,1278756
2017-08-17,37.9656,38.3361,37.8486,38.2483,1138657
2017-08-18,38.1801,38.2093,37.8778,37.9851,837171
2017-08-21,38.1021,38.4969,37.9851,38.3556,908420
2017-08-22,38.3556,38.5701,38.1118,38.2776,1065109
2017-08-23,38.3263,38.5213,38.2191,38.3556,1131251
2017-08-24,38.4726,38.5603,38.0777,38.1606,2408857
2017-08-25,38.2483,38.3556,37.9753,38.0631,1538207
2017-08-28,38.0728,38.1313,37.7706,37.9558,1492900
2017-08-29,38.0143,38.1606,37.6926,37.7511,1143404
2017-08-30,37.6731,37.8388,37.4488,37.7706,1474653
2017-08-31,37.8486,37.99,37.7316,37.8486,2049552
2017-09-01,37.9071,38.0728,37.7803,37.8681,992201
2017-09-05,37.8583,38.1411,37.7218,38.0923,1585919
2017-09-06,38.1606,38.3263,37.9997,38.0826,1104999
2017-09-07,38.1606,38.4921,37.9753,38.4433,1271582
2017-09-08,38.4628,38.7066,38.3946,38.5603,2095598
2017-09-11,38.6383,38.8723,38.5213,38.7943,1335853
2017-09-12,38.7553,38.7553,37.9753,38.2093,1970369
