date,open,high,low,close,volume
2017-06-20,114.8092,115.2178,113.5936,113.7231,576008
2017-06-21,114.1217,114.9686,112.0889,112.8163,726720
2017-06-22,112.8263,116.1245,112.5274,114.7993,841696
2017-06-23,115.2277,115.3772,113.9523,115.0185,1087706
2017-06-26,115.1879,116.5131,114.6697,115.4669,379971
2017-06-27,115.4569,118.3765,115.4569,117.6192,900027
2017-06-28,118.2768,121.0569,118.227,119.9907,970253
2017-06-29,120.1999,122.0932,119.3829,121.4455,1123663
2017-06-30,121.8839,122.1629,120.5487,121.6448,698703
2017-07-03,121.9038,121.9985,121.017,121.1067,314311
2017-07-05,121.2761,122.0732,120.8476,121.8839,509153
2017-07-06,121.2063,121.3533,118.9245,119.3131,511945
2017-07-07,119.8312,121.7942,119.1238,121.6049,675520
2017-07-10,121.3558,121.6846,120.1401,121.3159,472324
2017-07-11,121.4355,122.0932,120.6981,121.7045,559845
2017-07-12,122.412,122.9999,121.7544,122.3722,715579
2017-07-13,122.6611,123.0746,121.6149,122.6312,588393
2017-07-14,122.5117,123.807,120.5885,123.7173,409390
2017-07-17,123.6775,124.098,122.6113,123.6576,710873
2017-07-18,124.0063,124.1956,122.1629,123.0198,524611
2017-07-19,122.9302,123.8668,122.5415,123.2391,550749
2017-07-20,123.2889,125.6504,123.1942,124.5543,865037
2017-07-21,124.375,124.654,123.5579,123.9764,443517
2017-07-24,123.9465,124.5444,123.4682,123.8867,663512
2017-07-25,122.9601,123.7771,120.2796,122.4618,1195775
2017-07-26,118.4163,118.4163,110.7737,112.4776,3511053
2017-07-27,111.5309,112.0292,109.3288,109.9665,1496122
2017-07-28,109.9566,111.7103,109.3089,111.1025,1413262
2017-07-31,111.3715,111.3715,108.8705,110.4349,981069
2017-08-01,110.4747,110.6541,108.0335,108.2527,1043583
2017-08-02,110.4747,110.6541,108.0335,108.2527,1043603
2017-08-03,108.1132,108.9203,107.3758,107.9936,840840
2017-08-04,108.4121,108.4121,107.3459,107.7046,587468
2017-08-07,107.6349,107.9936,106.6584,106.8676,734346
2017-08-08,106.4491,108.0733,105.5324,106.9772,673325
2017-08-09,107.2263,107.2562,105.5573,106.4691,1025327
2017-08-10,106.1004,106.4491,104.5559,104.9943,1271262
2017-08-11,105.4029,107.9338,104.7851,107.2064,852168
2017-08-14,107.7246,108.1331,107.1466,107.3061,857753
2017-08-15,107.9338,108.3424,107.1965,107.8641,659461
2017-08-16,107.7744,108.3721,107.7744,108.2925,421022
2017-08-17,107.8043,108.8206,106.2917,106.7979,1159692
2017-08-18,106.6086,108.6214,106.1901,107.605,765169
2017-08-21,107.7644,108.5317,107.2562,107.4555,610647
2017-08-22,107.5253,108.2327,107.037,108.0932,401728
2017-08-23,107.7345,108.0036,107.0071,107.5851,290337
2017-08-24,107.9537,108.9651,107.5502,108.2327,320911
2017-08-25,108.4221,109.2391,107.7445,108.5516,286411
2017-08-28,108.7907,109.3986,108.1829,108.6811,748890
2017-08-29,108.0036,108.0036,106.2299,106.5488,694185
2017-08-30,106.5487,106.9477,105.6112,106.2595,790300
2017-08-31,106.818,108.4936,106.4989,107.8453,529572
2017-09-01,107.9351,109.092,107.4963,108.8128,767526
2017-09-05,108.733,109.2815,107.576,107.7655,604505
2017-09-06,108.2941,108.2941,106.2396,107.1871,540011
2017-09-07,107.1771,110.4784,107.1771,109.7603,1235602
2017-09-08,109.2317,110.5382,108.8926,110.2091,439494
2017-09-11,111.1466,112.4731,110.1492,112.2936,803220
2017-09-12,112.1938,112.3933,111.396,112.1639,470806
2017-09-13,112.1739,112.3036,110.9571,111.2663,291343
2017-09-14,111.2065,111.5456,110.1692,111.2663,414595
2017-09-15,111.2663,111.4009,109.865,110.3786,661309
2017-09-18,110.5981,110.6978,107.9451,108.6332,725959
2017-09-19,108.6432,108.7529,106.5388,107.7057,650639
2017-09-20,107.6259,109.88,107.3466,109.86,533744
2017-09-21,109.9597,109.9597,107.985,108.1445,540085
2017-09-22,108.5834,109.6954,108.0897,109.0023,525113
2017-09-25,108.6233,109.6905,107.3067,107.606,579851
2017-09-26,108.0747,108.9923,107.6359,108.723,679166
2017-09-27,109.0122,109.7952,108.0149,109.491,640146
2017-09-28,109.3314,109.7004,108.4138,109.4411,547866
2017-09-29,109.2416,110.8474,109.2416,110.6479,621941
2017-10-02,110.7776,112.4532,110.7776,111.9345,973604
2017-10-03,111.9545,112.4432,110.633,112.3135,424697
2017-10-04,112.6028,113.6899,111.4059,111.8049,570257
2017-10-05,111.6253,112.5629,111.5655,111.8448,626096
2017-10-06,111.4957,112.2736,109.6506,109.85,667481
2017-10-09,109.7004,109.7004,106.449,106.848,795411
2017-10-10,107.1172,108.2044,105.2921,106.2994,727975
2017-10-11,106.2096,107.576,106.2096,107.4663,810689
2017-10-12,107.1671,107.207,104.943,105.6411,1057552
2017-10-13,102.6291,105.8007,100.9934,105.2721,1203799
2017-10-16,104.9829,105.7908,104.5241,105.322,1003872
2017-10-17,105.8506,108.8128,105.2322,108.1745,1400064
2017-10-18,108.4737,110.0495,108.1246,108.2343,814615
2017-10-19,107.9052,110.618,107.4165,110.249,805400
2017-10-20,110.7876,112.7623,110.1293,112.5529,1359783
2017-10-23,112.7723,113.5602,112.3734,112.6626,464607
2017-10-24,112.4631,112.8721,110.8973,111.2065,1038363
2017-10-25,110.2091,110.3387,106.2795,110.2091,1816509
2017-10-26,109.102,109.2915,102.7588,103.5866,2763048
2017-10-27,103.5866,104.7944,102.2501,103.2175,1249657
2017-10-30,102.8585,103.6464,101.0433,102.0107,1116108
2017-10-31,101.891,103.786,101.5519,102.4296,777961
2017-11-01,102.1803,102.8385,100.5147,101.8512,1338530
2017-11-02,101.3924,103.1776,101.3924,102.1304,942431
2017-11-03,102.5493,102.5493,101.153,101.3425,656496
