date,open,high,low,close,volume
2017-06-20,46.8057,46.9432,46.1477,46.1772,948638
2017-06-21,46.2656,46.2656,44.9005,45.0085,1283379
2017-06-22,44.8219,44.8809,44.2229,44.5371,1210493
2017-06-23,44.655,44.7531,44.1409,44.3014,1681646
2017-06-26,44.4487,44.871,44.0068,44.5568,896312
2017-06-27,44.6943,45.1067,44.4782,44.7532,861729
2017-06-28,45.1951,45.7058,45.1951,45.6076,689946
2017-06-29,46.4522,46.7468,45.3719,45.7353,953876
2017-06-30,46.0004,46.0299,45.421,45.7942,1140885
2017-07-03,46.2067,47.0414,46.0299,46.3834,720122
2017-07-05,46.4522,46.5406,45.9513,46.2656,1182294
2017-07-06,46.2754,47.12,46.0986,46.4718,1195493
2017-07-07,46.5897,46.8646,46.2459,46.6879,831804
2017-07-10,46.629,47.0709,46.6093,46.7861,919721
2017-07-11,46.8352,46.9334,46.4915,46.6093,749518
2017-07-12,46.57,46.8108,46.3147,46.5602,854271
2017-07-13,46.5798,47.3311,46.5111,47.2869,848965
2017-07-14,46.7075,47.0218,46.4718,46.8057,816878
2017-07-17,46.6977,47.0611,46.3834,46.9432,697656
2017-07-18,46.5602,46.9012,46.2263,46.8057,646919
2017-07-19,46.9138,47.2771,46.7664,47.2771,928298
2017-07-20,47.3164,47.5423,46.8646,46.8843,876630
2017-07-21,46.845,47.2084,46.7173,46.9432,977731
2017-07-24,46.9334,47.4146,46.6977,47.2968,821669
2017-07-25,47.9646,48.0922,47.6994,47.7878,919976
2017-07-26,47.7878,47.994,47.2084,47.3655,650204
2017-07-27,47.4938,48.0365,47.1188,47.7997,1020698
2017-07-28,48.3227,49.2996,47.701,49.1417,1379653
2017-07-31,49.4378,50.0002,49.3786,49.4674,1365827
2017-08-01,49.7535,49.9213,49.1516,49.6549,1420140
2017-08-02,49.3391,49.9213,49.2799,49.566,1174811
2017-08-03,49.5956,49.8818,49.3588,49.5167,1072824
2017-08-04,49.8917,50.4245,49.8325,50.1285,884520
2017-08-07,50.0989,50.3159,49.867,49.9311,700368
2017-08-08,49.793,50.7502,49.793,50.0792,881870
2017-08-09,49.7239,50.1088,49.5068,50.089,1318258
2017-08-10,49.7338,49.8432,49.2404,49.2799,1545680
2017-08-11,49.418,49.6943,48.9888,49.043,743811
2017-08-14,49.5858,49.8226,49.1615,49.2009,1145032
2017-08-15,49.6746,49.9015,49.2897,49.3983,981821
2017-08-16,49.5956,49.7289,48.747,48.8457,1192793
2017-08-17,48.6681,48.8654,47.4938,47.5234,1761216
2017-08-18,47.3655,47.6319,47.1188,47.2964,1608398
2017-08-21,47.2964,47.4346,46.5662,46.7044,1675570
2017-08-22,46.8919,47.2175,46.8919,47.2076,1397830
2017-08-23,46.9017,47.6319,46.5662,47.3063,1076108
2017-08-24,47.3655,47.849,47.2668,47.7405,1602388
2017-08-25,47.9082,48.0957,47.6813,47.9082,707987
2017-08-28,47.9181,48.0217,47.5135,47.6319,657469
2017-08-29,46.9511,47.4149,46.8721,47.2964,768128
2017-08-30,47.3359,47.6616,47.3359,47.5135,755951
2017-08-31,47.6813,47.8096,47.3754,47.5431,1137035
2017-09-01,47.701,48.1352,47.5727,47.9576,627316
2017-09-05,47.553,47.5727,46.734,46.9511,1477003
2017-09-06,47.1583,47.405,47.0399,47.1386,1152307
2017-09-07,47.0793,47.0793,45.4709,45.8163,1536956
2017-09-08,45.7472,46.6057,45.6386,46.4873,861356
2017-09-11,47.1682,47.6023,46.9313,47.405,952500
2017-09-12,47.6122,47.9675,47.4642,47.8885,743197
2017-09-13,47.701,47.8885,47.4346,47.8293,963145
2017-09-14,47.8392,47.8392,47.2964,47.4247,802977
2017-09-15,47.2471,47.7997,47.1386,47.7898,1962278
2017-09-18,47.8786,48.4559,47.8194,48.3227,1131278
2017-09-19,48.372,48.8161,48.2487,48.6089,1041066
2017-09-20,48.7963,49.3884,48.5202,49.0233,933318
2017-09-21,49.0628,49.5364,48.8309,49.3687,967433
2017-09-22,49.1417,49.5463,49.0628,49.4575,607626
2017-09-25,49.2996,49.8621,49.2996,49.7239,623806
2017-09-26,49.6943,50.02,49.5068,49.8522,664942
2017-09-27,50.5726,50.8193,50.2864,50.6515,904918
2017-09-28,50.6022,50.6712,50.0545,50.4147,1011307
2017-09-29,50.3456,50.612,50.2173,50.4541,787577
2017-10-02,50.5923,51.0659,50.316,50.9278,842111
2017-10-03,50.8982,50.9969,50.2667,50.8489,827902
2017-10-04,50.7403,51.135,50.6811,50.9574,682730
2017-10-05,50.9771,51.7074,50.7304,51.6087,673647
2017-10-06,51.8948,52.0527,51.3521,51.8455,698099
2017-10-09,51.9639,51.9837,51.5199,51.5988,661498
2017-10-10,51.5988,51.8352,51.3422,51.737,762101
2017-10-11,51.6087,51.6679,51.1548,51.5396,807101
2017-10-12,51.5692,51.7172,51.283,51.3225,996545
2017-10-13,51.214,51.6778,50.8883,51.283,1001174
2017-10-16,51.4804,51.8455,51.3324,51.7271,589098
2017-10-17,51.9146,51.9935,51.1942,51.3126,835698
2017-10-18,51.3817,51.6087,51.2436,51.5001,512864
2017-10-19,51.1646,51.5889,50.9574,51.5889,611359
2017-10-20,52.1711,52.2106,51.5396,51.5988,903747
2017-10-23,51.6383,51.8554,51.4903,51.6679,971575
2017-10-24,51.9639,52.2205,51.7666,52.1218,902692
2017-10-25,52.1909,52.2303,51.2534,51.5297,959492
2017-10-26,51.9639,52.4474,51.4607,52.2303,1729209
2017-10-27,52.1114,52.3195,51.7645,51.9826,941395
2017-10-30,51.7051,52.161,51.5762,51.933,1669839
2017-10-31,51.8141,52.1064,51.5167,51.5762,1090418
2017-11-01,51.824,52.3195,51.5068,51.5366,1506221
2017-11-02,51.5068,52.6169,51.3284,52.4385,1926232
2017-11-03,52.2799,52.5078,51.8042,51.9925,1529606
2017-11-06,52.27,52.6961,52.0718,52.597,1279616
2017-11-07,52.5871,52.8844,52.1212,52.2303,1530847
2017-11-08,52.1213,52.3096,51.8438,52.1709,1295204
2017-11-09,51.933,52.2303,51.6951,52.0618,1340047
2017-11-10,52.0618,52.1411,51.8339,51.9528,1731182
2017-11-13,51.7348,52.5864,51.7348,52.3493,1728329
2017-11-14,52.0916,52.4979,51.9231,52.3394,1500871
2017-11-15,51.7943,52.6561,51.7051,52.4186,1795340
2017-11-16,52.716,53.1322,52.6069,52.7754,1776409
2017-11-17,52.5475,53.1223,52.4583,52.9836,1296656
2017-11-20,53.162,53.4196,52.9836,53.3998,1028014
2017-11-21,53.5187,53.7368,53.2115,53.3899,739530
2017-11-22,53.3899,53.6179,53.2908,53.4196,938614
2017-11-24,53.5386,53.7269,53.4494,53.6079,542625
2017-11-27,53.6079,53.7368,53.4295,53.4593,902224
2017-11-28,53.6079,54.9063,53.489,54.7378,1452236
2017-11-29,55.1243,56.1154,55.055,55.9172,1583539
2017-11-30,56.3136,56.8587,55.8974,56.1154,2244698
2017-12-01,56.2145,56.4325,54.5792,55.9766,1448115
2017-12-04,56.8389,56.9776,56.4722,56.5118,982948
2017-12-05,56.6704,56.8984,55.9073,56.0163,962263
2017-12-06,55.9172,56.3334,55.7982,55.8379,838673
2017-12-07,55.5703,56.4028,55.5703,56.2839,642139
2017-12-08,56.4425,56.9876,56.3632,56.9776,775639
2017-12-11,56.9776,57.0371,55.9965,56.1451,1292450
2017-12-12,56.3136,56.3136,55.4415,55.8974,2475199
2017-12-13,55.7883,55.9221,54.4405,54.4504,2318596
2017-12-14,54.5098,54.6238,53.6575,53.7764,2347077
2017-12-15,53.7071,54.0738,53.4791,53.5485,2648711
2017-12-18,53.8854,54.0242,53.3602,53.4692,2536115
2017-12-19,53.6674,53.9499,53.4989,53.7269,3032215
2017-12-20,54.1332,54.4305,53.8656,54.3116,1220708
2017-12-21,54.5197,54.936,54.2918,54.3413,1210401
2017-12-22,54.49,54.5891,53.9053,54.3017,888333
2017-12-26,54.2621,54.6387,54.1729,54.2621,384114
2017-12-27,54.272,54.381,54.0738,54.2621,895431
2017-12-28,54.4702,54.6734,54.2411,54.6486,805337
2017-12-29,54.8567,54.9459,54.4008,54.4008,698764
2018-01-02,54.9459,55.0847,54.1134,54.3711,1744580
2018-01-03,54.3612,54.8666,54.2621,54.7675,2057745
2018-01-04,55.0847,55.719,54.9657,55.2531,1057431
2018-01-05,55.5009,55.5356,54.9856,55.491,1031072
2018-01-08,55.5505,56.0361,55.3324,55.9667,1571581
2018-01-09,56.2145,56.9083,56.155,56.4524,1218997
2018-01-10,56.5118,57.3344,56.2244,57.0074,1838038
2018-01-11,57.384,57.9786,57.3245,57.7011,1270240
2018-01-12,58.0877,58.2066,57.7705,58.0678,997333
2018-01-16,57.6714,57.6714,54.8765,55.045,3415045
2018-01-17,55.3423,56.046,55.154,55.8478,2260782
2018-01-18,56.1154,56.4524,55.5406,55.6397,1209202
2018-01-19,55.8379,56.0163,55.0549,55.491,1822962
2018-01-22,55.5207,55.6595,55.2432,55.6,1130918
2018-01-23,55.3622,55.937,55.1937,55.6991,1141211
2018-01-24,55.9866,56.6109,55.3671,55.4613,1611989
2018-01-25,55.6793,55.6892,54.4702,54.5396,1686272
2018-01-26,54.7685,55.5448,54.5894,55.4751,1668922
2018-01-29,55.5249,56.0126,54.9875,54.9974,1314520
2018-01-30,54.4202,54.6391,53.415,53.415,2003942
2018-01-31,53.3453,53.5343,52.783,52.9372,3014247
2018-02-01,52.141,54.0619,50.1605,53.0268,4222395
2018-02-02,52.9472,54.4699,52.4297,52.4595,2412993
2018-02-05,51.8425,52.3451,49.9614,50.1904,2452762
2018-02-06,48.9363,50.6482,48.2596,50.3994,2371869
2018-02-07,50.1306,50.9866,49.9714,50.3396,2824687
2018-02-08,50.3994,50.3994,47.6127,47.6425,2511465
2018-02-09,48.2098,49.3942,47.3041,48.9762,2096708
2018-02-12,49.3543,50.688,49.0359,50.2401,3594885
2018-02-13,50.4093,50.9169,49.9415,50.5785,3265302
2018-02-14,50.2202,52.35,50.1705,52.2008,1587633
2018-02-15,52.5491,52.8477,51.5638,51.9022,1415516
2018-02-16,51.5937,52.559,50.8174,52.2008,1927053
2018-02-20,52.0216,52.4297,51.8126,52.0913,1455373
2018-02-21,52.141,52.6088,51.7131,51.733,1360669
2018-02-22,51.8624,51.9818,50.9169,51.0164,2302407
2018-02-23,51.1657,51.524,50.9866,51.4842,1091512
2018-02-26,51.7131,52.2505,51.524,52.1609,1026920
2018-02-27,52.1012,52.8079,51.6932,51.6932,1394677
2018-02-28,51.9719,52.2008,50.7079,50.7178,1942716
2018-03-01,50.6581,50.9069,48.8766,49.0757,2398822
2018-03-02,48.6975,49.0259,47.5629,48.9164,1940069
2018-03-05,48.4785,50.0908,48.2894,49.7226,1431433
2018-03-06,49.9415,50.0013,49.0458,49.7226,1304145
2018-03-07,49.0856,49.8321,48.9762,49.7027,1267308
2018-03-08,49.8221,49.8221,48.8567,49.3942,1229580
2018-03-09,49.9415,50.9866,49.5733,50.9467,1383369
2018-03-12,50.9069,51.0861,50.3994,50.4491,1578552
2018-03-13,50.8771,50.9567,49.9714,50.0809,1080733
2018-03-14,50.3595,50.5088,49.1453,49.2747,1108480
2018-03-15,49.5633,50.0013,49.2498,49.5733,1054001
2018-03-16,49.7624,50.5437,49.5733,50.0411,2400469
2018-03-19,50.0709,50.26,49.1055,49.633,1227182
2018-03-20,49.9714,50.27,49.8122,50.0311,851778
2018-03-21,50.2003,50.9268,49.9017,50.3894,1104422
2018-03-22,49.7027,49.9117,48.2894,48.389,1169975
2018-03-23,48.5681,48.6975,46.6473,46.7568,1399685
2018-03-26,47.6326,48.0904,46.8812,48.0108,2346826
2018-03-27,48.0207,48.389,46.9558,47.2444,1527851
2018-03-28,47.3639,47.6226,46.4781,47.0653,1797748
2018-03-29,47.4136,47.8316,47.1648,47.3838,1383860
2018-04-02,47.4435,47.7321,45.6918,46.4582,1766731
2018-04-03,46.916,47.1349,46.2591,46.9458,1512503
2018-04-04,46.08,47.5928,46.08,47.4534,1078118
2018-04-05,47.7918,47.9909,47.334,47.7221,1357452
2018-04-06,47.2743,47.3838,45.9904,46.3686,1700123
2018-04-09,46.7767,47.2444,46.1596,46.2293,1831132
2018-04-10,46.9956,47.747,46.8165,47.4037,1505927
2018-04-11,46.8563,47.0852,46.5129,46.5876,1150466
2018-04-12,46.9658,47.9411,46.8115,47.762,1189030
2018-04-13,48.1501,48.2496,47.1449,47.2842,1116549
2018-04-16,47.7321,48.0008,47.4435,47.7221,1590534
2018-04-17,48.0804,48.0804,47.2245,47.334,1134409
2018-04-18,47.6027,47.8814,47.3639,47.8018,2713263
2018-04-19,47.8913,48.6179,47.8316,48.4984,1294726
2018-04-20,48.7174,48.797,48.2297,48.6477,1669578
2018-04-23,48.8766,48.9264,48.3591,48.5581,708725
2018-04-24,48.6776,49.0956,47.7321,48.0108,953250
2018-04-25,48.1202,48.4586,47.5032,48.2297,1062245
2018-04-26,48.1103,48.4487,47.7918,48.17,1142186
2018-04-27,48.0,48.96,47.97,48.92,1469675
2018-04-30,48.94,49.24,48.38,48.38,1292324
2018-05-01,48.21,48.38,47.59,47.9,1250175
2018-05-02,40.39,41.694,39.6,39.78,8186911
2018-05-03,39.36,40.0,38.93,39.05,3501516
2018-05-04,38.83,39.95,38.75,39.86,3922675
2018-05-07,39.94,39.98,39.42,39.61,2436279
2018-05-08,39.72,39.8,38.05,38.25,5605826
2018-05-09,38.21,38.26,37.64,37.76,3870395
2018-05-10,37.76,38.18,37.57,38.01,3074474
2018-05-11,38.13,38.78,37.8,37.95,2972367
2018-05-14,38.1,38.445,37.78,37.88,2439355
2018-05-15,37.88,38.4,37.83,38.11,2109059
2018-05-16,38.05,38.69,38.05,38.47,2761922
2018-05-17,38.53,39.11,38.43,38.86,2641804
2018-05-18,38.76,39.04,38.35,38.63,2966283
2018-05-21,38.95,39.01,38.66,38.79,966729
2018-05-22,38.81,39.14,38.74,39.07,1286375
