date,open,high,low,close,volume
2017-06-20,107.457,107.4764,106.2308,106.255,2081024
2017-06-21,106.4586,106.4973,105.5376,105.8478,2796937
2017-06-22,105.431,106.1968,105.3535,105.7315,1613613
2017-06-23,105.8769,107.8933,105.6249,106.8948,4352130
2017-06-26,107.2729,108.1355,107.1274,107.6121,2199684
2017-06-27,107.331,108.029,106.3132,106.3132,2154588
2017-06-28,107.0111,107.4861,106.2453,106.7106,2996373
2017-06-29,106.3616,106.8657,106.0708,106.4198,2208755
2017-06-30,106.8366,107.6121,106.3912,107.205,2178072
2017-07-03,107.5055,108.2169,107.1953,107.2244,1288219
2017-07-05,107.1856,107.7479,106.8657,107.1371,1628693
2017-07-06,106.7397,106.9723,105.7509,105.8963,1637242
2017-07-07,106.0902,107.2341,105.8188,106.982,1742740
2017-07-10,106.7203,107.205,106.4295,106.8366,1698733
2017-07-11,106.8754,106.9917,106.2065,106.7009,1785892
2017-07-12,107.2438,107.7091,106.7688,107.1856,2195960
2017-07-13,107.0402,108.1647,106.8027,107.7575,2285933
2017-07-14,107.6315,109.1632,107.457,108.9693,3275699
2017-07-17,108.4555,108.8239,107.966,108.6009,2615164
2017-07-18,108.5331,108.7172,108.1153,108.407,2142605
2017-07-19,108.3004,109.5315,107.8545,109.5315,2541764
2017-07-20,109.7448,109.7448,108.9887,109.1341,2237064
2017-07-21,108.9111,109.6382,108.7172,109.231,1772938
2017-07-24,109.0371,109.1341,108.5524,108.7172,2296092
2017-07-25,109.3764,110.278,108.979,109.7545,2219359
2017-07-26,110.0647,110.1616,108.7463,108.853,2978405
2017-07-27,107.6024,107.6024,103.7055,104.4907,7446537
2017-07-28,105.0626,106.5458,104.6264,106.3035,4274849
2017-07-31,106.6718,107.5976,106.5944,106.9142,3564234
2017-08-01,106.507,108.0387,106.4876,107.8545,2253084
2017-08-02,106.507,108.0387,106.4876,107.8545,2256116
2017-08-03,107.5734,108.3586,107.4393,108.1065,2515286
2017-08-04,108.2035,108.6591,107.7188,108.6203,2185439
2017-08-07,108.5718,108.599,108.0096,108.4361,1696021
2017-08-08,109.5412,109.7351,108.378,108.4652,2809476
2017-08-09,108.5428,109.0565,108.3004,108.9693,1888701
2017-08-10,108.9303,109.2037,108.2955,108.3248,2058232
2017-08-11,108.8814,109.8483,108.6861,108.8326,2077867
2017-08-14,109.5553,111.1276,109.4674,111.03,2424918
2017-08-15,111.0202,111.7526,110.8444,111.5085,1985838
2017-08-16,111.5964,112.6413,111.5476,112.0749,2196283
2017-08-17,111.9187,112.1237,110.2633,110.278,2439860
2017-08-18,110.2877,111.528,110.0436,110.6881,2249273
2017-08-21,110.6881,111.528,110.529,111.1667,1455218
2017-08-22,111.3327,112.153,111.1764,111.9187,1594145
2017-08-23,111.4499,111.4499,110.61,110.8932,1528406
2017-08-24,111.1764,111.2936,110.5905,110.6979,1147527
2017-08-25,111.0788,111.4401,110.6784,110.7467,2015061
2017-08-28,111.1276,111.3913,110.9225,111.1276,1928017
2017-08-29,110.8932,112.3191,110.317,112.2019,2083098
2017-08-30,112.1921,112.9363,112.1823,112.28,1968539
2017-08-31,112.7683,112.7683,111.2253,111.6843,3262164
2017-09-01,112.0359,112.3484,111.7136,111.7136,1549241
2017-09-05,111.4401,111.694,110.8835,111.2546,1771522
2017-09-06,111.5768,111.8796,111.069,111.1471,2144441
2017-09-07,111.2155,112.0944,111.2155,111.987,1616260
2017-09-08,111.9284,112.7097,111.3913,112.3581,1645388
2017-09-11,112.7976,113.6472,112.612,113.4812,2021495
2017-09-12,113.5105,114.7801,113.2664,114.409,2151706
2017-09-13,114.1063,114.8973,113.9305,114.3211,2302641
2017-09-14,113.9695,114.7313,113.7742,114.6336,2102811
2017-09-15,114.6141,115.2391,114.3602,115.1415,3411257
2017-09-18,115.1707,115.5907,114.6531,114.8387,2292447
2017-09-19,114.8387,115.2196,114.1551,114.2332,2002737
2017-09-20,114.2234,115.62,113.9207,115.0731,3481829
2017-09-21,115.0731,115.2391,114.3406,114.5164,1765739
2017-09-22,114.6434,115.2879,114.3992,114.9168,1883335
2017-09-25,115.3075,115.5223,114.4188,115.454,2361133
2017-09-26,115.2586,116.2157,114.2527,116.1376,2870741
2017-09-27,115.913,116.3817,115.6102,115.8446,2302377
2017-09-28,115.786,116.914,115.5516,116.8114,1629291
2017-09-29,116.7626,117.6025,116.6357,117.2802,2445796
2017-10-02,117.1923,117.9736,117.0556,117.9638,1989857
2017-10-03,117.5146,117.7441,116.7138,116.9091,1856994
2017-10-04,116.7138,116.8212,115.9032,116.2157,2309690
2017-10-05,114.0477,115.4344,113.7937,115.4344,4480304
2017-10-06,115.2293,115.952,114.6531,114.9461,2828294
2017-10-09,115.3758,115.8446,114.1832,114.409,1839218
2017-10-10,114.8778,115.8251,114.5262,115.3563,2064184
2017-10-11,115.3563,116.1376,115.1903,116.1376,1810035
2017-10-12,116.0204,117.2118,115.8745,116.7724,2290275
2017-10-13,117.2314,117.2997,115.4735,115.5907,1665486
2017-10-16,115.8348,115.913,114.7117,115.5712,1247290
2017-10-17,115.2391,115.4637,114.6531,114.9266,1484420
2017-10-18,114.6629,115.9911,114.6629,115.3856,2089301
2017-10-19,114.9266,116.7333,114.9266,116.6259,2119640
2017-10-20,116.7919,117.6123,116.7138,116.9579,2427577
2017-10-23,117.4267,117.5927,116.831,116.8798,2052179
2017-10-24,117.3681,117.6024,116.8212,116.8993,1845623
2017-10-25,116.7821,116.9384,115.6639,115.7958,2836219
2017-10-26,115.5223,117.9638,114.2625,116.538,4104540
2017-10-27,116.5185,118.9014,116.5185,117.9248,3638275
2017-10-30,117.7001,117.7001,115.0829,115.327,3441974
2017-10-31,115.7274,116.0106,114.702,114.7801,2498983
2017-11-01,115.1805,115.4051,114.4383,114.7117,2088585
2017-11-02,114.868,114.995,112.3484,114.1355,3522331
2017-11-03,114.1355,114.1355,112.4753,112.7585,2957646
2017-11-06,112.8757,113.2859,110.9421,111.2546,3351103
2017-11-07,111.1667,112.1726,110.9714,111.2839,2730433
2017-11-08,111.0007,111.0397,110.0143,110.4831,2371851
2017-11-09,110.1901,110.3561,109.106,109.9166,2710938
2017-11-10,109.7691,111.4417,109.5069,111.4023,2840098
2017-11-13,112.2287,113.006,111.6975,112.9568,3301313
2017-11-14,112.455,112.6518,111.8352,112.2287,3238234
2017-11-15,112.1875,113.1102,111.8501,113.1003,4557366
2017-11-16,111.8549,112.3665,111.1473,111.8647,2518380
2017-11-17,111.5007,111.6679,110.7431,111.117,2155351
2017-11-20,111.3531,111.6778,110.9989,111.3728,2811124
2017-11-21,111.2252,112.2927,110.9792,112.0812,2205374
2017-11-22,112.091,112.3444,111.7565,111.9336,1846198
2017-11-24,112.1599,112.3468,111.1367,111.3138,891718
2017-11-27,111.5892,112.8092,111.54,112.6912,3060515
2017-11-28,113.252,113.5668,112.5436,113.3307,2025770
2017-11-29,113.6258,117.335,113.4684,117.1185,4122054
2017-11-30,117.1185,120.0307,117.1038,119.4896,5654168
2017-12-01,119.9225,119.9225,117.1776,118.368,3141930
2017-12-04,120.1291,123.1397,120.1291,121.723,4535047
2017-12-05,121.8312,121.9985,118.3385,118.4271,3690947
2017-12-06,117.758,118.0138,116.0658,116.3806,3346989
2017-12-07,116.4495,118.0827,115.9477,117.7974,3279999
2017-12-08,118.1221,118.1909,115.9871,117.6301,3030422
2017-12-11,117.4038,117.4826,115.6624,116.1445,2765450
2017-12-12,116.0068,116.9611,115.7116,116.2527,2540981
2017-12-13,116.5676,117.4038,116.1347,116.4889,2738497
2017-12-14,116.1937,116.4298,114.4523,114.954,2817363
2017-12-15,115.7608,116.6856,115.4133,116.0953,4997181
2017-12-18,116.843,117.9843,116.6955,116.8922,2580972
