date,open,high,low,close,volume
2017-06-08,105.13,108.08,104.87,106.54,1242857
2017-06-09,106.84,110.8,106.61,110.22,2118862
2017-06-12,110.67,112.5,109.92,111.82,1946524
2017-06-13,111.35,111.95,109.64,111.66,1614923
2017-06-14,111.24,111.24,104.07,104.81,3048774
2017-06-15,103.76,105.6743,102.86,103.49,2141304
2017-06-16,103.66,105.22,102.73,105.2,1882246
2017-06-19,105.64,107.45,105.38,106.95,1018160
2017-06-20,106.22,106.22,102.42,103.91,2093050
2017-06-21,104.26,104.74,100.621,101.62,1902782
2017-06-22,102.17,104.35,101.3,103.82,1377152
2017-06-23,104.0,105.755,103.28,104.85,1580009
2017-06-26,104.96,107.18,104.96,106.11,862372
2017-06-27,106.79,108.65,105.75,105.78,1292659
2017-06-28,107.09,109.09,106.82,108.49,1264341
2017-06-29,109.71,113.66,108.79,109.7,2428393
2017-06-30,110.71,113.87,110.515,112.71,2065235
2017-07-03,113.6,115.075,112.6,113.21,747904
2017-07-05,113.76,117.55,112.76,114.27,1906074
2017-07-06,114.18,115.395,111.92,112.35,2251166
2017-07-07,112.39,113.02,111.105,112.55,1024759
2017-07-10,112.06,114.65,111.09,113.54,1114824
2017-07-11,113.83,114.08,111.92,113.69,817543
2017-07-12,114.73,117.32,114.06,114.26,1258245
2017-07-13,116.1,116.1,113.34,114.74,1844270
2017-07-14,115.07,117.65,114.33,117.21,1260469
2017-07-17,118.62,119.44,117.16,117.79,1506042
2017-07-18,117.34,117.84,116.3,117.48,1723720
2017-07-19,117.48,119.19,117.04,118.7,1781705
2017-07-20,124.0,126.26,121.39,122.54,3581607
2017-07-21,120.75,121.53,119.25,119.31,1782197
2017-07-24,119.5,120.46,117.53,118.39,1355798
2017-07-25,119.77,122.96,119.69,121.18,1749359
2017-07-26,122.17,122.17,119.761,120.17,949536
2017-07-27,120.19,121.23,118.71,120.77,1087528
2017-07-28,120.61,120.94,119.03,119.73,1109360
2017-07-31,119.92,120.25,118.42,118.96,869708
2017-08-01,117.2,118.66,117.01,118.37,920644
2017-08-02,115.87,117.0396,114.06,115.03,1307115
2017-08-03,115.48,117.08,115.2061,116.31,1177313
2017-08-04,117.2,118.66,117.01,118.37,920644
2017-08-07,118.52,118.835,117.44,118.1,830539
2017-08-08,117.4,119.419,116.88,117.38,848730
2017-08-09,116.08,116.81,114.6,115.31,945180
2017-08-10,114.71,115.5,111.56,111.62,1697831
2017-08-11,111.42,112.25,110.7,111.54,982676
2017-08-14,113.0,113.67,111.99,112.2,1210578
2017-08-15,113.1,113.22,111.6,111.99,681931
2017-08-16,112.82,113.33,111.16,111.97,995912
2017-08-17,115.75,116.0,111.59,111.82,2070230
2017-08-18,112.96,113.21,110.651,111.86,1411868
2017-08-21,111.71,111.86,107.67,108.4,1366683
2017-08-22,109.0,112.56,109.0,112.44,1378650
2017-08-23,111.36,111.74,108.69,108.69,1019276
