date,open,high,low,close,volume
2017-06-08,33.928,34.6103,33.6941,34.3666,3275198
2017-06-09,34.3081,34.5615,33.9524,34.5031,4372358
2017-06-12,34.6103,36.0235,34.6103,35.1756,6332129
2017-06-13,35.1756,35.5676,34.7443,34.8816,4823541
2017-06-14,35.0384,35.2442,34.0387,34.2053,3923794
2017-06-15,33.9015,34.7345,33.6368,34.2641,7188771
2017-06-16,34.2641,34.4699,33.8623,34.3719,9495309
2017-06-19,34.5875,34.8424,34.1857,34.7247,4193368
2017-06-20,34.6463,35.0874,33.4016,33.529,4061461
2017-06-21,33.578,34.0681,33.1272,33.8819,4373545
2017-06-22,33.9407,34.0485,33.4114,33.4408,2686548
2017-06-23,33.4114,33.7348,33.0782,33.431,11452831
2017-06-26,33.5388,34.6855,33.431,34.3915,5169683
2017-06-27,34.4013,34.9208,34.3033,34.7051,3781342
2017-06-28,34.7933,35.156,34.3425,34.3719,3778506
2017-06-29,34.3425,34.6561,33.1566,33.6662,4895353
2017-06-30,33.5976,33.5976,32.6371,32.9018,8524849
2017-07-03,33.0096,33.6662,32.9949,33.4408,2404424
2017-07-05,33.4604,33.4702,32.118,32.3431,5598383
2017-07-06,32.3039,32.5391,32.0295,32.4117,7563864
2017-07-07,32.4705,32.6763,32.1569,32.5391,2963365
2017-07-10,32.5391,33.578,32.4617,33.3232,3885420
2017-07-11,33.3428,33.6956,33.0586,33.4604,3041079
2017-07-12,33.7348,33.9113,33.48,33.8133,3438732
2017-07-13,33.8133,34.2641,33.6074,33.8133,4421425
2017-07-14,33.9015,34.4993,33.8231,34.2347,3280642
2017-07-17,34.2641,34.7345,34.1073,34.6169,4028173
2017-07-18,34.5385,34.9208,34.0289,34.7541,4003591
2017-07-19,35.2834,35.6362,35.107,35.4794,6055855
2017-07-20,35.695,36.0382,35.1462,35.1756,4103497
2017-07-21,35.0972,35.3814,34.851,35.3226,2285674
2017-07-24,35.4206,35.9205,35.2834,35.499,3230368
2017-07-25,35.7734,35.7734,34.3033,34.3131,4860777
2017-07-26,34.1661,34.2739,33.4702,33.6858,8939793
2017-07-27,34.4895,35.2638,34.3033,34.8031,8276691
2017-07-28,34.7247,35.0678,34.4405,34.9502,3377979
2017-07-31,35.009,35.0482,33.578,34.2249,5908375
2017-08-01,34.3425,34.8424,34.2445,34.8227,3741977
2017-08-02,34.5385,34.5385,33.1271,33.4114,6478396
2017-08-03,33.4016,34.7639,33.382,34.3719,5559726
2017-08-04,31.51,31.8041,29.6086,29.6184,24229741
2017-08-07,29.8341,30.6573,29.6626,29.9713,8586579
2017-08-08,30.1379,30.6279,30.0693,30.1575,5199033
2017-08-09,29.6871,29.7312,29.0549,29.5694,7185224
2017-08-10,29.5106,29.8243,29.2656,29.4714,4778091
