date,open,high,low,close,volume
2017-06-08,89.1187,89.3894,88.4999,89.0993,929759
2017-06-09,89.0413,90.8494,88.7609,90.5497,920289
2017-06-12,90.4336,92.4641,90.4336,92.2031,1140126
2017-06-13,91.8646,92.5995,90.6705,91.7389,825911
2017-06-14,92.1934,92.3674,90.6754,90.9558,834594
2017-06-15,90.4917,91.7196,90.3563,91.3715,573955
2017-06-16,91.6036,91.6036,89.9018,90.7721,1351559
2017-06-19,90.7527,90.7527,89.6601,90.2789,854874
2017-06-20,90.4046,90.656,89.4377,90.2789,706976
2017-06-21,90.366,90.743,88.7416,89.6021,755897
2017-06-22,89.5248,91.0428,89.138,90.4336,868379
2017-06-23,90.7334,91.5262,90.6947,91.0621,1114201
2017-06-26,91.3715,92.058,90.7721,91.6133,701510
2017-06-27,91.3715,91.884,90.7527,90.7527,743517
2017-06-28,91.0911,91.3401,90.3563,90.4143,753635
2017-06-29,90.0759,90.8977,89.4184,90.2596,806319
2017-06-30,90.366,91.1443,89.7858,90.7914,1172263
2017-07-03,91.3715,92.8992,91.0234,92.6575,624271
2017-07-05,92.5705,92.5995,90.9171,90.9848,916722
2017-07-06,90.714,90.8977,89.0123,89.3217,1072839
2017-07-07,89.3507,91.4005,89.2637,90.8107,1522127
2017-07-10,91.826,92.1934,89.8632,90.4143,1026235
2017-07-11,90.5207,91.4199,90.2403,90.9654,1031352
2017-07-12,91.4199,92.8605,91.4199,92.0774,774719
2017-07-13,92.2514,93.0733,91.8937,92.3868,568283
2017-07-14,92.7155,93.5857,92.5511,92.7252,984387
2017-07-17,92.8412,94.0305,92.2031,93.8178,1141568
2017-07-18,75.8529,76.7037,74.7023,75.0213,2481679
2017-07-19,74.9633,77.922,74.9343,77.893,2427848
2017-07-20,77.8833,77.9607,76.317,76.578,2259486
2017-07-21,76.5297,76.7714,75.6595,76.0849,1078221
2017-07-24,76.0463,76.5007,75.4855,75.5241,1216847
2017-07-25,75.8722,75.9786,75.2341,75.5241,847617
2017-07-26,75.4371,75.7755,75.1664,75.4758,485098
2017-07-27,75.3114,76.3943,74.6926,76.375,962284
2017-07-28,76.433,76.4427,75.7659,76.346,898520
2017-07-31,76.3943,77.0228,75.7078,76.7231,1168195
2017-08-01,77.1582,78.2411,75.9109,76.8778,1719759
2017-08-02,76.5104,77.5933,76.0753,76.1526,1231598
2017-08-03,76.0649,77.2828,75.8993,77.1172,767428
2017-08-04,77.1951,77.7797,76.8931,77.429,569376
2017-08-07,77.39,77.4217,76.8249,77.2146,1478393
2017-08-08,77.049,77.3608,76.1623,76.4839,1117562
2017-08-09,76.4839,76.4839,75.7921,75.8798,572116
2017-08-10,75.6654,75.7531,74.6034,74.6716,750430
2017-08-11,74.584,74.8859,73.6096,73.785,863171
2017-08-14,74.2235,75.5096,74.1845,74.9542,919758
2017-08-15,74.8178,74.8178,73.5122,74.2917,970206
2017-08-16,74.4573,74.8568,73.7753,73.9506,908216
2017-08-17,73.7558,74.165,73.2979,73.3661,1116169
2017-08-18,73.1127,73.3855,71.5928,72.0118,1098317
2017-08-21,72.0605,72.3138,71.3102,71.9825,1029775
2017-08-22,72.1579,72.343,71.1446,71.4954,1019110
2017-08-23,71.3785,72.6743,71.32,72.1579,900267
2017-08-24,72.801,73.2978,72.08,72.0994,1505145
2017-08-25,72.2553,73.1615,71.8948,72.7815,1263129
2017-08-28,73.5707,73.5707,72.002,72.5379,1200169
2017-08-29,72.4502,72.5866,71.7828,72.2553,649891
2017-08-30,71.6415,72.5866,71.2908,72.3528,1008888
2017-08-31,72.6158,72.9374,72.2261,72.5769,1249921
2017-09-01,72.6061,73.2686,72.3041,73.064,616486
2017-09-05,73.2589,73.4927,71.9436,72.4405,659137
2017-09-06,72.762,73.1858,72.3723,72.4599,1054861
2017-09-07,72.6256,72.9081,71.359,71.6318,1176550
2017-09-08,71.4856,72.5574,71.4856,72.002,1286575
2017-09-11,72.4015,73.1127,71.9825,72.9861,711553
2017-09-12,72.9861,73.2297,72.0994,72.3917,645834
2017-09-13,72.2943,72.7522,72.041,72.6061,1308689
2017-09-14,72.5671,73.7168,72.4015,73.2491,1434956
2017-09-15,73.2979,73.5999,72.7912,73.1809,1704004
2017-09-18,73.142,73.4245,72.5476,72.6451,1347897
2017-09-19,72.6158,72.6743,71.4467,71.4856,1382736
2017-09-20,71.4856,71.9582,70.901,71.9338,1025271
2017-09-21,72.0118,73.863,71.9923,73.6876,1270738
2017-09-22,73.6973,74.1358,73.3271,73.7168,2078848
2017-09-25,73.7168,74.3988,73.4927,74.1553,868962
2017-09-26,74.1455,75.1685,73.8532,74.9834,1570768
2017-09-27,74.8275,75.0419,74.4865,74.8762,1644685
2017-09-28,74.8568,75.5778,74.7009,75.3147,1266907
2017-09-29,75.2173,75.4998,74.3599,74.9055,1400437
2017-10-02,75.0224,75.3731,74.6132,75.0321,849606
2017-10-03,75.0711,75.3439,74.7496,75.3049,777232
2017-10-04,75.3342,75.6752,75.0516,75.6654,611026
2017-10-05,75.7824,76.8346,75.6557,76.1331,925139
2017-10-06,76.0065,76.1818,75.3049,76.0844,437727
2017-10-09,75.9675,76.2403,75.7044,75.8018,677247
2017-10-10,76.8639,77.6628,76.3085,76.9028,1353837
2017-10-11,76.9223,77.7505,76.6982,77.3218,1078775
2017-10-12,77.2633,77.5459,76.8736,77.5264,806669
2017-10-13,77.9161,78.2376,77.3802,77.8382,610843
2017-10-16,77.8089,77.9064,76.8639,76.9028,921350
2017-10-17,76.6203,77.1172,76.1721,76.2695,704479
2017-10-18,76.2111,76.4936,74.7983,75.0224,1554666
2017-10-19,74.8665,74.8665,72.8107,72.9276,2365215
2017-10-20,72.801,72.9958,71.7682,72.5866,1921264
2017-10-23,72.9081,73.0153,72.3625,72.6548,838150
2017-10-24,72.5379,72.5963,71.5438,71.7487,830340
2017-10-25,71.7195,71.8236,70.5503,70.9546,853034
2017-10-26,71.4369,71.5636,70.6575,71.1056,886461
2017-10-27,70.979,71.2518,70.4139,71.0472,782877
2017-10-30,70.8815,71.1446,70.0485,70.5211,1217358
2017-10-31,71.5636,73.142,70.5113,72.9374,1793805
2017-11-01,72.9666,73.0738,72.343,72.684,1122339
2017-11-02,72.6548,72.9081,71.7048,72.1287,1055213
2017-11-03,71.6768,72.1974,71.4706,71.9519,1033779
2017-11-06,72.2367,73.1945,72.109,72.9342,1138632
2017-11-07,72.9833,74.0147,72.5511,72.6591,1014747
2017-11-08,72.6886,73.4253,72.6886,72.9243,1371996
2017-11-09,72.7573,74.1129,72.4676,73.9263,1699690
2017-11-10,73.5432,74.8349,73.5432,74.2701,763944
2017-11-13,74.1227,74.7219,73.9263,74.6237,792080
2017-11-14,74.5844,75.0068,74.2701,74.7907,1094594
2017-11-15,74.7612,75.5175,74.2013,75.272,951364
2017-11-16,75.1934,75.8515,75.1345,75.4586,981208
2017-11-17,75.213,75.7042,75.0853,75.2425,509762
2017-11-20,75.1246,75.2622,74.3683,74.9085,740585
2017-11-21,75.0068,75.38,74.8594,75.2818,682149
2017-11-22,75.0657,75.7238,74.9085,75.3899,476991
2017-11-24,75.3899,75.5765,74.6826,74.8005,261028
2017-11-27,74.8791,75.1737,74.5942,74.938,427944
2017-11-28,74.8496,75.5077,74.7121,75.3604,644043
2017-11-29,75.3604,75.7631,75.0755,75.5667,1347541
2017-11-30,76.0774,76.4605,75.7729,76.2444,1392291
2017-12-01,76.4016,76.9124,76.0774,76.5391,1027661
2017-12-04,76.2739,76.5489,75.4095,75.9497,2249498
2017-12-05,75.9203,76.2935,75.3506,75.547,1005473
2017-12-06,75.6944,75.6996,74.4862,75.0657,2176732
2017-12-07,74.7808,74.8692,73.9361,74.7121,1483322
2017-12-08,74.938,75.6256,74.5549,75.6256,953711
2017-12-11,75.6551,75.9497,75.3309,75.6452,892845
2017-12-12,75.9301,76.6373,75.6747,76.3328,908807
2017-12-13,76.4409,76.9222,76.0087,76.048,1675935
2017-12-14,76.1659,76.2739,75.8613,76.1069,1221412
2017-12-15,76.5195,76.824,75.9203,76.4605,2111131
2017-12-18,77.0303,78.1501,76.4704,78.0322,1424923
2017-12-19,77.1678,78.1125,76.2935,76.7945,1602643
2017-12-20,76.5391,76.8976,75.3506,75.4586,1599972
2017-12-21,75.8024,75.9792,75.547,75.7631,985894
2017-12-22,75.7631,76.0774,75.5087,75.8319,483909
2017-12-26,75.9792,76.3623,75.7336,76.1953,305418
2017-12-27,76.4802,76.5588,76.0185,76.382,422050
2017-12-28,76.3721,76.7159,75.9497,76.6865,426970
2017-12-29,76.8043,77.0008,76.4605,76.7945,527674
2018-01-02,76.9222,76.9222,75.7828,75.9497,744296
2018-01-03,76.0578,76.2248,75.5175,75.7336,618690
2018-01-04,75.4291,75.7189,73.3565,73.4744,997882
2018-01-05,73.6709,74.2111,73.2485,74.1031,732259
2018-01-08,73.9557,74.2504,73.1797,73.2583,842260
2018-01-09,73.3271,73.4253,72.3743,72.4234,857563
2018-01-10,71.8242,72.0698,70.8419,71.3723,1381873
2018-01-11,71.6277,71.834,71.1071,71.5884,675990
2018-01-12,71.5295,71.6326,70.5963,70.6454,872607
2018-01-16,70.9794,71.5737,69.8793,69.948,953354
2018-01-17,70.1052,70.4588,69.2899,70.0364,1324125
2018-01-18,69.7319,70.2624,69.1524,70.0757,1374375
2018-01-19,70.2231,70.5472,69.5748,70.5178,1571516
2018-01-22,70.7437,71.9126,70.724,71.8242,960443
2018-01-23,71.7849,72.3153,71.5983,72.1876,992883
2018-01-24,72.001,72.3251,70.7535,71.4509,1026587
2018-01-25,71.3723,71.4264,70.0757,70.95,856980
2018-01-26,71.0589,71.4702,70.2266,70.9202,896844
2018-01-29,70.9004,70.9004,70.182,70.504,1201707
2018-01-30,70.1176,70.5538,69.3744,69.5627,1225965
2018-01-31,69.5825,71.2076,69.5032,71.0292,1281461
2018-02-01,71.0589,71.2274,69.6122,69.85,1918055
2018-02-02,69.3744,70.4148,68.8294,69.6915,2462362
2018-02-05,69.523,70.1572,66.9664,66.9664,2384652
2018-02-06,66.0548,67.6204,65.4108,67.1745,2255144
2018-02-07,66.9466,68.5321,66.6692,66.689,1315552
2018-02-08,66.6295,68.2844,65.5494,65.5792,2656572
2018-02-09,65.8863,67.6403,65.0441,67.0754,1587841
2018-02-12,67.1745,67.3925,64.8954,66.9863,1579291
2018-02-13,66.9268,67.3579,65.5494,66.8475,2085212
2018-02-14,66.1935,66.2728,64.6972,65.4801,2126978
2018-02-15,65.5792,66.6493,65.4305,66.5403,1215754
2018-02-16,66.4214,67.4124,66.1935,67.0457,940982
2018-02-20,66.7484,67.8186,66.5403,66.6791,1441444
2018-02-21,66.4214,66.798,64.5684,64.5981,1427354
2018-02-22,64.9251,66.4611,64.9251,65.926,1178283
2018-02-23,66.3025,67.0754,65.5692,67.0556,565566
2018-02-26,67.0655,67.561,66.6593,67.4817,678198
2018-02-27,67.5214,67.8583,65.6089,65.7972,1135981
2018-02-28,66.2728,66.8376,65.817,65.8665,1963386
2018-03-01,65.5692,66.689,65.3017,65.6981,978433
2018-03-02,65.4008,65.8566,64.8161,65.7872,973833
