date,open,high,low,close,volume
2017-06-20,125.54,127.97,123.82,126.33,1737625
2017-06-21,126.72,134.99,126.52,134.83,3239802
2017-06-22,134.65,137.26,132.76,135.53,2890075
2017-06-23,136.58,137.0,132.12,133.5,2172643
2017-06-26,133.83,135.03,131.62,133.41,1289028
2017-06-27,133.15,133.18,129.1,129.23,1723659
2017-06-28,129.69,131.62,128.94,131.11,1192028
2017-06-29,129.66,130.917,126.32,127.24,1368819
2017-06-30,132.2,132.39,126.585,128.87,1582260
2017-07-03,129.49,129.89,126.68,128.23,825185
2017-07-05,128.31,130.44,127.341,129.0,1320590
2017-07-06,127.32,128.935,125.5,128.46,1171802
2017-07-07,129.14,130.88,129.12,130.35,1019946
2017-07-10,129.93,130.36,128.64,128.66,1517263
2017-07-11,129.71,132.5,129.26,132.17,1336928
2017-07-12,133.38,133.615,130.595,131.44,1288462
2017-07-13,131.74,131.74,128.39,130.92,1600610
2017-07-14,131.77,131.81,130.425,130.99,1278651
2017-07-17,130.44,132.05,128.26,129.21,1136207
2017-07-18,129.21,132.3,127.67,132.16,3311555
2017-07-19,161.8,167.0,158.88,159.69,16800128
2017-07-20,159.94,161.765,157.25,159.33,4927397
2017-07-21,158.14,163.64,156.53,163.17,3176393
2017-07-24,162.33,166.575,160.91,166.11,2444532
2017-07-25,166.94,167.855,161.72,161.97,2424136
2017-07-26,162.15,164.53,161.7,163.42,2087173
2017-07-27,160.88,163.32,153.5,156.19,3918877
2017-07-28,155.3,157.2,153.58,154.15,1880425
2017-07-31,152.99,154.49,151.54,151.82,2975961
2017-08-01,153.03,154.0684,150.64,153.2,1621140
2017-08-02,151.8,157.91,151.469,157.55,1781663
2017-08-03,155.72,157.27,152.26,154.03,1407101
2017-08-04,154.68,155.17,153.015,154.54,807795
2017-08-07,152.6,156.63,152.6,156.47,926423
2017-08-08,156.12,156.5483,152.8975,153.26,893487
2017-08-09,153.02,155.09,152.19,152.58,1037955
2017-08-10,152.01,152.04,148.5,148.54,1302830
2017-08-11,149.35,154.08,149.02,153.78,1551523
2017-08-14,154.52,155.87,153.54,154.49,1082040
2017-08-15,154.45,155.28,152.55,152.72,734864
2017-08-16,152.79,153.26,150.305,151.37,913411
2017-08-17,150.93,152.41,148.52,148.54,1019238
2017-08-18,147.65,150.11,147.18,148.13,887138
2017-08-21,148.0,150.26,147.42,149.01,1090074
2017-08-22,149.19,155.92,149.19,155.48,1659747
2017-08-23,154.46,154.9,152.05,153.25,989435
2017-08-24,153.6,156.63,151.1,156.08,1148699
2017-08-25,156.88,156.9337,152.25,153.27,943835
2017-08-28,154.64,154.91,151.05,153.4,1187856
2017-08-29,151.86,154.16,151.77,152.89,888423
2017-08-30,152.52,158.09,152.52,156.29,1246885
2017-08-31,156.57,160.85,154.03,160.54,3329549
2017-09-01,160.76,163.64,158.85,162.24,1708717
2017-09-05,161.37,162.07,157.0,159.07,1327071
2017-09-06,159.5,160.8,156.91,157.08,1328406
2017-09-07,157.08,159.68,155.52,159.41,1235994
2017-09-08,159.61,161.44,157.3775,158.83,1064745
2017-09-11,161.05,161.455,155.33,157.81,1519866
2017-09-12,156.65,157.79,155.4,156.82,800813
2017-09-13,156.79,157.95,155.7,156.8,995081
2017-09-14,156.05,156.56,152.88,153.38,1461691
2017-09-15,153.86,155.95,152.64,153.61,3112907
2017-09-18,153.59,155.11,151.79,153.2,1386918
2017-09-19,153.27,154.095,151.6,153.0,1428257
2017-09-20,153.29,155.14,151.51,152.72,1931404
2017-09-21,153.22,153.29,151.69,152.06,808169
2017-09-22,151.54,152.07,148.5801,151.26,1269855
2017-09-25,151.19,152.79,148.77,149.1,1741161
2017-09-26,149.85,150.82,148.0,148.46,1762039
2017-09-27,148.86,150.98,147.3,149.07,2112346
2017-09-28,148.6,150.99,147.6,149.62,2111073
2017-09-29,151.21,152.34,149.18,152.04,1500162
2017-10-02,151.23,153.17,150.1,152.23,2057693
2017-10-03,152.21,152.989,150.1803,152.51,995007
2017-10-04,152.26,153.82,151.36,152.51,970185
2017-10-05,153.09,153.57,150.96,152.3,1273734
2017-10-06,152.43,156.46,152.31,155.1,1551110
2017-10-09,155.85,157.29,154.46,155.55,1142475
2017-10-10,155.19,156.23,153.5,154.52,1055522
2017-10-11,153.85,154.64,151.65,154.02,1757612
2017-10-12,152.93,154.85,152.84,153.98,1535039
2017-10-13,155.0,155.49,152.68,152.91,930281
2017-10-16,153.11,157.78,153.1,154.7,2328423
2017-10-17,154.55,156.0,154.02,155.05,795374
2017-10-18,155.29,158.04,154.02,154.76,1050665
2017-10-19,154.57,155.79,152.42,154.6,1309420
2017-10-20,154.97,155.85,152.6,154.63,1320895
2017-10-23,155.32,155.35,150.68,151.06,1552169
2017-10-24,151.06,152.87,148.34,151.11,1829565
2017-10-25,150.08,151.09,146.08,146.8,2388956
2017-10-26,144.88,147.43,139.05,143.76,3735337
2017-10-27,141.41,150.15,141.0201,150.11,2747621
2017-10-30,149.71,152.8,148.865,149.53,1750533
2017-10-31,149.34,149.34,141.82,146.23,2457065
2017-11-01,147.35,147.35,142.39,142.63,2412596
2017-11-02,142.01,146.51,142.01,144.9,2049975
2017-11-03,143.05,150.08,142.99,149.97,1884899
2017-11-06,148.17,150.59,146.83,148.98,1608296
2017-11-07,149.03,151.34,148.32,151.31,1384975
2017-11-08,151.51,152.0,146.69,147.4,1191898
2017-11-09,146.26,148.5,144.321,148.17,1132267
2017-11-10,148.26,149.27,146.1,148.74,861047
2017-11-13,147.44,148.73,146.25,148.03,743628
2017-11-14,147.4,149.05,145.42,147.82,1209146
2017-11-15,147.29,151.75,146.3,148.66,1086600
2017-11-16,148.77,150.33,147.75,147.94,1516387
2017-11-17,147.7,148.79,146.65,147.41,903595
2017-11-20,146.92,147.46,143.43,144.64,1451615
2017-11-21,145.71,146.36,143.505,145.11,1501124
2017-11-22,145.42,147.39,144.81,147.04,906988
2017-11-24,146.08,147.9,146.04,146.55,660987
2017-11-27,146.84,149.29,146.72,148.55,1197667
2017-11-28,148.86,149.0,146.05,147.32,1116960
2017-11-29,147.01,148.3412,142.44,143.75,1313862
2017-11-30,144.19,146.1,143.945,144.29,1739281
2017-12-01,143.09,144.7,139.86,140.79,2448450
2017-12-04,141.99,142.7,138.67,138.79,2127679
2017-12-05,138.6,141.67,138.02,138.36,1374011
2017-12-06,138.3,139.41,136.83,137.28,1582655
2017-12-07,137.92,140.85,136.5,138.78,1687469
2017-12-08,139.8,144.8,139.11,143.61,1725542
2017-12-11,143.73,143.91,139.8,141.68,1475182
2017-12-12,140.04,142.08,140.04,140.91,1010253
2017-12-13,141.93,146.36,141.55,144.8,2024156
2017-12-14,145.57,146.32,142.28,142.53,1411325
2017-12-15,143.97,145.96,142.05,145.86,3246092
2017-12-18,146.99,147.94,145.17,145.44,1231896
2017-12-19,145.57,147.34,144.27,145.15,1051252
