date,open,high,low,close,volume
2017-06-08,44.2864,44.3436,43.8102,43.9912,11717751
2017-06-09,43.9721,44.5531,43.8198,44.496,11698849
2017-06-12,44.5722,45.2388,44.5626,44.9436,18929146
2017-06-13,45.0483,45.0579,44.1912,44.2483,15194584
2017-06-14,44.4102,44.5531,44.2007,44.4674,9817572
2017-06-15,44.3626,44.6007,44.2817,44.4198,10984057
2017-06-16,44.6293,44.7626,44.1245,44.4102,22573927
2017-06-19,44.4102,44.4102,44.0864,44.3531,9773509
2017-06-20,44.1912,44.196,43.5578,43.7531,16756119
2017-06-21,43.7626,43.8293,42.9436,43.2483,15027226
2017-06-22,43.3055,43.4198,43.0293,43.2578,10511308
2017-06-23,43.2674,43.2959,43.1436,43.2293,10069733
2017-06-26,43.2864,43.7912,43.2864,43.5721,10105473
2017-06-27,42.8293,42.9959,42.6769,42.7055,20187152
2017-06-28,42.8388,43.0769,42.5531,42.7055,18703647
2017-06-29,42.6674,42.7626,42.2769,42.2959,17913019
2017-06-30,42.4959,42.6197,42.2483,42.534,13368940
2017-07-03,42.4864,42.934,42.3912,42.8578,9732120
2017-07-05,42.9055,42.915,42.3245,42.5245,14853432
2017-07-06,42.4256,42.5414,41.9914,41.9914,16854256
2017-07-07,42.0011,42.0638,41.6875,41.9528,12198485
2017-07-10,41.9528,41.9818,41.6634,41.6826,12272539
2017-07-11,41.6923,41.7019,41.2967,41.3835,13249510
2017-07-12,41.5283,41.8563,41.4897,41.7019,11388866
2017-07-13,41.6344,42.0107,41.527,41.9625,12140474
2017-07-14,42.0975,42.2809,41.8853,42.03,11986824
2017-07-17,42.0975,42.3185,42.03,42.1265,10804830
2017-07-18,42.1265,42.2519,41.7405,41.837,15417053
2017-07-19,41.8274,42.0107,41.6826,41.9239,13940767
2017-07-20,41.9721,43.0142,41.9528,42.6668,19309115
2017-07-21,42.6765,42.7537,42.2809,42.6765,11426562
2017-07-24,42.5993,42.6572,42.1458,42.1747,11895234
2017-07-25,42.3581,42.6186,42.2712,42.4353,9818802
2017-07-26,43.2264,43.2554,42.7222,42.8405,19045166
2017-07-27,44.6352,46.1597,44.3361,46.1307,44702494
2017-07-28,46.0246,46.6807,45.465,46.2562,25296508
2017-07-31,46.1693,46.864,45.8123,46.7,28456827
2017-08-01,46.9702,47.8868,46.8254,47.1728,33498183
2017-08-02,47.1824,47.2114,46.2176,46.5167,19233446
2017-08-03,46.4009,46.9026,46.2562,46.9026,15190098
2017-08-04,46.8447,47.1921,46.4491,47.1921,13841720
2017-08-07,47.0763,47.2403,46.9702,47.1438,10448725
2017-08-08,47.0377,47.2307,46.7289,46.893,10901236
2017-08-09,46.8158,46.9316,46.3912,46.5263,18887110
