date,open,high,low,close,volume
2017-06-08,69.1685,69.3386,68.1617,68.9133,1110845
2017-06-09,68.8565,69.5372,68.4501,69.4332,1231599
2017-06-12,69.4426,70.1044,69.0645,69.9909,2035312
2017-06-13,69.9153,70.2745,69.6411,70.0854,1555454
2017-06-14,70.8417,71.4561,70.1073,70.369,2332086
2017-06-15,70.0949,71.0969,70.0004,70.5865,1722003
2017-06-16,70.7283,71.9099,70.6148,71.4656,3944156
2017-06-19,71.5318,72.0801,71.3238,72.0801,2035202
2017-06-20,72.1273,73.0065,71.8626,72.7134,2215080
2017-06-21,72.7323,72.9781,72.3447,72.9308,1762946
2017-06-22,72.8269,73.4508,72.496,73.2522,1638848
2017-06-23,73.0915,73.8951,72.9025,73.1955,2210166
2017-06-26,73.4224,73.7343,72.9497,73.4129,1107704
2017-06-27,73.1861,73.5358,72.184,72.3164,1476808
2017-06-28,72.3353,72.997,71.8815,72.3447,1367135
2017-06-29,71.995,72.1557,70.3879,70.4258,2109900
2017-06-30,70.7377,71.2576,70.369,70.7566,1903072
2017-07-03,71.0308,71.7586,70.6526,71.6168,934921
2017-07-05,71.6452,71.6452,70.5676,70.9835,1350956
2017-07-06,70.6715,70.6715,69.0267,69.074,1490071
2017-07-07,69.1023,69.2441,68.2137,68.9133,1527232
2017-07-10,69.0456,69.1874,68.5257,68.5635,1118028
2017-07-11,68.6108,68.9133,68.1381,68.6391,984365
2017-07-12,69.1307,69.8869,69.1307,69.679,1020788
2017-07-13,69.5183,69.6317,69.1118,69.2914,956381
2017-07-14,69.8491,70.0476,69.5135,69.7168,1087680
2017-07-17,69.6884,70.1327,69.4899,69.8113,1286279
2017-07-18,69.8775,70.2556,69.6128,70.0004,1255728
2017-07-19,69.9626,70.2083,69.5466,70.076,1190693
2017-07-20,70.2556,70.4163,69.6506,69.6695,1327060
2017-07-21,69.6411,70.1327,69.2914,69.8869,1227350
2017-07-24,69.9153,70.0278,68.8187,69.1496,1855047
2017-07-25,69.3008,69.3386,68.3366,69.0172,1623925
2017-07-26,69.0456,69.5561,68.6864,69.2819,1007731
2017-07-27,69.0078,69.4332,68.2515,68.8093,1396760
2017-07-28,70.3312,70.3312,68.5068,69.074,1365187
2017-07-31,69.2063,69.5844,68.4406,69.3765,2128558
2017-08-01,69.0741,69.1984,68.5766,68.7201,1361389
2017-08-02,68.1759,68.4869,67.9019,68.469,1455975
2017-08-03,68.469,69.1779,67.9585,69.0645,1632550
2017-08-04,69.0741,69.1984,68.5766,68.7201,1361389
2017-08-07,68.7201,69.1984,68.2896,68.8062,1253081
2017-08-08,68.634,69.0549,68.3852,68.8253,1535993
2017-08-09,68.8827,69.0741,68.092,68.1556,1222351
2017-08-10,68.1269,68.4331,67.4668,67.5433,1486133
2017-08-11,67.8208,67.8208,66.8258,67.352,1346528
2017-08-14,67.572,68.8636,67.4477,68.6436,1605665
2017-08-15,68.4618,68.4618,67.7538,68.1556,1590694
2017-08-16,68.3565,69.2463,68.2035,68.8827,1661414
2017-08-17,68.6244,69.1219,68.0217,68.0217,1368474
2017-08-18,68.1269,68.1939,67.5051,67.5912,1403730
2017-08-21,67.706,69.0262,67.5146,68.8636,1378290
2017-08-22,68.8636,68.9593,67.6916,67.8591,1176650
2017-08-23,67.8304,68.6914,67.6934,68.4809,930152
2017-08-24,68.4139,68.8636,68.2226,68.3183,1510262
2017-08-25,68.6818,69.2176,68.5479,68.8062,1300762
2017-08-28,68.8923,68.9784,68.0217,68.1556,931688
2017-08-29,68.3948,69.1028,68.2896,68.8158,1509339
2017-08-30,68.701,69.562,68.6914,69.3707,2275484
2017-08-31,69.6577,70.2317,69.4759,70.0499,2598013
2017-09-01,70.0595,70.5857,70.0212,70.4804,1731227
2017-09-05,70.6622,71.1788,70.4517,70.8535,2400387
2017-09-06,71.0162,71.3989,70.2795,70.4804,2253689
2017-09-07,70.6239,71.0066,70.3034,70.7866,1085289
2017-09-08,70.71,71.5711,70.5665,71.4371,1451063
2017-09-11,71.3415,72.1642,71.131,72.0973,1722360
2017-09-12,71.992,72.3077,70.8248,71.1214,1424196
2017-09-13,71.0449,71.2554,70.6239,70.8918,1490067
2017-09-14,70.8057,71.2267,70.3178,71.2267,1651481
2017-09-15,71.0449,71.3893,70.423,71.3415,2809981
2017-09-18,71.2936,71.4754,70.7483,71.0927,1430737
2017-09-19,71.1788,71.3989,70.0977,70.2508,1681232
2017-09-20,70.5187,70.6718,69.7438,70.0308,2130237
2017-09-21,70.0212,70.2221,69.0454,69.0741,1566082
2017-09-22,69.1984,69.2558,67.7347,67.8878,1853118
2017-09-25,68.0121,68.4139,67.8591,68.2226,1513053
2017-09-26,68.1556,68.7871,67.6199,68.701,2813087
2017-09-27,68.1652,68.5575,66.7493,66.8832,2379656
2017-09-28,66.7875,67.5433,66.7493,67.5242,1152319
2017-09-29,67.3137,67.8878,66.9311,67.2372,2062014
2017-10-02,67.8017,67.8017,66.4814,66.5388,1777730
2017-10-03,66.5866,67.1607,66.2135,66.4336,1546643
2017-10-04,65.9935,65.9935,65.0559,65.6586,3287058
2017-10-05,65.9074,66.1848,65.4482,65.5534,2052764
2017-10-06,65.3429,65.429,64.5393,65.3908,2905085
2017-10-09,65.4386,65.8404,65.2281,65.2951,1268452
2017-10-10,65.4673,65.7447,64.6828,65.0655,2688915
2017-10-11,65.0272,65.3429,64.8032,64.9985,1988386
2017-10-12,64.9028,65.0655,64.1853,65.0655,1382299
2017-10-13,65.3908,65.5917,64.9028,65.2473,1923865
2017-10-16,65.2951,65.4673,64.8263,65.1229,1274921
2017-10-17,64.8167,65.3334,64.7019,65.2377,1273403
2017-10-18,65.2377,65.5438,64.8933,65.3525,1269118
2017-10-19,65.3621,65.6778,65.0368,65.2281,1221083
2017-10-20,65.2568,65.2568,64.8167,65.2186,1529958
2017-10-23,65.3908,65.429,64.4532,64.568,1339284
2017-10-24,64.5967,64.7115,63.6783,63.9557,1657556
2017-10-25,63.4965,63.8696,62.5685,63.3482,1335595
2017-10-26,63.7739,63.9653,62.7885,62.9129,1133938
2017-10-27,62.8746,64.8837,62.8555,64.2523,1930263
2017-10-30,64.2427,64.5106,63.9079,64.3001,1276506
2017-10-31,64.2044,64.3193,63.3147,64.0609,1384809
2017-11-01,64.0992,64.5106,63.7835,64.1183,1192817
2017-11-02,64.348,65.143,64.2714,64.788,1883989
2017-11-03,64.5106,65.2951,64.3958,65.1994,1396492
2017-11-06,65.5967,65.9165,65.306,65.8972,2125987
2017-11-07,66.9341,67.6415,66.1879,66.4689,2737986
2017-11-08,66.4301,67.0504,66.091,66.624,2142685
2017-11-09,66.3817,66.7451,65.9165,66.1685,1452268
2017-11-10,65.8972,66.4108,65.8972,66.0134,1400065
2017-11-13,66.091,66.4301,65.839,66.2073,2534665
2017-11-14,66.0134,66.6143,65.8002,65.9844,1378026
2017-11-15,66.0038,66.3042,65.6258,65.6452,2358850
2017-11-16,65.6452,66.2363,65.5289,65.839,1784833
2017-11-17,65.6937,66.0522,65.6937,65.8584,1358873
2017-11-20,65.9747,66.0425,65.3157,65.8293,1297939
2017-11-21,65.9359,66.5077,65.8972,66.1782,2183028
2017-11-22,65.9844,66.3298,65.8681,66.0619,1264345
2017-11-24,66.2945,66.4786,66.0328,66.1491,462210
2017-11-27,66.0813,66.1588,65.3739,65.3835,1209887
2017-11-28,65.4126,65.5241,64.5792,65.0444,1586123
2017-11-29,64.9475,65.3835,64.6374,65.1994,1593014
2017-11-30,65.713,65.7809,64.8796,65.3739,2523857
2017-12-01,65.6161,66.1104,65.0347,65.8584,2051724
2017-12-04,65.9844,66.1007,64.7052,65.0541,2467125
2017-12-05,64.9184,65.1703,63.9299,64.0753,2672598
2017-12-06,64.0753,64.6083,63.7167,64.24,2226394
2017-12-07,64.24,64.9281,63.9493,64.1431,2548810
2017-12-08,64.24,64.5695,64.085,64.2691,2018184
2017-12-11,64.2303,64.2497,63.6586,63.8815,2106824
2017-12-12,63.9299,64.3951,63.5568,64.0753,2458774
2017-12-13,64.2885,64.8021,64.211,64.3563,2331169
2017-12-14,64.2352,64.5695,64.0365,64.24,1906611
2017-12-15,64.5695,65.1703,64.3369,64.8699,4753461
2017-12-18,65.1897,65.6994,64.9959,65.2576,1622739
2017-12-19,64.9475,65.1607,62.1275,62.486,4094343
2017-12-20,62.486,63.1062,61.6817,61.6914,2182182
2017-12-21,61.5896,61.9918,61.3037,61.5169,1871878
2017-12-22,61.5751,61.8949,61.3231,61.4394,1586192
2017-12-26,61.391,62.0984,61.1971,61.5266,1811649
2017-12-27,61.7398,61.7786,61.1649,61.3134,1565407
2017-12-28,61.3231,61.7689,61.1099,61.7495,1276879
2017-12-29,61.7301,62.3038,61.546,61.798,1378489
2018-01-02,61.9336,62.5054,61.7011,62.0499,1997332
2018-01-03,62.3116,62.6798,61.9724,62.1565,1832568
2018-01-04,62.1275,62.1614,60.7901,60.8192,1993539
2018-01-05,60.8967,61.0324,60.2862,60.4413,2003337
