date,open,high,low,close,volume
2017-06-20,27.265,27.265,26.7494,27.1504,8115814
2017-06-21,27.2937,27.4465,26.4772,26.5966,7249481
2017-06-22,26.6634,26.9308,26.4056,26.9022,5991810
2017-06-23,26.9499,27.4847,26.8067,27.456,9003049
2017-06-26,27.4656,27.7425,27.2937,27.6661,3844556
2017-06-27,27.7712,28.1532,27.7425,27.8571,7548305
2017-06-28,27.8858,28.497,27.8445,28.411,8364046
2017-06-29,28.4779,28.8885,28.3824,28.4588,11878076
2017-06-30,28.6116,29.0557,28.497,28.9172,6854375
2017-07-03,29.1177,29.6239,29.0795,29.4424,3062085
2017-07-05,29.3565,29.4138,28.8599,28.984,6948856
2017-07-06,29.1273,29.3851,28.9363,29.0986,5590599
2017-07-07,29.0891,29.1846,28.8456,29.0413,6245917
2017-07-10,29.0222,29.2037,28.8981,29.07,4915587
2017-07-11,29.07,29.1368,28.8217,29.0604,3698109
2017-07-12,29.4329,29.6334,29.2992,29.4042,4098041
2017-07-13,29.5379,29.834,29.4138,29.7576,3801438
2017-07-14,29.7194,30.2064,29.7098,30.0154,4441069
2017-07-17,29.9868,30.1969,29.9295,30.025,2592651
2017-07-18,30.216,30.3306,29.7385,29.748,4599676
2017-07-19,29.748,29.9295,29.5666,29.8435,5844619
2017-07-20,30.0536,30.4213,29.8483,30.0154,6070893
2017-07-21,30.025,30.2255,29.8817,30.0345,5769625
2017-07-24,30.1109,30.3401,30.1109,30.2446,4586143
2017-07-25,30.5311,30.6935,30.1682,30.1778,4716134
2017-07-26,30.3019,30.6266,30.13,30.1873,4663029
2017-07-27,30.1396,30.5741,30.1014,30.5407,4622626
2017-07-28,30.4834,30.7317,30.4356,30.5502,3464894
2017-07-31,30.5598,30.6266,30.1587,30.3497,3355569
2017-08-01,29.7289,29.8524,29.5188,29.5857,4362331
2017-08-02,30.0823,30.3067,29.9581,30.216,3942837
2017-08-03,29.3469,30.0727,29.1273,29.6621,5006683
2017-08-04,29.7289,29.8524,29.5188,29.5857,4362331
2017-08-07,29.4997,29.6621,29.2705,29.6239,5057262
2017-08-08,29.5188,29.7098,29.0222,29.1177,5710441
2017-08-09,29.1559,29.5332,29.0795,29.2514,3547131
2017-08-10,29.261,29.3469,28.6593,28.6975,3679890
2017-08-11,28.6975,28.8885,28.6116,28.7262,2391786
2017-08-14,28.8503,29.2705,28.6689,28.7548,3854279
2017-08-15,28.6689,28.7978,28.4015,28.6211,6760166
2017-08-16,28.6498,28.6689,28.1102,28.2869,3488406
2017-08-17,28.115,28.3681,27.7521,27.7712,3442522
2017-08-18,27.7807,27.8953,27.4656,27.7616,4842778
2017-08-21,27.733,27.8189,27.5372,27.7043,5400470
2017-08-22,27.8094,28.2964,27.7903,28.1723,2909944
2017-08-23,28.0768,28.4683,28.0768,28.1627,4670620
2017-08-24,28.1054,28.2964,28.0816,28.1436,2182394
2017-08-25,28.22,28.2582,28.0672,28.0672,3669218
2017-08-28,28.1245,28.1627,27.6184,27.8571,3010959
2017-08-29,27.647,27.9097,27.499,27.8571,2919044
2017-08-30,27.7903,27.924,27.647,27.8189,2932842
2017-08-31,27.8953,28.4492,27.7903,28.3919,3758641
2017-09-01,28.4683,28.8599,28.3012,28.7071,4311890
2017-09-05,28.8121,28.9745,28.5734,28.793,3707652
2017-09-06,28.8694,29.1464,28.7262,28.7548,6601770
2017-09-07,28.7838,28.9285,28.5764,28.7548,2912238
2017-09-08,28.6584,28.8706,28.504,28.6391,3272457
2017-09-11,28.6873,29.3336,28.6584,29.1792,4822923
2017-09-12,29.1889,29.43,29.0635,29.1407,3205891
2017-09-13,29.2564,29.4108,29.1407,29.3432,3078538
2017-09-14,29.3336,29.6905,29.2275,29.3336,6581051
2017-09-15,29.4686,29.5072,29.131,29.2275,6718454
2017-09-18,29.1792,29.5217,29.1117,29.4976,6099947
2017-09-19,29.5554,29.6664,29.4011,29.4204,3955498
2017-09-20,29.4397,29.6519,29.2564,29.3143,5193543
2017-09-21,29.2661,29.3336,28.7355,28.9285,4455457
2017-09-22,28.9285,29.0297,28.7162,28.9381,2886645
2017-09-25,29.0249,29.6664,29.0153,29.5072,5957350
2017-09-26,29.4204,29.5554,29.1503,29.16,6027660
2017-09-27,29.2371,29.2709,28.8465,28.9188,3561765
2017-09-28,28.8802,28.9381,28.6584,28.9381,3270111
2017-09-29,28.8031,29.0153,28.7838,28.9477,2996189
2017-10-02,28.7838,29.1503,28.6969,28.9863,3343357
2017-10-03,28.9767,29.3046,28.8465,29.2178,3966601
2017-10-04,29.2082,29.2564,28.885,28.9767,3600199
2017-10-05,29.0153,29.3239,28.8899,29.2661,2629753
2017-10-06,29.0924,29.2371,28.8706,29.0442,2652045
2017-10-09,29.0731,29.1985,28.967,28.996,2257641
2017-10-10,29.1889,29.2998,28.8658,28.967,3374788
2017-10-11,28.996,29.1117,28.8995,29.0924,3809099
2017-10-12,28.8802,29.2275,28.8802,29.1021,2561563
2017-10-13,29.3046,29.3143,28.7982,28.8127,3711738
2017-10-16,28.9188,29.0056,28.8031,28.8802,2241821
2017-10-17,28.7934,28.8995,28.7018,28.8609,2661042
2017-10-18,28.8706,29.0153,28.4269,28.6391,4727570
2017-10-19,28.4751,28.6969,28.2725,28.5523,3766649
2017-10-20,28.6584,28.668,28.2243,28.2918,3634942
2017-10-23,28.2629,28.3111,27.7709,27.8192,4587859
2017-10-24,28.041,28.041,27.5684,27.7516,4541679
2017-10-25,27.6938,27.7902,26.816,27.3465,7929377
2017-10-26,27.3369,27.5877,27.1825,27.4044,5617414
2017-10-27,27.3079,27.8288,27.1005,27.6069,6612211
2017-10-30,27.6938,27.9446,27.4864,27.5298,4330525
2017-10-31,27.4237,27.5394,27.2693,27.4912,5526668
2017-11-01,27.8192,28.0796,27.6745,27.7709,6665795
2017-11-02,27.5394,27.7613,26.9608,27.115,7214166
2017-11-03,27.1343,27.4285,26.9221,27.2597,3826233
2017-11-06,27.279,27.7999,27.1922,27.7709,4539194
2017-11-07,27.6648,27.7999,27.1922,27.7516,8228094
2017-11-08,27.7227,27.7323,27.2308,27.3754,6688679
2017-11-09,27.2211,27.906,27.2211,27.6552,4397938
2017-11-10,27.6455,27.824,27.3369,27.6069,5926217
2017-11-13,27.4815,27.5153,27.1777,27.2308,3943217
2017-11-14,27.1439,27.1729,26.6857,26.7388,5536433
2017-11-15,26.5266,26.7436,26.2469,26.5266,4466145
2017-11-16,26.4977,26.5362,26.025,26.0636,4871692
2017-11-17,26.0732,26.3819,25.8695,26.2951,4270444
2017-11-20,26.2951,26.5266,26.0154,26.353,3588807
2017-11-21,26.4687,26.6423,26.2276,26.2758,4742689
2017-11-22,26.3626,26.9028,26.353,26.7677,4854636
2017-11-24,26.8835,27.414,26.8714,27.0764,3377363
2017-11-27,27.0089,27.1729,26.8063,26.9896,8213156
2017-11-28,27.0089,27.3947,26.8256,27.3561,8732920
2017-11-29,27.3465,27.4815,27.0571,27.3176,6372715
2017-11-30,27.4623,28.205,27.3561,28.0217,8075506
2017-12-01,28.2532,28.5715,28.0854,28.2532,6037003
2017-12-04,28.2918,28.4462,27.9735,28.0217,5973525
2017-12-05,28.1278,28.205,27.9446,28.041,3888665
2017-12-06,27.8963,27.9663,27.5394,27.6745,4160958
2017-12-07,27.655,27.8304,27.4698,27.7525,4848032
2017-12-08,27.8792,27.9767,27.5039,27.8304,8941823
2017-12-11,27.811,28.3568,27.7037,28.1716,6743718
2017-12-12,28.2009,28.5372,28.0254,28.3471,4871152
2017-12-13,28.3081,28.4641,28.1668,28.3276,4760825
2017-12-14,28.4348,29.1172,28.3081,28.932,6172881
2017-12-15,29.1464,29.2439,28.8345,28.9807,10206964
2017-12-18,29.0928,29.6533,29.0489,29.3804,7266237
2017-12-19,29.3901,29.5802,29.2731,29.3024,4810225
2017-12-20,29.3219,29.3901,28.893,29.2926,7750944
2017-12-21,29.2829,29.6241,29.239,29.5558,5162520
2017-12-22,29.4974,29.6923,29.4584,29.5461,4144277
2017-12-26,29.6533,29.9165,29.5851,29.7216,2427130
2017-12-27,29.78,29.7995,29.5217,29.6241,4036028
2017-12-28,29.6533,29.78,29.5168,29.741,2961142
2017-12-29,29.819,29.9458,29.6436,29.7216,2914928
2018-01-02,29.897,30.399,29.7703,30.3552,4480305
2018-01-03,30.3844,31.252,30.3552,31.1935,8969474
2018-01-04,31.252,31.7832,31.018,31.7296,7298642
2018-01-05,31.7784,31.8271,31.2422,31.6419,6366688
2018-01-08,31.6322,31.7686,31.4469,31.7589,5546048
2018-01-09,31.8369,32.0416,31.6517,31.9051,3928155
2018-01-10,31.9246,31.9538,31.6127,31.9246,4201186
2018-01-11,31.9928,32.2853,31.7784,32.2658,5733053
2018-01-12,32.256,32.5387,32.0026,32.373,4371366
2018-01-16,32.49,32.5875,31.7101,31.7686,5560125
2018-01-17,31.9148,31.9148,31.4274,31.7004,5128744
2018-01-18,31.6906,31.6906,31.4274,31.4664,4127978
2018-01-19,31.3885,31.5103,31.135,31.4859,4335212
2018-01-22,31.5542,32.0221,31.5249,32.0221,5515665
2018-01-23,32.0903,32.4802,31.8759,32.3145,6036385
2018-01-24,32.3535,32.8214,32.2268,32.2658,6536800
2018-01-25,31.8759,32.2365,31.4567,31.5834,8226684
2018-01-26,31.7394,31.9246,31.5688,31.7101,4727638
