date,open,high,low,close,volume
2017-06-20,73.7126,73.7515,73.1686,73.3823,10019248
2017-06-21,73.4406,74.4169,73.4212,74.0623,9011423
2017-06-22,73.8583,73.8875,73.1492,73.3629,8111282
2017-06-23,73.4406,73.6155,72.4206,72.7023,13080330
2017-06-26,72.8092,73.7612,72.78,73.3435,8587480
2017-06-27,73.3629,74.1886,73.2949,73.8389,6454384
2017-06-28,74.072,74.6063,73.9652,74.3246,6988885
2017-06-29,74.072,74.14,73.3289,73.7612,7063528
2017-06-30,73.9069,74.0915,73.5086,73.5183,6963283
2017-07-03,73.6737,74.1595,72.9355,73.2075,4848564
2017-07-05,73.392,73.7806,73.018,73.1686,6037661
2017-07-06,73.1977,73.8,73.0909,73.3143,6161845
2017-07-07,73.4892,73.6543,72.9063,73.1783,5307064
2017-07-10,73.0035,73.1589,71.0412,71.1383,15066660
2017-07-11,71.284,71.9349,71.2354,71.3714,7532631
2017-07-12,71.556,72.0903,71.556,71.828,5700157
2017-07-13,72.5372,73.1006,72.3817,72.9063,8160487
2017-07-14,74.0915,74.3683,73.7417,74.1595,9151859
2017-07-17,74.1109,74.6743,74.0137,74.1886,8835576
2017-07-18,74.072,74.3566,73.8292,74.0235,4314853
2017-07-19,73.9069,74.0429,73.4406,73.7029,5313563
2017-07-20,73.8097,74.072,73.5377,73.8486,4965379
2017-07-21,73.6737,74.0526,73.392,73.9749,7153326
2017-07-24,73.8583,74.9512,73.8583,74.6938,7388035
2017-07-25,75.3932,76.6075,75.1795,76.2772,11503953
2017-07-26,76.3063,76.9086,75.7138,76.6463,6716055
2017-07-27,76.4715,77.5741,76.2383,77.5012,8052464
2017-07-28,77.5206,77.6712,77.2632,77.5303,4975216
2017-07-31,77.5401,78.0452,77.4186,77.7052,6263189
2017-08-01,77.9578,78.4241,77.7149,78.2006,5726547
2017-08-02,78.0452,78.7932,78.0064,78.2298,8673035
2017-08-03,79.0166,79.4246,78.3658,78.5601,9946948
2017-08-04,78.7446,79.0749,77.9189,78.1812,7141805
2017-08-07,78.2686,79.1235,78.2395,78.9584,5484512
2017-08-08,78.8515,79.5218,78.5892,79.2595,7381407
2017-08-09,79.2888,80.1491,79.0845,79.7776,6606508
2017-08-10,79.2497,79.5723,78.7414,78.849,8044995
2017-08-11,78.9174,79.4257,78.5557,78.5948,7905495
2017-08-14,78.7805,79.4159,78.6925,78.8881,7792028
2017-08-15,79.0151,79.5723,78.7316,78.9565,7066058
2017-08-16,79.4453,79.6114,78.7316,79.1618,11535953
2017-08-17,77.0796,78.0132,76.5713,77.9105,17293701
2017-08-18,77.8323,78.5459,77.4999,77.5293,9752957
2017-08-21,77.3435,78.2722,77.0209,77.9203,9613928
2017-08-22,78.0083,78.3602,77.9203,78.2233,6546099
2017-08-23,78.5459,78.7512,78.0865,78.1647,7799306
2017-08-24,78.8001,79.064,76.102,76.581,19128041
2017-08-25,76.7375,77.3142,76.7179,76.8645,9902189
2017-08-28,76.6495,76.7001,76.1118,76.278,8621494
2017-08-29,75.9261,77.2067,75.7599,77.0014,7665191
2017-08-30,77.0503,77.324,76.757,76.7766,5829829
2017-08-31,76.8352,76.9818,76.3073,76.3171,8194750
2017-09-01,76.5517,76.7375,76.454,76.6104,6474360
2017-09-05,76.1998,78.0962,76.1509,78.0083,12068490
2017-09-06,78.0865,78.5948,77.9301,78.282,8426125
2017-09-07,78.5166,78.9467,78.2038,78.3211,6820752
2017-09-08,77.9496,78.0816,75.9847,77.1089,9999593
2017-09-11,77.3729,77.5684,76.8939,77.3044,7000240
2017-09-12,77.5195,78.1158,77.3924,77.8225,6004985
2017-09-13,77.8225,78.8685,77.803,78.0669,8823746
2017-09-14,77.9985,78.0278,77.4364,77.891,6939333
2017-09-15,78.018,78.9369,77.4902,78.5752,13317757
2017-09-18,78.4091,79.2986,78.1549,78.2038,8176067
2017-09-19,78.3797,78.6534,77.9105,78.2527,6174358
2017-09-20,78.37,78.7512,78.0767,78.6925,5318194
2017-09-21,78.761,78.761,77.9301,78.2135,6430256
2017-09-22,78.0962,78.282,77.4657,77.7443,5755262
2017-09-25,77.148,78.3015,77.0894,77.3729,8547808
2017-09-26,77.2653,77.7541,77.148,77.6075,5835332
2017-09-27,77.6368,77.7834,76.9036,77.5097,6314623
2017-09-28,77.2262,77.3044,76.366,77.1773,12372825
2017-09-29,77.0796,77.2262,76.2291,76.3855,10353361
2017-10-02,76.1509,77.06,75.7599,76.6886,7709220
2017-10-03,77.06,77.8714,76.9818,77.4413,7936742
2017-10-04,77.4902,77.99,77.2947,77.3142,6173376
2017-10-05,77.3924,78.018,77.3044,77.627,5138671
2017-10-06,77.0112,77.3924,76.4931,77.2262,6246655
2017-10-09,77.715,79.5528,77.6182,78.7219,13493044
2017-10-10,80.8236,82.9742,80.7552,82.241,25123962
2017-10-11,82.6809,84.3525,82.2117,83.8051,18561005
2017-10-12,83.7758,84.4307,83.1502,84.1668,12876987
2017-10-13,84.3037,84.9977,84.3037,84.6751,9389049
2017-10-16,84.636,84.6751,83.1111,83.8149,9300326
2017-10-17,83.5803,84.4166,83.4053,84.0495,5851546
2017-10-18,84.2157,84.429,84.0788,84.2841,5472088
2017-10-19,84.2157,84.7142,83.8402,84.4601,7028958
2017-10-20,84.6556,85.4865,84.3428,85.4767,7617753
2017-10-23,85.379,86.9235,85.3008,86.6596,10586033
2017-10-24,86.6987,86.8062,85.9362,86.0046,7700872
2017-10-25,85.8775,86.6107,85.4669,86.5031,5186064
2017-10-26,86.6693,87.1092,86.0437,86.6302,6484941
2017-10-27,86.161,86.4054,85.1932,86.1903,6617000
2017-10-30,85.9655,85.9753,84.4513,84.9977,7051993
2017-10-31,84.9097,85.4963,84.6556,85.3496,6006933
2017-11-01,85.115,86.4103,85.0466,85.9655,6176079
2017-11-02,86.2979,87.1632,85.8286,86.8062,5183089
2017-11-03,87.0212,87.8619,86.7671,87.6664,6512059
2017-11-06,87.4123,87.6664,86.6889,86.7084,5257445
2017-11-07,86.8746,87.0603,86.3272,86.9528,5349331
2017-11-08,87.1092,88.3898,87.0995,88.2334,6767543
2017-11-09,87.9206,88.5364,87.3438,88.2725,6756423
2017-11-10,88.2139,89.6313,88.1748,88.8786,7647801
