date,open,high,low,close,volume
2017-06-08,54.1086,54.2544,53.6809,53.9044,1389706
2017-06-09,54.2155,56.1788,54.0405,55.6928,1920520
2017-06-12,55.4887,56.2371,55.3429,55.6637,2272953
2017-06-13,55.8192,56.1691,55.4839,55.8678,1100397
2017-06-14,55.5956,55.8872,54.7695,55.2069,936031
2017-06-15,55.2069,56.1788,54.7889,55.7512,1346972
2017-06-16,55.4596,55.8872,55.2457,55.8775,1540718
2017-06-19,56.4412,56.9758,55.8581,56.3246,1373048
2017-06-20,56.0233,56.3246,55.5762,55.6345,1159702
2017-06-21,55.8386,55.8386,55.0514,55.3818,1073968
2017-06-22,55.7026,55.7026,54.7792,55.2555,868236
2017-06-23,55.3721,56.1205,55.3721,55.7026,1575807
2017-06-26,55.6442,55.8056,55.2413,55.4304,1329706
2017-06-27,55.4984,55.5956,55.0416,55.1291,1187166
2017-06-28,55.654,55.6928,54.7792,55.0999,1405458
2017-06-29,54.9833,55.3478,54.1572,54.7306,1306880
2017-06-30,55.0999,55.3624,54.7403,55.0708,1442522
2017-07-03,55.4984,55.7414,55.0999,55.5179,368853
2017-07-05,55.6054,55.9164,55.3867,55.5179,794958
2017-07-06,55.0514,55.4984,54.7889,54.8278,806713
2017-07-07,55.0805,55.8872,54.9736,55.7026,1201041
2017-07-10,55.5762,56.9758,55.5762,56.6551,1408318
2017-07-11,56.4218,57.0147,56.0913,56.2469,1178845
2017-07-12,56.7425,57.3452,56.5482,56.9855,1232996
2017-07-13,57.5104,58.667,57.4424,58.0158,1640825
2017-07-14,58.0936,58.3268,57.6076,57.9769,1890948
2017-07-17,57.7825,58.1519,57.4035,58.0547,1252871
2017-07-18,58.0547,58.0547,57.1119,57.4618,1041678
2017-07-19,57.5979,58.045,57.5007,57.8311,804296
2017-07-20,57.6951,58.0255,56.83,57.2577,860365
2017-07-21,56.9661,57.4035,56.8009,57.0536,857270
2017-07-24,57.005,57.3549,56.7911,56.9758,1005181
2017-07-25,57.316,57.5978,56.9175,57.1799,686767
2017-07-26,57.3646,57.3743,56.4412,56.519,698767
2017-07-27,56.7328,57.1994,55.6637,57.073,1381182
2017-07-28,56.9661,57.0147,55.0708,55.7123,1632281
2017-07-31,55.9164,56.0233,55.3235,55.8095,1643745
2017-08-01,55.3235,56.5482,55.1971,55.722,2080650
2017-08-02,56.033,56.1788,54.993,56.033,1160113
2017-08-03,56.9661,58.0547,54.9056,55.0028,1853902
2017-08-04,55.3235,56.5482,55.1971,55.722,2080650
2017-08-07,55.8969,56.033,55.1388,55.5568,2016584
2017-08-08,55.2263,55.7998,54.8764,54.9736,1329846
2017-08-09,54.954,55.5315,54.6799,54.954,1104958
2017-08-10,54.6506,54.9932,54.0241,54.0632,1176364
2017-08-11,54.2101,54.582,53.75,54.4352,889522
2017-08-14,55.14,55.7175,54.7876,55.3456,1421059
2017-08-15,55.3945,55.5413,55.0519,55.1204,692761
2017-08-16,55.6588,56.2363,55.6588,56.0895,1042927
2017-08-17,55.7273,56.0503,54.8463,54.8855,836718
2017-08-18,54.7778,55.6099,54.3765,55.1008,1032994
2017-08-21,54.9932,54.9932,52.9082,53.1822,1905085
2017-08-22,53.2214,53.8821,53.0599,53.6717,1340203
2017-08-23,53.6032,53.7696,53.1137,53.4465,936509
2017-08-24,53.7108,54.0045,53.3193,53.5249,1438835
2017-08-25,53.8087,54.2199,53.6227,54.0632,1043536
2017-08-28,54.4744,54.5429,53.5542,54.0045,1553185
2017-08-29,53.5836,54.1611,53.3584,54.0926,821686
2017-08-30,53.9262,55.0617,53.7843,54.954,998408
2017-08-31,55.3456,55.8546,55.2575,55.7077,1323753
2017-09-01,56.0014,56.8237,55.8252,56.7062,1420972
2017-09-05,56.7649,56.7649,55.4239,55.6392,1821600
2017-09-06,55.9035,56.021,54.9442,55.5903,1643996
2017-09-07,55.6588,55.8301,54.6995,55.277,1539910
2017-09-08,55.2966,55.5609,55.0617,55.277,1314365
2017-09-11,55.7469,56.7747,55.5805,56.53,2301523
2017-09-12,57.7732,57.7732,56.5496,56.7453,1123473
2017-09-13,56.2461,56.7062,55.5511,56.1189,1127179
2017-09-14,55.7958,56.393,55.698,56.207,1349717
2017-09-15,56.2951,56.667,55.7273,56.344,1932835
2017-09-18,56.2559,56.9999,56.2559,56.5202,1242083
2017-09-19,56.5202,56.6377,55.8252,56.1287,1506246
2017-09-20,55.972,57.1173,55.972,57.0194,1008039
2017-09-21,57.0194,57.1173,56.3538,56.393,1821376
2017-09-22,56.2951,56.4321,54.1611,54.4939,2338768
2017-09-25,54.2101,54.4841,53.5151,54.0437,1461395
2017-09-26,54.2296,54.768,54.0632,54.4254,1024821
2017-09-27,54.7582,55.5315,54.7582,55.14,1844962
2017-09-28,55.0813,55.9133,55.0529,55.5805,1447469
2017-09-29,55.4728,55.7175,55.1889,55.5315,1339486
2017-10-02,55.7567,56.8432,55.5609,56.8432,1515051
2017-10-03,57.1565,57.1809,56.5692,56.8334,1499891
2017-10-04,56.8922,57.0488,56.6279,56.9607,1179416
2017-10-05,57.2544,57.2544,56.5006,56.667,1109838
2017-10-06,56.6768,57.4795,56.4615,56.9411,2361430
2017-10-09,57.1565,57.3033,56.2902,57.3033,1013407
2017-10-10,57.597,57.7732,57.1369,57.7242,1641650
2017-10-11,57.8515,57.8515,56.9215,57.3327,1089091
2017-10-12,57.3425,57.7438,57.2446,57.4697,976770
2017-10-13,57.6851,57.8613,57.3327,57.6165,676801
2017-10-16,57.7242,57.9298,57.3816,57.8808,897008
2017-10-17,57.8319,58.3899,57.7634,58.3409,1562749
2017-10-18,58.6346,58.6346,58.057,58.3409,1428395
2017-10-19,58.4975,58.7618,57.9102,58.3409,1936500
2017-10-20,58.6346,59.2611,58.4731,59.2513,1214109
2017-10-23,59.5156,59.8288,59.2121,59.4764,2299112
2017-10-24,59.7994,60.2008,59.1534,59.7799,2315564
2017-10-25,60.0246,60.0246,59.0946,59.7113,1490068
2017-10-26,60.0931,60.0931,59.1632,59.1925,1808218
2017-10-27,59.2806,59.5743,57.3914,59.5449,2023945
2017-10-30,59.2708,59.7994,58.9649,59.0457,1026100
2017-10-31,59.4666,60.0539,58.8695,60.0344,1861892
2017-11-01,60.0344,60.2987,59.5449,60.0344,2422454
2017-11-02,59.9169,59.9267,57.9592,58.5563,2129574
2017-11-03,58.5856,58.7814,57.7536,58.6835,1617658
2017-11-06,58.7227,59.1436,57.1271,58.0179,2238810
2017-11-07,58.1941,58.2626,57.3033,57.7046,1187422
2017-11-08,57.6557,58.0962,57.2152,58.0864,1146681
2017-11-09,57.9188,58.6977,57.6723,58.2047,1855309
2017-11-10,58.1948,58.2934,57.623,57.8399,1185795
2017-11-13,57.692,58.0667,57.3666,58.0174,1320390
2017-11-14,57.9089,58.3921,57.3863,57.8399,1389585
2017-11-15,57.7216,58.3526,57.3272,57.9385,1281099
2017-11-16,58.4019,58.7174,57.7709,58.323,1577926
2017-11-17,58.1061,58.8851,57.7117,58.6681,1192507
2017-11-20,58.4907,58.4907,57.623,57.6328,1313645
2017-11-21,57.9681,58.323,57.7413,57.8399,1329358
2017-11-22,58.2343,58.2343,57.8202,57.9681,850956
2017-11-24,58.3822,58.5498,57.8399,58.0371,350754
2017-11-27,58.2836,58.2836,57.6328,57.8695,1090410
2017-11-28,58.1357,58.5301,57.8497,58.4512,957645
2017-11-29,58.4019,59.6246,58.185,59.4175,953783
