date,open,high,low,close,volume
2017-06-20,18.3427,18.3764,18.2463,18.2656,3544120
2017-06-21,18.333,18.3427,18.1499,18.1595,2056371
2017-06-22,18.121,18.2463,17.8511,18.1017,4597180
2017-06-23,18.1499,18.4776,18.121,18.4776,4797678
2017-06-26,18.4873,18.6367,18.2559,18.3234,2640404
2017-06-27,18.4873,18.5162,18.1884,18.1981,2104774
2017-06-28,18.1981,18.3138,18.0824,18.2848,3926550
2017-06-29,18.2945,18.4005,18.0631,18.1788,4246552
2017-06-30,18.1884,18.4487,18.1595,18.3619,4475598
2017-07-03,18.4294,18.5595,18.4198,18.4583,1805510
2017-07-05,18.4873,18.5258,17.9282,18.0149,5171643
2017-07-06,17.9282,17.9571,17.7547,17.8029,3997145
2017-07-07,17.8896,18.0535,17.8318,17.9764,3080656
2017-07-10,17.9571,18.1547,17.9186,18.0246,2527186
2017-07-11,18.0149,18.1595,17.9468,18.1113,3097464
2017-07-12,18.2174,18.3812,18.1884,18.3234,3144132
2017-07-13,18.3619,18.3909,18.2559,18.2559,1740770
2017-07-14,18.2945,18.3957,18.2463,18.333,1020380
2017-07-17,18.3427,18.4728,18.256,18.3138,1632698
2017-07-18,18.3041,18.3041,18.1788,18.2752,1893639
2017-07-19,18.2848,18.5065,18.227,18.4873,2798862
2017-07-20,18.4969,18.5451,18.3668,18.3909,1855314
2017-07-21,18.4005,18.4776,18.3427,18.4005,1710176
2017-07-24,18.3909,18.4969,18.1981,18.468,1745810
2017-07-25,18.5547,18.9017,18.5547,18.7764,3884744
2017-07-26,18.7668,18.7861,18.6367,18.7764,2147758
2017-07-27,18.8632,19.0559,18.7957,18.9885,3255376
2017-07-28,18.9499,19.027,18.8728,18.9403,1979924
2017-07-31,18.9692,19.0945,18.9403,19.0367,4050236
2017-08-01,19.3451,19.6632,18.8824,19.0077,8103189
2017-08-02,18.9981,19.027,18.68,18.7861,3184974
2017-08-03,18.7379,18.9499,18.6897,18.8728,4528451
2017-08-04,19.3451,19.6632,18.8824,19.0077,8103189
2017-08-07,18.9885,19.0174,18.6511,18.68,4443305
2017-08-08,18.6318,18.8535,18.5933,18.6029,2898664
2017-08-09,18.5162,18.5836,18.468,18.5836,2397024
2017-08-10,18.4969,18.5644,18.227,18.227,3621828
2017-08-11,18.1788,18.3812,18.1692,18.2174,3227668
2017-08-14,18.3619,18.5451,18.3571,18.4487,2541550
2017-08-15,18.4487,18.5836,18.3909,18.5258,3090921
2017-08-16,18.5547,18.8102,18.5451,18.68,3954630
2017-08-17,18.6608,18.7812,18.3042,18.3138,3817383
2017-08-18,18.2656,18.2704,18.121,18.1981,3946906
2017-08-21,18.1692,18.3041,18.1403,18.1981,2157251
2017-08-22,18.227,18.3619,18.1981,18.3427,1991893
2017-08-23,18.3041,18.4294,18.2848,18.2848,3018316
2017-08-24,18.3716,18.4487,18.2752,18.2945,2451007
2017-08-25,18.3138,18.468,18.2752,18.3138,1687458
2017-08-28,18.3909,18.4776,18.2897,18.3523,2604439
2017-08-29,18.2848,18.4391,18.1499,18.3812,3047709
2017-08-30,18.333,18.3716,18.0824,18.2463,4001353
2017-08-31,18.3619,18.3877,18.1933,18.2366,4088154
2017-09-01,18.3041,18.3234,18.0776,18.1113,3893668
2017-09-05,18.0439,18.1017,17.8318,18.0053,4924213
2017-09-06,18.0631,18.1305,17.8077,17.8414,5363039
2017-09-07,17.8704,17.9668,17.7258,17.8704,3800438
2017-09-08,17.8704,18.1692,17.7933,18.0149,3118970
2017-09-11,18.1113,18.3571,18.1113,18.2077,2714977
2017-09-12,18.1981,18.5836,18.1595,18.5258,3432169
2017-09-13,18.5451,18.6222,18.4101,18.4198,3393102
2017-09-14,18.3955,18.5025,18.3663,18.4247,2769338
2017-09-15,18.3371,18.4927,18.3128,18.3955,5598719
2017-09-18,18.4636,18.59,18.4052,18.5803,2430817
2017-09-19,18.6095,18.6712,18.4927,18.5317,2146383
2017-09-20,18.5317,18.5998,18.3663,18.4344,2185705
2017-09-21,18.4052,18.4976,18.3857,18.3955,2509712
2017-09-22,18.3955,18.4879,18.3663,18.4733,2575435
2017-09-25,18.4247,18.5657,18.3517,18.5122,2726859
2017-09-26,18.5608,18.5608,18.1912,18.2204,3967258
2017-09-27,18.2885,18.5025,18.2301,18.483,3541307
2017-09-28,18.4538,18.5657,18.4052,18.5414,3028362
2017-09-29,18.5122,18.6776,18.5122,18.6776,2905252
2017-10-02,18.7068,18.9305,18.663,18.8721,4540174
2017-10-03,18.8721,18.949,18.7457,18.8527,3278429
2017-10-04,18.8527,18.8916,18.7943,18.8819,3916280
2017-10-05,18.9013,19.2126,18.8186,19.1153,3887705
2017-10-06,19.1153,19.1348,18.8965,18.9889,2515673
2017-10-09,19.0278,19.0764,18.9354,18.9889,1883350
2017-10-10,19.057,19.1056,18.9889,19.0667,2001091
2017-10-11,19.0667,19.2029,19.0083,19.2029,3102638
2017-10-12,19.1542,19.2175,19.0813,19.2029,2787921
2017-10-13,19.2515,19.4461,19.2175,19.2515,1935420
2017-10-16,19.2807,19.3391,19.1153,19.2223,2634158
2017-10-17,19.2321,19.3585,19.1445,19.164,3401434
2017-10-18,19.2029,19.3683,19.2029,19.2515,3712920
2017-10-19,19.1932,19.3293,19.1056,19.3196,2580938
2017-10-20,19.4558,19.8352,19.4266,19.7574,4094419
2017-10-23,19.7866,19.8449,19.6309,19.6504,2351788
2017-10-24,19.6698,19.6893,19.5142,19.5531,2768906
2017-10-25,19.5434,19.6017,19.3488,19.4801,2376740
2017-10-26,19.5531,19.7185,19.5239,19.699,2169661
2017-10-27,19.7866,19.8449,19.4996,19.7087,2405278
2017-10-30,19.5725,19.5774,19.1542,19.1834,3172158
2017-10-31,19.1834,19.378,19.0375,19.3196,2919496
2017-11-01,19.4266,19.4947,19.2904,19.4364,3219467
2017-11-02,19.3877,19.5628,19.271,19.5336,4774395
2017-11-03,19.5531,20.1076,18.9013,18.9694,7262928
2017-11-06,18.8819,19.3099,18.7457,18.9013,5339826
2017-11-07,18.9889,19.0764,18.6192,18.6387,4417987
2017-11-08,18.6776,19.2223,18.6046,19.2126,4926787
2017-11-09,19.0959,19.6017,19.0959,19.5336,5372841
2017-11-10,19.592,19.6601,19.5434,19.592,5479625
2017-11-13,19.5336,19.5531,18.9646,18.9889,3133704
2017-11-14,18.95,19.2126,18.9208,19.1153,2996556
2017-11-15,19.0181,19.1056,18.8332,19.0667,3213349
2017-11-16,19.2029,19.3148,19.0959,19.2321,2399338
2017-11-17,19.1445,19.271,18.9986,19.1445,2463777
2017-11-20,19.1932,19.2807,19.057,19.1445,2030216
2017-11-21,19.1542,19.3002,19.1251,19.164,2155672
2017-11-22,19.1834,19.2029,18.9646,19.0181,1831482
2017-11-24,19.0472,19.164,18.9694,19.1153,1551150
2017-11-27,19.1348,19.1932,18.8721,18.95,2838600
2017-11-28,18.9889,19.164,18.9305,19.1542,2692079
