date,open,high,low,close,volume
2017-06-20,136.1686,136.5828,134.4135,135.2122,1359731
2017-06-21,135.1136,136.5039,134.6797,135.5376,897205
2017-06-22,135.4488,136.0306,134.0783,135.1333,1126918
2017-06-23,134.4431,136.4644,134.1473,136.3855,1455918
2017-06-26,136.563,137.7167,134.8376,135.2319,1174513
2017-06-27,135.084,136.8095,133.4374,133.7332,1729826
2017-06-28,134.0783,134.7734,132.1358,134.0388,1268380
2017-06-29,133.9008,133.9205,129.2468,130.9033,1779554
2017-06-30,131.278,133.1711,129.8581,132.2443,1455011
2017-07-03,130.9427,131.0412,127.0195,129.1778,2005726
2017-07-05,129.7595,131.0315,128.2115,130.5681,1212958
2017-07-06,130.1934,130.9625,129.0003,129.0792,1276881
2017-07-07,128.9707,131.5738,127.6938,130.6075,1334840
2017-07-10,130.8441,133.2599,130.5681,133.0627,1119774
2017-07-11,133.1021,133.9993,131.1597,132.4119,1391307
2017-07-12,133.674,134.6206,133.2303,133.3782,1183371
2017-07-13,134.2952,134.4264,132.619,133.0923,953767
2017-07-14,127.7185,129.9962,125.2337,128.596,4478298
2017-07-17,128.1819,129.4885,127.0973,128.034,2157384
2017-07-18,128.1425,131.84,128.1129,131.6823,1740728
2017-07-19,132.4119,133.2895,130.0578,131.3076,1359390
2017-07-20,131.3963,131.5639,129.8581,130.1539,1008800
2017-07-21,130.3413,133.7036,130.3314,132.264,1646717
2017-07-24,134.3248,137.4997,133.6494,136.5926,2813967
2017-07-25,137.1448,137.7068,134.7586,137.0363,3743184
2017-07-26,130.1539,131.1399,126.6437,130.1539,8653785
2017-07-27,130.4793,131.2681,125.5591,126.2296,4513355
2017-07-28,126.062,129.2961,125.8648,126.8015,2730547
2017-07-31,127.7481,129.4933,126.7522,127.5311,2479024
2017-08-01,128.3101,128.5393,125.638,126.2099,2424129
2017-08-02,126.0521,126.1211,122.4236,124.1885,2906678
2017-08-03,124.4351,125.4112,123.449,124.5731,1238564
2017-08-04,124.7999,126.1113,124.1097,125.7267,1034676
2017-08-07,126.5254,128.6256,126.2099,128.4087,1707363
2017-08-08,129.3193,130.3487,128.0721,128.7452,1791698
2017-08-09,128.2404,128.7452,127.1318,128.5274,1789319
2017-08-10,127.6861,128.2008,124.6473,124.7364,2174338
2017-08-11,124.291,125.0829,122.8459,124.3504,1235237
2017-08-14,126.0133,127.1615,125.4887,126.8744,1293246
2017-08-15,129.9824,135.1295,129.9132,135.0008,5147803
2017-08-16,135.2582,135.565,134.0308,135.0602,2131160
2017-08-17,134.6148,135.7135,132.7737,133.2488,2190257
2017-08-18,133.14,135.5848,132.1303,133.526,1729642
2017-08-21,134.6049,135.1097,131.873,134.2584,1671304
2017-08-22,135.0899,136.5449,134.4069,134.7633,1931775
2017-08-23,132.5362,134.0605,131.9126,133.3775,1720331
2017-08-24,133.9219,133.9219,131.2197,132.7341,1474386
2017-08-25,132.4867,133.912,131.4679,133.2785,1128882
2017-08-28,133.4864,133.9119,130.9129,132.5362,1976028
2017-08-29,132.0908,134.105,131.2791,133.8724,1136652
2017-08-30,133.9318,134.9473,133.1499,134.7138,1012724
2017-08-31,135.7135,138.5146,134.9711,137.5743,2629673
2017-09-01,139.9598,143.335,139.4154,141.9592,3014094
2017-09-05,141.1278,142.4541,139.4055,141.0486,1840122
2017-09-06,142.3452,142.4393,140.6428,141.9196,1817310
2017-09-07,142.5333,145.9976,142.3551,144.2655,1860710
2017-09-08,144.0477,145.3939,142.6917,142.9589,1081061
2017-09-11,144.6812,144.7208,142.7412,144.4139,1516742
2017-09-12,144.018,144.7703,142.4442,144.4337,992342
2017-09-13,144.9089,144.9979,143.0876,143.9883,933390
2017-09-14,143.5231,143.652,142.4838,142.6323,1070365
2017-09-15,142.6422,143.6716,141.4148,141.7612,1534756
2017-09-18,142.3056,143.6122,141.9592,142.3749,900707
2017-09-19,142.7115,145.8789,142.5333,145.5126,1968881
2017-09-20,145.8492,146.3936,142.6224,144.2061,1223610
2017-09-21,143.6617,144.315,141.2465,143.919,1361755
2017-09-22,143.434,144.5971,143.1222,143.434,1022774
2017-09-25,141.9988,142.4937,138.772,139.6925,2193465
2017-09-26,140.9298,143.5231,140.3458,143.147,1085675
2017-09-27,143.5231,145.5225,143.1084,143.8003,1348535
2017-09-28,143.919,144.6416,142.6986,142.9094,1133087
2017-09-29,145.6116,148.6207,144.9781,147.4032,3214995
2017-10-02,145.6116,147.3537,143.919,145.572,3005981
2017-10-03,146.1659,146.7202,144.8693,145.5918,1708954
2017-10-04,145.1464,146.0768,144.4634,145.473,1524957
2017-10-05,146.0372,148.8681,145.3147,145.4631,1719145
2017-10-06,143.2064,144.3437,140.8704,142.4739,3339545
2017-10-09,140.9496,142.7412,137.7822,141.9097,2587500
2017-10-10,142.8104,143.8003,140.5042,141.0882,1504470
2017-10-11,140.5834,142.7214,140.5636,141.8107,870212
2017-10-12,142.0978,144.4139,138.6829,139.3263,2441881
2017-10-13,139.8509,141.7513,138.8017,140.8803,1450292
2017-10-16,142.464,146.6311,142.3258,145.3147,2831589
2017-10-17,145.0672,145.8195,144.315,144.9089,1005854
2017-10-18,144.6317,145.3323,143.0381,143.8498,1173010
2017-10-19,142.5333,144.1467,141.9295,144.0477,785181
2017-10-20,145.3048,145.3246,142.7511,142.9688,1063148
2017-10-23,142.9292,145.2355,142.9292,143.2856,1213355
2017-10-24,143.533,144.1665,142.8104,143.434,735425
2017-10-25,143.1272,145.0563,141.5435,142.0483,1705435
2017-10-26,144.0477,144.6119,141.2792,143.8596,2748050
2017-10-27,141.2069,144.5129,139.6133,141.692,3038145
2017-10-30,141.0981,141.3059,138.9452,139.7717,1636843
2017-10-31,142.4145,148.1257,142.4145,145.9878,3938054
2017-11-01,150.8279,151.9959,148.3435,150.0064,3463860
2017-11-02,150.0064,150.5805,148.3584,148.5217,1357250
2017-11-03,147.9773,149.4818,147.5814,148.5613,1214452
2017-11-06,148.5217,152.7086,148.0268,149.848,1772805
2017-11-07,151.2932,151.8573,149.2044,150.6399,1286481
2017-11-08,150.6993,151.4416,149.5511,151.2338,2153362
2017-11-09,150.4023,152.5227,149.6996,152.0256,1455337
2017-11-10,151.6297,153.0945,151.4515,152.4611,903886
2017-11-13,152.184,154.807,151.9563,153.6588,1282934
2017-11-14,152.9659,153.6885,150.729,152.0355,1101197
2017-11-15,151.4397,151.4397,148.967,150.5658,1191080
2017-11-16,150.9431,153.2271,150.7545,152.1348,1269890
2017-11-17,151.8369,152.6214,150.9233,151.2212,849583
