date,open,high,low,close,volume
2017-06-08,99.0726,99.9193,97.8275,98.226,1505565
2017-06-09,98.3554,100.517,97.8176,99.501,1785348
2017-06-12,100.3277,101.8418,98.983,99.7898,1398408
2017-06-13,99.74,101.1246,99.2519,100.7461,1229312
2017-06-14,99.9691,99.9691,96.692,97.1302,1942354
2017-06-15,96.8513,97.1253,92.9665,93.5144,1504452
2017-06-16,94.132,94.132,92.3091,93.4546,1955233
2017-06-19,93.5343,93.9128,92.2194,93.0861,1211845
2017-06-20,91.9405,94.0822,90.9843,93.6439,1847383
2017-06-21,93.0064,94.122,90.8905,91.9605,1985624
2017-06-22,91.9306,92.9466,90.8647,90.9743,706841
2017-06-23,90.9046,92.7872,90.9046,92.6378,2357323
2017-06-26,92.7374,94.4208,91.7523,92.7374,1357474
2017-06-27,93.1259,93.7734,92.1497,92.2394,824814
2017-06-28,92.2394,93.8132,91.9306,92.9566,873055
2017-06-29,93.2255,95.1978,93.1956,93.8829,1119927
2017-06-30,94.381,94.8193,92.4983,93.6439,1214781
2017-07-03,94.2216,96.9509,94.0051,96.4628,663844
2017-07-05,95.5265,95.7556,93.5941,93.8829,1284065
2017-07-06,94.2814,95.3472,91.572,91.7214,1599828
2017-07-07,91.1735,91.4425,89.1415,91.2433,979259
2017-07-10,90.9145,92.3191,90.7153,91.8608,1002034
2017-07-11,91.9306,93.5642,90.9743,93.0861,940612
2017-07-12,94.3113,94.9388,91.1636,91.7812,1262415
2017-07-13,91.6417,92.8271,91.4126,92.6179,938727
2017-07-14,92.9068,94.0423,92.6378,93.4546,903236
2017-07-17,93.0163,94.4507,93.0163,93.7634,828835
2017-07-18,94.4706,94.6101,92.8171,93.5243,1025530
2017-07-19,93.2454,96.6521,93.2454,96.3533,1102784
2017-07-20,96.8713,97.3195,95.0484,95.2775,1038353
2017-07-21,95.2177,95.5165,93.8132,94.6499,831686
2017-07-24,94.9787,95.2576,93.8232,94.6599,744567
2017-07-25,96.0744,98.226,95.8602,97.0605,882992
2017-07-26,97.6582,98.6543,96.2636,96.3732,747462
2017-07-27,95.9449,98.8137,95.925,98.7937,1118790
2017-07-28,98.8037,100.3975,97.5884,97.957,833865
2017-07-31,97.9172,99.5607,97.4416,98.6443,1002283
2017-08-01,98.4252,98.8336,97.5685,98.1562,1233622
