date,open,high,low,close,volume
2017-06-20,46.0899,46.2448,46.0802,46.148,1913587
2017-06-21,46.0802,46.2448,45.8963,46.0222,3299085
2017-06-22,45.9447,46.148,45.7899,45.8189,1558380
2017-06-23,45.7899,46.0188,45.5382,45.6156,2201978
2017-06-26,45.6156,46.1093,45.5189,45.8576,1889925
2017-06-27,45.6253,45.7947,45.3834,45.4995,3474002
2017-06-28,45.6544,45.7221,44.9478,44.9769,2880144
2017-06-29,44.7058,44.7155,44.3187,44.4832,4966695
2017-06-30,44.5607,44.7542,44.4058,44.4058,3300297
2017-07-03,44.551,44.5752,44.1058,44.1058,1305171
2017-07-05,44.1058,44.159,43.7283,44.0671,3187816
2017-07-06,43.9703,44.1638,43.8541,44.1058,3091059
2017-07-07,44.1058,44.4445,44.0671,44.2219,3622210
2017-07-10,44.3671,44.3961,44.0864,44.0961,2621495
2017-07-11,44.1735,44.2219,43.9509,44.0767,2178910
2017-07-12,44.4155,44.5365,44.3284,44.4155,2549916
2017-07-13,44.3187,44.4252,44.0767,44.2026,3467919
2017-07-14,44.4348,44.5994,44.3381,44.4445,2366109
2017-07-17,44.4929,44.6671,44.3768,44.6381,3945753
2017-07-18,44.6768,44.9865,44.6187,44.9091,2953550
2017-07-19,44.9575,45.1317,44.7833,45.122,3843569
2017-07-20,45.1995,45.6737,45.122,45.6156,3895749
2017-07-21,45.5963,45.8963,45.3688,45.8963,2787748
2017-07-24,45.8866,45.9254,45.2866,45.393,2135651
2017-07-25,45.4221,45.4221,45.0833,45.1995,1249338
2017-07-26,45.1511,45.7511,45.0543,45.7511,2420568
2017-07-27,45.6931,46.1286,45.393,46.1286,4247942
2017-07-28,46.0899,46.1625,45.5334,45.6447,2956067
2017-07-31,45.6253,45.8866,45.4511,45.7899,3007092
2017-08-01,45.8576,46.177,45.664,46.177,1447498
2017-08-02,45.8576,46.177,45.664,46.177,1447615
2017-08-03,46.1093,46.5738,46.0899,46.5642,2263043
2017-08-04,46.3319,46.4722,46.1189,46.4287,2225512
2017-08-07,46.4383,46.6609,46.2544,46.6513,1856730
2017-08-08,46.5254,46.8932,46.5254,46.8836,1632913
2017-08-09,46.9997,47.0191,46.69,46.719,2584603
2017-08-10,46.6513,47.1546,46.4964,47.0771,3213406
2017-08-11,47.1062,47.1062,46.4432,46.6416,1761919
2017-08-14,46.6513,46.9513,46.6416,46.8739,1848907
2017-08-15,46.6997,47.1933,46.6997,47.1642,1425770
2017-08-16,47.1836,47.4062,47.0771,47.3675,1344021
2017-08-17,47.3772,47.4352,47.0433,47.1062,1760826
2017-08-18,47.1933,47.6385,46.9707,47.4256,2236647
2017-08-21,47.5223,47.745,47.353,47.6288,1903323
2017-08-22,47.6675,47.6675,47.3578,47.5514,2257380
2017-08-23,47.5901,47.8466,47.3772,47.7837,1729172
2017-08-24,47.7159,47.9289,47.6337,47.7643,1977054
2017-08-25,47.9385,48.0063,47.774,47.7837,2099752
2017-08-28,47.8998,47.9918,47.7256,47.9482,1474159
2017-08-29,48.0063,48.1031,47.7933,47.9095,1991329
2017-08-30,47.9192,48.016,47.803,47.8901,1988064
2017-08-31,47.9579,47.9821,47.8127,47.9095,3020798
2017-09-01,47.9579,48.016,47.6095,47.774,1855142
2017-09-05,47.7933,48.0934,47.5853,48.0547,2429565
2017-09-06,48.1708,48.1708,47.8321,47.9676,1914733
2017-09-07,48.1224,48.345,47.9095,48.287,2933639
2017-09-08,48.2773,48.6838,48.1321,48.616,1647567
2017-09-11,48.5193,48.9354,48.4225,48.887,2275944
2017-09-12,48.8483,48.8967,47.7304,47.9385,3324115
2017-09-13,47.8998,47.9385,47.4352,47.5804,3153283
2017-09-14,47.6584,47.8827,47.3708,47.8729,3236133
2017-09-15,47.9802,47.9899,47.5463,47.8534,3426744
2017-09-18,47.8534,47.8729,46.9857,47.4049,2843624
2017-09-19,47.4537,47.5024,47.1417,47.2294,3326246
2017-09-20,47.3367,47.4537,46.7127,46.9272,2932258
2017-09-21,46.8979,47.1904,46.7614,46.8102,2516408
2017-09-22,46.9467,46.9467,46.1082,46.2252,3669737
2017-09-25,46.2447,46.6444,46.1179,46.5079,3477596
2017-09-26,46.5274,46.7663,46.3617,46.5177,2570357
2017-09-27,46.1862,46.3665,45.5231,45.8644,3270128
2017-09-28,45.7864,46.2934,45.6694,46.1862,3099353
2017-09-29,46.1764,46.2837,45.9912,46.1374,2821018
2017-10-02,46.2837,46.4202,46.0887,46.1764,2100281
2017-10-03,46.1374,46.2057,45.684,46.0009,1991274
2017-10-04,46.0009,46.6054,45.8547,46.5762,2513591
2017-10-05,46.5762,46.5859,46.2203,46.3909,2068452
2017-10-06,46.2739,46.3812,46.0594,46.2057,2997148
2017-10-09,46.2837,46.4104,46.1862,46.3909,3548285
2017-10-10,46.4202,46.7955,46.2934,46.7419,2484356
2017-10-11,46.7322,47.2392,46.7127,47.0734,2801754
2017-10-12,47.1124,47.5804,46.9467,47.5414,2702691
2017-10-13,47.6292,47.8534,47.2392,47.3952,3646220
2017-10-16,47.2879,47.4244,47.0539,47.2782,3291967
2017-10-17,47.3659,47.6584,47.1612,47.5024,2808244
2017-10-18,47.3659,47.5999,47.2392,47.5122,1619711
2017-10-19,47.5317,48.0387,47.4439,48.0192,2331102
2017-10-20,47.9509,48.1752,47.8339,48.0289,2410844
2017-10-23,48.0777,48.1459,47.8729,48.0387,1870836
2017-10-24,48.2629,48.3019,47.9846,48.2239,3186531
2017-10-25,48.0679,48.2142,47.3464,48.141,2780521
2017-10-26,48.5847,48.5847,47.7559,47.8242,4393957
2017-10-27,47.7267,48.1849,47.6974,47.9802,3345647
2017-10-30,47.9412,48.1167,47.8632,48.0582,2687218
