date,open,high,low,close,volume
2017-06-20,43.2517,43.5361,43.1831,43.3498,1003237
2017-06-21,43.5754,43.595,43.1291,43.1634,1193789
2017-06-22,43.0752,43.2811,42.3886,42.4377,1587951
2017-06-23,42.4573,42.7221,42.2219,42.575,2349939
2017-06-26,42.6142,42.8839,42.3886,42.7809,1031913
2017-06-27,42.8594,43.3841,42.7123,43.1536,1658784
2017-06-28,43.34,43.4528,43.2027,43.3204,1142812
2017-06-29,43.5754,43.7225,43.0458,43.2909,1513605
2017-06-30,43.3792,43.5165,42.8741,42.9575,1291808
2017-07-03,43.2419,43.9677,43.1733,43.6538,716507
2017-07-05,43.644,43.7421,43.2713,43.3988,1302720
2017-07-06,43.4577,43.7519,43.2713,43.5263,1729734
2017-07-07,43.6146,44.2325,43.4969,44.0854,1050596
2017-07-10,43.9579,44.3208,43.8402,44.1442,931773
2017-07-11,44.2325,44.3502,43.8696,44.0167,1052900
2017-07-12,44.1344,44.5169,43.9971,44.3306,1131926
2017-07-13,44.409,44.4972,44.1638,44.1638,1241781
2017-07-14,44.0167,44.463,43.85,44.3011,704672
2017-07-17,44.2717,44.4973,44.0854,44.409,771739
2017-07-18,44.4188,45.0073,44.3011,44.87,1190057
2017-07-19,44.9681,45.2034,44.8406,45.1936,787725
2017-07-20,45.2231,45.5859,44.973,45.3898,1013103
2017-07-21,45.3898,45.5565,45.3113,45.5173,814678
2017-07-24,45.5369,45.8704,45.3898,45.7625,895229
2017-07-25,46.194,46.3607,45.3702,45.4682,1217364
2017-07-26,45.429,45.684,44.9484,45.0956,1850109
2017-07-27,43.1831,43.9383,41.4961,42.0552,3435643
2017-07-28,42.2808,42.6535,41.9473,42.5652,2232181
2017-07-31,42.6436,43.6636,42.5456,43.5459,2692107
2017-08-01,43.6342,44.0363,43.389,43.644,1718733
2017-08-02,43.6342,44.0363,43.389,43.644,1718794
2017-08-03,43.595,43.7715,43.4184,43.4479,1980427
2017-08-04,43.6146,43.7028,43.2419,43.4184,1317810
2017-08-07,43.4479,43.644,43.2811,43.6146,936928
2017-08-08,43.5165,43.8402,43.3988,43.4283,962495
2017-08-09,43.3204,43.8206,43.2713,43.8108,956009
2017-08-10,43.4969,43.899,43.4969,43.644,950109
2017-08-11,43.6538,43.7029,43.4871,43.5558,951647
2017-08-14,43.8304,43.9383,43.6538,43.8402,1004883
2017-08-15,43.8892,44.1442,43.7813,43.8598,1096919
2017-08-16,43.9579,44.1344,43.6685,43.7617,757606
2017-08-17,43.7323,43.7911,43.0507,43.1144,1239084
2017-08-18,42.9869,43.0948,42.6633,42.9477,1644772
2017-08-21,42.9673,43.0556,42.8104,42.9575,1008853
2017-08-22,43.0261,43.1831,42.8202,43.1536,1272916
2017-08-23,43.0163,43.134,42.5063,42.5063,1319278
2017-08-24,42.6044,42.6044,41.6433,41.7021,1870530
2017-08-25,41.7119,42.2023,41.403,42.1827,1776531
2017-08-28,41.8296,41.9081,40.7508,41.045,1589825
2017-08-29,40.7606,41.1087,40.5644,40.9862,1781947
2017-08-30,40.9763,41.1235,40.4467,40.5056,1716047
2017-08-31,40.6135,40.6135,39.9858,40.1721,2944660
2017-09-01,40.2604,40.8783,39.5346,39.8387,3207818
2017-09-05,39.2698,39.4464,37.117,37.5339,5923949
2017-09-06,37.5927,38.2008,37.3083,37.7104,4223746
2017-09-07,37.6516,37.6516,35.3271,35.7783,4304206
2017-09-08,35.4056,38.3381,35.386,37.8673,6561239
2017-09-11,40.9371,42.1042,39.054,39.77,6295236
2017-09-12,39.7504,40.1231,39.2355,39.6719,2202780
2017-09-13,39.6033,39.8681,39.3287,39.8583,2384164
2017-09-14,39.7005,39.9076,38.5566,38.6947,2345024
2017-09-15,38.6552,39.1976,38.2706,38.8228,4058988
2017-09-18,38.9806,39.0447,38.5517,38.6256,1921924
2017-09-19,38.6552,39.2272,38.4679,38.4876,2995204
2017-09-20,38.5862,38.7144,37.8565,38.4876,1410588
2017-09-21,38.6552,39.1433,38.6059,39.0891,1985796
2017-09-22,38.8919,39.1581,38.2904,38.6454,2432560
2017-09-25,38.6158,39.3159,38.1917,38.8623,2955819
2017-09-26,38.6454,38.6454,37.6691,37.6987,3188701
2017-09-27,38.0044,38.3002,37.4374,37.462,4747399
2017-09-28,37.4916,38.6207,36.9493,38.5665,3768478
2017-09-29,38.5665,39.1483,38.5566,38.9017,3302956
2017-10-02,38.6749,39.1877,38.1819,39.0595,3409955
2017-10-03,39.1088,39.2765,38.458,39.2469,3522441
2017-10-04,38.9806,39.2469,38.4777,38.6059,3416687
2017-10-05,38.6059,39.0201,38.2608,38.9905,2346735
2017-10-06,39.0003,39.4342,38.8722,39.0201,2531083
2017-10-09,39.0003,39.0003,38.458,38.7735,1268641
2017-10-10,38.8426,39.2863,38.5665,39.1187,2239771
2017-10-11,38.8722,38.9116,38.3495,38.8031,2392588
2017-10-12,40.0653,40.371,39.4737,40.1048,5269712
2017-10-13,38.8524,41.0514,38.4284,40.9331,6374224
2017-10-16,41.012,41.9537,40.6669,41.0613,4518906
2017-10-17,41.1895,41.4952,40.7408,41.436,4586915
2017-10-18,41.4459,41.4804,40.6471,40.7655,3888223
2017-10-19,40.6077,41.8995,40.583,41.8699,3116430
2017-10-20,42.363,42.3925,41.7072,41.9192,2949357
2017-10-23,41.8009,41.9882,41.3177,41.6234,2213730
2017-10-24,41.653,42.215,41.4755,41.7319,2587187
2017-10-25,40.8937,42.2348,40.6274,40.9134,2949749
2017-10-26,41.1303,41.367,40.1837,40.2823,2944801
2017-10-27,40.2626,40.5288,39.7498,40.233,1934506
2017-10-30,40.1146,41.0219,40.1146,40.6866,3310356
2017-10-31,40.7063,41.0909,39.7646,39.9076,3009915
2017-11-01,40.0358,40.2133,39.5427,39.7794,3137209
2017-11-02,39.873,40.1442,37.9452,38.9313,5375822
2017-11-03,38.8623,39.5624,38.3446,39.4835,4327861
2017-11-06,39.3751,39.4279,38.7834,39.1384,2118571
2017-11-07,39.2469,40.0062,39.1877,39.3553,2140007
2017-11-08,39.4244,39.4244,38.9461,38.9806,1816196
2017-11-09,38.596,39.947,38.596,39.5821,4498821
2017-11-10,39.592,39.7103,39.0201,39.1581,1779806
2017-11-13,39.0891,39.1088,38.5763,38.8524,1693818
2017-11-14,38.6651,38.7045,38.241,38.458,2205484
2017-11-15,38.2213,38.8031,38.0931,38.6848,2346568
2017-11-16,38.744,38.7834,38.1129,38.1326,2303864
2017-11-17,38.0438,38.2608,37.7283,38.0931,2711379
2017-11-20,38.0734,38.2115,37.6987,38.1819,2185497
2017-11-21,38.3002,38.3002,37.748,37.7677,1239991
2017-11-22,37.748,38.0635,37.4423,37.7184,1398391
2017-11-24,37.7776,37.8861,37.4522,37.5508,511204
2017-11-27,37.6592,38.527,37.4226,38.3101,1940957
2017-11-28,38.2805,38.6404,37.9452,38.4876,1517896
2017-11-29,38.6256,39.3849,38.458,38.9905,3180049
2017-11-30,39.1483,39.3751,38.0142,38.2805,4318330
2017-12-01,38.4185,38.4974,37.4522,37.9156,1724501
2017-12-04,38.1424,38.2509,37.3634,37.4127,2503463
2017-12-05,37.4522,37.5212,36.683,36.8013,1939911
2017-12-06,36.8506,37.1563,36.5943,36.9295,1728960
2017-12-07,36.8408,36.9394,36.0125,36.2195,2053061
2017-12-08,36.1702,36.3576,35.7659,36.3576,2030996
2017-12-11,36.2195,36.328,35.9237,36.3083,1413553
2017-12-12,36.4562,36.7027,36.3675,36.5154,1252780
2017-12-13,36.4858,36.5745,35.5786,35.5983,1923082
2017-12-14,35.5288,35.767,34.7649,34.8343,2440969
2017-12-15,35.2014,36.2729,35.0526,35.9654,4109932
2017-12-18,36.2035,36.2333,35.0923,35.2312,2854988
2017-12-19,35.5536,35.6777,35.0328,35.0427,2764279
2017-12-20,35.1617,35.3304,34.7946,34.9137,2591826
2017-12-21,35.0576,35.1022,34.7748,34.7847,2098548
2017-12-22,34.874,34.9931,34.6458,34.8939,1549316
2017-12-26,34.9832,35.3503,34.7351,34.9633,1102697
2017-12-27,34.9435,35.0625,34.6855,34.9236,969466
2017-12-28,35.0228,35.1121,34.745,35.0923,1117436
2017-12-29,35.1717,35.1717,34.8839,34.8839,1017964
2018-01-02,34.9335,34.9335,33.5941,33.7529,2129202
2018-01-03,33.6735,34.249,33.5049,34.1597,1975743
2018-01-04,34.2291,35.0724,34.1497,34.9633,3509383
2018-01-05,35.0923,35.0973,34.2192,34.3779,2034514
2018-01-08,34.2093,34.3283,33.9612,34.1894,2333073
2018-01-09,34.1101,34.5466,33.9414,33.9414,1719497
2018-01-10,33.9513,34.3879,33.8025,33.9612,2032848
2018-01-11,34.0803,35.0526,34.0803,34.9931,2913291
2018-01-12,34.874,35.2411,34.2896,35.2113,3094431
2018-01-16,35.2709,35.4792,34.6855,34.9633,2606149
2018-01-17,35.2213,35.2213,34.7748,35.0526,1565254
2018-01-18,35.0526,35.0625,34.3829,34.8542,2293931
2018-01-19,34.9435,35.3106,34.745,35.1717,2452417
2018-01-22,36.015,37.4933,35.6181,35.7074,4006897
2018-01-23,35.7074,36.521,35.4296,36.4912,2371566
2018-01-24,36.5904,37.0964,36.3027,36.5706,2733963
2018-01-25,36.7293,36.8588,36.2333,36.5904,2714087
2018-01-26,36.5011,36.5408,35.7273,36.3821,2320107
2018-01-29,36.2432,36.4714,35.7074,36.3226,1474345
2018-01-30,36.3226,37.1758,36.3226,36.3325,3333433
2018-01-31,36.3622,36.903,36.0249,36.5508,2660286
2018-02-01,36.4416,36.8782,36.3424,36.5011,3092303
2018-02-02,37.2056,38.8823,36.8583,37.9497,9168193
2018-02-05,37.3048,38.7732,37.1064,37.3842,8141110
2018-02-06,37.027,37.9298,36.2928,37.0468,6218324
2018-02-07,37.1163,42.0572,37.0766,41.6702,22101716
2018-02-08,40.7277,42.9203,39.7058,40.936,12698907
2018-02-09,41.3031,41.9381,40.3408,41.5313,5166923
2018-02-12,41.5313,41.7893,40.182,41.2734,3929278
2018-02-13,41.194,41.7694,41.0154,41.571,3382146
2018-02-14,41.6008,43.4065,41.4916,43.1585,4621034
2018-02-15,43.3073,43.4462,42.4143,42.7814,3768024
2018-02-16,42.8013,43.8232,42.583,43.4561,3267302
2018-02-20,43.3172,43.4164,42.2655,42.6624,3612775
2018-02-21,42.7517,43.4164,42.6525,42.96,2495050
2018-02-22,42.3251,43.595,42.3251,42.7616,2247173
2018-02-23,42.8906,43.1733,42.6425,43.1089,1602692
2018-02-26,43.1783,43.1981,42.5731,42.7814,1904411
2018-02-27,42.7814,43.0295,42.1564,42.3548,2739603
2018-02-28,42.3846,42.7021,41.9679,41.9778,1906214
2018-03-01,41.9976,42.5235,41.0353,42.3945,4635868
2018-03-02,42.2754,43.1981,41.9679,42.96,3607867
2018-03-05,55.9175,55.9473,55.223,55.4809,82908034
2018-03-06,55.5504,55.6695,55.3916,55.471,19886343
2018-03-07,55.4809,55.5405,55.3024,55.3123,14585305
2018-03-08,55.3718,55.4611,55.3222,55.3619,11033314
2018-03-09,55.3916,55.4512,55.2131,55.2329,13901933
2018-03-12,55.2825,55.2924,55.094,55.1238,12036806
2018-03-13,55.1635,55.28,55.0841,55.1635,7534965
2018-03-14,55.3428,55.3627,54.9842,55.2332,9319274
2018-03-15,55.1834,55.3129,55.1336,55.2033,3893528
2018-03-16,55.283,55.3228,55.1137,55.1137,5284878
2018-03-19,55.1834,55.3378,55.1535,55.2232,4122311
2018-03-20,55.293,55.3228,55.0937,55.1435,6436202
2018-03-21,55.2133,55.283,55.1535,55.1734,4766461
2018-03-22,55.2332,55.273,55.1336,55.1336,5744241
2018-03-23,55.1834,55.2631,55.1137,55.1137,5417120
2018-03-26,55.1535,55.2432,55.1535,55.1834,3924197
2018-03-27,55.2432,55.3926,55.1137,55.1933,6665217
2018-03-28,55.2133,55.283,55.0937,55.1336,8928998
2018-03-29,55.1635,55.1933,55.0439,55.0439,5155306
2018-04-02,55.1635,55.1635,54.8049,54.8846,5288998
2018-04-03,54.9045,55.273,54.8746,55.273,4699116
2018-04-04,55.1933,55.2332,54.9543,55.0439,3495364
2018-04-05,55.0439,55.4125,55.0041,55.3826,3586594
2018-04-06,55.2531,55.3527,55.1137,55.1336,3202203
2018-04-09,55.1635,55.2033,55.034,55.034,4679888
2018-04-10,55.0838,55.1933,55.0589,55.1734,3532615
2018-04-11,55.1137,55.1734,55.024,55.1435,2929478
2018-04-12,55.1336,55.283,55.1236,55.1734,2881531
2018-04-13,55.2033,55.3228,55.1336,55.283,2220422
2018-04-16,55.3228,55.3926,55.2232,55.283,2213717
2018-04-17,55.293,55.6117,55.283,55.4523,3103318
2018-04-18,55.4822,55.6217,55.4822,55.5619,1590573
2018-04-19,55.532,55.6167,55.3228,55.3926,2258418
2018-04-20,55.4822,55.4822,55.283,55.3328,2715847
2018-04-23,55.3726,55.4374,55.0489,55.2232,3621688
2018-04-24,55.2332,55.3328,55.0688,55.1635,3627957
2018-04-25,55.1635,55.273,55.1037,55.1834,3125979
2018-04-26,55.1933,55.5719,55.1336,55.4922,2584197
2018-04-27,55.4822,55.6814,55.4324,55.5818,3425002
2018-04-30,55.6217,55.6217,55.3726,55.3726,2417404
2018-05-01,55.4025,55.5918,55.4025,55.5918,2069155
2018-05-02,55.4922,55.532,55.4075,55.4324,2109077
2018-05-03,55.4125,55.4513,55.2432,55.283,3219771
2018-05-04,55.283,55.4025,55.283,55.3228,1417662
2018-05-07,55.3328,55.3726,52.5736,54.8348,5097574
2018-05-08,54.8846,55.034,54.8348,54.9144,2807315
2018-05-09,54.9842,55.0141,54.8547,54.8646,2166598
2018-05-10,54.8547,54.9443,54.3168,54.6156,4823072
2018-05-11,54.5857,54.8248,54.5857,54.7152,2593549
2018-05-14,54.775,54.8547,54.6306,54.775,3113811
2018-05-15,54.785,55.1037,54.7351,55.0041,1994463
2018-05-16,55.0639,55.2432,54.9144,55.0838,1905029
2018-05-17,55.0539,55.2979,55.0041,55.1137,2005762
2018-05-18,55.1137,55.293,55.0439,55.2432,1541769
2018-05-21,55.283,55.6067,55.283,55.542,1735123
2018-05-22,55.5021,55.6266,55.4822,55.5221,3973439
2018-05-23,55.5221,55.6416,55.293,55.5519,1198797
2018-05-24,55.5619,55.5619,55.3826,55.4523,2259891
2018-05-25,55.3826,55.5519,55.3328,55.4224,2565015
2018-05-29,55.4125,55.4822,55.0838,55.1037,2241958
2018-05-30,55.1037,55.5719,55.1037,55.3726,1632201
2018-05-31,55.3029,55.4523,55.2033,55.3627,3526299
2018-06-01,55.3826,55.781,55.3378,55.7213,1862336
2018-06-04,55.781,55.8358,55.532,55.7213,991473
2018-06-05,55.6515,55.7611,55.5719,55.7412,1133333
2018-06-06,55.781,55.9703,55.7213,55.9603,1892315
2018-06-07,55.9305,56.0898,55.8109,56.0799,2645788
