date,open,high,low,close,volume
2017-06-08,63.2358,63.2457,62.4604,63.0767,1023353
2017-06-09,62.9873,63.2706,62.5498,62.9674,1130642
2017-06-12,62.9177,63.5141,61.9832,62.3808,2397243
2017-06-13,62.3311,62.9276,62.1224,62.9077,833720
2017-06-14,63.0767,63.5141,62.9077,63.3551,899739
2017-06-15,63.0867,63.2457,62.6791,62.9375,1031407
2017-06-16,62.7387,63.3551,62.2914,63.3253,1700481
2017-06-19,63.6334,63.882,63.4445,63.6036,676938
2017-06-20,63.5141,63.6682,62.8083,62.9773,944284
2017-06-21,63.0071,63.4346,62.9187,63.3948,958083
2017-06-22,63.3451,63.703,63.3054,63.4545,825177
2017-06-23,63.534,63.6235,63.1264,63.4644,1389661
2017-06-26,63.6036,63.7825,62.8084,63.6931,850493
2017-06-27,63.544,64.6176,63.3302,64.051,1800859
2017-06-28,64.2276,65.2032,63.7,64.9543,1182808
2017-06-29,64.8747,65.1435,63.8195,64.2376,1168277
2017-06-30,64.6059,64.7552,64.158,64.5462,762945
2017-07-03,64.8448,65.1435,64.2177,64.3371,475358
2017-07-05,64.4467,64.9742,64.0086,64.7851,1053801
2017-07-06,64.4765,64.7752,63.71,63.9987,1948581
2017-07-07,64.158,64.586,63.9091,64.3073,1076979
2017-07-10,64.3371,64.4267,63.7896,63.9489,1168380
2017-07-11,64.0883,64.6856,63.4412,63.8096,1190563
2017-07-12,64.3073,64.815,64.0485,64.1082,1038880
2017-07-13,64.2575,64.805,63.8195,64.596,773549
2017-07-14,64.7055,64.9444,64.6059,64.815,918139
2017-07-17,64.6059,65.1037,64.4118,64.7652,774540
2017-07-18,64.7552,64.8946,64.2376,64.7055,906601
2017-07-19,64.7752,64.805,64.2077,64.3172,1744508
2017-07-20,64.1978,64.2476,62.7047,62.7444,2671801
2017-07-21,62.7544,63.1426,62.2865,62.6349,2812856
2017-07-24,62.6847,62.7444,62.0774,62.4059,2747266
2017-07-25,62.6946,62.8141,62.177,62.7643,1119341
2017-07-26,62.7842,63.0032,62.4756,62.8838,997346
2017-07-27,62.7743,62.9435,62.3562,62.6249,1208874
2017-07-28,62.7245,62.8639,61.9679,62.3661,1033082
2017-07-31,62.5154,62.5154,61.5897,61.7489,1253901
2017-08-01,61.8286,61.8286,60.425,61.2412,2333942
2017-08-02,61.0919,61.1915,60.3453,60.8829,1014973
2017-08-03,60.7435,61.1317,60.415,61.072,654976
2017-08-04,61.1019,61.4702,60.5444,61.3109,1448376
2017-08-07,61.3607,62.1073,61.1815,62.0575,1587755
2017-08-08,61.7191,62.0376,60.853,61.1317,2044255
2017-08-09,58.5037,58.6331,55.5969,55.9752,6053910
2017-08-10,55.6168,55.9155,54.9897,55.2485,3521178
2017-08-11,55.3282,55.3282,54.2481,55.0793,3566593
2017-08-14,55.5173,55.8956,53.7951,54.044,2875308
2017-08-15,53.8947,53.8947,52.9689,53.5164,2869976
2017-08-16,53.7553,53.8648,52.4911,53.2377,2168342
2017-08-17,53.2078,53.606,52.9092,52.9291,1659672
2017-08-18,52.8992,53.3172,52.5807,52.6105,1573864
2017-08-21,52.4712,52.8246,52.297,52.5508,1335141
2017-08-22,52.4513,53.6359,52.3218,53.4467,1649795
2017-08-23,53.1282,53.1779,52.6902,52.9789,1197734
2017-08-24,52.7598,54.5616,52.7598,54.3725,3173601
2017-08-25,54.4521,54.7906,54.0838,54.5517,1864467
2017-08-28,54.6612,55.0395,54.4621,54.9101,1751721
2017-08-29,54.6911,55.6865,54.6015,55.4476,2251171
2017-08-30,55.2585,55.5671,55.1096,55.4177,1879751
2017-08-31,55.4078,56.3834,55.3282,56.3137,1517889
