date,open,high,low,close,volume
2017-06-20,27.791,27.9361,27.3847,27.4041,2443715
2017-06-21,27.3654,27.4041,26.8624,26.9688,2168383
2017-06-22,27.0365,27.1139,26.8527,27.0558,2216838
2017-06-23,27.0848,27.5492,26.9978,27.5105,4103881
2017-06-26,27.5878,28.3424,27.5878,28.2359,5372549
2017-06-27,28.2359,28.4391,27.9941,28.0328,3972835
2017-06-28,28.306,28.7451,28.2572,28.5792,3310882
2017-06-29,28.6085,28.6475,28.1792,28.4134,3817940
2017-06-30,28.5597,28.628,28.0231,28.0328,2831993
2017-07-03,28.0816,28.5207,27.984,28.1499,1511483
2017-07-05,28.1987,28.2963,27.6523,27.7596,2940692
2017-07-06,27.5547,27.7694,27.3693,27.662,3068992
2017-07-07,27.7206,28.2085,27.7206,28.0816,3169563
2017-07-10,28.1011,28.267,27.9987,28.1792,2339977
2017-07-11,28.1597,28.5012,28.1206,28.1987,3838100
2017-07-12,28.4036,28.5109,28.1987,28.3353,1952360
2017-07-13,28.306,28.667,28.228,28.5304,2869675
2017-07-14,28.5402,28.8232,28.5304,28.7061,1815457
2017-07-17,28.6573,28.7354,28.5353,28.6378,1374993
2017-07-18,28.6378,28.6768,28.3402,28.589,1600332
2017-07-19,28.667,28.7841,28.4914,28.667,1523961
2017-07-20,28.7451,28.8768,28.589,28.6963,4500940
2017-07-21,29.0086,29.8672,28.8622,29.8184,4150931
2017-07-24,29.0086,29.8672,28.8622,29.8184,4150931
2017-07-25,29.8477,30.4039,29.8087,30.277,5446689
2017-07-26,30.316,30.316,29.6525,29.7501,2326249
2017-07-27,29.8379,30.1599,29.555,29.8379,2751554
2017-07-28,29.7404,29.7696,29.4379,29.6916,2539927
2017-07-31,29.7696,29.9355,29.633,29.9257,6408928
2017-08-01,31.5064,31.5162,31.16,31.4381,2524646
2017-08-02,31.7699,32.1894,31.5064,31.7601,3812603
2017-08-03,31.7796,31.887,31.2235,31.321,2286623
2017-08-04,31.5064,31.5162,31.16,31.4381,2524646
2017-08-07,31.4381,31.8089,31.321,31.7211,1474804
2017-08-08,31.6528,31.8577,31.4576,31.5259,2395344
2017-08-09,31.282,31.565,31.1649,31.5162,2002788
2017-08-10,31.3991,31.5162,30.6234,30.6771,3218153
2017-08-11,30.6478,30.9893,30.638,30.8917,1739045
2017-08-14,31.204,31.3893,31.0576,31.3503,1729912
2017-08-15,31.3698,31.5796,31.1259,31.4967,1737409
2017-08-16,31.6333,31.6723,31.4186,31.6235,1596687
2017-08-17,31.4674,31.5308,31.0771,31.0771,1897269
2017-08-18,30.9795,31.0478,30.6771,30.6868,1866100
2017-08-21,30.6283,30.6384,30.3258,30.4722,1454610
2017-08-22,30.5795,30.7844,30.4819,30.7356,1091473
2017-08-23,30.4917,31.1259,30.4819,31.0674,2482094
2017-08-24,31.2235,31.5064,30.9795,31.2723,2084751
2017-08-25,31.3796,31.5747,31.3698,31.4772,981954
2017-08-28,31.6333,31.7016,31.4089,31.5259,1713589
2017-08-29,31.321,31.5357,31.2527,31.4576,1123790
2017-08-30,31.4479,31.6089,31.2723,31.5162,1079688
2017-08-31,31.565,31.6333,31.3698,31.4869,2065636
2017-09-01,31.5552,31.8089,31.5552,31.7699,898114
2017-09-05,31.7016,31.7699,31.204,31.3406,1134915
2017-09-06,31.4479,31.5552,31.3406,31.3698,2257858
2017-09-07,31.3796,31.4381,31.0966,31.1064,1223070
2017-09-08,30.9795,31.1259,30.7746,30.7941,1594269
2017-09-11,30.9795,31.3796,30.9112,31.282,1235941
2017-09-12,31.5552,32.0626,31.4674,32.0041,1557095
2017-09-13,31.8089,31.926,31.6235,31.926,865452
2017-09-14,31.7894,32.0333,31.6626,32.0138,975981
2017-09-15,31.7894,31.965,31.6821,31.8479,2868307
2017-09-18,31.9065,31.9455,31.3796,31.5064,1770215
2017-09-19,31.6138,31.7601,31.4967,31.6528,1459752
2017-09-20,31.6528,32.1553,31.643,32.0821,2391571
