date,open,high,low,close,volume
2017-06-20,53.3746,53.6217,53.078,53.2658,705541
2017-06-21,53.335,53.4734,52.6727,52.9297,1027638
2017-06-22,52.9396,53.3746,52.6901,53.2362,1012743
2017-06-23,53.2164,53.9084,53.167,53.7107,1151563
2017-06-26,53.77,54.2149,53.5426,54.0567,2000997
2017-06-27,54.0567,54.1951,53.7206,53.8788,1235301
2017-06-28,54.1259,54.4027,53.7305,54.3434,1321090
2017-06-29,54.3928,54.8179,53.9183,54.2742,2108740
2017-06-30,54.3434,55.0453,54.2742,54.7982,1814298
2017-07-03,55.1343,55.243,54.5263,54.8179,619802
2017-07-05,54.7784,54.9563,53.8985,54.3137,2073518
2017-07-06,54.2643,54.4423,53.7008,53.7601,2193564
2017-07-07,53.9381,54.5312,53.7156,54.3236,1347513
2017-07-10,54.1556,54.4423,53.8985,53.9875,2410555
2017-07-11,53.9677,54.0369,53.4635,53.7206,898466
2017-07-12,54.205,55.0058,54.1852,54.6894,1249587
2017-07-13,54.8772,55.2529,54.5708,55.2035,1226642
2017-07-14,55.2331,55.5396,55.1639,55.4605,935536
2017-07-17,55.3122,56.2811,55.2628,56.0735,1165246
2017-07-18,55.9252,55.9746,55.5396,55.7769,954537
2017-07-19,55.9252,56.4392,55.8639,56.4195,704679
2017-07-20,56.4293,56.4491,56.0339,56.2811,756341
2017-07-21,56.1427,57.0027,56.0042,56.9632,1169823
2017-07-24,56.8149,57.1906,56.5579,57.0621,1094536
2017-07-25,57.5564,57.5613,56.5381,56.5579,1203899
2017-07-26,56.6567,56.8544,56.2415,56.2415,773243
2017-07-27,56.2316,56.4788,55.6879,56.2217,1304618
2017-07-28,56.1031,56.4788,55.935,56.2811,1099838
2017-07-31,56.3997,56.6567,55.9004,56.0833,2200034
2017-08-01,59.1875,59.4545,58.6735,59.3358,1361834
2017-08-02,58.7822,60.018,58.6932,59.237,1351919
2017-08-03,59.0887,59.1183,58.4659,58.8811,1090836
2017-08-04,59.1875,59.4545,58.6735,59.3358,1361834
2017-08-07,59.2469,59.4545,58.9799,59.3556,870307
2017-08-08,59.059,59.5632,58.9799,59.1579,908624
2017-08-09,59.148,59.6324,58.9503,59.0294,1133951
2017-08-10,58.9404,59.1875,58.2187,58.3077,598279
2017-08-11,58.11,58.6834,57.9122,58.4461,506147
2017-08-14,58.891,59.5929,58.713,59.1974,720765
2017-08-15,59.1678,59.6423,59.0294,59.1777,706675
2017-08-16,59.1974,59.3457,59.1233,59.2469,420643
2017-08-17,59.0393,59.2642,58.2584,58.278,613676
2017-08-18,58.0309,58.6537,57.9468,58.3571,630930
2017-08-21,58.2879,58.6932,58.1989,58.6339,498663
2017-08-22,58.6735,59.2963,58.6142,59.2765,514405
2017-08-23,58.9503,59.4644,58.8514,59.3062,838801
2017-08-24,59.3062,59.5237,59.2765,59.4149,790302
2017-08-25,59.6917,60.0377,59.583,59.7906,555727
2017-08-28,60.0674,60.6902,60.0031,60.4628,941682
2017-08-29,60.1654,60.7008,59.9275,60.5917,712462
2017-08-30,60.5322,61.0677,60.4827,61.028,676033
2017-08-31,61.3255,61.6229,60.9784,61.5436,814462
2017-09-01,61.6527,61.8807,61.3552,61.4444,572370
2017-09-05,61.375,61.96,61.0974,61.375,927408
2017-09-06,61.6031,61.8113,61.0181,61.494,721428
2017-09-07,61.5337,62.0542,61.3849,61.9501,608455
2017-09-08,61.841,62.6144,61.8113,62.2476,723288
2017-09-11,62.5351,62.902,62.1187,62.436,981045
2017-09-12,62.5549,62.8821,62.1782,62.3963,644226
2017-09-13,62.3071,62.5054,61.96,62.4756,614620
2017-09-14,62.1187,62.5847,61.9799,62.4756,754435
2017-09-15,62.4062,63.021,62.2773,62.7632,1276972
2017-09-18,62.902,63.2193,62.8326,63.1201,669621
2017-09-19,63.249,63.9431,63.1201,63.2887,725841
2017-09-20,63.249,63.5365,63.0507,63.4969,715678
2017-09-21,63.5564,63.8333,63.368,63.3878,794126
2017-09-22,63.4671,64.2504,63.4027,64.2009,776095
2017-09-25,64.0819,64.2504,63.7051,63.9133,765652
2017-09-26,64.0125,64.1463,62.7334,62.8028,1570793
2017-09-27,62.9119,63.021,62.3071,62.4657,1528357
2017-09-28,62.3765,62.5054,61.7121,61.9204,1348101
2017-09-29,61.851,62.2773,61.6651,62.0988,1030567
2017-10-02,62.2872,62.8028,62.1088,62.783,937741
2017-10-03,62.8524,63.3878,62.3368,63.3878,1170814
2017-10-04,63.4473,64.1116,63.1895,63.9728,1024555
2017-10-05,64.0323,64.062,63.4572,63.9232,758168
2017-10-06,63.7844,64.1017,63.6159,64.0125,806123
2017-10-09,64.0819,64.3099,63.8637,64.1017,598148
2017-10-10,64.2901,64.3793,63.8637,64.0819,392330
2017-10-11,64.062,64.2009,63.6555,63.7646,540819
2017-10-12,63.6654,64.3397,63.5078,64.3298,880874
2017-10-13,64.5479,64.8652,64.072,64.1612,547974
2017-10-16,64.5181,65.7179,64.3397,65.4006,1360558
2017-10-17,64.8751,65.1428,61.7121,62.6938,3114572
2017-10-18,62.8127,63.2589,62.4855,63.1399,1116835
2017-10-19,63.0011,63.3878,62.6045,63.3482,605400
2017-10-20,63.7448,63.834,63.4771,63.6853,815460
2017-10-23,63.5762,64.062,62.8921,63.1399,916603
2017-10-24,63.5861,64.3496,63.2688,64.2802,1051672
2017-10-25,64.2802,64.3298,63.5861,63.9778,717098
2017-10-26,64.2504,64.5479,63.9133,64.2604,1056552
2017-10-27,64.3892,64.3892,63.7854,64.3099,668174
2017-10-30,64.1513,64.5033,63.8637,64.0918,782025
2017-10-31,64.4587,67.0663,64.2504,65.9658,1919732
2017-11-01,66.6319,67.0893,65.5979,65.767,776720
2017-11-02,65.8863,66.7015,65.0312,66.6717,1198550
2017-11-03,66.5921,66.6518,66.0752,66.1845,632697
2017-11-06,66.274,66.8109,65.6178,66.1547,654680
2017-11-07,66.2044,66.4331,65.7769,66.2243,517968
2017-11-08,66.2243,66.6419,65.9061,66.1646,487783
2017-11-09,65.7371,66.095,65.2997,65.8962,374929
2017-11-10,65.8962,66.0752,65.4289,65.8664,504041
2017-11-13,65.7272,65.9857,65.5085,65.6476,480708
2017-11-14,65.5283,66.0404,65.5283,65.9559,610927
2017-11-15,65.5781,65.7968,65.3096,65.5184,493799
2017-11-16,65.5184,66.3535,65.3593,66.095,465558
2017-11-17,65.7868,66.2641,65.2997,66.0354,561526
2017-11-20,66.1149,66.622,65.8167,66.6021,331046
2017-11-21,66.9401,67.1091,66.6518,67.0197,1119449
2017-11-22,67.0197,67.5068,66.6319,66.96,420325
2017-11-24,67.1191,67.5963,66.9302,67.298,195883
2017-11-27,67.0893,67.4074,67.0197,67.2483,492391
2017-11-28,67.477,68.1431,66.9998,68.1232,691242
2017-11-29,68.2028,68.3917,67.5963,67.8051,899831
2017-11-30,67.8051,69.2865,67.6858,68.9385,1524647
2017-12-01,68.9782,69.2666,67.4671,68.6104,674787
2017-12-04,69.0976,69.4754,68.2624,68.3718,825682
2017-12-05,68.3519,68.7198,67.308,67.4472,738336
2017-12-06,67.4472,67.8498,67.0097,67.5864,1079899
2017-12-07,67.5366,68.3817,67.2483,67.984,744459
2017-12-08,68.1133,68.1232,67.6907,67.7951,681266
2017-12-11,67.984,68.0039,66.7413,66.8904,721249
2017-12-12,67.139,67.5665,66.4132,67.1489,999170
2017-12-13,67.2682,67.6261,66.9202,67.0992,979620
2017-12-14,66.791,67.1986,66.2641,66.3138,997411
2017-12-15,66.9998,67.6062,66.8208,67.1787,1818838
2017-12-18,67.7951,68.0437,67.2086,67.5068,1088149
2017-12-19,67.6361,67.8946,67.298,67.4671,739219
2017-12-20,67.8846,67.9741,67.3776,67.4273,543066
2017-12-21,67.994,68.2326,67.2384,67.3577,650006
2017-12-22,67.1887,67.5565,66.8109,67.1887,336385
2017-12-26,67.2881,67.3577,67.0097,67.1091,219582
2017-12-27,67.3477,68.0039,67.2682,67.8349,517340
2017-12-28,67.815,67.9343,67.3776,67.8548,466320
2017-12-29,68.1332,68.4016,67.5267,67.8051,1046677
2018-01-02,67.815,67.815,67.1091,67.6758,877805
2018-01-03,67.5963,68.511,67.5764,68.501,778838
2018-01-04,68.6303,69.2367,68.6303,68.9584,796940
2018-01-05,69.0976,69.1373,68.6402,68.8291,666752
2018-01-08,68.7993,69.187,68.4513,69.0777,554692
2018-01-09,69.1572,69.4654,68.9782,69.0976,687573
2018-01-10,68.9087,68.9981,68.2525,68.6004,784964
2018-01-11,68.4215,69.5748,68.2028,69.5648,880890
2018-01-12,69.704,70.3801,69.6444,70.052,847704
2018-01-16,70.4696,71.076,69.714,70.1315,940098
2018-01-17,70.5889,70.8275,70.2906,70.6088,957295
2018-01-18,70.4298,70.8672,70.3304,70.6982,1022099
2018-01-19,71.1257,74.7248,70.8175,71.4936,1221985
2018-01-22,71.5334,72.2393,71.081,72.2293,794690
2018-01-23,72.0802,72.3486,71.772,72.1895,856043
2018-01-24,72.3287,72.7264,71.7024,72.1498,620071
2018-01-25,72.4977,73.1241,71.941,72.8159,709442
2018-01-26,73.0744,74.004,72.9551,73.9791,804380
2018-01-29,73.6411,74.0487,72.806,72.9849,791508
2018-01-30,72.4182,73.0943,72.1796,72.6469,835882
2018-01-31,72.8358,73.5616,71.6726,71.8416,1638302
2018-02-01,72.0802,75.2418,72.0802,74.4066,1817612
2018-02-02,74.516,76.3652,74.2177,75.2219,2171757
2018-02-05,74.7844,75.7289,72.1895,72.2393,2214272
2018-02-06,71.2351,71.4339,69.2865,70.917,2295182
2018-02-07,70.8573,72.4381,70.7082,71.3743,1748941
2018-02-08,71.3246,71.7322,69.8034,69.8333,1495019
2018-02-09,70.569,70.8871,67.984,70.4099,1725181
2018-02-12,70.8573,72.1796,70.5889,71.5135,1040463
2018-02-13,71.0363,72.5276,71.0164,72.3486,987681
2018-02-14,71.9598,73.2959,71.7504,73.0964,1368991
2018-02-15,73.6748,74.612,72.9668,74.5123,1302705
2018-02-16,74.3229,75.6789,74.1534,75.0109,956262
2018-02-20,74.8114,75.6889,74.293,74.5123,1169980
2018-02-21,74.8015,76.1276,74.6821,74.961,1012199
2018-02-22,75.3499,75.8135,74.6519,74.8314,704651
2018-02-23,74.9111,75.7387,74.5821,75.7088,443521
2018-02-26,76.0279,76.3868,75.3299,76.0379,1014280
2018-02-27,76.1475,76.3968,75.5094,75.5293,813702
2018-02-28,75.5593,76.4566,74.3428,74.3627,1001274
2018-03-01,74.283,74.4874,72.229,73.0566,1520149
2018-03-02,72.5381,73.5352,72.0694,73.2959,910076
2018-03-05,72.9967,73.8742,72.3387,73.6448,1023115
2018-03-06,74.0237,75.1405,74.0138,75.0607,907477
2018-03-07,74.2331,76.317,74.1434,76.1575,1229483
2018-03-08,76.5663,77.0349,75.5991,76.9651,1092868
2018-03-09,77.4737,79.2884,77.364,79.2485,1202787
2018-03-12,79.2684,79.4379,77.5833,77.8625,883049
2018-03-13,78.1218,78.7998,77.4637,77.7528,700380
2018-03-14,78.2015,78.2015,76.7558,76.8854,832005
2018-03-15,77.2044,77.8526,76.8355,77.4138,628151
2018-03-16,77.703,78.4608,77.4447,78.2215,1056546
2018-03-19,77.7927,78.2713,77.1845,77.9423,877979
2018-03-20,78.0819,79.2186,77.9622,78.7898,670959
2018-03-21,78.8098,79.5975,78.4907,79.1089,845022
2018-03-22,78.391,79.069,77.0649,77.1546,839765
2018-03-23,77.344,77.8027,75.31,75.4695,981702
