date,open,high,low,close,volume
2017-06-08,73.0447,73.1725,72.4055,72.7398,3343054
2017-06-09,72.671,73.1234,71.668,71.8843,2042863
2017-06-12,71.7663,71.9531,69.7209,70.7141,3710562
2017-06-13,70.8518,71.6336,70.6059,71.4615,2010113
2017-06-14,71.845,71.9335,71.373,71.8253,1576716
2017-06-15,71.4615,71.4811,71.0583,71.4025,1250750
2017-06-16,71.4516,71.7958,71.2353,71.5696,2129987
2017-06-19,71.6975,72.8087,71.6188,72.7005,2198153
2017-06-20,72.6612,73.0152,72.3563,72.6808,2828633
2017-06-21,72.7693,73.4085,72.6268,73.1627,2552840
2017-06-22,73.202,73.5757,72.8283,73.3004,1587835
2017-06-23,73.5855,74.0969,73.438,73.5757,2446339
2017-06-26,73.7724,74.1951,73.3987,73.497,1001909
2017-06-27,73.4675,73.7183,72.6612,72.7398,1399258
2017-06-28,73.1627,73.2315,72.848,72.9169,1181347
2017-06-29,72.907,72.907,71.786,72.2285,1270887
2017-06-30,72.317,72.9169,72.317,72.5333,1727008
2017-07-03,72.376,72.8087,72.1203,72.1302,2692159
2017-07-05,72.1105,72.1892,71.2746,71.8646,3147976
2017-07-06,71.5893,71.609,71.1763,71.4418,2338972
2017-07-07,71.5598,72.5235,71.5008,72.2678,2150124
2017-07-10,72.2482,72.4055,71.9384,72.317,2446598
2017-07-11,72.3465,73.1725,72.259,72.7398,3091797
2017-07-12,72.9571,73.3915,72.9373,73.1644,1481118
2017-07-13,73.1842,73.1842,71.9993,72.493,1462508
2017-07-14,72.493,72.8189,72.4733,72.6707,1376155
2017-07-17,72.5621,72.8781,72.3252,72.6411,1029898
2017-07-18,72.5918,72.8485,72.1277,72.8287,1305864
2017-07-19,72.967,73.3125,72.8584,73.2138,1334074
2017-07-20,73.3619,73.8507,73.1941,73.6779,1963030
2017-07-21,73.3619,74.2308,73.3619,73.7964,1363385
2017-07-24,73.8062,73.9741,73.5693,73.6483,1229595
2017-07-25,74.0531,74.4875,73.5693,73.8556,1693137
2017-07-26,73.9148,73.9148,73.2336,73.6483,1479658
2017-07-27,73.5199,74.6751,73.4014,74.6554,2081925
2017-07-28,74.4579,74.5468,73.431,74.0531,2050445
2017-07-31,74.3493,74.7245,74.0728,74.527,2135834
2017-08-01,74.8627,75.3564,74.3394,74.5764,1814495
2017-08-02,74.4776,75.6526,74.4381,75.6526,2107192
2017-08-03,74.2308,75.5045,73.5693,73.9148,3217942
2017-08-04,74.0827,74.1222,73.2533,74.0827,2272138
2017-08-07,74.0728,74.0926,73.4508,74.0432,1719690
2017-08-08,73.7667,73.9247,73.2138,73.2632,1409739
2017-08-09,73.1941,74.1617,72.8386,74.1222,1837169
2017-08-10,73.8556,74.7936,73.6384,74.4085,2259621
2017-08-11,74.4974,75.1787,74.3197,74.606,2183929
2017-08-14,75.1392,75.5095,74.8627,75.3169,2121488
2017-08-15,75.4058,75.6329,75.1096,75.4255,1480403
2017-08-16,75.4946,76.1512,75.2873,75.4551,1498957
2017-08-17,75.2972,75.8698,74.5764,74.5863,1697152
2017-08-18,74.4875,74.7739,74.0531,74.4579,2053563
2017-08-21,74.6455,75.1491,74.4776,74.8923,1225264
2017-08-22,75.0503,75.7365,74.9417,75.5835,1215484
2017-08-23,75.386,75.6279,75.074,75.4453,1344015
2017-08-24,75.5736,75.6131,75.0701,75.2972,1118249
