date,open,high,low,close,volume
2017-06-20,63.0863,63.5492,62.5588,62.7081,2077458
2017-06-21,62.8375,63.1858,62.5488,62.7081,2363021
2017-06-22,62.7081,63.5442,62.5189,63.2157,2379279
2017-06-23,63.2058,63.2257,62.1905,62.4891,5215502
2017-06-26,62.5787,62.6284,61.9516,62.4294,1911717
2017-06-27,62.4294,62.9071,62.3298,62.4692,2330039
2017-06-28,62.7081,63.1659,62.3199,62.6583,1635153
2017-06-29,62.7777,62.9868,61.7625,62.2104,1782124
2017-06-30,62.1706,62.6384,62.081,62.0909,1890227
2017-07-03,62.1108,62.5488,61.9815,62.3796,744262
2017-07-05,62.4194,62.5886,62.0461,62.2602,3000331
2017-07-06,62.0611,62.2104,61.3743,61.5037,2319605
2017-07-07,62.0113,62.5189,61.8321,62.3,2289463
2017-07-10,62.2104,62.4194,61.9914,62.1805,1596841
2017-07-11,62.1208,62.2104,61.6729,61.9217,1220979
2017-07-12,62.1606,62.6483,62.1208,62.2701,2016188
2017-07-13,62.2701,62.7927,62.2004,62.7578,2976754
2017-07-14,62.8574,63.2356,62.6126,63.0564,2131365
2017-07-17,63.156,63.2157,62.7379,62.7777,1695813
2017-07-18,62.7081,62.7081,61.9711,62.1706,1808388
2017-07-19,62.4194,62.499,62.0014,62.1308,1850573
2017-07-20,62.2701,62.6483,62.2303,62.4592,1394582
2017-07-21,62.4592,63.1261,62.1009,62.8673,2097192
2017-07-24,62.9071,63.1659,62.7578,62.9967,1811946
2017-07-25,62.6882,62.7379,60.8366,60.996,6067931
2017-07-26,60.5979,61.9118,60.5183,61.7724,3153569
2017-07-27,61.7724,61.9118,61.4141,61.7227,2090512
2017-07-28,61.862,62.3597,61.7724,61.9217,1540607
2017-07-31,62.1606,62.5389,62.0312,62.2303,2130374
2017-08-01,62.081,62.5588,61.5734,61.8321,1277542
2017-08-02,61.7525,61.9217,61.0906,61.2548,1831228
2017-08-03,60.9463,62.1805,60.9164,61.9914,1768815
2017-08-04,62.081,62.5588,61.5734,61.8321,1277542
2017-08-07,61.8321,62.0511,60.9662,61.5435,4208287
2017-08-08,60.2097,60.7173,59.2243,59.722,4663668
2017-08-09,59.6722,60.5879,59.4831,60.5282,4017297
2017-08-10,60.5879,61.0856,59.4333,59.4632,2690725
2017-08-11,59.7717,59.941,59.3636,59.4532,2285863
2017-08-14,59.9111,60.5481,59.7618,60.4585,2475394
2017-08-15,60.578,61.3942,60.2794,60.7472,2220781
2017-08-16,60.9861,61.2548,60.797,61.215,1388941
2017-08-17,61.1354,61.6828,60.5979,60.6178,1765704
2017-08-18,60.4287,60.797,60.1599,60.4685,1513092
2017-08-21,60.5382,61.1852,60.369,61.0657,1806313
2017-08-22,60.9761,61.5236,60.8169,61.3146,3459347
2017-08-23,61.1553,61.3146,60.9463,61.0757,1597889
2017-08-24,61.3245,61.3245,60.8666,61.1055,2098981
2017-08-25,61.444,61.6828,60.9562,61.0458,1965984
2017-08-28,61.2449,61.5534,61.0956,61.2548,2102054
2017-08-29,61.0757,61.3842,60.797,61.215,1331328
2017-08-30,61.2349,61.8968,61.215,61.653,2101838
2017-08-31,61.872,62.5239,61.5933,62.4095,2934224
2017-09-01,62.4592,62.6782,62.1407,62.5787,1407533
